['BO', 5, 'CO', 34, 'libgeany.so.0.0.0', 'tail', 'O1', 'O3', 0.9620020429009193, 40.43782186508179]
['BO', 12, 'CO', 98, 'libgeany.so.0.0.0', 'sleep', 'O0', 'O3', 0.9909216323261092, 233.87835884094238]
['CO', 328, 'BO', 5, 'dirname', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9800805658641799, 43.41273069381714]
['UO', 83, 'BO', 6, 'diff', 'codeblocks', 'O0', 'O0', 0.903957632577113, 63.927597522735596]
['CO', 182, 'BO', 5, 'chcon', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9610775151181968, 50.44748044013977]
['BO', 5, 'UO', 57, 'libgeany.so.0.0.0', 'size', 'O1', 'O3', 0.7188007598491314, 50.095396995544434]
['BO', 6, 'UO', 30, 'codeblocks', 'ranlib', 'O0', 'O2', 0.6548174410648753, 49.53652501106262]
['BO', 5, 'CO', 198, 'libgeany.so.0.0.0', 'rm', 'O1', 'O1', 0.9594463103047804, 40.052316665649414]
['CO', 45, 'BO', 6, 'split', 'codeblocks', 'O3', 'O0', 0.9596707364234021, 44.149977684020996]
['CO', 34, 'BO', 6, 'tail', 'codeblocks', 'O3', 'O0', 0.9555653564143558, 44.829694509506226]
['CO', 238, 'BO', 12, 'expand', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9914385975324762, 255.6525902748108]
['BO', 12, 'CO', 404, 'libgeany.so.0.0.0', 'sha512sum', 'O0', 'O0', 0.9866338062567996, 229.18719172477722]
['BO', 6, 'CO', 41, 'codeblocks', 'echo', 'O0', 'O3', 0.9788385369209885, 35.36989998817444]
['CO', 141, 'BO', 5, 'truncate', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9805203045685279, 42.39050078392029]
['BO', 5, 'CO', 25, 'libgeany.so.0.0.0', 'chgrp', 'O1', 'O3', 0.9621870530732842, 37.984949350357056]
['BO', 6, 'CO', 300, 'codeblocks', 'sha512sum', 'O0', 'O2', 0.9762660872472004, 35.776774406433105]
['UO', 49, 'BO', 12, 'c++filt', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8606898272659218, 566.6961581707001]
['BO', 6, 'CO', 204, 'codeblocks', 'tac', 'O0', 'O1', 0.9727124425329972, 33.177316188812256]
['CO', 197, 'BO', 6, 'nl', 'codeblocks', 'O1', 'O0', 0.9742129380553958, 39.32476496696472]
['CO', 221, 'BO', 5, 'printenv', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9860651565283787, 37.72104072570801]
['CO', 298, 'BO', 6, 'tr', 'codeblocks', 'O2', 'O0', 0.9751289951371618, 38.36333656311035]
['CO', 159, 'BO', 12, 'cp', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9703166517418048, 287.5899350643158]
['BO', 5, 'CO', 291, 'libgeany.so.0.0.0', 'csplit', 'O1', 'O2', 0.9722919924806092, 32.96922755241394]
['UO', 48, 'BO', 12, 'ranlib', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8506073600176486, 508.6901912689209]
['CO', 390, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9763365017191745, 224.18143320083618]
['UO', 8, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O1', 'O1', 0.7063984475360101, 109.23790955543518]
['CO', 188, 'BO', 5, 'vdir', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9355998945785468, 43.05903720855713]
