['BO', 12, 'CO', 199, 'libgeany.so.0.0.0', 'sha224sum', 'O0', 'O1', 0.9892249205208202, 245.39283657073975]
['CO', 268, 'BO', 12, 'base64', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9914533719118629, 268.5399615764618]
['BO', 5, 'CO', 203, 'libgeany.so.0.0.0', 'sort', 'O1', 'O1', 0.9369812433094932, 44.196094274520874]
['CO', 268, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9817148661947239, 45.015472173690796]
['CO', 412, 'BO', 12, 'tac', 'libgeany.so.0.0.0', 'O0', 'O0', 0.98666321281871, 282.02765464782715]
['CO', 357, 'BO', 12, 'split', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9817204618610282, 311.11029958724976]
['CO', 361, 'BO', 6, 'nice', 'codeblocks', 'O0', 'O0', 0.9749823688801456, 44.771896839141846]
['BO', 5, 'CO', 151, 'libgeany.so.0.0.0', 'numfmt', 'O1', 'O1', 0.9731959414609477, 41.423967599868774]
['UO', 71, 'BO', 6, 'c++filt', 'codeblocks', 'O0', 'O0', 0.5347918259038664, 175.97697067260742]
['CO', 324, 'BO', 12, 'ptx', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9800832079313092, 312.0894031524658]
['CO', 399, 'BO', 6, 'id', 'codeblocks', 'O0', 'O0', 0.9668422511782645, 47.14292097091675]
['CO', 255, 'BO', 12, 'numfmt', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9887680407788282, 272.5506489276886]
['BO', 5, 'UO', 54, 'libgeany.so.0.0.0', 'addr2line', 'O1', 'O3', 0.7193924622354415, 52.303109645843506]
['CO', 396, 'BO', 5, 'vdir', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9141153203428029, 73.00878882408142]
['BO', 6, 'CO', 345, 'codeblocks', 'chown', 'O0', 'O0', 0.9472990777338604, 40.64211320877075]
['CO', 224, 'BO', 6, 'dirname', 'codeblocks', 'O2', 'O0', 0.9828945161831293, 42.513010025024414]
['BO', 6, 'CO', 125, 'codeblocks', 'mktemp', 'O0', 'O1', 0.9695360071070311, 38.13417339324951]
['BO', 12, 'CO', 293, 'libgeany.so.0.0.0', '[', 'O0', 'O2', 0.9898295033358043, 240.41040778160095]
['CO', 145, 'BO', 5, 'echo', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9827534183487112, 44.598503828048706]
['CO', 264, 'BO', 6, 'cut', 'codeblocks', 'O2', 'O0', 0.9765230312035661, 42.091472148895264]
['BO', 5, 'CO', 388, 'libgeany.so.0.0.0', 'md5sum', 'O1', 'O0', 0.9725412749822261, 40.14254283905029]
['UO', 62, 'BO', 12, 'diff3', 'libgeany.so.0.0.0', 'O3', 'O0', 0.984636200306093, 260.0476667881012]
['CO', 151, 'BO', 12, 'numfmt', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9874428040455494, 255.96675872802734]
['BO', 5, 'CO', 207, 'libgeany.so.0.0.0', 'ln', 'O1', 'O1', 0.9576336296784107, 38.78793525695801]
['BO', 12, 'CO', 145, 'libgeany.so.0.0.0', 'echo', 'O0', 'O1', 0.9919410494445557, 212.5034248828888]
