['CO', 62, 'BO', 5, 'printf', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9746002625377596, 48.46356654167175]
['CO', 221, 'BO', 12, 'printenv', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9934943409678282, 264.75639820098877]
['BO', 5, 'CO', 387, 'libgeany.so.0.0.0', 'mv', 'O1', 'O0', 0.9017532101567379, 48.43122982978821]
['BO', 6, 'CO', 77, 'codeblocks', 'env', 'O0', 'O3', 0.975862453117457, 39.77607083320618]
['BO', 6, 'CO', 183, 'codeblocks', 'link', 'O0', 'O1', 0.9795747530554161, 40.03350567817688]
['BO', 12, 'CO', 85, 'libgeany.so.0.0.0', '[', 'O0', 'O3', 0.9882966430624278, 249.93219184875488]
['BO', 5, 'CO', 57, 'libgeany.so.0.0.0', 'od', 'O1', 'O3', 0.9657398368863558, 43.16578006744385]
['CO', 175, 'BO', 5, 'readlink', 'libgeany.so.0.0.0', 'O1', 'O1', 0.975568847115415, 48.65212392807007]
['CO', 378, 'BO', 12, 'runcon', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9889890854123906, 279.64653420448303]
['BO', 6, 'UO', 14, 'codeblocks', 'ar', 'O0', 'O1', 0.6428869162485527, 56.33394169807434]
['CO', 371, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9755063291139241, 50.93899631500244]
['CO', 194, 'BO', 5, 'tr', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9759753105958693, 48.23898911476135]
['BO', 5, 'CO', 188, 'libgeany.so.0.0.0', 'vdir', 'O1', 'O1', 0.9355998945785468, 46.06427240371704]
['CO', 257, 'BO', 12, 'nice', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9927543763270034, 271.88551688194275]
['CO', 380, 'BO', 12, 'yes', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9905968201233982, 266.5271520614624]
['BO', 5, 'CO', 81, 'libgeany.so.0.0.0', 'cat', 'O1', 'O3', 0.9782608695652174, 40.72614860534668]
['UO', 38, 'BO', 5, 'elfedit', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9764445148013298, 46.18426251411438]
['CO', 297, 'BO', 6, 'pathchk', 'codeblocks', 'O2', 'O0', 0.9817497858393236, 43.144338607788086]
['BO', 5, 'CO', 138, 'libgeany.so.0.0.0', 'tail', 'O1', 'O1', 0.9628348635391775, 44.66210174560547]
['CO', 59, 'BO', 12, 'tsort', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9892249205208202, 271.5894546508789]
['CO', 70, 'BO', 5, 'b2sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9712954922238889, 49.393553018569946]
['CO', 327, 'BO', 6, 'join', 'codeblocks', 'O0', 'O0', 0.9637933898023584, 49.589736461639404]
['BO', 6, 'CO', 190, 'codeblocks', 'timeout', 'O0', 'O1', 0.9701558855111637, 38.51997208595276]
['BO', 6, 'UO', 44, 'codeblocks', 'nm', 'O0', 'O3', 0.6736022646850672, 51.091049909591675]
['BO', 5, 'UO', 60, 'libgeany.so.0.0.0', 'xargs', 'O1', 'O3', 0.9587085438172633, 43.20677161216736]
