['CO', 341, 'BO', 5, 'nproc', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9777281439591947, 49.820677280426025]
['BO', 5, 'CO', 140, 'libgeany.so.0.0.0', 'pinky', 'O1', 'O1', 0.9762880886426593, 43.250144958496094]
['CO', 186, 'BO', 6, 'shuf', 'codeblocks', 'O1', 'O0', 0.9610430295770754, 51.00290012359619]
['CO', 184, 'BO', 12, 'uname', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9916750139120757, 276.07374906539917]
['CO', 310, 'BO', 12, 'mknod', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9921628000178118, 273.18182492256165]
['CO', 157, 'BO', 12, 'chmod', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9839467849223946, 301.45760202407837]
['CO', 96, 'BO', 5, 'fold', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9786057273260329, 46.06298637390137]
['UO', 68, 'BO', 12, 'readelf', 'libgeany.so.0.0.0', 'O0', 'O0', 0.8822729248762429, 544.7608275413513]
['BO', 12, 'CO', 360, 'libgeany.so.0.0.0', 'ls', 'O0', 'O0', 0.9591139656242017, 265.1239650249481]
['BO', 12, 'CO', 179, 'libgeany.so.0.0.0', 'mv', 'O0', 'O1', 0.965239036532689, 250.8240785598755]
['CO', 214, 'BO', 5, 'mkdir', 'libgeany.so.0.0.0', 'O2', 'O1', 0.976100409933366, 44.072535276412964]
['BO', 12, 'CO', 274, 'libgeany.so.0.0.0', 'runcon', 'O0', 'O2', 0.9935239509840327, 223.21387338638306]
['BO', 6, 'UO', 6, 'codeblocks', 'as', 'O0', 'O1', 0.5077594019030358, 55.30685567855835]
['BO', 5, 'CO', 197, 'libgeany.so.0.0.0', 'nl', 'O1', 'O1', 0.9779788026171955, 36.9706175327301]
['BO', 5, 'CO', 64, 'libgeany.so.0.0.0', 'tty', 'O1', 'O3', 0.9816519586058028, 36.068944692611694]
['CO', 283, 'BO', 6, 'mv', 'codeblocks', 'O2', 'O0', 0.9175796453798472, 54.07753896713257]
['CO', 179, 'BO', 6, 'mv', 'codeblocks', 'O1', 'O0', 0.9145437535981578, 56.99990701675415]
['CO', 215, 'BO', 12, 'fmt', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9911726961849728, 226.78542304039001]
['CO', 341, 'BO', 6, 'nproc', 'codeblocks', 'O0', 'O0', 0.973919979225019, 38.572192668914795]
['BO', 6, 'CO', 74, 'codeblocks', 'unexpand', 'O0', 'O3', 0.9735539029320673, 31.67646813392639]
['CO', 238, 'BO', 6, 'expand', 'codeblocks', 'O2', 'O0', 0.9785442037742865, 34.987476110458374]
['UO', 29, 'BO', 5, 'as', 'libgeany.so.0.0.0', 'O2', 'O1', 0.5777081649151172, 140.8093662261963]
['CO', 10, 'BO', 12, 'users', 'libgeany.so.0.0.0', 'O3', 'O0', 0.990006523930965, 206.49364590644836]
['BO', 5, 'UO', 16, 'libgeany.so.0.0.0', 'size', 'O1', 'O1', 0.702536133078811, 43.07331871986389]
['CO', 66, 'BO', 12, 'runcon', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9917193482325706, 191.15266013145447]
