['BO', 6, 'CO', 71, 'codeblocks', 'readlink', 'O0', 'O3', 0.9704477280302188, 39.641162157058716]
['BO', 12, 'UO', 0, 'libgeany.so.0.0.0', 'locate', 'O0', 'O1', 0.9662462092910825, 271.36789107322693]
['BO', 12, 'UO', 58, 'libgeany.so.0.0.0', 'objdump', 'O0', 'O3', 0.7800071611388864, 310.5091938972473]
['BO', 12, 'CO', 299, 'libgeany.so.0.0.0', 'comm', 'O0', 'O2', 0.9909216323261092, 252.53557443618774]
['BO', 6, 'CO', 347, 'codeblocks', 'base32', 'O0', 'O0', 0.9692808764202968, 41.2769935131073]
['BO', 5, 'CO', 351, 'libgeany.so.0.0.0', 'paste', 'O1', 'O0', 0.9766948481682024, 42.42261052131653]
['BO', 6, 'CO', 81, 'codeblocks', 'cat', 'O0', 'O3', 0.9745426206998924, 40.170315742492676]
['CO', 338, 'BO', 12, 'kill', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9890038234683897, 286.12734150886536]
['CO', 390, 'BO', 6, 'chcon', 'codeblocks', 'O0', 'O0', 0.9413664143026543, 59.91323637962341]
['CO', 2, 'BO', 5, 'stat', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9601230846520975, 51.042983293533325]
['UO', 45, 'BO', 12, 'strip', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8300700826265986, 701.1325285434723]
['CO', 356, 'BO', 5, 'seq', 'libgeany.so.0.0.0', 'O0', 'O1', 0.974163148490742, 49.02798342704773]
['CO', 322, 'BO', 6, 'users', 'codeblocks', 'O0', 'O0', 0.9739932107811312, 45.5258731842041]
['BO', 5, 'CO', 308, 'libgeany.so.0.0.0', 'tac', 'O1', 'O2', 0.9794527063449282, 40.63772392272949]
['CO', 292, 'BO', 5, 'vdir', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9394184168012925, 57.02184796333313]
['BO', 12, 'CO', 353, 'libgeany.so.0.0.0', 'echo', 'O0', 'O0', 0.9909659331123027, 233.13965892791748]
['CO', 192, 'BO', 5, 'shred', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9662351570128193, 48.68079710006714]
['BO', 12, 'CO', 407, 'libgeany.so.0.0.0', 'sha224sum', 'O0', 'O0', 0.9866338062567996, 224.6421320438385]
['CO', 264, 'BO', 5, 'cut', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9799549620983856, 40.41440677642822]
['BO', 12, 'CO', 117, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O1', 0.9920740938641018, 215.2231457233429]
['BO', 5, 'CO', 56, 'libgeany.so.0.0.0', 'cut', 'O1', 'O3', 0.9759440382363181, 35.9862904548645]
['BO', 5, 'CO', 90, 'libgeany.so.0.0.0', 'tr', 'O1', 'O3', 0.9750063275120223, 34.700451612472534]
['CO', 136, 'BO', 6, 'expr', 'codeblocks', 'O1', 'O0', 0.9670603892863084, 39.775883436203]
['CO', 311, 'BO', 6, 'ln', 'codeblocks', 'O2', 'O0', 0.9532681118187992, 45.52653694152832]
