['CO', 82, 'BO', 6, 'shuf', 'codeblocks', 'O3', 'O0', 0.9616575726294057, 48.59708595275879]
['BO', 12, 'CO', 241, 'libgeany.so.0.0.0', 'chown', 'O0', 'O2', 0.983096676960357, 253.44698476791382]
['BO', 12, 'CO', 297, 'libgeany.so.0.0.0', 'pathchk', 'O0', 'O2', 0.9927247891673595, 251.77696776390076]
['CO', 238, 'BO', 5, 'expand', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9816834119010206, 47.30682182312012]
['CO', 155, 'BO', 6, 'realpath', 'codeblocks', 'O1', 'O0', 0.970119411274646, 47.63802170753479]
['CO', 101, 'BO', 6, 'rmdir', 'codeblocks', 'O3', 'O0', 0.973919979225019, 45.64612054824829]
['BO', 5, 'CO', 131, 'libgeany.so.0.0.0', 'wc', 'O1', 'O1', 0.9738822487826472, 42.67658853530884]
['BO', 5, 'CO', 380, 'libgeany.so.0.0.0', 'yes', 'O1', 'O0', 0.9798921661909292, 43.46046996116638]
['CO', 41, 'BO', 6, 'echo', 'codeblocks', 'O3', 'O0', 0.9788385369209885, 43.25840735435486]
['BO', 5, 'CO', 212, 'libgeany.so.0.0.0', 'test', 'O1', 'O2', 0.9797351938476175, 42.729642391204834]
['CO', 142, 'BO', 12, 'sha1sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9893576023478493, 286.75769329071045]
['CO', 316, 'BO', 5, 'test', 'libgeany.so.0.0.0', 'O0', 'O1', 0.972447786659926, 51.47670340538025]
['BO', 6, 'CO', 26, 'codeblocks', 'kill', 'O0', 'O3', 0.9753856434816506, 46.87338709831238]
['UO', 40, 'BO', 6, 'objdump', 'codeblocks', 'O2', 'O0', 0.5250963591294007, 154.9450557231903]
['BO', 6, 'CO', 108, 'codeblocks', 'test', 'O0', 'O1', 0.9718716993718384, 37.65186595916748]
['BO', 12, 'CO', 319, 'libgeany.so.0.0.0', 'fmt', 'O0', 'O0', 0.9879874097389373, 238.74248003959656]
['BO', 5, 'CO', 114, 'libgeany.so.0.0.0', 'users', 'O1', 'O1', 0.9801119692956719, 40.745991945266724]
['CO', 313, 'BO', 6, 'touch', 'codeblocks', 'O0', 'O0', 0.9533398190128306, 52.302769899368286]
['CO', 186, 'BO', 5, 'shuf', 'libgeany.so.0.0.0', 'O1', 'O1', 0.966699746388797, 50.94000244140625]
['CO', 388, 'BO', 5, 'md5sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9725412749822261, 49.133110761642456]
['CO', 41, 'BO', 5, 'echo', 'libgeany.so.0.0.0', 'O3', 'O1', 0.981935074212239, 43.775787591934204]
['BO', 12, 'CO', 227, 'libgeany.so.0.0.0', 'dd', 'O0', 'O2', 0.9834776697307362, 233.2600803375244]
['CO', 147, 'BO', 5, 'chroot', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9764132275886087, 46.053614377975464]
['BO', 6, 'CO', 83, 'codeblocks', 'csplit', 'O0', 'O3', 0.9626344036443445, 37.72157311439514]
['CO', 93, 'BO', 5, 'nl', 'libgeany.so.0.0.0', 'O3', 'O1', 0.976976549015882, 44.38722515106201]
['BO', 6, 'UO', 64, 'codeblocks', 'diff', 'O0', 'O3', 0.9185461625831576, 40.682724475860596]
