['UO', 76, 'BO', 5, 'addr2line', 'libgeany.so.0.0.0', 'O0', 'O1', 0.5872737441529388, 190.71023297309875]
['BO', 6, 'CO', 177, 'codeblocks', 'hostid', 'O0', 'O1', 0.9796484047995535, 37.51813292503357]
['CO', 348, 'BO', 12, 'pinky', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9870749961136157, 277.2737307548523]
['BO', 6, 'CO', 27, 'codeblocks', 'wc', 'O0', 'O3', 0.9675331878859594, 37.52308201789856]
['CO', 294, 'BO', 5, 'timeout', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9773522750669137, 46.365843534469604]
['CO', 40, 'BO', 6, 'sync', 'codeblocks', 'O3', 'O0', 0.976596456034771, 41.68382811546326]
['CO', 413, 'BO', 5, 'rmdir', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9773522750669137, 46.146308183670044]
['BO', 6, 'CO', 387, 'codeblocks', 'mv', 'O0', 'O0', 0.8857051725054489, 43.327332973480225]
['BO', 12, 'CO', 409, 'libgeany.so.0.0.0', 'uniq', 'O0', 'O0', 0.9863103915228024, 229.58813953399658]
['BO', 6, 'CO', 69, 'codeblocks', 'who', 'O0', 'O3', 0.9686251294953382, 36.255024671554565]
['BO', 6, 'CO', 42, 'codeblocks', 'sum', 'O0', 'O3', 0.9709951658609768, 36.52155017852783]
['CO', 32, 'BO', 12, 'expr', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9871191258772319, 260.6194896697998]
['CO', 267, 'BO', 6, 'tsort', 'codeblocks', 'O2', 'O0', 0.9780293314002119, 41.339237451553345]
['BO', 5, 'CO', 53, 'libgeany.so.0.0.0', 'chmod', 'O1', 'O3', 0.9651828999559278, 39.097840309143066]
['CO', 58, 'BO', 5, 'df', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9542935854490812, 52.664897441864014]
['BO', 5, 'CO', 317, 'libgeany.so.0.0.0', 'basename', 'O1', 'O0', 0.979201674011604, 38.50001835823059]
['BO', 6, 'CO', 322, 'codeblocks', 'users', 'O0', 'O0', 0.9739932107811312, 36.750935554504395]
['UO', 38, 'BO', 6, 'elfedit', 'codeblocks', 'O2', 'O0', 0.9724199288256228, 42.75004816055298]
['BO', 6, 'CO', 308, 'codeblocks', 'tac', 'O0', 'O2', 0.9759358288770054, 36.762722969055176]
['UO', 48, 'BO', 6, 'ranlib', 'codeblocks', 'O3', 'O0', 0.6615038720959281, 122.01984000205994]
['BO', 12, 'CO', 167, 'libgeany.so.0.0.0', 'logname', 'O0', 'O1', 0.991822802656476, 224.56827688217163]
['BO', 6, 'CO', 380, 'codeblocks', 'yes', 'O0', 'O0', 0.9764496118271981, 35.51632785797119]
['UO', 70, 'BO', 5, 'ranlib', 'libgeany.so.0.0.0', 'O0', 'O1', 0.57127577919545, 180.4256899356842]
['BO', 12, 'CO', 143, 'libgeany.so.0.0.0', 'paste', 'O0', 'O1', 0.9906115820151727, 210.2763397693634]
['BO', 12, 'CO', 233, 'libgeany.so.0.0.0', 'chgrp', 'O0', 'O2', 0.9836242443948509, 207.98710012435913]
['UO', 69, 'BO', 12, 'as', 'libgeany.so.0.0.0', 'O0', 'O0', 0.6917648096687398, 1003.5405464172363]
