['BO', 12, 'CO', 10, 'libgeany.so.0.0.0', 'users', 'O0', 'O3', 0.990006523930965, 239.02735233306885]
['CO', 374, 'BO', 12, 'printf', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9876194002221399, 271.3701436519623]
['UO', 25, 'BO', 5, 'sdiff', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9692123276868237, 48.96850085258484]
['BO', 6, 'UO', 23, 'codeblocks', 'cmp', 'O0', 'O2', 0.9720544086579445, 38.43382740020752]
['BO', 6, 'CO', 40, 'codeblocks', 'sync', 'O0', 'O3', 0.976596456034771, 37.612915992736816]
['CO', 229, 'BO', 6, 'mktemp', 'codeblocks', 'O2', 'O0', 0.972749012846894, 45.89017605781555]
['UO', 26, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O2', 'O0', 0.8531358945152049, 672.2428243160248]
['CO', 229, 'BO', 5, 'mktemp', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9767261442979054, 42.285895109176636]
['CO', 376, 'BO', 5, 'tty', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9801747791470397, 41.971181869506836]
['UO', 82, 'BO', 6, 'cmp', 'codeblocks', 'O0', 'O0', 0.9664424569443418, 42.14056324958801]
['UO', 22, 'BO', 12, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9862516001568709, 247.8248906135559]
['BO', 12, 'CO', 200, 'libgeany.so.0.0.0', 'fold', 'O0', 'O1', 0.9904787328706175, 205.0390636920929]
['CO', 253, 'BO', 12, 'split', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9867661426414424, 229.87038731575012]
['CO', 34, 'BO', 12, 'tail', 'libgeany.so.0.0.0', 'O3', 'O0', 0.982144835072329, 221.88416743278503]
['BO', 5, 'CO', 106, 'libgeany.so.0.0.0', 'stat', 'O1', 'O1', 0.9594770626363451, 32.91665720939636]
['UO', 73, 'BO', 5, 'objcopy', 'libgeany.so.0.0.0', 'O0', 'O1', 0.5273212014479992, 152.69528460502625]
['CO', 234, 'BO', 6, 'kill', 'codeblocks', 'O2', 'O0', 0.9795747530554161, 32.43720841407776]
['CO', 140, 'BO', 12, 'pinky', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9889006616628261, 193.4075632095337]
['BO', 12, 'CO', 164, 'libgeany.so.0.0.0', 'base64', 'O0', 'O1', 0.9897852531077885, 164.6899073123932]
['CO', 99, 'BO', 6, 'sort', 'codeblocks', 'O3', 'O0', 0.9229851825081316, 40.484135150909424]
['UO', 78, 'BO', 6, 'elfedit', 'codeblocks', 'O0', 'O0', 0.9698641294287512, 30.70467519760132]
['CO', 294, 'BO', 12, 'timeout', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9894018335569077, 184.5214786529541]
['CO', 328, 'BO', 6, 'dirname', 'codeblocks', 'O0', 'O0', 0.9766698863214206, 28.931691884994507]
['BO', 6, 'CO', 138, 'codeblocks', 'tail', 'O0', 'O1', 0.9565361279646994, 26.825779676437378]
['CO', 49, 'BO', 12, 'nice', 'libgeany.so.0.0.0', 'O3', 'O0', 0.990995468065064, 174.0852780342102]
['BO', 5, 'CO', 223, 'libgeany.so.0.0.0', 'join', 'O1', 'O2', 0.9760691336140039, 26.844327211380005]
