['BO', 6, 'CO', 199, 'codeblocks', 'sha224sum', 'O0', 'O1', 0.9730416241772504, 37.57295608520508]
['BO', 6, 'CO', 381, 'codeblocks', 'who', 'O0', 'O0', 0.9650625992539794, 37.265607833862305]
['BO', 12, 'CO', 330, 'libgeany.so.0.0.0', 'uptime', 'O0', 'O0', 0.9862809954047994, 246.86190462112427]
['BO', 12, 'CO', 412, 'libgeany.so.0.0.0', 'tac', 'O0', 'O0', 0.98666321281871, 227.69329810142517]
['UO', 60, 'BO', 12, 'xargs', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9805799453995425, 279.231210231781]
['BO', 12, 'CO', 377, 'libgeany.so.0.0.0', 'false', 'O0', 'O0', 0.9912760938265011, 213.21870231628418]
['BO', 12, 'CO', 163, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O1', 0.9898885067014589, 213.34003973007202]
['CO', 58, 'BO', 12, 'df', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9784778218376402, 248.74092769622803]
['BO', 12, 'UO', 7, 'libgeany.so.0.0.0', 'ranlib', 'O0', 'O1', 0.8413922253242878, 221.1574306488037]
['CO', 60, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9776341633403028, 33.52898025512695]
['CO', 396, 'BO', 6, 'vdir', 'codeblocks', 'O0', 'O0', 0.8999803602992377, 52.65323805809021]
['BO', 5, 'CO', 233, 'libgeany.so.0.0.0', 'chgrp', 'O1', 'O2', 0.9651210375546951, 29.464179277420044]
['CO', 160, 'BO', 6, 'cut', 'codeblocks', 'O1', 'O0', 0.9731879623963954, 31.628031492233276]
['CO', 55, 'BO', 6, 'cp', 'codeblocks', 'O3', 'O0', 0.9253858262018057, 40.90355467796326]
['CO', 304, 'BO', 12, 'fold', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9919410494445557, 184.74298071861267]
['BO', 12, 'CO', 310, 'libgeany.so.0.0.0', 'mknod', 'O0', 'O2', 0.9921628000178118, 166.22346782684326]
['CO', 121, 'BO', 12, 'stdbuf', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9890627778765784, 191.81940937042236]
['BO', 6, 'CO', 98, 'codeblocks', 'sleep', 'O0', 'O3', 0.9772575250836121, 25.871921062469482]
['BO', 6, 'CO', 266, 'codeblocks', 'df', 'O0', 'O2', 0.9501539363729659, 28.238101959228516]
['BO', 12, 'UO', 1, 'libgeany.so.0.0.0', 'xargs', 'O0', 'O1', 0.9797619223223637, 172.88662004470825]
['CO', 6, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9867955531212529, 179.5037064552307]
['BO', 12, 'CO', 212, 'libgeany.so.0.0.0', 'test', 'O0', 'O2', 0.9905230139485217, 157.8298623561859]
['BO', 6, 'CO', 21, 'codeblocks', 'mktemp', 'O0', 'O3', 0.9679334257975035, 25.375699996948242]
['BO', 6, 'UO', 40, 'codeblocks', 'objdump', 'O0', 'O2', 0.5250963591294007, 40.06112504005432]
