['BO', 6, 'UO', 46, 'codeblocks', 'readelf', 'O0', 'O3', 0.8019573978123201, 43.668673038482666]
['CO', 61, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9799235636467435, 44.963993072509766]
['BO', 6, 'CO', 23, 'codeblocks', 'pr', 'O0', 'O3', 0.957795970931837, 38.38698124885559]
['BO', 6, 'UO', 53, 'codeblocks', 'gprof', 'O0', 'O3', 0.6571624336234954, 50.47168445587158]
['CO', 244, 'BO', 5, 'pinky', 'libgeany.so.0.0.0', 'O2', 'O1', 0.979201674011604, 45.605727434158325]
['BO', 6, 'CO', 223, 'codeblocks', 'join', 'O0', 'O2', 0.9719813208805871, 37.408634185791016]
['CO', 265, 'BO', 5, 'od', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9710465244778429, 48.92200803756714]
['BO', 6, 'CO', 43, 'codeblocks', 'chroot', 'O0', 'O3', 0.9712142261739372, 38.06954383850098]
['BO', 12, 'CO', 237, 'libgeany.so.0.0.0', 'nproc', 'O0', 'O2', 0.9922071560572663, 238.76802849769592]
['UO', 41, 'BO', 12, 'locate', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9672405074423411, 351.42823457717896]
['CO', 49, 'BO', 5, 'nice', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9807402471721162, 43.569437980651855]
['BO', 12, 'UO', 55, 'libgeany.so.0.0.0', 'ar', 'O0', 'O3', 0.8506073600176486, 273.1943573951721]
['BO', 5, 'UO', 59, 'libgeany.so.0.0.0', 'locate', 'O1', 'O3', 0.9349099587763072, 43.93994879722595]
['CO', 170, 'BO', 5, 'runcon', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9830998443406715, 43.82416391372681]
['CO', 201, 'BO', 12, 'uniq', 'libgeany.so.0.0.0', 'O1', 'O0', 0.987899075027216, 284.1889867782593]
['BO', 6, 'CO', 175, 'codeblocks', 'readlink', 'O0', 'O1', 0.9713968136346796, 37.821473598480225]
['CO', 395, 'BO', 12, 'csplit', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9818814096174718, 304.34771275520325]
['BO', 12, 'CO', 223, 'libgeany.so.0.0.0', 'join', 'O0', 'O2', 0.9887975105579018, 239.48718905448914]
['BO', 12, 'CO', 329, 'libgeany.so.0.0.0', 'stdbuf', 'O0', 'O0', 0.9875605313430184, 239.96633768081665]
['BO', 6, 'UO', 74, 'codeblocks', 'ld', 'O0', 'O0', 0.39227313097539307, 74.6409158706665]
['BO', 6, 'UO', 66, 'codeblocks', 'nm', 'O0', 'O0', 0.5252454317448944, 63.980151414871216]
['BO', 6, 'CO', 396, 'codeblocks', 'vdir', 'O0', 'O0', 0.8999803602992377, 43.92284440994263]
['BO', 12, 'CO', 332, 'libgeany.so.0.0.0', 'mkfifo', 'O0', 'O0', 0.9763510528640849, 250.93990063667297]
['BO', 6, 'CO', 206, 'codeblocks', 'mknod', 'O0', 'O1', 0.9769269352951011, 38.62585926055908]
['BO', 6, 'CO', 252, 'codeblocks', 'seq', 'O0', 'O2', 0.9760092100865303, 37.0969934463501]
