['CO', 248, 'BO', 5, 'sync', 'libgeany.so.0.0.0', 'O2', 'O1', 0.984297520661157, 44.18638515472412]
['CO', 181, 'BO', 5, 'env', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9807402471721162, 45.684821367263794]
['BO', 12, 'UO', 40, 'libgeany.so.0.0.0', 'objdump', 'O0', 'O2', 0.7801680404782588, 304.1267788410187]
['BO', 12, 'CO', 100, 'libgeany.so.0.0.0', 'tac', 'O0', 'O3', 0.98810520156721, 234.64712929725647]
['BO', 5, 'CO', 153, 'libgeany.so.0.0.0', 'nice', 'O1', 'O1', 0.9814632598000318, 39.24146318435669]
['BO', 6, 'CO', 122, 'codeblocks', 'uptime', 'O0', 'O1', 0.9697547431744563, 38.124698638916016]
['CO', 161, 'BO', 12, 'od', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9850765032575819, 276.8635060787201]
['BO', 6, 'CO', 65, 'codeblocks', 'false', 'O0', 'O3', 0.9796115782424287, 37.29368448257446]
['CO', 349, 'BO', 5, 'truncate', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9768200386332689, 47.13220238685608]
['BO', 6, 'CO', 265, 'codeblocks', 'od', 'O0', 'O2', 0.9661154734411086, 38.94000244140625]
['BO', 5, 'CO', 245, 'libgeany.so.0.0.0', 'truncate', 'O1', 'O2', 0.9833518665607625, 40.03752374649048]
['BO', 12, 'CO', 130, 'libgeany.so.0.0.0', 'kill', 'O0', 'O1', 0.9905525357616926, 232.40164351463318]
['BO', 12, 'UO', 78, 'libgeany.so.0.0.0', 'elfedit', 'O0', 'O0', 0.9879432414017834, 230.57218551635742]
['BO', 12, 'UO', 3, 'libgeany.so.0.0.0', 'nm', 'O0', 'O1', 0.847411669167137, 262.18004727363586]
['CO', 135, 'BO', 5, 'date', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9649045498182276, 46.83399796485901]
['BO', 12, 'CO', 380, 'libgeany.so.0.0.0', 'yes', 'O0', 'O0', 0.9905968201233982, 214.79203486442566]
['CO', 50, 'BO', 12, 'dircolors', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9891069959762577, 229.61900568008423]
['CO', 7, 'BO', 12, 'fmt', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9892691458299367, 218.3358769416809]
['CO', 17, 'BO', 12, 'stdbuf', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9887091038406828, 214.15259194374084]
['BO', 6, 'CO', 262, 'codeblocks', 'true', 'O0', 'O2', 0.9841145542006936, 28.515507698059082]
['CO', 211, 'BO', 6, 'unlink', 'codeblocks', 'O2', 'O0', 0.9828945161831293, 30.57066249847412]
['CO', 366, 'BO', 5, 'true', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9813374805598756, 33.738038539886475]
['BO', 12, 'CO', 327, 'libgeany.so.0.0.0', 'join', 'O0', 'O0', 0.9854876289803617, 175.4181888103485]
['BO', 5, 'CO', 42, 'libgeany.so.0.0.0', 'sum', 'O1', 'O3', 0.9752250470660824, 29.250075817108154]
['CO', 329, 'BO', 6, 'stdbuf', 'codeblocks', 'O0', 'O0', 0.9689165186500888, 32.998642683029175]
