['BO', 5, 'UO', 62, 'libgeany.so.0.0.0', 'diff3', 'O1', 'O3', 0.9672575435279288, 41.79294514656067]
['BO', 5, 'CO', 412, 'libgeany.so.0.0.0', 'tac', 'O1', 'O0', 0.9715445228733399, 41.53831243515015]
['CO', 383, 'BO', 5, 'readlink', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9712954922238889, 51.10960078239441]
['BO', 5, 'CO', 332, 'libgeany.so.0.0.0', 'mkfifo', 'O1', 'O0', 0.9498375812093953, 43.86624574661255]
['BO', 6, 'UO', 50, 'codeblocks', 'strings', 'O0', 'O3', 0.6798686640673096, 51.27023386955261]
['CO', 292, 'BO', 12, 'vdir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9713580682118622, 335.41182923316956]
['CO', 71, 'BO', 6, 'readlink', 'codeblocks', 'O3', 'O0', 0.9704477280302188, 44.67064046859741]
['BO', 6, 'CO', 82, 'codeblocks', 'shuf', 'O0', 'O3', 0.9616575726294057, 39.06319975852966]
['BO', 6, 'CO', 312, 'codeblocks', 'sha384sum', 'O0', 'O0', 0.9666241614459167, 39.62279534339905]
['BO', 12, 'CO', 271, 'libgeany.so.0.0.0', 'logname', 'O0', 'O2', 0.9931982891766663, 243.34802103042603]
['CO', 180, 'BO', 12, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9894313221223329, 276.02245903015137]
['BO', 6, 'CO', 141, 'codeblocks', 'truncate', 'O0', 'O1', 0.9771840511315075, 37.52024292945862]
['CO', 124, 'BO', 6, 'mkfifo', 'codeblocks', 'O1', 'O0', 0.9785442037742865, 42.50523328781128]
['CO', 304, 'BO', 5, 'fold', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9827534183487112, 43.9111807346344]
['CO', 287, 'BO', 12, 'link', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9932278903987525, 252.25371479988098]
['CO', 400, 'BO', 6, 'shred', 'codeblocks', 'O0', 'O0', 0.9522289488167309, 54.054420471191406]
['CO', 366, 'BO', 12, 'true', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9912760938265011, 269.6054685115814]
['CO', 178, 'BO', 5, 'unexpand', 'libgeany.so.0.0.0', 'O1', 'O1', 0.978292215303196, 45.02473711967468]
['CO', 231, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9675365607665154, 49.260990619659424]
['UO', 74, 'BO', 12, 'ld', 'libgeany.so.0.0.0', 'O0', 'O0', 0.7038014850542615, 1184.537867307663]
['BO', 12, 'CO', 89, 'libgeany.so.0.0.0', 'pathchk', 'O0', 'O3', 0.990021277068954, 189.25492548942566]
['CO', 139, 'BO', 5, 'base32', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9781668383110196, 37.00681018829346]
['BO', 6, 'CO', 401, 'codeblocks', 'pathchk', 'O0', 'O0', 0.9747991166700688, 29.651907920837402]
['UO', 20, 'BO', 12, 'diff', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9667360276662466, 265.8329005241394]
['CO', 406, 'BO', 5, 'rm', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9521546062918256, 40.49656367301941]
