['BO', 12, 'CO', 111, 'libgeany.so.0.0.0', 'fmt', 'O0', 'O1', 0.9897115071011355, 234.08448767662048]
['BO', 12, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O3', 0.9892249205208202, 230.1787166595459]
['CO', 319, 'BO', 6, 'fmt', 'codeblocks', 'O0', 'O0', 0.9699735278327996, 44.16102480888367]
['BO', 6, 'CO', 399, 'codeblocks', 'id', 'O0', 'O0', 0.9668422511782645, 37.02132034301758]
['CO', 146, 'BO', 5, 'sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9768513387272987, 43.64660406112671]
['CO', 165, 'BO', 6, 'cksum', 'codeblocks', 'O1', 'O0', 0.9780293314002119, 40.466405391693115]
['CO', 210, 'BO', 12, 'stat', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9819692103222948, 294.5547902584076]
['BO', 6, 'CO', 90, 'codeblocks', 'tr', 'O0', 'O3', 0.9707396570243342, 36.23141360282898]
['CO', 92, 'BO', 12, 'sha512sum', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9886649034294224, 257.4898636341095]
['CO', 145, 'BO', 12, 'echo', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9919410494445557, 245.4019112586975]
['BO', 6, 'CO', 275, 'codeblocks', 'nohup', 'O0', 'O2', 0.9794642857142857, 34.883225440979004]
['UO', 79, 'BO', 12, 'size', 'libgeany.so.0.0.0', 'O0', 'O0', 0.7831270881905559, 862.6325531005859]
['BO', 6, 'CO', 156, 'codeblocks', 'sha256sum', 'O0', 'O1', 0.9730416241772504, 31.719228982925415]
['BO', 5, 'CO', 18, 'libgeany.so.0.0.0', 'uptime', 'O1', 'O3', 0.9731335735507933, 32.10621190071106]
['BO', 6, 'CO', 35, 'codeblocks', 'base32', 'O0', 'O3', 0.9738101420781244, 29.599358081817627]
['CO', 273, 'BO', 6, 'false', 'codeblocks', 'O2', 'O0', 0.9841145542006936, 32.138622522354126]
['CO', 279, 'BO', 6, 'readlink', 'codeblocks', 'O2', 'O0', 0.9747991166700688, 34.84448027610779]
['UO', 37, 'BO', 6, 'ar', 'codeblocks', 'O2', 'O0', 0.6548174410648753, 106.41134881973267]
['BO', 12, 'CO', 379, 'libgeany.so.0.0.0', 'nohup', 'O0', 'O0', 0.9893281159678065, 180.6582944393158]
['CO', 220, 'BO', 6, 'ptx', 'codeblocks', 'O2', 'O0', 0.9617298971352727, 33.267499685287476]
['CO', 3, 'BO', 12, 'unlink', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9912170081450381, 185.30522894859314]
['BO', 12, 'CO', 16, 'libgeany.so.0.0.0', 'dirname', 'O0', 'O3', 0.9914829213283082, 164.43719696998596]
['UO', 61, 'BO', 6, 'find', 'codeblocks', 'O3', 'O0', 0.8306239355937451, 60.1510956287384]
['CO', 140, 'BO', 5, 'pinky', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9762880886426593, 32.52925658226013]
['CO', 78, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9822472972174632, 195.18161702156067]
