['CO', 68, 'BO', 19, 'yes', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9918926744522729, 2.4255638122558594]
['UO', 63, 'CO', 59, 'cmp', 'tsort', 'O3', 'O3', 0.9087719298245613, 0.07277560234069824]
['UO', 51, 'CO', 345, 'objcopy', 'chown', 'O3', 'O0', 0.9898322318251144, 2.417649507522583]
['CO', 184, 'BO', 15, 'uname', 'diff', 'O1', 'O0', 0.9201915403032721, 0.22785520553588867]
['CO', 325, 'UO', 49, 'printenv', 'c++filt', 'O0', 'O3', 0.9763075547608404, 0.9248383045196533]
['CO', 381, 'BO', 16, 'who', 'make', 'O0', 'O0', 0.9659540775930324, 0.7103416919708252]
['UO', 21, 'CO', 48, 'sdiff', 'ls', 'O1', 'O3', 0.909967845659164, 0.28923702239990234]
['UO', 80, 'CO', 395, 'objdump', 'csplit', 'O0', 'O0', 0.9979888472438065, 3.904174327850342]
['BO', 33, 'CO', 49, 'sort', 'nice', 'O2', 'O3', 0.9836734693877551, 0.14208364486694336]
['UO', 16, 'BO', 40, 'size', 'lua', 'O1', 'O0', 0.9778861015337058, 12.640804052352905]
['BO', 18, 'CO', 81, 'libvlc.so.12.0.0', 'cat', 'O1', 'O3', 0.9949799196787149, 0.5031201839447021]
['BO', 2, 'CO', 385, 'perl', 'hostid', 'O1', 'O0', 0.9985069484322958, 2.7622828483581543]
['CO', 376, 'UO', 7, 'tty', 'ranlib', 'O0', 'O1', 0.9759226366686402, 1.0985832214355469]
['CO', 183, 'BO', 2, 'link', 'perl', 'O1', 'O1', 0.9919517102615694, 2.4271857738494873]
['CO', 211, 'BO', 54, 'unlink', 'lua', 'O2', 'O3', 0.9792005199870003, 0.46819162368774414]
['UO', 34, 'CO', 90, 'ld', 'tr', 'O2', 'O3', 0.9977625506922109, 1.6494460105895996]
['CO', 290, 'UO', 37, 'shuf', 'ar', 'O2', 'O2', 0.9733386390768006, 1.5204429626464844]
['BO', 31, 'CO', 391, 'bash', 'link', 'O2', 'O0', 0.9977330688580335, 1.9567620754241943]
['BO', 12, 'CO', 334, 'libgeany.so.0.0.0', 'pwd', 'O0', 'O0', 0.9996127970572576, 6.040685653686523]
['UO', 79, 'BO', 11, 'size', 'ssh', 'O0', 'O1', 0.9691824369810756, 32.840163707733154]
['UO', 22, 'CO', 55, 'diff3', 'cp', 'O2', 'O3', 0.902928870292887, 0.24822783470153809]
['CO', 111, 'UO', 9, 'fmt', 'strings', 'O1', 'O1', 0.9674117401295175, 1.107879877090454]
['BO', 80, 'CO', 70, 'ssh', 'b2sum', 'O3', 'O3', 0.9965257672264042, 1.8709590435028076]
['CO', 78, 'UO', 73, 'chcon', 'objcopy', 'O3', 'O0', 0.9870908252650992, 3.6567223072052]
['CO', 183, 'BO', 35, 'link', 'make', 'O1', 'O3', 0.9591836734693877, 0.3753323554992676]
['BO', 13, 'CO', 414, 'ruby', 'mknod', 'O1', 'O0', 0.9992597079211253, 13.095148086547852]
['UO', 87, 'CO', 241, 'find', 'chown', 'O0', 'O2', 0.979375, 1.1066479682922363]
['CO', 108, 'BO', 19, 'test', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9882917466410749, 3.058255434036255]
['BO', 33, 'CO', 153, 'sort', 'nice', 'O2', 'O1', 0.9561128526645768, 0.14854049682617188]
['BO', 8, 'CO', 172, 'cp', 'yes', 'O0', 'O1', 0.9710743801652892, 0.23600006103515625]
['CO', 345, 'BO', 73, 'chown', 'cluster', 'O0', 'O1', 0.9495495495495495, 0.597177267074585]
['BO', 65, 'CO', 369, 'gvmap', 'od', 'O0', 'O0', 0.9760036917397323, 0.7000751495361328]
['CO', 112, 'UO', 58, 'dir', 'objdump', 'O1', 'O3', 0.9655301611090296, 4.950948238372803]
['CO', 30, 'UO', 37, 'expand', 'ar', 'O3', 'O2', 0.973322554567502, 1.1126539707183838]
['UO', 72, 'CO', 382, 'strings', 'b2sum', 'O0', 'O0', 0.9983331018196971, 2.3073506355285645]
