['UV', 57, 'CV', 79, 'strings', 'fold', 'V1', 'V2', 0.9970282317979198, 1.135462999343872]
['CV', 330, 'BV', 23, 'csplit', 'diff', 'V1', 'V3', 0.927007299270073, 0.4136512279510498]
['BV', 20, 'UV', 76, 'sort', 'as', 'V1', 'V0', 0.9740366220278764, 2.9268436431884766]
['BV', 51, 'CV', 69, 'cp', 'csplit', 'V0', 'V2', 0.900749063670412, 0.22764182090759277]
['CV', 146, 'UV', 22, 'head', 'nm', 'V3', 'V3', 0.9716193656093489, 1.2949230670928955]
['CV', 269, 'BV', 57, 'du', 'svn', 'V1', 'V2', 0.9747687132043734, 0.99660325050354]
['CV', 338, 'BV', 75, 'nl', 'cmp', 'V1', 'V2', 0.9538461538461538, 0.12182164192199707]
['BV', 29, 'CV', 248, 'perl', 'pathchk', 'V3', 'V0', 0.9990420691306777, 1.3852767944335938]
['CV', 331, 'UV', 9, 'vdir', 'readelf', 'V1', 'V2', 0.9699757869249395, 0.6951580047607422]
['CV', 68, 'BV', 40, 'cat', 'lua', 'V2', 'V2', 0.9614882506527416, 0.809561014175415]
['UV', 15, 'CV', 281, 'ld', 'tee', 'V2', 'V1', 0.9982723869853153, 0.9540166854858398]
['BV', 41, 'CV', 76, 'libvlccore.so', 'comm', 'V1', 'V2', 0.9989725147701002, 1.532425880432129]
['CV', 115, 'UV', 7, 'chown', 'nm', 'V3', 'V2', 0.9639318271898534, 1.968456506729126]
['CV', 185, 'UV', 25, 'printenv', 'as', 'V0', 'V3', 0.9871882240697832, 0.8761444091796875]
['CV', 275, 'UV', 47, 'dirname', 'sdiff', 'V1', 'V1', 0.8542056074766355, 0.05609393119812012]
['UV', 61, 'CV', 177, 'addr2line', 'test', 'V1', 'V0', 0.996160409556314, 0.6823608875274658]
['CV', 341, 'UV', 62, 'uniq', 'ar', 'V1', 'V1', 0.9784560143626571, 0.9510178565979004]
['BV', 42, 'CV', 222, 'libvlc.so', 'df', 'V1', 'V0', 0.9895452169367486, 0.4702799320220947]
['BV', 20, 'CV', 106, 'sort', 'pr', 'V1', 'V3', 0.9172259507829977, 0.17011260986328125]
['UV', 58, 'BV', 10, 'objcopy', 'gvmap', 'V1', 'V2', 0.9825916046609575, 5.965230703353882]
['CV', 172, 'UV', 42, 'mknod', 'diff', 'V3', 'V3', 0.9124579124579124, 0.21619939804077148]
['UV', 36, 'CV', 169, 'objdump', 'sort', 'V3', 'V3', 0.9914712153518124, 4.819513320922852]
