['CV', 210, 'BV', 75, 'chroot', 'cmp', 'V0', 'V2', 0.833729216152019, 0.04026675224304199]
['CV', 30, 'BV', 40, 'pinky', 'lua', 'V2', 'V2', 0.9630500503862949, 0.6353826522827148]
['BV', 81, 'CV', 209, 'dot', 'sum', 'V1', 'V0', 0.992, 0.02458643913269043]
['UV', 81, 'CV', 85, 'ld', 'mknod', 'V0', 'V2', 0.9984804740920833, 1.0283775329589844]
['BV', 83, 'UV', 78, 'git', 'c++filt', 'V2', 'V0', 0.9961494316709245, 65.01402711868286]
['UV', 75, 'CV', 240, 'readelf', 'link', 'V0', 'V0', 0.9940431868950111, 0.14900684356689453]
['CV', 163, 'BV', 39, 'comm', 'svn', 'V3', 'V1', 0.9707057256990679, 0.6332376003265381]
['UV', 37, 'BV', 7, 'locate', 'libSDL2-2.0.so', 'V3', 'V0', 0.963560141889713, 4.456616640090942]
['BV', 4, 'UV', 26, 'geany', 'ranlib', 'V3', 'V3', 0.9969840434858847, 89.18429970741272]
['BV', 35, 'CV', 286, 'libvlccore.so', 'expand', 'V2', 'V1', 0.9995356396563734, 1.3124361038208008]
['UV', 10, 'CV', 155, 'as', 'cat', 'V2', 'V3', 0.9973315543695798, 1.5523688793182373]
['CV', 12, 'UV', 83, 'stty', 'addr2line', 'V2', 'V0', 0.9803878840706036, 1.2073063850402832]
['BV', 41, 'CV', 202, 'libvlccore.so', 'chown', 'V1', 'V0', 0.9987266012988667, 1.9537858963012695]
['UV', 4, 'CV', 338, 'cmp', 'nl', 'V2', 'V1', 0.9153846153846154, 0.12657833099365234]
['UV', 58, 'CV', 24, 'objcopy', 'factor', 'V1', 'V2', 0.9967373572593801, 1.0255558490753174]
['CV', 256, 'UV', 50, 'sort', 'find', 'V0', 'V1', 0.915273132664437, 0.4425787925720215]
['BV', 12, 'UV', 72, 'sort', 'find', 'V2', 'V0', 0.9124343257443083, 0.5618088245391846]
['CV', 134, 'UV', 51, 'od', 'nm', 'V3', 'V1', 0.9622941059734074, 1.7678565979003906]
['CV', 192, 'BV', 52, 'pwd', 'libSDL2-2.0.so', 'V0', 'V2', 0.9830751204270277, 1.4593579769134521]
['BV', 27, 'CV', 295, 'libSDL2-2.0.so', 'echo', 'V1', 'V1', 0.9980446927374301, 0.7977926731109619]
['CV', 244, 'BV', 60, 'vdir', 'codeblocks', 'V0', 'V1', 0.9909519321394911, 8.438730001449585]
['CV', 245, 'BV', 31, '[', 'codeblocks', 'V0', 'V0', 0.9952459557609772, 3.1549298763275146]
['CV', 186, 'BV', 12, 'stty', 'sort', 'V0', 'V2', 0.917936694021102, 0.12873053550720215]
['UV', 77, 'CV', 328, 'ranlib', 'uname', 'V0', 'V1', 0.9974543911752227, 0.5306251049041748]
['CV', 282, 'BV', 51, 'chgrp', 'cp', 'V1', 'V0', 0.9, 0.12062907218933105]
['UV', 13, 'CV', 302, 'strings', 'nice', 'V2', 'V1', 0.9973850512094138, 0.5967473983764648]
['BV', 28, 'UV', 43, 'openssl', 'sdiff', 'V1', 'V3', 0.9988159842131228, 5.67202091217041]
['BV', 36, 'CV', 172, 'libvlc.so', 'mknod', 'V2', 'V3', 0.9943609022556391, 0.4855220317840576]
['BV', 49, 'CV', 156, 'make', 'csplit', 'V3', 'V3', 0.9834093737038573, 0.6843829154968262]
['CV', 241, 'BV', 65, 'uname', 'ssh', 'V0', 'V1', 0.9908081194944466, 1.3822340965270996]
['CV', 327, 'UV', 65, 'link', 'objdump', 'V1', 'V1', 0.9863636363636363, 0.9121685028076172]
['BV', 28, 'CV', 326, 'openssl', 'env', 'V1', 'V1', 0.9996001199640108, 1.9711554050445557]
['BV', 76, 'CV', 91, 'diff', 'basename', 'V2', 'V3', 0.9754601226993865, 0.17573332786560059]
['CV', 185, 'UV', 61, 'printenv', 'addr2line', 'V0', 'V1', 0.9814774930002154, 0.5783183574676514]
['CV', 130, 'BV', 63, 'chmod', 'ruby', 'V3', 'V0', 0.9862841774988794, 7.929715156555176]
['CV', 58, 'UV', 47, 'readlink', 'sdiff', 'V2', 'V1', 0.904320987654321, 0.09577155113220215]
['BV', 54, 'CV', 51, 'lua', 'printf', 'V3', 'V2', 0.9938003719776813, 0.7414298057556152]
['CV', 224, 'UV', 12, 'cksum', 'c++filt', 'V0', 'V2', 0.9801893022232006, 0.6168971061706543]
['UV', 69, 'BV', 42, 'sdiff', 'libvlc.so', 'V0', 'V1', 0.9833578071463533, 0.7349097728729248]
['BV', 50, 'CV', 346, 'sort', 'mknod', 'V0', 'V1', 0.9416342412451362, 0.05173850059509277]
['BV', 58, 'CV', 324, 'ruby', 'mv', 'V3', 'V1', 0.9925093632958801, 0.028064489364624023]
['UV', 24, 'CV', 1, 'readelf', 'stat', 'V3', 'V2', 0.9933456561922366, 0.49416518211364746]
['CV', 115, 'UV', 34, 'chown', 'elfedit', 'V3', 'V3', 0.9795134443021767, 0.16483092308044434]
['CV', 4, 'UV', 44, 'basename', 'diff3', 'V2', 'V1', 0.8856152512998267, 0.07154202461242676]
['CV', 135, 'UV', 44, 'df', 'diff3', 'V3', 'V1', 0.9425641025641026, 0.19328975677490234]
['BV', 51, 'CV', 24, 'cp', 'factor', 'V0', 'V2', 0.9503875968992248, 0.07841706275939941]
['UV', 80, 'CV', 148, 'objcopy', 'ginstall', 'V0', 'V3', 0.9903323262839879, 3.983044147491455]
['CV', 109, 'BV', 33, 'kill', 'openssl', 'V3', 'V0', 0.9888702225955481, 3.728041172027588]
['CV', 141, 'BV', 2, 'false', 'cmp', 'V3', 'V1', 0.8873239436619719, 0.05986976623535156]
['BV', 74, 'CV', 1, 'git', 'stat', 'V1', 'V2', 0.9991727846137938, 3.317988395690918]
['UV', 76, 'CV', 7, 'as', 'dir', 'V0', 'V2', 0.9938805374484502, 3.4302618503570557]
