['BO', 34, 'CO', 78, 'cp', 'chcon', 'O2', 'O3', 0.9442231075697212, 0.2984297275543213]
['CO', 223, 'UO', 10, 'join', 'objcopy', 'O2', 'O1', 0.9787416423795645, 2.109308958053589]
['CO', 278, 'BO', 62, 'b2sum', 'bash', 'O2', 'O1', 0.9796662190677153, 2.7708752155303955]
['UO', 54, 'CO', 403, 'addr2line', 'comm', 'O3', 'O0', 0.9926247288503254, 1.1539087295532227]
['UO', 47, 'CO', 25, 'as', 'chgrp', 'O3', 'O3', 0.994481671265274, 2.708994150161743]
['CO', 124, 'BO', 3, 'mkfifo', 'openssl', 'O1', 'O1', 0.9932938415111211, 2.5232200622558594]
['CO', 390, 'BO', 56, 'chcon', 'libvlc.so.12.0.0', 'O0', 'O3', 0.9925465838509316, 1.354860782623291]
['CO', 390, 'UO', 71, 'chcon', 'c++filt', 'O0', 'O0', 0.9812805208898535, 4.134056806564331]
['BO', 43, 'CO', 19, 'diff', 'dd', 'O1', 'O3', 0.9584487534626038, 0.37811708450317383]
['BO', 9, 'CO', 155, 'git', 'realpath', 'O0', 'O1', 0.998531254049851, 5.249274253845215]
['CO', 311, 'UO', 73, 'ln', 'objcopy', 'O2', 'O0', 0.9870997466021654, 3.9258501529693604]
['BO', 42, 'CO', 34, 'cmp', 'tail', 'O1', 'O3', 0.9301423027166882, 0.12697505950927734]
['UO', 64, 'CO', 317, 'diff', 'basename', 'O3', 'O0', 0.9809523809523809, 0.20037174224853516]
['CO', 379, 'BO', 58, 'nohup', 'svn', 'O0', 'O1', 0.9820773930753565, 0.7514619827270508]
['CO', 338, 'UO', 20, 'kill', 'diff', 'O0', 'O1', 0.9247219846022241, 0.24285554885864258]
['CO', 200, 'BO', 53, 'fold', 'bash', 'O1', 'O0', 0.9878658686562269, 2.898158073425293]
['BO', 50, 'CO', 358, 'perl', 'whoami', 'O2', 'O0', 0.9977501323451562, 2.88155460357666]
['UO', 67, 'CO', 357, 'strip', 'split', 'O0', 'O0', 0.9986146386515816, 3.2057950496673584]
['UO', 13, 'CO', 108, 'addr2line', 'test', 'O1', 'O1', 0.9913241065895476, 1.1909503936767578]
['BO', 64, 'CO', 156, 'dot', 'sha256sum', 'O0', 'O1', 0.9762611275964391, 0.03960537910461426]
['CO', 111, 'UO', 59, 'fmt', 'locate', 'O1', 'O3', 0.9500462534690102, 0.250232458114624]
['UO', 55, 'CO', 2, 'ar', 'stat', 'O3', 'O3', 0.9937402190923318, 1.8682515621185303]
['CO', 189, 'UO', 27, '[', 'strip', 'O1', 'O2', 0.971588916169765, 1.5567028522491455]
['CO', 219, 'BO', 69, 'groups', 'cmp', 'O2', 'O3', 0.8891170431211499, 0.05776238441467285]
['BO', 82, 'CO', 213, 'cp', 'basename', 'O3', 'O2', 0.9742828882294757, 0.12622499465942383]
['CO', 192, 'BO', 83, 'shred', 'lua', 'O1', 'O2', 0.9515695067264573, 1.068467378616333]
['UO', 20, 'CO', 296, 'diff', 'shred', 'O1', 'O2', 0.9654359780047133, 0.28889036178588867]
['BO', 55, 'CO', 131, 'make', 'wc', 'O1', 'O1', 0.981029810298103, 0.5572490692138672]
['CO', 207, 'UO', 69, 'ln', 'as', 'O1', 'O0', 0.9848967336912019, 5.490269660949707]
['CO', 227, 'BO', 73, 'dd', 'cluster', 'O2', 'O1', 0.9563262684649968, 0.46811461448669434]
['CO', 353, 'UO', 84, 'echo', 'sdiff', 'O0', 'O0', 0.9126506024096386, 0.10697388648986816]
['BO', 63, 'CO', 313, 'cluster', 'touch', 'O0', 'O0', 0.9779917469050894, 0.7794094085693359]
['BO', 58, 'CO', 299, 'svn', 'comm', 'O1', 'O2', 0.9934020618556701, 0.5827727317810059]
['UO', 76, 'CO', 253, 'addr2line', 'split', 'O0', 'O2', 0.9966391261728049, 2.1300034523010254]
['UO', 17, 'CO', 105, 'objdump', 'touch', 'O1', 'O1', 0.9948427024239299, 2.579272747039795]
['CO', 32, 'UO', 68, 'expr', 'readelf', 'O3', 'O0', 0.9822289921299823, 1.1437103748321533]
['CO', 187, 'BO', 29, 'csplit', 'libvlc.so.12.0.0', 'O1', 'O2', 0.978743961352657, 0.7728068828582764]
['UO', 32, 'CO', 291, 'strings', 'csplit', 'O2', 'O2', 0.9940400170285227, 1.2549257278442383]
