['BO', 72, 'CO', 287, 'make', 'link', 'O2', 'O2', 0.9871027176416398, 0.3186819553375244]
['CO', 355, 'BO', 26, 'chroot', 'gvmap', 'O0', 'O3', 0.9503688799463448, 0.3806607723236084]
['UO', 68, 'CO', 332, 'readelf', 'mkfifo', 'O0', 'O0', 0.9938080495356038, 1.8386256694793701]
['CO', 179, 'BO', 8, 'mv', 'cp', 'O1', 'O0', 0.942649066909422, 0.9191901683807373]
['UO', 45, 'CO', 363, 'strip', 'realpath', 'O3', 'O0', 0.9908851884312007, 1.5880286693572998]
['BO', 57, 'CO', 74, 'libvlccore.so.9.0.0', 'unexpand', 'O3', 'O3', 0.9986772486772487, 2.4097959995269775]
['CO', 169, 'UO', 31, 'false', 'c++filt', 'O1', 'O2', 0.9769452449567724, 0.8312108516693115]
['CO', 124, 'BO', 51, 'mkfifo', 'lua', 'O1', 'O1', 0.9644042232277527, 0.6097531318664551]
['BO', 79, 'CO', 210, 'bash', 'stat', 'O3', 'O2', 0.9945742539599195, 4.026001930236816]
['UO', 55, 'CO', 278, 'ar', 'b2sum', 'O3', 'O2', 0.9930569736573412, 1.1406786441802979]
['BO', 26, 'CO', 10, 'gvmap', 'users', 'O3', 'O3', 0.9819569743233866, 0.2890505790710449]
['BO', 31, 'CO', 138, 'bash', 'tail', 'O2', 'O1', 0.9939030023094688, 3.7462594509124756]
['CO', 35, 'UO', 17, 'base32', 'objdump', 'O3', 'O1', 0.9839789888378201, 1.8293359279632568]
['BO', 60, 'CO', 64, 'openssl', 'tty', 'O0', 'O3', 0.9987927565392354, 2.2791128158569336]
['BO', 30, 'CO', 35, 'libvlccore.so.9.0.0', 'base32', 'O2', 'O3', 0.9992374416166238, 2.371209144592285]
['UO', 6, 'CO', 146, 'as', 'sum', 'O1', 'O1', 0.996127533238673, 1.7510995864868164]
['CO', 126, 'UO', 60, 'pwd', 'xargs', 'O1', 'O3', 0.9728997289972899, 0.14853405952453613]
['CO', 141, 'BO', 46, 'truncate', 'ruby', 'O1', 'O3', 0.9926307529596398, 5.75728702545166]
['CO', 339, 'UO', 21, 'wc', 'sdiff', 'O0', 'O1', 0.9159891598915989, 0.13672661781311035]
['UO', 65, 'CO', 349, 'sdiff', 'truncate', 'O3', 'O0', 0.9329268292682926, 0.10608410835266113]
['CO', 199, 'UO', 68, 'sha224sum', 'readelf', 'O1', 'O0', 0.9802955665024631, 0.926175594329834]
['CO', 53, 'BO', 4, 'chmod', 'libgeany.so.0.0.0', 'O3', 'O2', 0.9914243803362546, 12.73280930519104]
['CO', 273, 'BO', 62, 'false', 'bash', 'O2', 'O1', 0.9908658050723933, 1.5334315299987793]
['CO', 16, 'UO', 13, 'dirname', 'addr2line', 'O3', 'O1', 0.9786387434554974, 0.9619050025939941]
['CO', 22, 'BO', 74, 'pwd', 'dot', 'O3', 'O1', 1.0, 0.033606767654418945]
