['CO', 320, 'UO', 30, 'dir', 'ranlib', 'O0', 'O2', 0.9631944444444445, 4.624598503112793]
['CO', 79, 'BO', 82, 'link', 'cp', 'O3', 'O3', 0.8632958801498127, 0.1647500991821289]
['BO', 37, 'CO', 117, 'gvmap', 'printenv', 'O2', 'O1', 0.97060984570169, 0.24546146392822266]
['UO', 4, 'CO', 339, 'strip', 'wc', 'O1', 'O0', 0.9922033898305085, 1.8013954162597656]
['BO', 19, 'UO', 79, 'libvlccore.so.9.0.0', 'size', 'O1', 'O0', 0.9877474081055608, 58.20984745025635]
['UO', 33, 'BO', 70, 'objcopy', 'diff', 'O2', 'O3', 0.9892353965489947, 3.7889974117279053]
['BO', 13, 'CO', 361, 'ruby', 'nice', 'O1', 'O0', 0.9993862729721437, 6.919171094894409]
['CO', 197, 'UO', 50, 'nl', 'strings', 'O1', 'O3', 0.9736379613356766, 1.1038553714752197]
['BO', 45, 'CO', 140, 'diff', 'pinky', 'O2', 'O1', 0.9721496953872933, 0.22159767150878906]
['BO', 74, 'UO', 37, 'dot', 'ar', 'O1', 'O2', 0.9911523067200337, 0.46385693550109863]
['CO', 50, 'UO', 51, 'dircolors', 'objcopy', 'O3', 'O3', 0.9773089877681262, 1.355196475982666]
['CO', 291, 'UO', 53, 'csplit', 'gprof', 'O2', 'O3', 0.9729622266401591, 1.4394443035125732]
['CO', 260, 'UO', 63, 'sha256sum', 'cmp', 'O2', 'O3', 0.9193857965451055, 0.06699037551879883]
['CO', 266, 'BO', 57, 'df', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9892949427833149, 5.524503469467163]
['UO', 72, 'CO', 329, 'strings', 'stdbuf', 'O0', 'O0', 0.9983117613956106, 1.8555707931518555]
['UO', 45, 'CO', 198, 'strip', 'rm', 'O3', 'O1', 0.9890784982935154, 2.2120580673217773]
['BO', 26, 'CO', 367, 'gvmap', 'cp', 'O3', 'O0', 0.9530864197530864, 1.3356032371520996]
['UO', 32, 'CO', 76, 'strings', 'md5sum', 'O2', 'O3', 0.9944170066566459, 1.1300733089447021]
['CO', 151, 'BO', 82, 'numfmt', 'cp', 'O1', 'O3', 0.9186851211072664, 0.24433231353759766]
['BO', 37, 'CO', 141, 'gvmap', 'truncate', 'O2', 'O1', 0.978448275862069, 0.287106990814209]
['CO', 97, 'UO', 64, 'uniq', 'diff', 'O3', 'O3', 0.9092331768388107, 0.26586198806762695]
['CO', 329, 'BO', 70, 'stdbuf', 'diff', 'O0', 'O3', 0.9072416598860863, 0.2577502727508545]
['BO', 24, 'UO', 31, 'cluster', 'c++filt', 'O3', 'O2', 0.9428149787862018, 3.790989875793457]
['CO', 195, 'BO', 17, 'comm', 'codeblocks', 'O1', 'O2', 0.9932994168010919, 5.165676593780518]
['UO', 85, 'BO', 24, 'locate', 'cluster', 'O0', 'O3', 0.939658941845212, 1.1064281463623047]
['CO', 120, 'UO', 61, 'dirname', 'find', 'O1', 'O3', 0.9738621000450653, 0.44374561309814453]
['CO', 243, 'BO', 41, 'base32', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9808877153275494, 2.0644359588623047]
['CO', 271, 'BO', 36, 'logname', 'cluster', 'O2', 'O2', 0.9665071770334929, 0.20282673835754395]
['CO', 367, 'BO', 7, 'cp', 'sort', 'O0', 'O0', 0.9569986836331724, 1.0667140483856201]
['CO', 173, 'BO', 33, 'who', 'sort', 'O1', 'O2', 0.9060402684563759, 0.22136473655700684]
['CO', 322, 'UO', 60, 'users', 'xargs', 'O0', 'O3', 0.9543010752688172, 0.1670825481414795]
['UO', 7, 'CO', 341, 'ranlib', 'nproc', 'O1', 'O0', 0.9917598587404356, 1.1986303329467773]
['CO', 273, 'BO', 73, 'false', 'cluster', 'O2', 'O1', 0.959087332808812, 0.19054722785949707]
['UO', 67, 'CO', 102, 'strip', 'mknod', 'O0', 'O3', 0.9978713339640491, 1.8794703483581543]
['BO', 20, 'UO', 46, 'sort', 'readelf', 'O1', 'O3', 0.9694702184974558, 1.6839821338653564]
['UO', 73, 'BO', 59, 'objcopy', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9732876712328767, 208.57539796829224]
['UO', 73, 'CO', 295, 'objcopy', 'id', 'O0', 'O2', 0.9976283647575003, 1.819103479385376]
['UO', 51, 'CO', 263, 'objcopy', 'cp', 'O3', 'O2', 0.9882468168462292, 3.147455930709839]
['CO', 285, 'BO', 42, 'env', 'cmp', 'O2', 'O1', 0.8987341772151899, 0.05596566200256348]
['UO', 75, 'BO', 47, 'gprof', 'libvlc.so.12.0.0', 'O0', 'O0', 0.9917175239755885, 11.465362787246704]
['BO', 26, 'CO', 50, 'gvmap', 'dircolors', 'O3', 'O3', 0.9795221843003413, 0.3199582099914551]
['CO', 49, 'UO', 58, 'nice', 'objdump', 'O3', 'O3', 0.9859970378349266, 1.498722791671753]
['UO', 87, 'BO', 0, 'find', 'codeblocks', 'O0', 'O1', 0.9765528367840818, 33.45982551574707]
['CO', 413, 'BO', 28, 'rmdir', 'ruby', 'O0', 'O0', 0.9923363852153272, 6.3394927978515625]
['UO', 55, 'CO', 288, 'ar', 'uname', 'O3', 'O2', 0.9949780288763339, 0.7348620891571045]
['BO', 28, 'CO', 301, 'ruby', 'nl', 'O0', 'O2', 0.9995246825558498, 5.878773927688599]
['UO', 65, 'CO', 270, 'sdiff', 'printf', 'O3', 'O2', 0.9314641744548287, 0.09221529960632324]
['CO', 160, 'BO', 32, 'cut', 'ruby', 'O1', 'O2', 0.9910439624625209, 6.508119106292725]
['UO', 64, 'CO', 116, 'diff', 'ptx', 'O3', 'O1', 0.9570688378978535, 0.32514357566833496]
['BO', 32, 'CO', 173, 'ruby', 'who', 'O2', 'O1', 0.9989888383308054, 5.724385738372803]
['UO', 14, 'BO', 70, 'ar', 'diff', 'O1', 'O3', 0.9896031883555709, 3.6316518783569336]
['BO', 34, 'CO', 290, 'cp', 'shuf', 'O2', 'O2', 0.9553969669937555, 0.22545933723449707]
['UO', 23, 'CO', 186, 'cmp', 'shuf', 'O2', 'O1', 0.8826979472140762, 0.11493062973022461]
['UO', 65, 'CO', 140, 'sdiff', 'pinky', 'O3', 'O1', 0.93993993993994, 0.10704231262207031]
['CO', 301, 'BO', 35, 'nl', 'make', 'O2', 'O3', 0.966726618705036, 0.4295217990875244]
['UO', 77, 'CO', 112, 'ar', 'dir', 'O0', 'O1', 0.9856837875172674, 5.063335180282593]
['CO', 292, 'BO', 11, 'vdir', 'ssh', 'O2', 'O1', 0.9583219084178777, 4.290609359741211]
['UO', 28, 'CO', 148, 'readelf', 'seq', 'O2', 'O1', 0.9817916970138383, 0.5999960899353027]
['BO', 47, 'CO', 48, 'libvlc.so.12.0.0', 'ls', 'O0', 'O3', 0.9880028228652082, 1.7505295276641846]
['UO', 84, 'CO', 1, 'sdiff', 'touch', 'O0', 'O3', 0.9292035398230089, 0.1853644847869873]
['BO', 23, 'UO', 47, 'git', 'as', 'O2', 'O3', 0.9944622364558313, 111.76815485954285]
