['CV', 156, 'BV', 40, 'csplit', 'lua', 'V3', 'V2', 0.9578005115089514, 0.9010238647460938]
['CV', 58, 'UV', 76, 'readlink', 'as', 'V2', 'V0', 0.977017937219731, 1.4476888179779053]
['BV', 69, 'CV', 237, 'gvmap', 'mv', 'V0', 'V0', 0.9591836734693877, 0.5019967555999756]
['CV', 159, 'UV', 76, 'id', 'as', 'V3', 'V0', 0.980777267028834, 1.7435939311981201]
['BV', 76, 'CV', 238, 'diff', 'md5sum', 'V2', 'V0', 0.9908508691674291, 0.14566540718078613]
['UV', 17, 'BV', 0, 'addr2line', 'bash', 'V2', 'V2', 0.967, 29.489793062210083]
['UV', 58, 'CV', 142, 'objcopy', 'nohup', 'V1', 'V3', 0.9951511233230969, 1.3371012210845947]
['CV', 89, 'UV', 12, 'unlink', 'c++filt', 'V3', 'V2', 0.9758516601983613, 0.9508113861083984]
['BV', 61, 'CV', 124, 'cmp', 'seq', 'V0', 'V3', 0.9, 0.0446164608001709]
['BV', 82, 'CV', 153, 'gvmap', 'link', 'V1', 'V3', 0.9790648988136776, 0.26746320724487305]
['CV', 131, 'BV', 51, 'true', 'cp', 'V3', 'V0', 0.8854489164086687, 0.0914769172668457]
['CV', 302, 'UV', 9, 'nice', 'readelf', 'V1', 'V2', 0.9739336492890995, 0.21177339553833008]
['UV', 35, 'CV', 171, 'size', 'rmdir', 'V3', 'V3', 0.9961472602739726, 1.0762701034545898]
['CV', 60, 'UV', 19, 'hostid', 'elfedit', 'V2', 'V2', 0.9771689497716896, 0.060601234436035156]
['BV', 63, 'CV', 75, 'ruby', 'tr', 'V0', 'V2', 0.998915499322187, 4.646075248718262]
['BV', 59, 'CV', 302, 'make', 'nice', 'V1', 'V1', 0.9940209267563528, 0.271090030670166]
['BV', 25, 'CV', 219, 'git', 'cp', 'V3', 'V0', 0.9985132121375955, 9.541426420211792]
['CV', 189, 'BV', 52, 'uptime', 'libSDL2-2.0.so', 'V0', 'V2', 0.9859594383775351, 1.7237882614135742]
['UV', 22, 'CV', 218, 'nm', 'true', 'V3', 'V0', 0.9969465648854962, 0.5048098564147949]
['UV', 19, 'BV', 40, 'elfedit', 'lua', 'V2', 'V2', 0.9597315436241611, 0.5971884727478027]
['UV', 25, 'BV', 53, 'as', 'ssh', 'V3', 'V2', 0.9815695600475625, 77.26466608047485]
['UV', 85, 'BV', 74, 'elfedit', 'git', 'V0', 'V1', 0.9895709639114049, 3.2811479568481445]
['CV', 184, 'UV', 85, 'ptx', 'elfedit', 'V0', 'V0', 0.9848484848484849, 0.14422607421875]
['CV', 274, 'BV', 38, 'join', 'ruby', 'V1', 'V2', 1.0, 0.012789249420166016]
['CV', 79, 'UV', 5, 'fold', 'diff', 'V2', 'V2', 0.9084380610412927, 0.16547274589538574]
['BV', 52, 'CV', 33, 'libSDL2-2.0.so', 'sync', 'V2', 'V2', 0.9966181061394381, 1.055546760559082]
['BV', 14, 'CV', 122, 'openssl', 'sum', 'V3', 'V3', 0.9978523489932886, 2.3004050254821777]
['BV', 46, 'CV', 239, 'cluster', 'env', 'V3', 'V0', 0.9919871794871795, 0.15532398223876953]
['UV', 42, 'CV', 52, 'diff', 'logname', 'V3', 'V2', 0.9837251356238698, 0.14714598655700684]
['BV', 76, 'UV', 16, 'diff', 'gprof', 'V2', 'V2', 0.9593961478396669, 3.727665901184082]
['CV', 211, 'UV', 3, 'seq', 'diff3', 'V0', 'V2', 0.8817005545286507, 0.059857845306396484]
['BV', 45, 'CV', 245, 'svn', '[', 'V3', 'V0', 0.9971408148677627, 0.5018579959869385]
['BV', 80, 'CV', 96, 'cluster', 'users', 'V1', 'V3', 0.9812002892263196, 0.29074740409851074]
['UV', 86, 'CV', 322, 'size', 'ginstall', 'V0', 'V1', 0.9918511957484499, 2.009209156036377]
['BV', 5, 'CV', 334, 'libvlccore.so', 'shred', 'V0', 'V1', 0.9984342379958246, 2.083216428756714]
['CV', 343, 'BV', 28, 'sort', 'openssl', 'V1', 'V1', 0.9836541775392644, 6.504058599472046]
['CV', 55, 'UV', 22, 'nohup', 'nm', 'V2', 'V3', 0.9782330345710627, 0.9299731254577637]
['UV', 79, 'CV', 227, 'strings', 'tty', 'V0', 'V0', 0.997728821258233, 0.47666144371032715]
['CV', 14, 'BV', 73, 'dirname', 'geany', 'V2', 'V0', 0.9924581156063136, 3.9490957260131836]
['CV', 101, 'UV', 77, 'dirname', 'ranlib', 'V3', 'V0', 0.9804248229904207, 0.9980823993682861]
['CV', 81, 'UV', 10, 'sleep', 'as', 'V2', 'V2', 0.9841227125941873, 1.3337147235870361]
['CV', 292, 'BV', 51, 'sha1sum', 'cp', 'V1', 'V0', 0.8825448613376835, 0.07878279685974121]
['UV', 18, 'CV', 233, 'ar', 'head', 'V2', 'V0', 0.9971751412429378, 0.8699097633361816]
['BV', 4, 'UV', 87, 'geany', 'objdump', 'V3', 'V0', 0.9956141808153637, 119.82529020309448]
['UV', 42, 'CV', 157, 'diff', 'vdir', 'V3', 'V3', 0.9450056116722784, 0.6445167064666748]
['BV', 80, 'UV', 71, 'cluster', 'xargs', 'V1', 'V0', 0.9836916234247591, 0.26998186111450195]
['BV', 16, 'UV', 35, 'libvlc.so', 'size', 'V3', 'V3', 0.963607342378292, 7.415198087692261]
