['CO', 247, 'UO', 78, 'paste', 'elfedit', 'O2', 'O0', 0.94831013916501, 0.08542561531066895]
['CO', 243, 'UO', 26, 'base32', 'nm', 'O2', 'O2', 0.9756410256410256, 0.9434535503387451]
['CO', 373, 'BO', 66, 'cksum', 'svn', 'O0', 'O2', 0.9787928221859706, 0.7499043941497803]
['CO', 263, 'UO', 7, 'cp', 'ranlib', 'O2', 'O1', 0.9601281594873621, 3.1749651432037354]
['BO', 10, 'UO', 4, 'openssl', 'strip', 'O3', 'O1', 0.9744502617801047, 43.38664746284485]
['BO', 24, 'CO', 270, 'cluster', 'printf', 'O3', 'O2', 0.9717261904761905, 0.2795429229736328]
['CO', 79, 'UO', 48, 'link', 'ranlib', 'O3', 'O3', 0.9760429574555969, 0.9803469181060791]
['BO', 60, 'CO', 364, 'openssl', 'sha256sum', 'O0', 'O0', 0.9972136530998109, 3.5195233821868896]
['UO', 71, 'CO', 89, 'c++filt', 'pathchk', 'O0', 'O3', 0.9977220956719818, 1.5209877490997314]
['CO', 290, 'UO', 5, 'shuf', 'readelf', 'O2', 'O1', 0.961512027491409, 0.7631020545959473]
['CO', 67, 'BO', 25, 'nohup', 'dot', 'O3', 'O3', 1.0, 0.0314793586730957]
['UO', 18, 'CO', 212, 'diff3', 'test', 'O1', 'O2', 0.9245283018867925, 0.09056282043457031]
['BO', 4, 'UO', 55, 'libgeany.so.0.0.0', 'ar', 'O2', 'O3', 0.997073361082206, 88.93379974365234]
['CO', 141, 'BO', 42, 'truncate', 'cmp', 'O1', 'O1', 0.8899803536345776, 0.06293749809265137]
['CO', 200, 'BO', 25, 'fold', 'dot', 'O1', 'O3', 0.9934426229508196, 0.032013893127441406]
['CO', 388, 'BO', 2, 'md5sum', 'perl', 'O0', 'O1', 0.986069083642592, 3.700338125228882]
['BO', 21, 'UO', 26, 'cp', 'nm', 'O1', 'O2', 0.9567033801747057, 3.0196480751037598]
['CO', 334, 'UO', 71, 'pwd', 'c++filt', 'O0', 'O0', 0.9894826606026151, 2.1186723709106445]
['BO', 34, 'CO', 252, 'cp', 'seq', 'O2', 'O2', 0.9545004945598418, 0.16194701194763184]
['BO', 3, 'UO', 58, 'openssl', 'objdump', 'O1', 'O3', 0.974769346639051, 55.89952778816223]
['BO', 79, 'CO', 365, 'bash', 'chmod', 'O3', 'O0', 0.9933688159846435, 4.3155176639556885]
['BO', 72, 'CO', 374, 'make', 'printf', 'O2', 'O0', 0.9844290657439446, 0.5722179412841797]
['CO', 48, 'BO', 13, 'ls', 'ruby', 'O3', 'O1', 0.9845075125208681, 19.977980375289917]
['CO', 379, 'BO', 48, 'nohup', 'libvlccore.so.9.0.0', 'O0', 'O0', 0.9936899469381901, 5.203098297119141]
['BO', 26, 'UO', 68, 'gvmap', 'readelf', 'O3', 'O0', 0.9476110645431685, 3.1633965969085693]
['UO', 70, 'CO', 366, 'ranlib', 'true', 'O0', 'O0', 0.9983689003669974, 1.337822675704956]
['CO', 122, 'BO', 27, 'uptime', 'perl', 'O1', 'O3', 0.9906554019457245, 3.6968796253204346]
['UO', 23, 'BO', 45, 'cmp', 'diff', 'O2', 'O2', 0.9070567986230637, 0.2098550796508789]
['BO', 40, 'CO', 19, 'lua', 'dd', 'O0', 'O3', 0.9899817850637522, 1.7044332027435303]
['CO', 187, 'BO', 31, 'csplit', 'bash', 'O1', 'O2', 0.979325758986776, 3.2838473320007324]
['UO', 69, 'BO', 67, 'as', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9786736303791959, 69.86905097961426]
['CO', 179, 'BO', 15, 'mv', 'diff', 'O1', 'O0', 0.9469469469469469, 0.836442232131958]
['CO', 33, 'UO', 17, 'chown', 'objdump', 'O3', 'O1', 0.9714249266488072, 3.082108974456787]
['CO', 388, 'BO', 81, 'md5sum', 'sort', 'O0', 'O3', 0.9189873417721519, 0.24680042266845703]
['BO', 39, 'CO', 52, 'codeblocks', 'sha256sum', 'O3', 'O3', 0.9982926829268293, 4.113868951797485]
['BO', 50, 'UO', 22, 'perl', 'diff3', 'O2', 'O2', 0.9980326578792051, 3.770899772644043]
['BO', 5, 'CO', 156, 'libgeany.so.0.0.0', 'sha256sum', 'O1', 'O1', 0.9993161094224924, 6.190447807312012]
['CO', 151, 'BO', 36, 'numfmt', 'cluster', 'O1', 'O2', 0.957416607523066, 0.35300564765930176]
['CO', 368, 'BO', 44, 'cut', 'cmp', 'O0', 'O2', 0.9201331114808652, 0.09098148345947266]
['UO', 42, 'CO', 37, 'xargs', 'truncate', 'O2', 'O3', 0.9837177747625508, 0.12857389450073242]
['CO', 404, 'UO', 27, 'sha512sum', 'strip', 'O0', 'O2', 0.9706550218340612, 1.758636236190796]
