['BO', 26, 'CO', 143, 'gvmap', 'paste', 'O3', 'O1', 0.9759377211606511, 0.2843513488769531]
['CO', 371, 'BO', 42, 'tsort', 'cmp', 'O0', 'O1', 0.9222614840989399, 0.08167695999145508]
['CO', 191, 'UO', 3, 'id', 'nm', 'O1', 'O1', 0.9674134419551935, 1.2072906494140625]
['CO', 149, 'UO', 79, 'split', 'size', 'O1', 'O0', 0.9875156054931336, 2.6999456882476807]
['UO', 60, 'CO', 289, 'xargs', 'cat', 'O3', 'O2', 0.9679767103347889, 0.11294841766357422]
['UO', 1, 'CO', 106, 'xargs', 'stat', 'O1', 'O1', 0.9563492063492064, 0.2778615951538086]
['BO', 45, 'CO', 108, 'diff', 'test', 'O2', 'O1', 0.9690455717970765, 0.21754002571105957]
['CO', 100, 'BO', 23, 'tac', 'git', 'O3', 'O2', 0.9915378637423365, 6.019067764282227]
['UO', 47, 'CO', 345, 'as', 'chown', 'O3', 'O0', 0.9921793534932221, 3.1240251064300537]
['CO', 69, 'UO', 32, 'who', 'strings', 'O3', 'O2', 0.9727311461440137, 1.3289244174957275]
['UO', 86, 'CO', 308, 'xargs', 'tac', 'O0', 'O2', 0.967020023557126, 0.17252731323242188]
['UO', 74, 'BO', 81, 'ld', 'sort', 'O0', 'O3', 0.9953375606117121, 6.759903907775879]
['UO', 79, 'BO', 27, 'size', 'perl', 'O0', 'O3', 0.9719428030132167, 81.243985414505]
['UO', 80, 'CO', 237, 'objdump', 'nproc', 'O0', 'O2', 0.9983111277913305, 1.8674228191375732]
['CO', 86, 'BO', 60, 'timeout', 'openssl', 'O3', 'O0', 0.9958150657632523, 4.249221324920654]
['BO', 1, 'CO', 146, 'ssh', 'sum', 'O2', 'O1', 0.9955849889624724, 1.551473617553711]
['BO', 33, 'CO', 138, 'sort', 'tail', 'O2', 'O1', 0.9218620116375728, 0.2897062301635742]
['BO', 28, 'CO', 167, 'ruby', 'logname', 'O0', 'O1', 0.998641073551894, 4.691455602645874]
['CO', 83, 'BO', 72, 'csplit', 'make', 'O3', 'O2', 0.9411032766486935, 0.6577749252319336]
['CO', 170, 'BO', 16, 'runcon', 'make', 'O1', 'O0', 0.9696074292950612, 0.43305230140686035]
['CO', 80, 'BO', 29, 'uname', 'libvlc.so.12.0.0', 'O3', 'O2', 0.9740529320186819, 0.46326732635498047]
['CO', 124, 'BO', 5, 'mkfifo', 'libgeany.so.0.0.0', 'O1', 'O1', 0.993831626242242, 6.637929201126099]
['BO', 9, 'CO', 109, 'git', 'basename', 'O0', 'O1', 0.9986987638256344, 3.6967196464538574]
['CO', 338, 'BO', 31, 'kill', 'bash', 'O0', 'O2', 0.9798796540052651, 2.458906412124634]
['BO', 52, 'CO', 358, 'svn', 'whoami', 'O3', 'O0', 0.9919775371038909, 0.5977540016174316]
['UO', 48, 'CO', 37, 'ranlib', 'truncate', 'O3', 'O3', 0.995476043594489, 0.9577131271362305]
['CO', 361, 'BO', 54, 'nice', 'lua', 'O0', 'O3', 0.9663492063492063, 0.6386864185333252]
['BO', 67, 'UO', 53, 'libSDL2-2.0.so.0.16.0', 'gprof', 'O1', 'O3', 0.9830185684811935, 28.40220880508423]
['CO', 72, 'UO', 47, 'head', 'as', 'O3', 'O3', 0.9787890992079473, 1.8453421592712402]
['CO', 151, 'BO', 51, 'numfmt', 'lua', 'O1', 'O1', 0.9509632224168126, 0.8632705211639404]
['CO', 215, 'UO', 18, 'fmt', 'diff3', 'O2', 'O1', 0.8729641693811074, 0.08520221710205078]
['CO', 245, 'UO', 4, 'truncate', 'strip', 'O2', 'O1', 0.9818688981868898, 1.0006680488586426]
['CO', 262, 'UO', 70, 'true', 'ranlib', 'O2', 'O0', 0.9945227988497878, 1.2514948844909668]
['BO', 71, 'CO', 311, 'libSDL2-2.0.so.0.16.0', 'ln', 'O0', 'O2', 0.9923347835094262, 4.433592081069946]
['CO', 292, 'UO', 35, 'vdir', 'gprof', 'O2', 'O2', 0.9563019140483929, 3.8561973571777344]
['BO', 70, 'CO', 345, 'diff', 'chown', 'O3', 'O0', 0.9700272479564033, 0.8093280792236328]
['UO', 13, 'CO', 178, 'addr2line', 'unexpand', 'O1', 'O1', 0.9929269814853339, 1.6060209274291992]
['BO', 22, 'CO', 106, 'perl', 'stat', 'O0', 'O1', 0.9959966869133076, 5.672515630722046]
['CO', 153, 'UO', 16, 'nice', 'size', 'O1', 'O1', 0.9681408509746384, 0.9904646873474121]
['CO', 21, 'BO', 36, 'mktemp', 'cluster', 'O3', 'O2', 0.9578651685393258, 0.3622138500213623]
['CO', 54, 'UO', 11, 'true', 'ld', 'O3', 'O1', 0.9858274280950396, 1.3611886501312256]
['CO', 78, 'UO', 33, 'chcon', 'objcopy', 'O3', 'O2', 0.9683619663208028, 2.1918795108795166]
['BO', 46, 'UO', 12, 'ruby', 'gprof', 'O3', 'O1', 0.9942358027232892, 99.06059122085571]
['UO', 80, 'CO', 267, 'objdump', 'tsort', 'O0', 'O2', 0.9979412315178738, 2.0457334518432617]
['UO', 64, 'CO', 20, 'diff', 'mkfifo', 'O3', 'O3', 0.9638865004299226, 0.17715167999267578]
['BO', 72, 'CO', 212, 'make', 'test', 'O2', 'O2', 0.9804183355585224, 0.43581056594848633]
['UO', 82, 'BO', 42, 'cmp', 'cmp', 'O0', 'O1', 0.9006410256410257, 0.0862572193145752]
['CO', 66, 'BO', 52, 'runcon', 'svn', 'O3', 'O3', 0.9911540008041817, 0.5722308158874512]
['BO', 35, 'CO', 392, 'make', 'uname', 'O3', 'O0', 0.9865470852017937, 0.43811988830566406]
['UO', 6, 'CO', 178, 'as', 'unexpand', 'O1', 'O1', 0.9961200206932229, 1.6320550441741943]
['BO', 67, 'CO', 387, 'libSDL2-2.0.so.0.16.0', 'mv', 'O1', 'O0', 0.9834530807750925, 9.191419839859009]
['CO', 74, 'BO', 43, 'unexpand', 'diff', 'O3', 'O1', 0.8762711864406779, 0.21087241172790527]
['BO', 18, 'CO', 398, 'libvlc.so.12.0.0', 'timeout', 'O1', 'O0', 0.9912875121006777, 0.7384135723114014]
['CO', 130, 'UO', 38, 'kill', 'elfedit', 'O1', 'O2', 0.9727626459143969, 0.08944416046142578]
['CO', 333, 'UO', 49, 'mktemp', 'c++filt', 'O0', 'O3', 0.970013037809648, 1.416353702545166]
['UO', 74, 'CO', 223, 'ld', 'join', 'O0', 'O2', 0.9972394755003451, 2.471006393432617]
['CO', 373, 'UO', 31, 'cksum', 'c++filt', 'O0', 'O2', 0.973292469352014, 1.0857503414154053]
['CO', 377, 'UO', 1, 'false', 'xargs', 'O0', 'O1', 0.9333333333333333, 0.13842248916625977]
['CO', 182, 'BO', 32, 'chcon', 'ruby', 'O1', 'O2', 0.9870275278946758, 10.308565855026245]
['CO', 268, 'BO', 31, 'base64', 'bash', 'O2', 'O2', 0.9873333963512619, 2.194408893585205]
['UO', 10, 'CO', 290, 'objcopy', 'shuf', 'O1', 'O2', 0.9922007460155985, 1.7230756282806396]
['CO', 361, 'BO', 67, 'nice', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9761817065684469, 2.533370018005371]
['CO', 376, 'UO', 3, 'tty', 'nm', 'O0', 'O1', 0.976519052523172, 1.8056011199951172]
['UO', 33, 'CO', 162, 'objcopy', 'df', 'O2', 'O1', 0.9912560955103413, 2.8592443466186523]
['UO', 40, 'CO', 286, 'objdump', 'chcon', 'O2', 'O2', 0.9944252720998141, 2.582975387573242]
['CO', 337, 'BO', 0, 'chgrp', 'codeblocks', 'O0', 'O1', 0.9910834249419812, 8.698468923568726]
['CO', 403, 'UO', 20, 'comm', 'diff', 'O0', 'O1', 0.8824517212426533, 0.24286675453186035]
['CO', 318, 'BO', 38, 'mkdir', 'acyclic', 'O0', 'O2', 0.9922580645161291, 0.09242463111877441]
['BO', 0, 'CO', 330, 'codeblocks', 'uptime', 'O1', 'O0', 0.9982686124165224, 5.265069961547852]
['CO', 77, 'UO', 24, 'env', 'diff', 'O3', 'O2', 0.8901682905225864, 0.1885533332824707]
['CO', 206, 'UO', 14, 'mknod', 'ar', 'O1', 'O1', 0.974374137591169, 1.1054880619049072]
['BO', 43, 'CO', 22, 'diff', 'pwd', 'O1', 'O3', 0.9762107051826678, 0.20376801490783691]
['BO', 70, 'CO', 120, 'diff', 'dirname', 'O3', 'O1', 0.9749776586237712, 0.16414523124694824]
['UO', 49, 'CO', 370, 'c++filt', 'df', 'O3', 'O0', 0.984172077922078, 2.4226009845733643]
['BO', 14, 'CO', 106, 'cmp', 'stat', 'O0', 'O1', 0.9036144578313253, 0.16680097579956055]
['CO', 90, 'UO', 37, 'tr', 'ar', 'O3', 'O2', 0.9675090252707581, 1.2415099143981934]
['BO', 40, 'CO', 407, 'lua', 'sha224sum', 'O0', 'O0', 0.9904329107868931, 1.2026708126068115]
['CO', 261, 'BO', 36, 'chmod', 'cluster', 'O2', 'O2', 0.9430508474576271, 0.3933999538421631]
['UO', 38, 'BO', 14, 'elfedit', 'cmp', 'O2', 'O0', 0.9709677419354839, 0.12916779518127441]
