['BO', 32, 'CO', 186, 'ruby', 'shuf', 'O2', 'O1', 0.998605407918184, 7.686340808868408]
['BO', 15, 'CO', 173, 'diff', 'who', 'O0', 'O1', 0.9703043801039347, 0.3132967948913574]
['UO', 44, 'CO', 145, 'nm', 'echo', 'O3', 'O1', 0.9939037666013499, 0.8586430549621582]
['UO', 53, 'CO', 246, 'gprof', 'sha1sum', 'O3', 'O2', 0.995530272247054, 1.0018270015716553]
['CO', 233, 'BO', 82, 'chgrp', 'cp', 'O2', 'O3', 0.9162717219589258, 0.2977182865142822]
['BO', 5, 'CO', 27, 'libgeany.so.0.0.0', 'wc', 'O1', 'O3', 0.999090702432371, 7.775373697280884]
['CO', 191, 'BO', 63, 'id', 'cluster', 'O1', 'O0', 0.9575328614762386, 0.47588253021240234]
['CO', 205, 'BO', 71, 'rmdir', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.9861746251196427, 2.8896501064300537]
['UO', 26, 'CO', 16, 'nm', 'dirname', 'O2', 'O3', 0.9953091684434968, 0.862922191619873]
['BO', 6, 'CO', 282, 'codeblocks', 'unexpand', 'O0', 'O2', 0.99853258128124, 5.0527024269104]
['CO', 400, 'BO', 6, 'shred', 'codeblocks', 'O0', 'O0', 0.9925711179561515, 15.683545351028442]
['BO', 30, 'CO', 24, 'libvlccore.so.9.0.0', 'tee', 'O2', 'O3', 0.9984777851774331, 2.5420923233032227]
['BO', 28, 'CO', 108, 'ruby', 'test', 'O0', 'O1', 0.9982386613826508, 6.259968519210815]
['CO', 170, 'UO', 3, 'runcon', 'nm', 'O1', 'O1', 0.9701678060907396, 0.8950598239898682]
['UO', 35, 'CO', 135, 'gprof', 'date', 'O2', 'O1', 0.9911521446432006, 1.7769532203674316]
['CO', 395, 'UO', 66, 'csplit', 'nm', 'O0', 'O0', 0.9835446452657135, 3.304136037826538]
['CO', 324, 'BO', 10, 'ptx', 'openssl', 'O0', 'O3', 0.98945896525761, 5.904972076416016]
['CO', 70, 'BO', 22, 'b2sum', 'perl', 'O3', 'O0', 0.9938697318007663, 4.680634021759033]
['CO', 339, 'BO', 25, 'wc', 'dot', 'O0', 'O3', 0.9905882352941177, 0.04870343208312988]
['UO', 4, 'CO', 343, 'strip', 'date', 'O1', 'O0', 0.9910655195234944, 2.4255259037017822]
['CO', 352, 'BO', 16, 'sync', 'make', 'O0', 'O0', 0.966832504145937, 0.5423460006713867]
['BO', 52, 'CO', 47, 'svn', 'numfmt', 'O3', 'O3', 0.9938884644766998, 0.789900541305542]
['UO', 7, 'CO', 7, 'ranlib', 'fmt', 'O1', 'O3', 0.9949327616449035, 1.1728527545928955]
['UO', 20, 'BO', 8, 'diff', 'cp', 'O1', 'O0', 0.9423791821561338, 0.9586968421936035]
['BO', 32, 'CO', 293, 'ruby', '[', 'O2', 'O2', 0.9992990108263884, 4.93304967880249]
['BO', 4, 'CO', 324, 'libgeany.so.0.0.0', 'ptx', 'O2', 'O0', 0.9993248312078019, 11.664977312088013]
['BO', 60, 'UO', 2, 'openssl', 'find', 'O0', 'O1', 0.9801129181764557, 21.373385667800903]
['CO', 405, 'UO', 45, 'nl', 'strip', 'O0', 'O3', 0.9763083451202264, 1.498194694519043]
['CO', 260, 'BO', 61, 'sha256sum', 'git', 'O2', 'O1', 0.9913359902963091, 4.214975833892822]
['UO', 28, 'CO', 11, 'readelf', 'groups', 'O2', 'O3', 0.9934138309549945, 0.5390815734863281]
['BO', 45, 'CO', 36, 'diff', 'pinky', 'O2', 'O3', 0.9797809604043808, 0.230086088180542]
['CO', 346, 'BO', 7, 'tail', 'sort', 'O0', 'O0', 0.9331713244228432, 0.550072193145752]
['CO', 100, 'BO', 48, 'tac', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9962865100335643, 5.706658363342285]
['BO', 10, 'CO', 43, 'openssl', 'chroot', 'O3', 'O3', 0.9982376913757022, 2.7944881916046143]
['CO', 10, 'BO', 19, 'users', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9924963924963925, 2.8951609134674072]
['CO', 359, 'BO', 56, 'numfmt', 'libvlc.so.12.0.0', 'O0', 'O3', 0.9865591397849462, 0.9604098796844482]
['BO', 3, 'UO', 44, 'openssl', 'nm', 'O1', 'O3', 0.982189069873649, 35.1728150844574]
['BO', 1, 'UO', 2, 'ssh', 'find', 'O2', 'O1', 0.9751066036648611, 10.478816747665405]
['UO', 65, 'BO', 36, 'sdiff', 'cluster', 'O3', 'O2', 0.931266846361186, 0.4173007011413574]
['CO', 235, 'BO', 20, 'wc', 'sort', 'O2', 'O1', 0.909433962264151, 0.208756685256958]
['UO', 85, 'CO', 347, 'locate', 'base32', 'O0', 'O0', 0.9892761394101877, 0.38881754875183105]
['BO', 74, 'CO', 274, 'dot', 'runcon', 'O1', 'O2', 0.9912280701754386, 0.02408289909362793]
['UO', 7, 'CO', 135, 'ranlib', 'date', 'O1', 'O1', 0.9901440485216073, 1.8664660453796387]
['BO', 74, 'CO', 116, 'dot', 'ptx', 'O1', 'O1', 0.988, 0.05549979209899902]
