['CV', 162, 'BV', 22, 'tr', 'cmp', 'V3', 'V3', 0.9195979899497487, 0.08020544052124023]
['UV', 11, 'CV', 108, 'ranlib', 'chgrp', 'V2', 'V3', 0.9931232091690544, 1.842909812927246]
['CV', 198, 'UV', 31, 'factor', 'gprof', 'V0', 'V3', 0.9825345247766044, 0.7648625373840332]
['BV', 38, 'CV', 102, 'ruby', 'uptime', 'V2', 'V3', 0.9943661971830986, 0.01859736442565918]
['CV', 34, 'BV', 20, 'echo', 'sort', 'V2', 'V1', 0.8778877887788779, 0.06991791725158691]
['CV', 341, 'UV', 39, 'uniq', 'find', 'V1', 'V3', 0.968623935454953, 0.4369792938232422]
['UV', 19, 'BV', 20, 'elfedit', 'sort', 'V2', 'V1', 0.9652677279305355, 0.1256115436553955]
['CV', 25, 'UV', 52, 'expand', 'strip', 'V2', 'V1', 0.9843188500490035, 1.0921711921691895]
['UV', 29, 'CV', 153, 'objcopy', 'link', 'V3', 'V3', 0.9964444444444445, 0.9842934608459473]
['UV', 45, 'CV', 180, 'cmp', 'fmt', 'V1', 'V0', 0.9641255605381166, 0.044100284576416016]
['CV', 166, 'UV', 31, 'fold', 'gprof', 'V3', 'V3', 0.9709914563878402, 2.0845513343811035]
['CV', 162, 'UV', 85, 'tr', 'elfedit', 'V3', 'V0', 0.9788732394366197, 0.1759943962097168]
['BV', 83, 'CV', 248, 'git', 'pathchk', 'V2', 'V0', 0.9994762569832403, 2.7694175243377686]
['BV', 22, 'CV', 260, 'cmp', 'ln', 'V3', 'V0', 0.9281437125748503, 0.06009817123413086]
['CV', 88, 'BV', 11, 'stat', 'bash', 'V3', 'V1', 0.9765346742090928, 3.7793703079223633]
['CV', 70, 'UV', 86, 'vdir', 'size', 'V2', 'V0', 0.972356599861783, 2.6879000663757324]
['BV', 20, 'CV', 72, 'sort', 'id', 'V1', 'V2', 0.9512195121951219, 0.08261847496032715]
['BV', 66, 'UV', 28, 'lua', 'strings', 'V1', 'V3', 0.9690572585309427, 8.305819272994995]
['CV', 121, 'BV', 33, 'echo', 'openssl', 'V3', 'V0', 0.9908474041344485, 3.406348943710327]
['BV', 13, 'CV', 223, 'cp', 'tsort', 'V2', 'V0', 0.974025974025974, 0.09172511100769043]
['CV', 287, 'UV', 55, 'date', 'ranlib', 'V1', 'V1', 0.9773988897700238, 1.1376497745513916]
['CV', 22, 'UV', 17, 'kill', 'addr2line', 'V2', 'V2', 0.9747377435238707, 0.8420171737670898]
['BV', 11, 'CV', 235, 'bash', 'ginstall', 'V1', 'V0', 0.9951665440790165, 3.371344804763794]
['CV', 261, 'BV', 44, 'touch', 'make', 'V1', 'V0', 0.9680577022153529, 0.39650988578796387]
['UV', 80, 'CV', 160, 'objcopy', 'shred', 'V0', 'V3', 0.9947925142392189, 1.9919402599334717]
['CV', 72, 'UV', 9, 'id', 'readelf', 'V2', 'V2', 0.9727891156462585, 0.30823612213134766]
