['UO', 76, 'CO', 404, 'addr2line', 'sha512sum', 'O0', 'O0', 0.9985982618446874, 1.9248003959655762]
['CO', 219, 'UO', 8, 'groups', 'c++filt', 'O2', 'O1', 0.9795352803240247, 0.9298040866851807]
['CO', 61, 'UO', 17, 'cksum', 'objdump', 'O3', 'O1', 0.9841834717279557, 1.6235554218292236]
['CO', 243, 'UO', 36, 'base32', 'addr2line', 'O2', 'O2', 0.9751850239442752, 0.9451639652252197]
['CO', 213, 'UO', 32, 'basename', 'strings', 'O2', 'O2', 0.9823672029975755, 0.8224546909332275]
['CO', 205, 'BO', 23, 'rmdir', 'git', 'O1', 'O2', 0.9912512451816883, 4.7083306312561035]
['CO', 193, 'UO', 13, 'pathchk', 'addr2line', 'O1', 'O1', 0.9685006299874003, 0.9388370513916016]
['CO', 290, 'UO', 64, 'shuf', 'diff', 'O2', 'O3', 0.9105180533751962, 0.26808667182922363]
['BO', 6, 'UO', 80, 'codeblocks', 'objdump', 'O0', 'O0', 0.9933871923640787, 188.45216822624207]
['CO', 164, 'BO', 31, 'base64', 'bash', 'O1', 'O2', 0.9845588927596272, 2.452834129333496]
['CO', 369, 'UO', 22, 'od', 'diff3', 'O0', 'O2', 0.9163498098859315, 0.1417393684387207]
['UO', 35, 'CO', 295, 'gprof', 'id', 'O2', 'O2', 0.9968082984240973, 1.0463266372680664]
['BO', 52, 'CO', 292, 'svn', 'vdir', 'O3', 'O2', 0.98749588680487, 1.7337534427642822]
['CO', 251, 'BO', 53, 'chroot', 'bash', 'O2', 'O0', 0.9909880386695068, 2.98856520652771]
['UO', 58, 'CO', 117, 'objdump', 'printenv', 'O3', 'O1', 0.9953960731211916, 1.5824265480041504]
['CO', 132, 'UO', 66, 'factor', 'nm', 'O1', 'O0', 0.9855467684755931, 4.396341323852539]
['UO', 8, 'CO', 261, 'c++filt', 'chmod', 'O1', 'O2', 0.9885128205128205, 1.4701054096221924]
['UO', 11, 'CO', 143, 'ld', 'paste', 'O1', 'O1', 0.9952908587257617, 1.5024738311767578]
['CO', 372, 'BO', 19, 'base64', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.989460572961579, 3.605276346206665]
['BO', 12, 'UO', 50, 'libgeany.so.0.0.0', 'strings', 'O0', 'O3', 0.9901952840126408, 72.93485713005066]
['CO', 141, 'BO', 74, 'truncate', 'dot', 'O1', 'O1', 0.9931972789115646, 0.031401634216308594]
['UO', 1, 'CO', 162, 'xargs', 'df', 'O1', 'O1', 0.9456928838951311, 0.30623793601989746]
['UO', 36, 'CO', 309, 'addr2line', 'rmdir', 'O2', 'O2', 0.9943367458070137, 0.8337604999542236]
['CO', 9, 'BO', 5, 'du', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9870163787635713, 19.730393886566162]
['CO', 40, 'UO', 29, 'sync', 'as', 'O3', 'O2', 0.9806918744971842, 1.486860752105713]
['CO', 221, 'BO', 5, 'printenv', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9954217694860936, 5.056195020675659]
['CO', 137, 'UO', 16, 'chown', 'size', 'O1', 'O1', 0.9554760484993043, 1.927445411682129]
['UO', 79, 'CO', 76, 'size', 'md5sum', 'O0', 'O3', 0.9980381165919282, 1.7521681785583496]
['CO', 289, 'UO', 63, 'cat', 'cmp', 'O2', 'O3', 0.8870292887029289, 0.05453372001647949]
['UO', 69, 'CO', 299, 'as', 'comm', 'O0', 'O2', 0.997196261682243, 2.130509853363037]
['BO', 46, 'CO', 154, 'ruby', 'dircolors', 'O3', 'O1', 0.998364454136568, 5.744924545288086]
['BO', 79, 'CO', 224, 'bash', 'dirname', 'O3', 'O2', 0.9971225609207806, 1.531085729598999]
['UO', 52, 'CO', 79, 'ld', 'link', 'O3', 'O3', 0.9980278912522891, 1.193643569946289]
['CO', 194, 'UO', 59, 'tr', 'locate', 'O1', 'O3', 0.9585958595859586, 0.25600194931030273]
['CO', 343, 'UO', 35, 'date', 'gprof', 'O0', 'O2', 0.9582384206529992, 2.128091335296631]
['UO', 31, 'CO', 295, 'c++filt', 'id', 'O2', 'O2', 0.9969345303262536, 0.9713535308837891]
['CO', 47, 'UO', 15, 'numfmt', 'elfedit', 'O3', 'O1', 0.9621451104100947, 0.10846662521362305]
