['BO', 81, 'UO', 22, 'sort', 'diff3', 'O3', 'O2', 0.9787755102040816, 0.25557494163513184]
['BO', 27, 'CO', 24, 'perl', 'tee', 'O3', 'O3', 0.9983355739069202, 3.9661519527435303]
['BO', 69, 'CO', 250, 'cmp', 'sum', 'O3', 'O2', 0.9344894026974951, 0.06757640838623047]
['UO', 9, 'CO', 397, 'strings', '[', 'O1', 'O0', 0.9897225077081192, 1.4381136894226074]
['CO', 318, 'BO', 82, 'mkdir', 'cp', 'O0', 'O3', 0.9384413883431565, 0.5053088665008545]
['CO', 187, 'UO', 31, 'csplit', 'c++filt', 'O1', 'O2', 0.9603749467405198, 1.5552115440368652]
['UO', 82, 'CO', 342, 'cmp', 'expand', 'O0', 'O0', 0.935064935064935, 0.09884309768676758]
['UO', 64, 'CO', 331, 'diff', 'dd', 'O3', 'O0', 0.9631147540983607, 0.4409308433532715]
['CO', 136, 'UO', 67, 'expr', 'strip', 'O1', 'O0', 0.9903879967178525, 2.9828741550445557]
['UO', 84, 'CO', 24, 'sdiff', 'tee', 'O0', 'O3', 0.9355704697986578, 0.1230611801147461]
['BO', 43, 'CO', 239, 'diff', 'date', 'O1', 'O2', 0.963020030816641, 0.30784130096435547]
['UO', 30, 'CO', 85, 'ranlib', '[', 'O2', 'O3', 0.9939855653568564, 1.226109266281128]
['UO', 15, 'CO', 397, 'elfedit', '[', 'O1', 'O0', 0.9580645161290322, 0.12466621398925781]
['CO', 106, 'UO', 30, 'stat', 'ranlib', 'O1', 'O2', 0.9613003095975232, 2.1902828216552734]
['BO', 1, 'CO', 162, 'ssh', 'df', 'O2', 'O1', 0.9918090665160288, 3.6114728450775146]
['UO', 43, 'CO', 59, 'find', 'tsort', 'O2', 'O3', 0.9888650963597431, 0.5390784740447998]
['UO', 17, 'CO', 354, 'objdump', 'sum', 'O1', 'O0', 0.9968639749117993, 2.0623559951782227]
['UO', 64, 'BO', 82, 'diff', 'cp', 'O3', 'O3', 0.9329545454545455, 0.6068892478942871]
['UO', 2, 'CO', 233, 'find', 'chgrp', 'O1', 'O2', 0.9798293250581847, 0.8520290851593018]
['UO', 41, 'CO', 184, 'locate', 'uname', 'O2', 'O1', 0.9814643188137164, 0.20432400703430176]
['BO', 68, 'CO', 378, 'git', 'runcon', 'O3', 'O0', 0.9993942016443098, 4.82641863822937]
['CO', 3, 'UO', 37, 'unlink', 'ar', 'O3', 'O2', 0.9771661569826707, 0.995507001876831]
['CO', 341, 'UO', 2, 'nproc', 'find', 'O0', 'O1', 0.9549624687239366, 0.5909349918365479]
['CO', 125, 'UO', 38, 'mktemp', 'elfedit', 'O1', 'O2', 0.9657534246575342, 0.11395072937011719]
['CO', 220, 'UO', 55, 'ptx', 'ar', 'O2', 'O3', 0.96888711607499, 1.5919945240020752]
['CO', 262, 'UO', 59, 'true', 'locate', 'O2', 'O3', 0.9734151329243353, 0.15083575248718262]
['CO', 178, 'BO', 35, 'unexpand', 'make', 'O1', 'O3', 0.9371403275785746, 0.4721248149871826]
['BO', 20, 'UO', 43, 'sort', 'find', 'O1', 'O2', 0.9577762139338494, 1.4879212379455566]
['BO', 43, 'CO', 95, 'diff', 'sha224sum', 'O1', 'O3', 0.9782426778242678, 0.22344470024108887]
['CO', 46, 'BO', 1, 'whoami', 'ssh', 'O3', 'O2', 0.9881534132977936, 1.276355504989624]
['CO', 280, 'BO', 40, 'head', 'lua', 'O2', 'O0', 0.9824817518248176, 1.0235896110534668]
['UO', 5, 'CO', 7, 'readelf', 'fmt', 'O1', 'O3', 0.9922589725545391, 0.6170670986175537]
['CO', 343, 'BO', 44, 'date', 'cmp', 'O0', 'O2', 0.9462915601023018, 0.13606810569763184]
['BO', 31, 'CO', 174, 'bash', 'b2sum', 'O2', 'O1', 0.9962599345488546, 2.8535823822021484]
['CO', 172, 'UO', 23, 'yes', 'cmp', 'O1', 'O2', 0.893223819301848, 0.0602116584777832]
['BO', 17, 'CO', 170, 'codeblocks', 'runcon', 'O2', 'O1', 0.9987536611204586, 3.0437724590301514]
['UO', 9, 'CO', 323, 'strings', 'groups', 'O1', 'O0', 0.9920783823222847, 1.1759140491485596]
['BO', 55, 'CO', 238, 'make', 'expand', 'O1', 'O2', 0.9830508474576272, 0.390378475189209]
['CO', 45, 'BO', 42, 'split', 'cmp', 'O3', 'O1', 0.9392265193370166, 0.10857200622558594]
['CO', 349, 'BO', 82, 'truncate', 'cp', 'O0', 'O3', 0.9308462238398544, 0.20335149765014648]
['CO', 38, 'BO', 13, 'sha1sum', 'ruby', 'O3', 'O1', 0.991491099690276, 6.833572149276733]
['BO', 54, 'CO', 199, 'lua', 'sha224sum', 'O3', 'O1', 0.982373308152345, 0.725379467010498]
['UO', 63, 'CO', 326, 'cmp', 'stty', 'O3', 'O0', 0.9135802469135803, 0.10932540893554688]
['CO', 292, 'BO', 33, 'vdir', 'sort', 'O2', 'O2', 0.9207397622192867, 0.4814164638519287]
['CO', 408, 'BO', 16, 'fold', 'make', 'O0', 'O0', 0.9672399672399672, 0.6181554794311523]
['CO', 47, 'BO', 52, 'numfmt', 'svn', 'O3', 'O3', 0.988540870893812, 0.9065043926239014]
['CO', 320, 'UO', 38, 'dir', 'elfedit', 'O0', 'O2', 0.9883040935672515, 0.3405473232269287]
['UO', 2, 'CO', 367, 'find', 'cp', 'O1', 'O0', 0.9805825242718447, 2.407254695892334]
['UO', 49, 'CO', 16, 'c++filt', 'dirname', 'O3', 'O3', 0.9955377063810799, 0.8229918479919434]
['CO', 37, 'BO', 35, 'truncate', 'make', 'O3', 'O3', 0.9477644975652944, 0.4261629581451416]
['CO', 9, 'BO', 69, 'du', 'cmp', 'O3', 'O3', 0.9671179883945842, 0.17433452606201172]
