['UO', 26, 'CO', 378, 'nm', 'runcon', 'O2', 'O0', 0.9923906150919467, 1.1425883769989014]
['BO', 83, 'CO', 303, 'lua', 'sha224sum', 'O2', 'O2', 0.9899339414910349, 0.6641309261322021]
['CO', 172, 'UO', 83, 'yes', 'diff', 'O1', 'O0', 0.9090183559457302, 0.22740912437438965]
['BO', 21, 'CO', 303, 'cp', 'sha224sum', 'O1', 'O2', 0.9612027158098932, 0.16774725914001465]
['UO', 23, 'BO', 7, 'cmp', 'sort', 'O2', 'O0', 0.9406392694063928, 0.2864551544189453]
['BO', 18, 'CO', 165, 'libvlc.so.12.0.0', 'cksum', 'O1', 'O1', 0.988659793814433, 0.47800445556640625]
['UO', 9, 'CO', 221, 'strings', 'printenv', 'O1', 'O2', 0.9957346982298998, 0.7885048389434814]
['UO', 87, 'CO', 35, 'find', 'base32', 'O0', 'O3', 0.994059405940594, 0.6892015933990479]
['CO', 410, 'UO', 39, 'sleep', 'size', 'O0', 'O2', 0.9745360379801468, 1.0824413299560547]
['CO', 157, 'UO', 26, 'chmod', 'nm', 'O1', 'O2', 0.961939840392879, 1.8516864776611328]
['CO', 247, 'UO', 20, 'paste', 'diff', 'O2', 'O1', 0.9271402550091075, 0.16690731048583984]
['CO', 16, 'BO', 56, 'dirname', 'libvlc.so.12.0.0', 'O3', 'O3', 0.9881246907471549, 0.4990572929382324]
['UO', 17, 'CO', 180, 'objdump', 'md5sum', 'O1', 'O1', 0.9952644041041832, 1.7011022567749023]
['CO', 259, 'BO', 52, 'realpath', 'svn', 'O2', 'O3', 0.9866194411648957, 0.7977497577667236]
['CO', 234, 'UO', 59, 'kill', 'locate', 'O2', 'O3', 0.9688109161793372, 0.19414162635803223]
['BO', 42, 'CO', 263, 'cmp', 'cp', 'O1', 'O2', 0.9110690633869442, 0.207810640335083]
['CO', 202, 'UO', 56, 'sleep', 'elfedit', 'O1', 'O3', 0.9585062240663901, 0.07928872108459473]
['CO', 105, 'UO', 84, 'touch', 'sdiff', 'O1', 'O0', 0.9445727482678984, 0.18241333961486816]
['CO', 63, 'UO', 75, 'logname', 'gprof', 'O3', 'O0', 0.9940724774349994, 1.7252657413482666]
['CO', 69, 'BO', 52, 'who', 'svn', 'O3', 'O3', 0.9915482135996927, 0.8847544193267822]
['CO', 41, 'UO', 35, 'echo', 'gprof', 'O3', 'O2', 0.9763479655241531, 0.975224494934082]
['CO', 263, 'UO', 76, 'cp', 'addr2line', 'O2', 'O0', 0.9804568863066156, 4.716602563858032]
['CO', 219, 'UO', 38, 'groups', 'elfedit', 'O2', 'O2', 0.9834710743801653, 0.0863637924194336]
['CO', 185, 'BO', 24, 'cat', 'cluster', 'O1', 'O3', 0.9515518546555639, 0.2726738452911377]
['CO', 14, 'BO', 80, 'stty', 'ssh', 'O3', 'O3', 0.98, 1.978215217590332]
['CO', 281, 'UO', 66, 'hostid', 'nm', 'O2', 'O0', 0.9935275080906149, 1.3801758289337158]
['UO', 7, 'CO', 300, 'ranlib', 'sha512sum', 'O1', 'O2', 0.9925240999409798, 1.0832552909851074]
['CO', 261, 'UO', 38, 'chmod', 'elfedit', 'O2', 'O2', 0.9700598802395209, 0.12297630310058594]
['BO', 75, 'CO', 0, 'gvmap', 'sha384sum', 'O1', 'O3', 0.9732620320855615, 0.3370060920715332]
['CO', 181, 'BO', 67, 'env', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9849883105697059, 2.156301498413086]
['BO', 70, 'CO', 158, 'diff', 'true', 'O3', 'O1', 0.9783588818755635, 0.16415905952453613]
['CO', 411, 'UO', 56, 'sort', 'elfedit', 'O0', 'O3', 0.9907621247113164, 0.3141162395477295]
['UO', 43, 'BO', 8, 'find', 'cp', 'O2', 'O0', 0.9727355346864587, 2.3084421157836914]
['BO', 32, 'CO', 174, 'ruby', 'b2sum', 'O2', 'O1', 0.9989900167035699, 6.351984739303589]
['CO', 56, 'BO', 25, 'cut', 'dot', 'O3', 'O3', 1.0, 0.036042213439941406]
['UO', 19, 'CO', 8, 'cmp', 'dir', 'O1', 'O3', 0.8987783595113438, 0.22086596488952637]
['CO', 69, 'BO', 23, 'who', 'git', 'O3', 'O2', 0.99137187230371, 6.075968980789185]
