['UO', 45, 'CO', 130, 'strip', 'kill', 'O3', 'O1', 0.9935564703776625, 1.0899074077606201]
['BO', 16, 'CO', 415, 'make', 'ln', 'O0', 'O0', 0.9748382458662832, 1.1877877712249756]
['CO', 357, 'UO', 27, 'split', 'strip', 'O0', 'O2', 0.9682864450127877, 2.370789051055908]
['CO', 215, 'BO', 56, 'fmt', 'libvlc.so.12.0.0', 'O2', 'O3', 0.9871223377909857, 0.5056588649749756]
['UO', 0, 'CO', 179, 'locate', 'mv', 'O1', 'O1', 0.9513513513513514, 0.8154675960540771]
['BO', 76, 'CO', 86, 'openssl', 'timeout', 'O2', 'O3', 0.9971441124780316, 2.807331085205078]
['BO', 56, 'UO', 17, 'libvlc.so.12.0.0', 'objdump', 'O3', 'O1', 0.9656530299715599, 11.839970111846924]
['CO', 115, 'UO', 82, 'groups', 'cmp', 'O1', 'O0', 0.8984238178633975, 0.08817362785339355]
['UO', 68, 'CO', 6, 'readelf', 'mkdir', 'O0', 'O3', 0.9939086294416244, 1.0515892505645752]
['UO', 42, 'CO', 302, 'xargs', 'rm', 'O2', 'O2', 0.9331243469174504, 0.25220608711242676]
['BO', 38, 'CO', 277, 'acyclic', 'who', 'O2', 'O2', 0.9714285714285714, 0.04689383506774902]
['CO', 322, 'UO', 65, 'users', 'sdiff', 'O0', 'O3', 0.8942457231726283, 0.09995603561401367]
['CO', 339, 'UO', 65, 'wc', 'sdiff', 'O0', 'O3', 0.9036144578313253, 0.14363741874694824]
['CO', 356, 'BO', 77, 'seq', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.9796747967479675, 2.834799289703369]
['UO', 69, 'CO', 260, 'as', 'sha256sum', 'O0', 'O2', 0.997385376785881, 2.292754650115967]
['CO', 396, 'BO', 13, 'vdir', 'ruby', 'O0', 'O1', 0.9782608695652174, 26.44624090194702]
['CO', 219, 'BO', 58, 'groups', 'svn', 'O2', 'O1', 0.9766666666666667, 0.593311071395874]
['UO', 5, 'BO', 27, 'readelf', 'perl', 'O1', 'O3', 0.968019680196802, 28.91922903060913]
['CO', 276, 'BO', 17, 'yes', 'codeblocks', 'O2', 'O2', 0.994882675986021, 3.3667540550231934]
['BO', 67, 'UO', 58, 'libSDL2-2.0.so.0.16.0', 'objdump', 'O1', 'O3', 0.9797364412952785, 46.782827854156494]
['BO', 62, 'UO', 53, 'bash', 'gprof', 'O1', 'O3', 0.9880013481631278, 33.739450454711914]
['UO', 35, 'CO', 301, 'gprof', 'nl', 'O2', 'O2', 0.9963913392141138, 0.9849903583526611]
['CO', 108, 'UO', 65, 'test', 'sdiff', 'O1', 'O3', 0.9117647058823529, 0.10695385932922363]
['CO', 267, 'UO', 6, 'tsort', 'as', 'O2', 'O1', 0.9836299857087177, 1.4697644710540771]
['BO', 10, 'UO', 68, 'openssl', 'readelf', 'O3', 'O0', 0.9828617623282134, 27.299867630004883]
['CO', 264, 'BO', 23, 'cut', 'git', 'O2', 'O2', 0.9938474870017331, 4.7960522174835205]
['CO', 112, 'BO', 22, 'dir', 'perl', 'O1', 'O0', 0.9837925445705025, 10.160665273666382]
['CO', 320, 'UO', 9, 'dir', 'strings', 'O0', 'O1', 0.9583481666073336, 4.50641131401062]
['UO', 82, 'CO', 351, 'cmp', 'paste', 'O0', 'O0', 0.9370860927152318, 0.09266543388366699]
['BO', 46, 'UO', 44, 'ruby', 'nm', 'O3', 'O3', 0.997372193024367, 90.75209999084473]
['UO', 41, 'CO', 405, 'locate', 'nl', 'O2', 'O0', 0.9745114698385726, 0.29996633529663086]
['BO', 34, 'CO', 116, 'cp', 'ptx', 'O2', 'O1', 0.9315525876460768, 0.28650856018066406]
['CO', 300, 'UO', 78, 'sha512sum', 'elfedit', 'O2', 'O0', 0.96309963099631, 0.09740853309631348]
['UO', 46, 'CO', 83, 'readelf', 'csplit', 'O3', 'O3', 0.993906567366283, 0.8189921379089355]
['CO', 21, 'BO', 33, 'mktemp', 'sort', 'O3', 'O2', 0.8963922294172063, 0.22742962837219238]
['BO', 20, 'CO', 380, 'sort', 'yes', 'O1', 'O0', 0.9822660098522168, 0.1767261028289795]
['UO', 9, 'CO', 145, 'strings', 'echo', 'O1', 'O1', 0.9932303786756929, 0.8931667804718018]
['UO', 21, 'CO', 269, 'sdiff', 'cksum', 'O1', 'O2', 0.9502664298401421, 0.06988286972045898]
['BO', 25, 'CO', 360, 'dot', 'ls', 'O3', 'O0', 0.9948141745894555, 0.1321125030517578]
['BO', 40, 'CO', 29, 'lua', 'nproc', 'O0', 'O3', 0.9956043956043956, 0.8553464412689209]
['CO', 210, 'UO', 51, 'stat', 'objcopy', 'O2', 'O3', 0.9667009955372469, 2.226858615875244]
['CO', 137, 'BO', 55, 'chown', 'make', 'O1', 'O1', 0.9311502938706969, 0.791745662689209]
['CO', 90, 'BO', 70, 'tr', 'diff', 'O3', 'O3', 0.9027552674230146, 0.23615574836730957]
['BO', 12, 'CO', 28, 'libgeany.so.0.0.0', 'factor', 'O0', 'O3', 0.9990380915736822, 7.631532907485962]
['CO', 142, 'BO', 19, 'sha1sum', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9884582090987785, 3.036078453063965]
['CO', 33, 'BO', 16, 'chown', 'make', 'O3', 'O0', 0.9633781763826607, 0.95786452293396]
['BO', 23, 'CO', 267, 'git', 'tsort', 'O2', 'O2', 0.9989595075002168, 3.895271062850952]
['CO', 326, 'BO', 11, 'stty', 'ssh', 'O0', 'O1', 0.9677747133110757, 2.13226056098938]
['BO', 49, 'CO', 388, 'svn', 'md5sum', 'O0', 'O0', 0.9899135446685879, 0.905479907989502]
['CO', 125, 'BO', 67, 'mktemp', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9788011695906432, 2.9217007160186768]
['CO', 210, 'UO', 15, 'stat', 'elfedit', 'O2', 'O1', 0.9815303430079155, 0.16054749488830566]
['CO', 157, 'BO', 16, 'chmod', 'make', 'O1', 'O0', 0.9707129094412331, 0.8141560554504395]
['BO', 47, 'CO', 290, 'libvlc.so.12.0.0', 'shuf', 'O0', 'O2', 0.9905417024935511, 0.8753452301025391]
['CO', 197, 'UO', 70, 'nl', 'ranlib', 'O1', 'O0', 0.9905469277515192, 2.0152158737182617]
['BO', 9, 'CO', 401, 'git', 'pathchk', 'O0', 'O0', 0.999480317006626, 4.318312168121338]
['BO', 53, 'UO', 71, 'bash', 'c++filt', 'O0', 'O0', 0.9871808567460741, 62.10311722755432]
