['BO', 62, 'CO', 145, 'bash', 'echo', 'O1', 'O1', 0.9969034255854461, 1.7246665954589844]
['BO', 52, 'CO', 148, 'svn', 'seq', 'O3', 'O1', 0.9937082186394023, 0.678260087966919]
['CO', 220, 'UO', 32, 'ptx', 'strings', 'O2', 'O2', 0.9702056231640789, 1.608710527420044]
['CO', 58, 'BO', 15, 'df', 'diff', 'O3', 'O0', 0.9144254278728606, 0.5151832103729248]
['BO', 77, 'CO', 296, 'libSDL2-2.0.so.0.16.0', 'shred', 'O3', 'O2', 0.9923843655504536, 2.6912198066711426]
['CO', 268, 'UO', 40, 'base64', 'objdump', 'O2', 'O2', 0.9825041006014216, 1.452876329421997]
['BO', 62, 'CO', 285, 'bash', 'env', 'O1', 'O2', 0.9972886607920984, 1.6686103343963623]
['UO', 14, 'CO', 199, 'ar', 'sha224sum', 'O1', 'O1', 0.9921768042245257, 2.100825786590576]
['BO', 26, 'CO', 239, 'gvmap', 'date', 'O3', 'O2', 0.9631979695431472, 0.8953750133514404]
['UO', 38, 'BO', 5, 'elfedit', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9917989217100767, 7.609851121902466]
['CO', 276, 'BO', 31, 'yes', 'bash', 'O2', 'O2', 0.989560595995065, 1.715574026107788]
['UO', 50, 'CO', 236, 'strings', 'factor', 'O3', 'O2', 0.9931345204891654, 1.2834668159484863]
['BO', 9, 'CO', 188, 'git', 'vdir', 'O0', 'O1', 0.9968726227706872, 13.41827130317688]
['BO', 15, 'CO', 314, 'diff', 'stat', 'O0', 'O0', 0.9757722592368262, 0.5248658657073975]
['CO', 348, 'BO', 37, 'pinky', 'gvmap', 'O0', 'O2', 0.9541160593792173, 0.38438963890075684]
['CO', 0, 'UO', 33, 'sha384sum', 'objcopy', 'O3', 'O2', 0.9750483219117906, 1.3913798332214355]
['BO', 11, 'CO', 305, 'ssh', 'uniq', 'O1', 'O2', 0.993526555833456, 2.091736316680908]
['UO', 86, 'CO', 237, 'xargs', 'nproc', 'O0', 'O2', 0.965, 0.27761411666870117]
['UO', 22, 'CO', 397, 'diff3', '[', 'O2', 'O0', 0.927536231884058, 0.23601031303405762]
['UO', 31, 'CO', 386, 'c++filt', 'unexpand', 'O2', 'O0', 0.9921925829538061, 1.425915002822876]
['BO', 71, 'UO', 6, 'libSDL2-2.0.so.0.16.0', 'as', 'O0', 'O1', 0.9715195577720362, 59.29359698295593]
['BO', 15, 'CO', 315, 'diff', 'unlink', 'O0', 'O0', 0.9858156028368794, 0.2015247344970703]
