['BO', 57, 'UO', 67, 'libvlccore.so.9.0.0', 'strip', 'O3', 'O0', 0.9839974049845921, 69.79320192337036]
['CO', 212, 'UO', 2, 'test', 'find', 'O2', 'O1', 0.9581414817915446, 0.4921567440032959]
['CO', 351, 'UO', 57, 'paste', 'size', 'O0', 'O3', 0.9739187133231906, 1.1222362518310547]
['UO', 25, 'CO', 215, 'sdiff', 'fmt', 'O2', 'O2', 0.9459459459459459, 0.0774240493774414]
['UO', 35, 'BO', 59, 'gprof', 'libgeany.so.0.0.0', 'O2', 'O3', 0.9782416192283365, 119.05522680282593]
['UO', 70, 'CO', 52, 'ranlib', 'sha256sum', 'O0', 'O3', 0.9983881799865681, 1.8081791400909424]
['UO', 26, 'CO', 335, 'nm', 'pr', 'O2', 'O0', 0.98714859437751, 1.978214979171753]
['BO', 67, 'CO', 195, 'libSDL2-2.0.so.0.16.0', 'comm', 'O1', 'O1', 0.9924103317419513, 2.224341630935669]
['CO', 32, 'BO', 15, 'expr', 'diff', 'O3', 'O0', 0.9298998569384835, 0.3338906764984131]
['CO', 27, 'UO', 15, 'wc', 'elfedit', 'O3', 'O1', 0.9617224880382775, 0.16330218315124512]
['UO', 68, 'CO', 104, 'readelf', 'sha384sum', 'O0', 'O1', 0.990666320974851, 1.2363028526306152]
['BO', 65, 'UO', 25, 'gvmap', 'sdiff', 'O0', 'O2', 0.9876777251184834, 0.6073708534240723]
['CO', 120, 'BO', 15, 'dirname', 'diff', 'O1', 'O0', 0.9262229350441058, 0.22372913360595703]
['CO', 192, 'BO', 8, 'shred', 'cp', 'O1', 'O0', 0.9285281647486372, 0.44575071334838867]
['BO', 78, 'CO', 80, 'ssh', 'uname', 'O0', 'O3', 0.9967016138532219, 1.5668344497680664]
['CO', 216, 'BO', 12, 'dir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9911111111111112, 18.603002786636353]
['CO', 292, 'BO', 52, 'vdir', 'svn', 'O2', 'O3', 0.9888121092464627, 1.8923399448394775]
['CO', 153, 'UO', 45, 'nice', 'strip', 'O1', 'O3', 0.9770032339202299, 1.0530972480773926]
['UO', 19, 'BO', 25, 'cmp', 'dot', 'O1', 'O3', 1.0, 0.03599071502685547]
['BO', 19, 'CO', 385, 'libvlccore.so.9.0.0', 'hostid', 'O1', 'O0', 0.9980678195343445, 2.2441232204437256]
['BO', 6, 'CO', 315, 'codeblocks', 'unlink', 'O0', 'O0', 0.9996331621423331, 4.893759489059448]
['BO', 74, 'CO', 3, 'dot', 'unlink', 'O1', 'O3', 0.9933774834437086, 0.028362035751342773]
['CO', 118, 'BO', 63, 'stty', 'cluster', 'O1', 'O0', 0.9635108481262328, 0.5343976020812988]
['BO', 29, 'UO', 25, 'libvlc.so.12.0.0', 'sdiff', 'O2', 'O2', 0.9874698795180723, 0.6724739074707031]
['BO', 69, 'CO', 366, 'cmp', 'true', 'O3', 'O0', 0.9511201629327902, 0.06656599044799805]
['CO', 87, 'BO', 8, 'id', 'cp', 'O3', 'O0', 0.9404915912031048, 0.3342742919921875]
['BO', 81, 'CO', 27, 'sort', 'wc', 'O3', 'O3', 0.9701492537313433, 0.23270845413208008]
['BO', 41, 'CO', 19, 'libSDL2-2.0.so.0.16.0', 'dd', 'O2', 'O3', 0.9937235968617985, 3.2338168621063232]
['CO', 142, 'UO', 46, 'sha1sum', 'readelf', 'O1', 'O3', 0.9687166725915393, 0.6206748485565186]
['CO', 157, 'BO', 79, 'chmod', 'bash', 'O1', 'O3', 0.9792509231580798, 3.685114860534668]
['CO', 199, 'BO', 70, 'sha224sum', 'diff', 'O1', 'O3', 0.9208754208754208, 0.22449207305908203]
['UO', 63, 'CO', 347, 'cmp', 'base32', 'O3', 'O0', 0.9045996592844975, 0.09142613410949707]
['UO', 49, 'CO', 233, 'c++filt', 'chgrp', 'O3', 'O2', 0.988488595182264, 1.5546629428863525]
['UO', 81, 'CO', 115, 'diff3', 'groups', 'O0', 'O1', 0.9267605633802817, 0.11797404289245605]
['UO', 5, 'CO', 383, 'readelf', 'readlink', 'O1', 'O0', 0.9902912621359223, 0.7712056636810303]
['CO', 403, 'UO', 81, 'comm', 'diff3', 'O0', 'O0', 0.9241830065359478, 0.13596081733703613]
['BO', 39, 'CO', 328, 'codeblocks', 'dirname', 'O3', 'O0', 0.998530042261285, 3.548776626586914]
['BO', 31, 'UO', 5, 'bash', 'readelf', 'O2', 'O1', 0.9913366336633663, 17.353643655776978]
['UO', 35, 'CO', 268, 'gprof', 'base64', 'O2', 'O2', 0.9971893194137723, 0.9296445846557617]
['CO', 94, 'UO', 8, 'rm', 'c++filt', 'O3', 'O1', 0.9616536848412223, 1.9131991863250732]
['CO', 284, 'BO', 66, 'md5sum', 'svn', 'O2', 'O2', 0.9819301848049281, 0.6328933238983154]
['BO', 52, 'CO', 252, 'svn', 'seq', 'O3', 'O2', 0.9984082769598089, 0.6048078536987305]
['CO', 4, 'BO', 39, 'test', 'codeblocks', 'O3', 'O3', 0.9946338191353131, 5.1690168380737305]
['UO', 62, 'CO', 267, 'diff3', 'tsort', 'O3', 'O2', 0.9395866454689984, 0.08276629447937012]
['CO', 46, 'UO', 61, 'whoami', 'find', 'O3', 'O3', 0.9741992882562278, 0.42960476875305176]
['BO', 64, 'CO', 255, 'dot', 'numfmt', 'O0', 'O2', 0.9888579387186629, 0.037763118743896484]
['UO', 25, 'CO', 138, 'sdiff', 'tail', 'O2', 'O1', 0.8867469879518073, 0.15955710411071777]
['CO', 384, 'UO', 56, 'head', 'elfedit', 'O0', 'O3', 0.9746835443037974, 0.11389017105102539]
['CO', 169, 'BO', 50, 'false', 'perl', 'O1', 'O2', 0.9909796378589906, 2.0948383808135986]
['CO', 13, 'UO', 42, 'printenv', 'xargs', 'O3', 'O2', 0.9571428571428572, 0.12281560897827148]
['CO', 304, 'UO', 52, 'fold', 'ld', 'O2', 'O3', 0.9832979476291578, 1.358806848526001]
['UO', 62, 'CO', 137, 'diff3', 'chown', 'O3', 'O1', 0.9138321995464853, 0.1741023063659668]
['UO', 15, 'BO', 22, 'elfedit', 'perl', 'O1', 'O0', 0.9883777917804383, 3.5863380432128906]
['CO', 73, 'UO', 34, 'hostid', 'ld', 'O3', 'O2', 0.9821555020535335, 1.3654510974884033]
['BO', 69, 'CO', 336, 'cmp', 'tee', 'O3', 'O0', 0.9257950530035336, 0.08556461334228516]
