['CV', 1, 'UV', 6, 'stat', 'sdiff', 'V2', 'V2', 0.8594249201277955, 0.08439946174621582]
['BV', 46, 'CV', 57, 'cluster', 'who', 'V3', 'V2', 0.9786931818181818, 0.3240082263946533]
['BV', 66, 'CV', 0, 'lua', 'touch', 'V1', 'V2', 0.9893955461293743, 0.6356048583984375]
['BV', 18, 'CV', 263, 'sort', 'unlink', 'V3', 'V1', 0.9919839679358717, 0.11110568046569824]
['BV', 70, 'CV', 142, 'ssh', 'nohup', 'V0', 'V3', 0.9982817869415808, 2.5256597995758057]
['UV', 79, 'CV', 67, 'strings', 'uname', 'V0', 'V2', 0.9964125560538116, 0.6614232063293457]
['CV', 173, 'BV', 39, 'ln', 'svn', 'V3', 'V1', 0.9786053882725833, 1.2190139293670654]
['CV', 81, 'BV', 3, 'sleep', 'diff', 'V2', 'V1', 0.891946992864424, 0.13902878761291504]
['CV', 165, 'UV', 11, 'rm', 'ranlib', 'V3', 'V2', 0.9673500379650721, 2.079732894897461]
['BV', 7, 'CV', 46, 'libSDL2-2.0.so', 'cut', 'V0', 'V2', 0.9950336998935793, 1.3767707347869873]
['CV', 179, 'UV', 58, 'mkdir', 'objcopy', 'V0', 'V1', 0.9830093122038882, 2.2233622074127197]
['CV', 254, 'UV', 67, 'uniq', 'cmp', 'V0', 'V0', 0.8693877551020408, 0.11012101173400879]
['CV', 279, 'UV', 6, 'pwd', 'sdiff', 'V1', 'V2', 0.8654867256637169, 0.11934089660644531]
['BV', 62, 'CV', 149, 'diff', 'unexpand', 'V0', 'V3', 0.9397905759162304, 0.11635589599609375]
['CV', 265, 'UV', 61, 'basename', 'addr2line', 'V1', 'V1', 0.9811239811239811, 0.6412696838378906]
['UV', 45, 'CV', 248, 'cmp', 'pathchk', 'V1', 'V0', 0.9391100702576113, 0.038248538970947266]
['CV', 275, 'BV', 12, 'dirname', 'sort', 'V1', 'V2', 0.905852417302799, 0.09160566329956055]
['BV', 34, 'CV', 318, 'svn', 'who', 'V0', 'V1', 0.9931203931203931, 0.4575769901275635]
['UV', 25, 'CV', 259, 'as', 'mknod', 'V3', 'V0', 0.9980996335007466, 0.9853897094726562]
['BV', 15, 'CV', 219, 'libvlccore.so', 'cp', 'V3', 'V0', 0.9984326018808778, 3.4028408527374268]
['BV', 28, 'CV', 243, 'openssl', 'csplit', 'V1', 'V0', 0.998533724340176, 9.092725038528442]
['CV', 215, 'UV', 68, 'nice', 'diff', 'V0', 'V0', 0.9173014145810664, 0.20931720733642578]
['UV', 8, 'CV', 311, 'strip', 'cksum', 'V2', 'V1', 0.9982247470264513, 1.2813658714294434]
['UV', 73, 'BV', 7, 'nm', 'libSDL2-2.0.so', 'V0', 'V0', 0.9796923076923076, 22.022704124450684]
['CV', 278, 'UV', 45, 'mkfifo', 'cmp', 'V1', 'V1', 0.8641686182669789, 0.0449826717376709]
['BV', 31, 'CV', 342, 'codeblocks', 'sleep', 'V0', 'V1', 0.9994708644751638, 2.271544933319092]
['UV', 55, 'CV', 46, 'ranlib', 'cut', 'V1', 'V2', 0.994475138121547, 1.124309778213501]
['UV', 7, 'CV', 29, 'nm', 'tail', 'V2', 'V2', 0.9923170238576627, 2.2109062671661377]
['CV', 130, 'BV', 73, 'chmod', 'geany', 'V3', 'V0', 0.9868253293667658, 8.890984296798706]
['BV', 52, 'UV', 31, 'libSDL2-2.0.so', 'gprof', 'V2', 'V3', 0.9783511027915683, 29.44494652748108]
['UV', 57, 'CV', 232, 'strings', 'readlink', 'V1', 'V0', 0.9978540772532188, 0.637016773223877]
['BV', 4, 'CV', 329, 'geany', 'cat', 'V3', 'V1', 0.9994998124296611, 3.382462739944458]
['BV', 5, 'CV', 172, 'libvlccore.so', 'mknod', 'V0', 'V3', 0.9984254034903556, 1.6844432353973389]
['CV', 140, 'BV', 21, 'tty', 'cp', 'V3', 'V1', 0.8700906344410876, 0.09027981758117676]
['CV', 182, 'BV', 21, 'du', 'cp', 'V0', 'V1', 0.9409681227863046, 0.1505284309387207]
