['CV', 123, 'BV', 41, 'chroot', 'libvlccore.so', 'V3', 'V1', 0.9895607893061744, 2.3677194118499756]
['CV', 255, 'BV', 46, 'sleep', 'cluster', 'V0', 'V3', 0.950910530482977, 0.17920351028442383]
['CV', 253, 'UV', 19, 'fold', 'elfedit', 'V0', 'V2', 0.9556650246305418, 0.05242753028869629]
['CV', 310, 'UV', 23, 'tsort', 'strip', 'V1', 'V3', 0.9812781278127812, 0.8228731155395508]
['CV', 291, 'UV', 41, 'pinky', 'cmp', 'V1', 'V3', 0.8947368421052632, 0.06160783767700195]
['CV', 117, 'UV', 32, 'pinky', 'addr2line', 'V3', 'V3', 0.9727311461440137, 1.2991251945495605]
['CV', 150, 'BV', 41, 'mv', 'libvlccore.so', 'V3', 'V1', 0.9809702807470927, 6.869395732879639]
['CV', 270, 'UV', 7, 'users', 'nm', 'V1', 'V2', 0.9787775891341256, 0.7557494640350342]
['CV', 332, 'BV', 43, '[', 'lua', 'V1', 'V0', 0.9587465291550972, 0.39696669578552246]
['UV', 23, 'CV', 158, 'strip', '[', 'V3', 'V3', 0.9947432977045734, 1.3122189044952393]
['CV', 103, 'UV', 78, 'dd', 'c++filt', 'V3', 'V0', 0.9631799163179916, 1.8934831619262695]
['BV', 83, 'UV', 77, 'git', 'ranlib', 'V2', 'V0', 0.9941505502138706, 72.28669476509094]
['CV', 334, 'UV', 70, 'shred', 'locate', 'V1', 'V0', 0.9147121535181236, 0.17894315719604492]
['UV', 25, 'CV', 175, 'as', 'stat', 'V3', 'V0', 0.9986493787142086, 1.0790355205535889]
['UV', 47, 'CV', 316, 'sdiff', 'nohup', 'V1', 'V1', 0.9610619469026549, 0.057054758071899414]
['CV', 299, 'UV', 82, 'split', 'gprof', 'V1', 'V0', 0.9820371504388651, 0.8314304351806641]
['BV', 16, 'CV', 283, 'libvlc.so', 'kill', 'V3', 'V1', 0.9940799210656142, 0.286815881729126]
['BV', 56, 'CV', 120, 'ssh', 'sync', 'V3', 'V3', 0.9978726637289166, 1.2029244899749756]
['BV', 12, 'UV', 23, 'sort', 'strip', 'V2', 'V3', 0.9672185430463576, 2.871656656265259]
['UV', 20, 'CV', 187, 'size', 'join', 'V2', 'V0', 0.9949077021005729, 0.9111862182617188]
['BV', 75, 'CV', 320, 'cmp', 'head', 'V2', 'V1', 0.9275653923541247, 0.055414676666259766]
['CV', 15, 'BV', 12, 'uptime', 'sort', 'V2', 'V2', 0.8764044943820225, 0.1420762538909912]
['CV', 151, 'UV', 87, 'md5sum', 'objdump', 'V3', 'V0', 0.9767974355060296, 1.6665537357330322]
['BV', 50, 'CV', 202, 'sort', 'chown', 'V0', 'V0', 0.9180576631259484, 0.11103630065917969]
['BV', 42, 'CV', 164, 'libvlc.so', 'nl', 'V1', 'V3', 0.9937662337662337, 0.45996975898742676]
['UV', 10, 'BV', 2, 'as', 'cmp', 'V2', 'V1', 0.9973390101117616, 1.6544296741485596]
['BV', 3, 'CV', 87, 'diff', 'touch', 'V1', 'V3', 0.9577579203899269, 0.27577733993530273]
['BV', 25, 'CV', 70, 'git', 'vdir', 'V3', 'V2', 0.9979860365198711, 14.272720575332642]
['BV', 53, 'CV', 129, 'ssh', 'dircolors', 'V2', 'V3', 0.9983401237362306, 2.819967031478882]
['CV', 312, 'BV', 63, 'printf', 'ruby', 'V1', 'V0', 0.9928354418899923, 3.6433095932006836]
['UV', 45, 'CV', 171, 'cmp', 'rmdir', 'V1', 'V3', 0.9463327370304114, 0.07123327255249023]
['CV', 270, 'BV', 81, 'users', 'dot', 'V1', 'V1', 0.9915254237288136, 0.022489547729492188]
['CV', 148, 'BV', 16, 'ginstall', 'libvlc.so', 'V3', 'V3', 0.9842632331902719, 1.691389560699463]
['CV', 28, 'BV', 48, 'chown', 'gvmap', 'V2', 'V3', 0.9429280397022333, 0.4544975757598877]
['BV', 36, 'UV', 6, 'libvlc.so', 'sdiff', 'V2', 'V2', 0.9902611775121736, 0.7277364730834961]
['BV', 13, 'CV', 104, 'cp', 'mkfifo', 'V2', 'V3', 0.9720430107526882, 0.1404261589050293]
['CV', 238, 'BV', 10, 'md5sum', 'gvmap', 'V0', 'V2', 0.963924963924964, 0.23374509811401367]
['CV', 247, 'UV', 84, 'shred', 'ar', 'V0', 'V0', 0.9793601651186791, 1.2065253257751465]
['UV', 53, 'BV', 14, 'readelf', 'openssl', 'V1', 'V3', 0.9620448345392005, 8.196368932723999]
['CV', 250, 'BV', 25, 'comm', 'git', 'V0', 'V3', 0.9951578803791857, 4.196055889129639]
['UV', 58, 'CV', 3, 'objcopy', 'test', 'V1', 'V2', 0.9973966807679792, 1.106870412826538]
['CV', 103, 'UV', 48, 'dd', 'locate', 'V3', 'V1', 0.9135802469135803, 0.3341178894042969]
['CV', 29, 'BV', 66, 'tail', 'lua', 'V2', 'V1', 0.9512029820399864, 0.8529536724090576]
['CV', 86, 'BV', 18, 'ln', 'sort', 'V2', 'V3', 0.9057071960297767, 0.2508413791656494]
['CV', 32, 'BV', 77, 'paste', 'perl', 'V2', 'V2', 0.9883787661406026, 2.1684746742248535]
['BV', 51, 'UV', 24, 'cp', 'readelf', 'V0', 'V3', 0.9574029543112332, 0.9201369285583496]
['CV', 59, 'BV', 27, 'head', 'libSDL2-2.0.so', 'V2', 'V1', 0.9791437980241493, 1.8627684116363525]
['BV', 6, 'CV', 213, 'libvlc.so', 'whoami', 'V0', 'V0', 0.9923371647509579, 0.2044217586517334]
['CV', 17, 'BV', 9, 'mkfifo', 'dot', 'V2', 'V2', 1.0, 0.026766538619995117]
['UV', 21, 'CV', 28, 'objdump', 'chown', 'V2', 'V2', 0.9963839083923459, 2.0715487003326416]
['CV', 49, 'BV', 35, 'tsort', 'libvlccore.so', 'V2', 'V2', 0.9919308357348703, 2.05106520652771]
['CV', 128, 'UV', 21, 'nice', 'objdump', 'V3', 'V2', 0.9820461228911933, 1.3589465618133545]
['UV', 43, 'CV', 106, 'sdiff', 'pr', 'V3', 'V3', 0.9226260257913247, 0.15451765060424805]
['BV', 18, 'CV', 173, 'sort', 'ln', 'V3', 'V3', 0.9109255393180237, 0.3889200687408447]
['CV', 48, 'UV', 21, 'df', 'objdump', 'V2', 'V2', 0.9658886894075404, 2.519392728805542]
['BV', 58, 'CV', 132, 'ruby', 'cp', 'V3', 'V3', 0.9930635838150289, 0.04071044921875]
['UV', 4, 'CV', 119, 'cmp', 'paste', 'V2', 'V3', 0.9127272727272727, 0.06744766235351562]
['CV', 77, 'BV', 38, 'nl', 'ruby', 'V2', 'V2', 0.9964973730297724, 0.022434234619140625]
['BV', 24, 'CV', 331, 'git', 'vdir', 'V0', 'V1', 0.9979923235901978, 6.4520769119262695]
