['BO', 57, 'CO', 315, 'libvlccore.so.9.0.0', 'unlink', 'O3', 'O0', 0.9977194982896237, 2.241039991378784]
['UO', 24, 'CO', 70, 'diff', 'b2sum', 'O2', 'O3', 0.9708973322554567, 0.26085400581359863]
['UO', 27, 'BO', 30, 'strip', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.9761706489014157, 40.24536347389221]
['CO', 375, 'BO', 67, 'logname', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9751384615384615, 2.0782158374786377]
['BO', 68, 'CO', 291, 'git', 'csplit', 'O3', 'O2', 0.9987060041407867, 5.579892635345459]
['BO', 31, 'UO', 27, 'bash', 'strip', 'O2', 'O2', 0.9894690097062742, 42.23914813995361]
['BO', 13, 'CO', 80, 'ruby', 'uname', 'O1', 'O3', 0.9995224613705359, 5.249382495880127]
['CO', 230, 'UO', 34, 'pwd', 'ld', 'O2', 'O2', 0.9826974897177705, 1.4494764804840088]
['CO', 126, 'UO', 50, 'pwd', 'strings', 'O1', 'O3', 0.9753412593571114, 1.2341945171356201]
['UO', 60, 'CO', 249, 'xargs', 'echo', 'O3', 'O2', 0.9724770642201834, 0.20096826553344727]
['CO', 106, 'BO', 68, 'stat', 'git', 'O1', 'O3', 0.9860337588895554, 11.865636110305786]
['CO', 138, 'BO', 63, 'tail', 'cluster', 'O1', 'O0', 0.9555555555555556, 0.722785472869873]
['CO', 307, 'UO', 43, 'sort', 'find', 'O2', 'O2', 0.9513938527519656, 1.3952105045318604]
['UO', 78, 'CO', 289, 'elfedit', 'cat', 'O0', 'O2', 0.9839679358717435, 0.07806205749511719]
['CO', 296, 'BO', 58, 'shred', 'svn', 'O2', 'O1', 0.9828793774319066, 0.9690520763397217]
['CO', 98, 'UO', 53, 'sleep', 'gprof', 'O3', 'O3', 0.9748529709997972, 0.9859249591827393]
['CO', 94, 'BO', 51, 'rm', 'lua', 'O3', 'O1', 0.9492273730684326, 1.287914514541626]
['BO', 22, 'CO', 16, 'perl', 'dirname', 'O0', 'O3', 0.9988744284206824, 2.465606212615967]
['CO', 332, 'BO', 68, 'mkfifo', 'git', 'O0', 'O3', 0.9814120054570259, 11.795751810073853]
['UO', 57, 'BO', 39, 'size', 'codeblocks', 'O3', 'O3', 0.9769091531725453, 61.54734945297241]
['UO', 14, 'CO', 195, 'ar', 'comm', 'O1', 'O1', 0.9909980430528376, 1.1933257579803467]
['UO', 85, 'CO', 125, 'locate', 'mktemp', 'O0', 'O1', 0.9705093833780161, 0.39417052268981934]
['BO', 11, 'CO', 82, 'ssh', 'shuf', 'O1', 'O3', 0.9939420164430982, 2.1540870666503906]
['CO', 167, 'BO', 37, 'logname', 'gvmap', 'O1', 'O2', 0.9634502923976608, 0.25437331199645996]
['CO', 210, 'BO', 42, 'stat', 'cmp', 'O2', 'O1', 0.9392338177014531, 0.12173128128051758]
['UO', 44, 'CO', 255, 'nm', 'numfmt', 'O3', 'O2', 0.9935979513444302, 1.110666275024414]
['BO', 11, 'CO', 310, 'ssh', 'mknod', 'O1', 'O2', 0.994343554629354, 1.1486108303070068]
['UO', 87, 'CO', 235, 'find', 'wc', 'O0', 'O2', 0.9920661157024794, 0.7496554851531982]
['UO', 15, 'CO', 262, 'elfedit', 'true', 'O1', 'O2', 0.9726651480637813, 0.05897259712219238]
['UO', 78, 'CO', 167, 'elfedit', 'logname', 'O0', 'O1', 0.9801980198019802, 0.08015966415405273]
['UO', 84, 'CO', 346, 'sdiff', 'tail', 'O0', 'O0', 0.9363295880149812, 0.2568705081939697]
['BO', 6, 'UO', 39, 'codeblocks', 'size', 'O0', 'O2', 0.9867636307668629, 79.353999376297]
['BO', 82, 'CO', 411, 'cp', 'sort', 'O3', 'O0', 0.9335476956055734, 0.7263660430908203]
['UO', 8, 'CO', 95, 'c++filt', 'sha224sum', 'O1', 'O3', 0.9937277859084257, 1.1471853256225586]
['CO', 393, 'BO', 6, 'cat', 'codeblocks', 'O0', 'O0', 0.9945122787762382, 8.468533754348755]
['CO', 129, 'BO', 28, 'chgrp', 'ruby', 'O1', 'O0', 0.989492119089317, 10.039025783538818]
['CO', 372, 'UO', 11, 'base64', 'ld', 'O0', 'O1', 0.9758573388203018, 2.124114990234375]
['CO', 156, 'UO', 32, 'sha256sum', 'strings', 'O1', 'O2', 0.9714779602420052, 1.1915428638458252]
['UO', 47, 'CO', 85, 'as', '[', 'O3', 'O3', 0.9973118279569892, 1.7460706233978271]
['UO', 55, 'CO', 382, 'ar', 'b2sum', 'O3', 'O0', 0.9880191693290735, 1.645770788192749]
['CO', 47, 'UO', 71, 'numfmt', 'c++filt', 'O3', 'O0', 0.9893018018018018, 2.4431490898132324]
['BO', 48, 'CO', 3, 'libvlccore.so.9.0.0', 'unlink', 'O0', 'O3', 0.9992816091954023, 2.955965518951416]
['UO', 46, 'CO', 243, 'readelf', 'base32', 'O3', 'O2', 0.9942028985507246, 0.479564905166626]
['UO', 71, 'CO', 10, 'c++filt', 'users', 'O0', 'O3', 0.9977204730018521, 1.8911056518554688]
['CO', 258, 'UO', 31, 'dircolors', 'c++filt', 'O2', 'O2', 0.975390024170512, 0.9884414672851562]
['UO', 10, 'CO', 330, 'objcopy', 'uptime', 'O1', 'O0', 0.9908163265306122, 1.7587337493896484]
['UO', 20, 'CO', 217, 'diff', 'du', 'O1', 'O2', 0.9358893777498428, 0.513765811920166]
['CO', 142, 'BO', 13, 'sha1sum', 'ruby', 'O1', 'O1', 0.9923008789262111, 6.307687520980835]
['UO', 58, 'CO', 352, 'objdump', 'sync', 'O3', 'O0', 0.9954227248249865, 1.5127034187316895]
['BO', 47, 'UO', 43, 'libvlc.so.12.0.0', 'find', 'O0', 'O2', 0.9562841530054644, 3.828195333480835]
['UO', 49, 'BO', 50, 'c++filt', 'perl', 'O3', 'O2', 0.9718059833968569, 42.67733836174011]
['CO', 366, 'BO', 25, 'true', 'dot', 'O0', 'O3', 0.9855595667870036, 0.06040525436401367]
['CO', 24, 'UO', 83, 'tee', 'diff', 'O3', 'O0', 0.9078066914498142, 0.35445141792297363]
['BO', 49, 'CO', 357, 'svn', 'split', 'O0', 'O0', 0.9856606350290201, 1.228302240371704]
['BO', 46, 'CO', 337, 'ruby', 'chgrp', 'O3', 'O0', 0.9991898460707535, 11.490262031555176]
['BO', 23, 'CO', 278, 'git', 'b2sum', 'O2', 'O2', 0.9987897125567322, 4.918463230133057]
['UO', 2, 'CO', 364, 'find', 'sha256sum', 'O1', 'O0', 0.9862903225806452, 0.6994986534118652]
['BO', 35, 'CO', 259, 'make', 'realpath', 'O3', 'O2', 0.9745166959578208, 0.5019261837005615]
['CO', 90, 'UO', 11, 'tr', 'ld', 'O3', 'O1', 0.9783502329405317, 1.9965741634368896]
['CO', 337, 'BO', 57, 'chgrp', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.9839498201272945, 6.331498146057129]
['CO', 149, 'UO', 3, 'split', 'nm', 'O1', 'O1', 0.9628223066160304, 1.5674922466278076]
['UO', 10, 'CO', 1, 'objcopy', 'touch', 'O1', 'O3', 0.9923333333333333, 2.0245888233184814]
['UO', 69, 'CO', 270, 'as', 'printf', 'O0', 'O2', 0.9968289498227942, 2.387113094329834]
['CO', 254, 'UO', 81, 'whoami', 'diff3', 'O2', 'O0', 0.9035769828926905, 0.09592151641845703]
['CO', 374, 'UO', 69, 'printf', 'as', 'O0', 'O0', 0.9892383337971983, 3.547010660171509]
['UO', 4, 'CO', 291, 'strip', 'csplit', 'O1', 'O2', 0.9921795307718463, 1.646592617034912]
['UO', 29, 'BO', 66, 'as', 'svn', 'O2', 'O2', 0.9944821731748726, 12.907495737075806]
['BO', 67, 'CO', 342, 'libSDL2-2.0.so.0.16.0', 'expand', 'O1', 'O0', 0.9919374541900806, 2.4091718196868896]
['BO', 71, 'CO', 363, 'libSDL2-2.0.so.0.16.0', 'realpath', 'O0', 'O0', 0.9966358284272497, 3.2438995838165283]
['UO', 43, 'CO', 21, 'find', 'mktemp', 'O2', 'O3', 0.9840670859538784, 0.6245400905609131]
['UO', 67, 'CO', 69, 'strip', 'who', 'O0', 'O3', 0.9981225064538841, 2.3359899520874023]
['CO', 123, 'UO', 82, 'dd', 'cmp', 'O1', 'O0', 0.9676616915422885, 0.15727877616882324]
['UO', 58, 'CO', 376, 'objdump', 'tty', 'O3', 'O0', 0.9954134628355592, 1.4526097774505615]
['CO', 395, 'UO', 64, 'csplit', 'diff', 'O0', 'O3', 0.9009332376166547, 0.37390899658203125]
['CO', 254, 'BO', 45, 'whoami', 'diff', 'O2', 'O2', 0.9061302681992337, 0.14575624465942383]
['UO', 11, 'CO', 84, 'ld', 'vdir', 'O1', 'O3', 0.9931175121080805, 4.950751304626465]
['BO', 59, 'CO', 72, 'libgeany.so.0.0.0', 'head', 'O3', 'O3', 0.9994111368738728, 7.173266172409058]
['CO', 301, 'UO', 78, 'nl', 'elfedit', 'O2', 'O0', 0.9694656488549618, 0.09553718566894531]
['UO', 7, 'CO', 318, 'ranlib', 'mkdir', 'O1', 'O0', 0.9869989165763814, 2.9728286266326904]
['BO', 5, 'UO', 13, 'libgeany.so.0.0.0', 'addr2line', 'O1', 'O1', 0.9977785037569422, 95.33863830566406]
['CO', 400, 'UO', 11, 'shred', 'ld', 'O0', 'O1', 0.9665462331058478, 3.1069254875183105]
['CO', 414, 'BO', 32, 'mknod', 'ruby', 'O0', 'O2', 0.9783443403471049, 13.748298645019531]
['BO', 32, 'CO', 326, 'ruby', 'stty', 'O2', 'O0', 0.999612087357927, 7.119122266769409]
['CO', 270, 'UO', 39, 'printf', 'size', 'O2', 'O2', 0.972885732730794, 1.08427095413208]
['BO', 45, 'UO', 44, 'diff', 'nm', 'O2', 'O3', 0.9605761940864291, 3.4112563133239746]
['CO', 53, 'BO', 66, 'chmod', 'svn', 'O3', 'O2', 0.9781544256120527, 1.1550087928771973]
['CO', 46, 'BO', 7, 'whoami', 'sort', 'O3', 'O0', 0.9346092503987241, 0.23339533805847168]
['CO', 295, 'BO', 57, 'id', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9931740614334471, 3.100788116455078]
