['CV', 39, 'BV', 64, 'whoami', 'openssl', 'V2', 'V2', 0.9943460794524625, 1.5364563465118408]
['UV', 58, 'CV', 279, 'objcopy', 'pwd', 'V1', 'V1', 0.9980295566502463, 0.8594231605529785]
['UV', 43, 'CV', 142, 'sdiff', 'nohup', 'V3', 'V3', 0.9484848484848485, 0.16308832168579102]
['CV', 345, 'UV', 80, 'rmdir', 'objcopy', 'V1', 'V0', 0.9862731640356898, 0.765169620513916]
['CV', 70, 'UV', 48, 'vdir', 'locate', 'V2', 'V1', 0.930835734870317, 0.3994264602661133]
['UV', 35, 'CV', 275, 'size', 'dirname', 'V3', 'V1', 0.9960343688037012, 0.5815997123718262]
['CV', 107, 'BV', 68, 'tee', 'dot', 'V3', 'V0', 1.0, 0.03449273109436035]
['BV', 21, 'UV', 64, 'cp', 'size', 'V1', 'V1', 0.9662311557788945, 1.765904426574707]
['CV', 105, 'UV', 20, 'pwd', 'size', 'V3', 'V2', 0.9667718191377498, 1.075434684753418]
['CV', 11, 'UV', 55, 'printenv', 'ranlib', 'V2', 'V1', 0.9815075376884422, 0.8307607173919678]
['BV', 74, 'CV', 207, 'git', 'sync', 'V1', 'V0', 0.9995841131212311, 1.8014636039733887]
['CV', 223, 'BV', 49, 'tsort', 'make', 'V0', 'V3', 0.9704251386321626, 0.3261075019836426]
['BV', 37, 'CV', 116, 'geany', 'tail', 'V1', 'V3', 0.9988899680865825, 9.19656753540039]
['CV', 278, 'BV', 62, 'mkfifo', 'diff', 'V1', 'V0', 0.8915470494417863, 0.0722494125366211]
['BV', 27, 'CV', 28, 'libSDL2-2.0.so', 'chown', 'V1', 'V2', 0.9930107526881721, 2.29255747795105]
['UV', 4, 'CV', 17, 'cmp', 'mkfifo', 'V2', 'V2', 0.9372384937238494, 0.05042123794555664]
['CV', 331, 'UV', 64, 'vdir', 'size', 'V1', 'V1', 0.9687561795530947, 2.1005477905273438]
['CV', 210, 'BV', 30, 'chroot', 'bash', 'V0', 'V0', 0.9868405864019393, 1.0235788822174072]
['CV', 315, 'BV', 66, 'false', 'lua', 'V1', 'V1', 0.9797904191616766, 0.3175323009490967]
['CV', 127, 'BV', 73, 'ls', 'geany', 'V3', 'V0', 0.9820138275198835, 16.089894771575928]
['UV', 58, 'CV', 145, 'objcopy', 'readlink', 'V1', 'V3', 0.9942242900689876, 1.4920570850372314]
['UV', 86, 'CV', 245, 'size', '[', 'V0', 'V0', 0.9973763118440779, 0.7506415843963623]
['BV', 21, 'CV', 223, 'cp', 'tsort', 'V1', 'V0', 0.9564489112227805, 0.06106686592102051]
['CV', 302, 'UV', 39, 'nice', 'find', 'V1', 'V3', 0.9769372693726938, 0.33003711700439453]
['CV', 72, 'BV', 46, 'id', 'cluster', 'V2', 'V3', 0.964259121370067, 0.2536036968231201]
['BV', 36, 'CV', 38, 'libvlc.so', 'split', 'V2', 'V2', 0.9911268855368234, 0.6781454086303711]
['UV', 86, 'CV', 289, 'size', 'chown', 'V0', 'V1', 0.9945175438596491, 1.2638866901397705]
['CV', 172, 'BV', 50, 'mknod', 'sort', 'V3', 'V0', 0.9072, 0.08792924880981445]
['BV', 25, 'CV', 17, 'git', 'mkfifo', 'V3', 'V2', 0.9991822270682841, 4.235226392745972]
['UV', 87, 'CV', 151, 'objdump', 'md5sum', 'V0', 'V3', 0.9960311402839261, 1.5148277282714844]
['BV', 37, 'CV', 128, 'geany', 'nice', 'V1', 'V3', 0.9993448146761512, 4.467175245285034]
['UV', 11, 'CV', 323, 'ranlib', 'unexpand', 'V2', 'V1', 0.9963302752293578, 0.6856567859649658]
['BV', 56, 'CV', 227, 'ssh', 'tty', 'V3', 'V0', 0.9990717821782178, 0.7529053688049316]
['CV', 229, 'UV', 82, 'nohup', 'gprof', 'V0', 'V0', 0.9839539189467188, 0.787524938583374]
['CV', 78, 'BV', 4, 'rm', 'geany', 'V2', 'V3', 0.9906788748659573, 11.60256052017212]
['CV', 104, 'UV', 15, 'mkfifo', 'ld', 'V3', 'V2', 0.9797951052931133, 1.4102439880371094]
['UV', 33, 'BV', 23, 'ar', 'diff', 'V3', 'V3', 0.9899964272954627, 3.840705633163452]
