['UV', 80, 'CV', 102, 'objcopy', 'uptime', 'V0', 'V3', 0.9956789097556922, 1.506702184677124]
['CV', 177, 'BV', 0, 'test', 'bash', 'V0', 'V2', 0.9884547984743841, 1.3622968196868896]
['CV', 256, 'UV', 7, 'sort', 'nm', 'V0', 'V2', 0.973920130399348, 1.4363749027252197]
['CV', 177, 'BV', 30, 'test', 'bash', 'V0', 'V0', 0.9868920317350811, 1.2714965343475342]
['CV', 269, 'BV', 67, 'du', 'cluster', 'V1', 'V0', 0.9449152542372882, 0.42040061950683594]
['CV', 141, 'BV', 21, 'false', 'cp', 'V3', 'V1', 0.8676923076923077, 0.0921168327331543]
['BV', 45, 'CV', 108, 'svn', 'chgrp', 'V3', 'V3', 0.9929032258064516, 1.1901659965515137]
['UV', 26, 'CV', 53, 'ranlib', 'tty', 'V3', 'V2', 0.9971169686985173, 0.7424118518829346]
['BV', 69, 'CV', 12, 'gvmap', 'stty', 'V0', 'V2', 0.9807264640474426, 0.2751033306121826]
['UV', 74, 'CV', 288, 'strip', 'expr', 'V0', 'V1', 0.9935598132345838, 2.1278655529022217]
['CV', 99, 'UV', 13, 'stty', 'strings', 'V3', 'V2', 0.9737281067556297, 1.3955342769622803]
['CV', 137, 'UV', 75, 'cksum', 'readelf', 'V3', 'V0', 0.9684931506849315, 0.2824282646179199]
['BV', 40, 'CV', 330, 'lua', 'csplit', 'V2', 'V1', 0.9933494558645707, 1.2587604522705078]
['CV', 26, 'BV', 33, 'date', 'openssl', 'V2', 'V0', 0.9868938401048493, 4.482553482055664]
['BV', 36, 'CV', 283, 'libvlc.so', 'kill', 'V2', 'V1', 0.9940711462450593, 0.31661272048950195]
['UV', 10, 'CV', 9, 'as', 'users', 'V2', 'V2', 0.997849751377503, 1.2340059280395508]
['UV', 85, 'CV', 80, 'elfedit', 'uniq', 'V0', 'V2', 0.9768339768339769, 0.08244061470031738]
['UV', 36, 'CV', 133, 'objdump', 'cut', 'V3', 'V3', 0.995945945945946, 1.7087347507476807]
['UV', 37, 'CV', 48, 'locate', 'df', 'V3', 'V2', 0.9797349961028838, 0.36414623260498047]
['CV', 343, 'BV', 37, 'sort', 'geany', 'V1', 'V1', 0.9900788131664349, 11.379732370376587]
['UV', 9, 'CV', 309, 'readelf', 'df', 'V2', 'V1', 0.984573002754821, 0.36962342262268066]
['UV', 49, 'CV', 330, 'xargs', 'csplit', 'V1', 'V1', 0.9011235955056179, 0.1490306854248047]
['BV', 33, 'CV', 62, 'openssl', 'unexpand', 'V0', 'V2', 0.9990522824198389, 2.7663307189941406]
['UV', 0, 'CV', 309, 'locate', 'df', 'V2', 'V1', 0.9596977329974811, 0.12458992004394531]
['UV', 29, 'CV', 304, 'objcopy', 'chmod', 'V3', 'V1', 0.9951066060817896, 1.4074127674102783]
['UV', 57, 'CV', 82, 'strings', 'sort', 'V1', 'V2', 0.9941770186335404, 2.284914255142212]
['BV', 75, 'CV', 77, 'cmp', 'nl', 'V2', 'V2', 0.910950661853189, 0.13553380966186523]
['UV', 75, 'BV', 44, 'readelf', 'make', 'V0', 'V0', 0.9124786324786325, 1.4683029651641846]
['BV', 32, 'CV', 213, 'perl', 'whoami', 'V0', 'V0', 0.9986689484692908, 1.0966014862060547]
['CV', 168, 'BV', 32, 'sleep', 'perl', 'V3', 'V0', 0.9866327779346701, 1.9774999618530273]
['BV', 61, 'CV', 36, 'cmp', 'chroot', 'V0', 'V2', 0.9005524861878453, 0.03680586814880371]
['BV', 64, 'CV', 47, 'openssl', 'od', 'V2', 'V2', 0.9965126416739319, 2.355282783508301]
['BV', 24, 'UV', 32, 'git', 'addr2line', 'V0', 'V3', 0.9921142472471991, 49.79262566566467]
['UV', 84, 'CV', 159, 'ar', 'id', 'V0', 'V3', 0.997129971299713, 1.1138479709625244]
['UV', 73, 'BV', 59, 'nm', 'make', 'V0', 'V1', 0.9692159692159692, 5.495243549346924]
['BV', 48, 'CV', 248, 'gvmap', 'pathchk', 'V3', 'V0', 0.9866071428571429, 0.1783294677734375]
['BV', 39, 'CV', 84, 'svn', 'rmdir', 'V1', 'V2', 0.9908466819221968, 0.4950728416442871]
['BV', 45, 'CV', 27, 'svn', 'expr', 'V3', 'V2', 0.9887041104486979, 1.29766845703125]
['UV', 49, 'CV', 6, 'xargs', 'fmt', 'V1', 'V2', 0.9385796545105566, 0.058397531509399414]
['CV', 289, 'BV', 15, 'chown', 'libvlccore.so', 'V1', 'V3', 0.9879736782391649, 2.952779531478882]
['CV', 105, 'UV', 73, 'pwd', 'nm', 'V3', 'V0', 0.9694623655913979, 1.0863687992095947]
['CV', 108, 'UV', 6, 'chgrp', 'sdiff', 'V3', 'V2', 0.9272727272727272, 0.16578459739685059]
['CV', 90, 'BV', 29, 'test', 'perl', 'V3', 'V3', 0.9859599305884209, 2.9082329273223877]
['BV', 61, 'CV', 149, 'cmp', 'unexpand', 'V0', 'V3', 0.8805970149253731, 0.04152393341064453]
['CV', 298, 'UV', 85, 'seq', 'elfedit', 'V1', 'V0', 0.9612590799031477, 0.057093143463134766]
['CV', 233, 'BV', 34, 'head', 'svn', 'V0', 'V0', 0.9743589743589743, 0.47191309928894043]
['CV', 200, 'UV', 70, 'date', 'locate', 'V0', 'V0', 0.8987341772151899, 0.13892865180969238]
['BV', 76, 'CV', 99, 'diff', 'stty', 'V2', 'V3', 0.9603489294210944, 0.23993992805480957]
['CV', 119, 'UV', 86, 'paste', 'size', 'V3', 'V0', 0.9785819793205317, 1.1372160911560059]
['BV', 55, 'CV', 37, 'codeblocks', 'seq', 'V3', 'V2', 0.9990059024541783, 3.330578327178955]
['BV', 23, 'UV', 62, 'diff', 'ar', 'V3', 'V1', 0.9647346368715084, 3.7551395893096924]
['CV', 91, 'BV', 12, 'basename', 'sort', 'V3', 'V2', 0.9066059225512528, 0.13964080810546875]
['BV', 0, 'CV', 279, 'bash', 'pwd', 'V2', 'V1', 0.9987632690920334, 1.3648357391357422]
['CV', 170, 'UV', 76, 'tac', 'as', 'V3', 'V0', 0.9760978321289605, 1.7999107837677002]
['UV', 58, 'BV', 76, 'objcopy', 'diff', 'V1', 'V2', 0.9879941434846267, 4.083054542541504]
['BV', 79, 'UV', 63, 'bash', 'elfedit', 'V3', 'V1', 0.9990179711283512, 1.8458905220031738]
['CV', 204, 'UV', 34, 'pinky', 'elfedit', 'V0', 'V3', 0.971252566735113, 0.08656692504882812]
['UV', 79, 'CV', 237, 'strings', 'mv', 'V0', 'V0', 0.9937356441845897, 1.7814507484436035]
['UV', 37, 'BV', 14, 'locate', 'openssl', 'V3', 'V3', 0.9739086803813347, 5.994131326675415]
['BV', 6, 'CV', 131, 'libvlc.so', 'true', 'V0', 'V3', 0.990273556231003, 0.30509114265441895]
['CV', 129, 'BV', 59, 'dircolors', 'make', 'V3', 'V1', 0.9496972519795063, 0.47983694076538086]
['UV', 80, 'CV', 174, 'objcopy', 'touch', 'V0', 'V0', 0.9972940977507188, 1.0772557258605957]
['BV', 33, 'CV', 277, 'openssl', 'dd', 'V0', 'V1', 0.999266977328656, 4.1889495849609375]
['BV', 45, 'CV', 83, 'svn', 'tac', 'V3', 'V2', 0.9905243209096652, 1.2798762321472168]
['CV', 52, 'BV', 12, 'logname', 'sort', 'V2', 'V2', 0.8817852834740652, 0.10983490943908691]
['BV', 25, 'CV', 114, 'git', 'expr', 'V3', 'V3', 0.9988476529401796, 7.379859685897827]
['BV', 26, 'CV', 214, 'geany', 'ls', 'V2', 'V0', 0.9986723901402841, 9.92351245880127]
['BV', 40, 'UV', 46, 'lua', 'diff', 'V2', 'V1', 0.9827450980392157, 2.3301455974578857]
['CV', 7, 'BV', 48, 'dir', 'gvmap', 'V2', 'V3', 0.9455634186173109, 0.7102706432342529]
['CV', 71, 'UV', 1, '[', 'xargs', 'V2', 'V2', 0.8900804289544236, 0.11093449592590332]
['UV', 50, 'CV', 291, 'find', 'pinky', 'V1', 'V1', 0.9890377588306942, 0.25147485733032227]
['BV', 54, 'CV', 41, 'lua', 'nice', 'V3', 'V2', 0.9955285851165762, 0.5199680328369141]
['CV', 134, 'BV', 43, 'od', 'lua', 'V3', 'V0', 0.9408369408369408, 0.8600735664367676]
['CV', 287, 'UV', 37, 'date', 'locate', 'V1', 'V3', 0.9718574108818011, 0.23097944259643555]
['CV', 74, 'BV', 79, 'pathchk', 'bash', 'V2', 'V3', 0.9881469774792572, 1.8052384853363037]
['CV', 28, 'BV', 65, 'chown', 'ssh', 'V2', 'V1', 0.9763047390521895, 3.877793550491333]
['UV', 55, 'CV', 113, 'ranlib', 'date', 'V1', 'V3', 0.994681861348528, 1.8136701583862305]
['CV', 35, 'BV', 9, 'sum', 'dot', 'V2', 'V2', 1.0, 0.03019881248474121]
['CV', 307, 'BV', 72, 'cut', 'perl', 'V1', 'V1', 0.9904341427520236, 1.9071950912475586]
['UV', 19, 'CV', 37, 'elfedit', 'seq', 'V2', 'V2', 0.9838383838383838, 0.07707071304321289]
['CV', 113, 'UV', 11, 'date', 'ranlib', 'V3', 'V2', 0.9639224716944924, 1.9206457138061523]
['CV', 240, 'BV', 53, 'link', 'ssh', 'V0', 'V2', 0.990532905787143, 1.5631980895996094]
['CV', 301, 'UV', 32, 'ls', 'addr2line', 'V1', 'V3', 0.9726865063187933, 2.170632839202881]
['CV', 107, 'UV', 75, 'tee', 'readelf', 'V3', 'V0', 0.960212201591512, 0.3353896141052246]
['CV', 337, 'BV', 52, 'comm', 'libSDL2-2.0.so', 'V1', 'V2', 0.9825725061776563, 1.6039860248565674]
['CV', 54, 'BV', 12, 'false', 'sort', 'V2', 'V2', 0.8813349814585909, 0.09659576416015625]
['BV', 79, 'UV', 9, 'bash', 'readelf', 'V3', 'V2', 0.9937238493723849, 10.051102876663208]
['CV', 254, 'UV', 83, 'uniq', 'addr2line', 'V0', 'V0', 0.9773282951767059, 0.8764834403991699]
['BV', 32, 'CV', 296, 'perl', 'sum', 'V0', 'V1', 0.9988646040306557, 1.547417402267456]
['BV', 47, 'UV', 2, 'dot', 'find', 'V3', 'V2', 0.9959704499664204, 0.1748800277709961]
['CV', 283, 'BV', 11, 'kill', 'bash', 'V1', 'V1', 0.9871822724310233, 1.3753089904785156]
['CV', 157, 'BV', 38, 'vdir', 'ruby', 'V3', 'V2', 1.0, 0.03705430030822754]
['BV', 12, 'CV', 336, 'sort', 'tr', 'V2', 'V1', 0.974477958236659, 0.11868023872375488]
['BV', 76, 'CV', 202, 'diff', 'chown', 'V2', 'V0', 0.9668874172185431, 0.22502899169921875]
['CV', 263, 'BV', 69, 'unlink', 'gvmap', 'V1', 'V0', 0.9612468407750632, 0.1542057991027832]
['UV', 54, 'CV', 204, 'as', 'pinky', 'V1', 'V0', 0.9986491962717817, 1.287113904953003]
['BV', 37, 'UV', 10, 'geany', 'as', 'V1', 'V2', 0.9947116062614582, 115.78532576560974]
['CV', 291, 'UV', 79, 'pinky', 'strings', 'V1', 'V0', 0.98082497212932, 0.9246094226837158]
['BV', 36, 'CV', 75, 'libvlc.so', 'tr', 'V2', 'V2', 0.9934241427900423, 0.5351183414459229]
['CV', 303, 'BV', 10, 'dircolors', 'gvmap', 'V1', 'V2', 0.9638728323699421, 0.23363852500915527]
['BV', 4, 'CV', 13, 'geany', 'join', 'V3', 'V2', 0.9991714995857498, 5.7684924602508545]
['BV', 14, 'UV', 85, 'openssl', 'elfedit', 'V3', 'V0', 0.9978384220480951, 1.6924729347229004]
['UV', 10, 'CV', 226, 'as', 'logname', 'V2', 'V0', 0.9980970504281637, 0.789618730545044]
['CV', 199, 'BV', 5, 'expand', 'libvlccore.so', 'V0', 'V0', 0.9904076738609112, 1.2023000717163086]
['BV', 17, 'CV', 105, 'codeblocks', 'pwd', 'V2', 'V3', 0.9988652839942004, 3.7498929500579834]
['UV', 0, 'CV', 212, 'locate', 'split', 'V2', 'V0', 0.9524475524475524, 0.0882120132446289]
['CV', 1, 'UV', 11, 'stat', 'ranlib', 'V2', 'V2', 0.9743023489259185, 0.980994701385498]
['BV', 12, 'UV', 53, 'sort', 'readelf', 'V2', 'V1', 0.953416149068323, 0.683311939239502]
['BV', 76, 'CV', 100, 'diff', 'join', 'V2', 'V3', 0.9662317728319263, 0.2734246253967285]
['UV', 83, 'CV', 294, 'addr2line', 'sync', 'V0', 'V1', 0.9981916817359855, 0.47217583656311035]
['UV', 52, 'CV', 118, 'strip', 'sha1sum', 'V1', 'V3', 0.9961358879407503, 1.422145128250122]
['CV', 28, 'BV', 56, 'chown', 'ssh', 'V2', 'V3', 0.9745071883800207, 2.121549129486084]
['UV', 61, 'CV', 25, 'addr2line', 'expand', 'V1', 'V2', 0.9966116052520119, 0.7247292995452881]
['BV', 61, 'CV', 37, 'cmp', 'seq', 'V0', 'V2', 0.8953168044077136, 0.033490657806396484]
['CV', 174, 'BV', 3, 'touch', 'diff', 'V0', 'V1', 0.9100899100899101, 0.15473270416259766]
['CV', 330, 'UV', 62, 'csplit', 'ar', 'V1', 'V1', 0.9651141213583225, 2.319509983062744]
['BV', 75, 'CV', 119, 'cmp', 'paste', 'V2', 'V3', 0.9127272727272727, 0.06563949584960938]
['BV', 83, 'UV', 55, 'git', 'ranlib', 'V2', 'V1', 0.9941253263707572, 76.71833086013794]
['BV', 23, 'CV', 188, 'diff', 'dirname', 'V3', 'V0', 0.9886039886039886, 0.10070490837097168]
['UV', 40, 'CV', 23, 'diff3', 'wc', 'V3', 'V2', 0.9344262295081968, 0.09504175186157227]
['UV', 11, 'CV', 273, 'ranlib', 'stty', 'V2', 'V1', 0.9963724304715841, 0.8969016075134277]
['UV', 62, 'CV', 338, 'ar', 'nl', 'V1', 'V1', 0.9954691334717765, 1.8091750144958496]
['CV', 265, 'UV', 25, 'basename', 'as', 'V1', 'V3', 0.9834148994018488, 0.9354162216186523]
['BV', 19, 'UV', 11, 'cp', 'ranlib', 'V3', 'V2', 0.9685039370078741, 3.3167107105255127]
['CV', 253, 'UV', 37, 'fold', 'locate', 'V0', 'V3', 0.9713408393039918, 0.17055630683898926]
['BV', 68, 'CV', 61, 'dot', 'ginstall', 'V0', 'V2', 0.9944979367262724, 0.07200360298156738]
['CV', 159, 'BV', 70, 'id', 'ssh', 'V3', 'V0', 0.9791179678977715, 2.884190082550049]
['BV', 14, 'CV', 81, 'openssl', 'sleep', 'V3', 'V2', 0.9980947196516059, 1.5912432670593262]
['BV', 37, 'CV', 242, 'geany', 'cat', 'V1', 'V0', 0.9994361432196223, 2.9312121868133545]
['CV', 121, 'BV', 78, 'echo', 'make', 'V3', 'V2', 0.9573661771672193, 0.3870370388031006]
['UV', 46, 'CV', 318, 'diff', 'who', 'V1', 'V1', 0.9847677075399848, 0.19518256187438965]
['BV', 17, 'CV', 53, 'codeblocks', 'tty', 'V2', 'V2', 0.9991121821294946, 2.494683265686035]
