['UV', 11, 'CV', 9, 'ranlib', 'users', 'V2', 'V2', 0.997582107596212, 0.8907723426818848]
['UV', 51, 'CV', 299, 'nm', 'split', 'V1', 'V1', 0.9958307275380446, 0.8338232040405273]
['CV', 138, 'UV', 63, 'printf', 'elfedit', 'V3', 'V1', 0.9789473684210527, 0.08701372146606445]
['CV', 219, 'BV', 13, 'cp', 'cp', 'V0', 'V2', 0.8863232682060391, 0.21038103103637695]
['UV', 42, 'CV', 120, 'diff', 'sync', 'V3', 'V3', 0.9708404802744426, 0.1676011085510254]
['CV', 228, 'BV', 48, 'false', 'gvmap', 'V0', 'V3', 0.9650986342943855, 0.1370851993560791]
['CV', 6, 'UV', 24, 'fmt', 'readelf', 'V2', 'V3', 0.9739776951672863, 0.41404032707214355]
['CV', 130, 'UV', 29, 'chmod', 'objcopy', 'V3', 'V3', 0.9674657534246576, 1.9344744682312012]
['UV', 34, 'CV', 10, 'elfedit', 'ptx', 'V3', 'V2', 0.9837232960325534, 0.20461201667785645]
['CV', 41, 'UV', 44, 'nice', 'diff3', 'V2', 'V1', 0.8839590443686007, 0.07222223281860352]
['CV', 53, 'UV', 45, 'tty', 'cmp', 'V2', 'V1', 0.9314775160599572, 0.05227327346801758]
['CV', 120, 'BV', 75, 'sync', 'cmp', 'V3', 'V2', 0.8832391713747646, 0.0679159164428711]
['UV', 72, 'CV', 64, 'find', 'md5sum', 'V0', 'V2', 0.9891304347826086, 0.19113922119140625]
['CV', 201, 'UV', 87, 'expr', 'objdump', 'V0', 'V0', 0.9663815983485697, 2.7947981357574463]
['BV', 83, 'UV', 72, 'git', 'find', 'V2', 'V0', 0.996727913415555, 17.911879062652588]
['UV', 7, 'CV', 190, 'nm', 'dd', 'V2', 'V0', 0.9946347503095336, 1.2028563022613525]
['CV', 283, 'UV', 49, 'kill', 'xargs', 'V1', 'V1', 0.880085653104925, 0.053244829177856445]
['CV', 192, 'BV', 34, 'pwd', 'svn', 'V0', 'V0', 0.9758551307847082, 0.4005422592163086]
['UV', 75, 'CV', 324, 'readelf', 'mv', 'V0', 'V1', 0.9755813953488373, 0.5678586959838867]
['UV', 12, 'CV', 165, 'c++filt', 'rm', 'V2', 'V3', 0.9918781725888325, 1.8727984428405762]
['BV', 72, 'CV', 213, 'perl', 'whoami', 'V1', 'V0', 0.9989655681986109, 1.3660516738891602]
['UV', 3, 'CV', 200, 'diff3', 'date', 'V2', 'V0', 0.9206349206349207, 0.08846139907836914]
