['UO', 76, 'CO', 409, 'addr2line', 'uniq', 'O0', 'O0', 0.9985998319798376, 1.9783577919006348]
['CO', 237, 'UO', 16, 'nproc', 'size', 'O2', 'O1', 0.9802105263157894, 0.8841145038604736]
['CO', 266, 'BO', 33, 'df', 'sort', 'O2', 'O2', 0.8981989036805011, 0.3342630863189697]
['UO', 59, 'CO', 57, 'locate', 'od', 'O3', 'O3', 0.981042654028436, 0.32998228073120117]
['CO', 246, 'BO', 80, 'sha1sum', 'ssh', 'O2', 'O3', 0.9849446494464945, 1.3929779529571533]
['UO', 46, 'BO', 37, 'readelf', 'gvmap', 'O3', 'O2', 0.9682795698924731, 2.134554147720337]
['BO', 43, 'CO', 23, 'diff', 'pr', 'O1', 'O3', 0.967670830271859, 0.3170332908630371]
['CO', 329, 'UO', 57, 'stdbuf', 'size', 'O0', 'O3', 0.9724137931034482, 1.239321231842041]
['BO', 23, 'CO', 43, 'git', 'chroot', 'O2', 'O3', 0.998963282937365, 4.975274324417114]
['BO', 47, 'CO', 136, 'libvlc.so.12.0.0', 'expr', 'O0', 'O1', 0.9870410367170627, 0.7821075916290283]
['CO', 331, 'BO', 21, 'dd', 'cp', 'O0', 'O1', 0.8848167539267016, 0.38364195823669434]
['CO', 195, 'BO', 28, 'comm', 'ruby', 'O1', 'O0', 0.9922709244381166, 5.812568664550781]
['BO', 27, 'CO', 62, 'perl', 'printf', 'O3', 'O3', 0.9979543565812184, 3.4062654972076416]
['CO', 400, 'UO', 80, 'shred', 'objdump', 'O0', 'O0', 0.9881332724783204, 5.052340507507324]
['UO', 32, 'CO', 97, 'strings', 'uniq', 'O2', 'O3', 0.9949130987706656, 1.2248685359954834]
['BO', 27, 'CO', 255, 'perl', 'numfmt', 'O3', 'O2', 0.9980786473677469, 3.1792314052581787]
['CO', 59, 'BO', 46, 'tsort', 'ruby', 'O3', 'O3', 0.9911483335035577, 6.500033617019653]
['CO', 180, 'UO', 35, 'md5sum', 'gprof', 'O1', 'O2', 0.9741653418124007, 1.1986725330352783]
['BO', 10, 'CO', 224, 'openssl', 'dirname', 'O3', 'O2', 0.9988816819503467, 1.7360913753509521]
