['CO', 11, 'UO', 35, 'groups', 'gprof', 'O3', 'O2', 0.9773314774309008, 1.1818463802337646]
['UO', 19, 'CO', 396, 'cmp', 'vdir', 'O1', 'O0', 0.9212827988338192, 0.31664419174194336]
['BO', 39, 'CO', 410, 'codeblocks', 'sleep', 'O3', 'O0', 0.9981642393831844, 3.8211889266967773]
['UO', 74, 'CO', 83, 'ld', 'csplit', 'O0', 'O3', 0.9976610466816099, 3.387747287750244]
['CO', 137, 'BO', 31, 'chown', 'bash', 'O1', 'O2', 0.9717686133407141, 4.124828815460205]
['UO', 68, 'CO', 278, 'readelf', 'b2sum', 'O0', 'O2', 0.9927797833935018, 0.9455101490020752]
['BO', 28, 'CO', 174, 'ruby', 'b2sum', 'O0', 'O1', 0.998173392416196, 7.268076181411743]
['CO', 409, 'BO', 24, 'uniq', 'cluster', 'O0', 'O3', 0.9749128919860627, 0.4067051410675049]
['BO', 16, 'CO', 33, 'make', 'chown', 'O0', 'O3', 0.9887892376681614, 0.9325971603393555]
['CO', 42, 'BO', 6, 'sum', 'codeblocks', 'O3', 'O0', 0.9971683032655857, 8.86993956565857]
['UO', 66, 'CO', 42, 'nm', 'sum', 'O0', 'O3', 0.9972409987584494, 1.9122793674468994]
['CO', 163, 'BO', 26, 'tsort', 'gvmap', 'O1', 'O3', 0.9524475524475524, 0.31326746940612793]
['CO', 238, 'BO', 46, 'expand', 'ruby', 'O2', 'O3', 0.9930377802805365, 5.554957866668701]
['UO', 28, 'CO', 85, 'readelf', '[', 'O2', 'O3', 0.9892395982783357, 0.6472413539886475]
['BO', 7, 'CO', 373, 'sort', 'cksum', 'O0', 'O0', 0.9858490566037735, 0.22869181632995605]
['CO', 273, 'UO', 35, 'false', 'gprof', 'O2', 'O2', 0.982933766761479, 0.7814347743988037]
['CO', 232, 'UO', 74, 'tee', 'ld', 'O2', 'O0', 0.9948402460805715, 2.4994194507598877]
['CO', 45, 'BO', 40, 'split', 'lua', 'O3', 'O0', 0.9757406111499883, 1.5955138206481934]
['UO', 46, 'CO', 10, 'readelf', 'users', 'O3', 'O3', 0.9935965848452508, 0.5660889148712158]
['CO', 98, 'BO', 12, 'sleep', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9969930646491101, 6.549804210662842]
['CO', 243, 'BO', 64, 'base32', 'dot', 'O2', 'O0', 0.9929078014184397, 0.032238006591796875]
['UO', 35, 'BO', 27, 'gprof', 'perl', 'O2', 'O3', 0.9760175141805155, 56.67408347129822]
['UO', 85, 'CO', 249, 'locate', 'echo', 'O0', 'O2', 0.9911111111111112, 0.22652339935302734]
['UO', 0, 'CO', 204, 'locate', 'tac', 'O1', 'O1', 0.9709897610921502, 0.26824212074279785]
['BO', 30, 'CO', 403, 'libvlccore.so.9.0.0', 'comm', 'O2', 'O0', 0.9980963259090044, 2.7594447135925293]
['CO', 67, 'UO', 30, 'nohup', 'ranlib', 'O3', 'O2', 0.9744990892531876, 1.1507577896118164]
['BO', 14, 'CO', 388, 'cmp', 'md5sum', 'O0', 'O0', 0.8961832061068702, 0.10895800590515137]
['CO', 375, 'BO', 39, 'logname', 'codeblocks', 'O0', 'O3', 0.9939969372128638, 5.001171112060547]
['UO', 16, 'BO', 19, 'size', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.975910173528411, 37.41427779197693]
['UO', 48, 'CO', 340, 'ranlib', 'factor', 'O3', 'O0', 0.9887509697439876, 2.247507095336914]
['BO', 57, 'CO', 301, 'libvlccore.so.9.0.0', 'nl', 'O3', 'O2', 0.9986695809179892, 2.1355435848236084]
['UO', 84, 'CO', 227, 'sdiff', 'dd', 'O0', 'O2', 0.9211711711711712, 0.1885976791381836]
['BO', 35, 'CO', 380, 'make', 'yes', 'O3', 'O0', 0.9856566562079785, 0.5057415962219238]
['UO', 0, 'CO', 380, 'locate', 'yes', 'O1', 'O0', 0.9698314108251996, 0.24622464179992676]
['BO', 16, 'CO', 126, 'make', 'pwd', 'O0', 'O1', 0.9809995869475423, 0.5124375820159912]
['BO', 9, 'CO', 246, 'git', 'sha1sum', 'O0', 'O2', 0.9988732882648639, 4.0518128871917725]
['BO', 1, 'CO', 299, 'ssh', 'comm', 'O2', 'O2', 0.996742671009772, 1.3258421421051025]
['CO', 27, 'BO', 5, 'wc', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9917405470940365, 10.242607831954956]
