['CO', 284, 'BO', 73, 'md5sum', 'cluster', 'O2', 'O1', 0.950965824665676, 0.26201653480529785]
['CO', 180, 'BO', 12, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9955434993218368, 7.402445554733276]
['CO', 247, 'BO', 26, 'paste', 'gvmap', 'O2', 'O3', 0.9593023255813954, 0.23906207084655762]
['BO', 21, 'CO', 248, 'cp', 'sync', 'O1', 'O2', 0.9630010277492291, 0.12820696830749512]
['BO', 68, 'CO', 193, 'git', 'pathchk', 'O3', 'O1', 0.9988723108952117, 3.7338438034057617]
['BO', 71, 'CO', 45, 'libSDL2-2.0.so.0.16.0', 'split', 'O0', 'O3', 0.9966666666666667, 3.6175312995910645]
['CO', 150, 'UO', 66, 'whoami', 'nm', 'O1', 'O0', 0.9910426871938418, 1.6708569526672363]
['CO', 291, 'UO', 40, 'csplit', 'objdump', 'O2', 'O2', 0.9806477623975273, 2.153352975845337]
['BO', 35, 'UO', 29, 'make', 'as', 'O3', 'O2', 0.9427456083279115, 10.635401487350464]
['CO', 37, 'BO', 18, 'truncate', 'libvlc.so.12.0.0', 'O3', 'O1', 0.9757330637007078, 0.5215797424316406]
['BO', 2, 'CO', 205, 'perl', 'rmdir', 'O1', 'O1', 0.9979354246716752, 3.1424145698547363]
['BO', 30, 'CO', 214, 'libvlccore.so.9.0.0', 'mkdir', 'O2', 'O2', 0.9980948752143265, 2.563689947128296]
['UO', 3, 'CO', 112, 'nm', 'dir', 'O1', 'O1', 0.9783446503945679, 3.1786632537841797]
['CO', 76, 'UO', 9, 'md5sum', 'strings', 'O3', 'O1', 0.9693391340377046, 1.1578421592712402]
['UO', 74, 'BO', 21, 'ld', 'cp', 'O0', 'O1', 0.9909884539566319, 6.548349857330322]
['CO', 340, 'UO', 8, 'factor', 'c++filt', 'O0', 'O1', 0.9710029791459781, 2.299320936203003]
['BO', 17, 'CO', 388, 'codeblocks', 'md5sum', 'O2', 'O0', 0.9976505502658588, 4.666054725646973]
['CO', 190, 'UO', 65, 'timeout', 'sdiff', 'O1', 'O3', 0.8780841799709724, 0.10792827606201172]
['BO', 47, 'CO', 350, 'libvlc.so.12.0.0', 'sha1sum', 'O0', 'O0', 0.9947735191637631, 0.7450799942016602]
['CO', 250, 'UO', 74, 'sum', 'ld', 'O2', 'O0', 0.9934588701684837, 2.6396877765655518]
['CO', 364, 'BO', 7, 'sha256sum', 'sort', 'O0', 'O0', 0.9191176470588235, 0.3113441467285156]
['UO', 29, 'CO', 310, 'as', 'mknod', 'O2', 'O2', 0.9972994869025115, 1.2269964218139648]
['UO', 36, 'CO', 231, 'addr2line', 'pr', 'O2', 'O2', 0.993306839573311, 1.4784128665924072]
['BO', 8, 'CO', 328, 'cp', 'dirname', 'O0', 'O0', 0.9863945578231292, 0.23529911041259766]
['UO', 10, 'CO', 18, 'objcopy', 'uptime', 'O1', 'O3', 0.9935308137555329, 1.5580987930297852]
['CO', 173, 'BO', 12, 'who', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9947773103148121, 8.383639097213745]
['CO', 235, 'UO', 85, 'wc', 'locate', 'O2', 'O0', 0.9753424657534246, 0.373490571975708]
['UO', 47, 'CO', 245, 'as', 'truncate', 'O3', 'O2', 0.9975396391470749, 1.177187442779541]
['CO', 266, 'BO', 72, 'df', 'make', 'O2', 'O2', 0.9550650374458022, 0.9141709804534912]
['CO', 280, 'BO', 44, 'head', 'cmp', 'O2', 'O2', 0.908256880733945, 0.06717085838317871]
['UO', 71, 'CO', 353, 'c++filt', 'echo', 'O0', 'O0', 0.9979916798163821, 1.2947876453399658]
['BO', 0, 'CO', 77, 'codeblocks', 'env', 'O1', 'O3', 0.9988813622521907, 3.5023698806762695]
['UO', 2, 'CO', 391, 'find', 'link', 'O1', 'O0', 0.9873257287705957, 0.4818251132965088]
['CO', 365, 'BO', 17, 'chmod', 'codeblocks', 'O0', 'O2', 0.9878973105134474, 9.322170734405518]
['UO', 80, 'CO', 155, 'objdump', 'realpath', 'O0', 'O1', 0.9960999164267805, 2.80133318901062]
['UO', 11, 'BO', 52, 'ld', 'svn', 'O1', 'O3', 0.9948158548439356, 11.793190479278564]
['CO', 35, 'BO', 45, 'base32', 'diff', 'O3', 'O2', 0.9096437880104257, 0.20732975006103516]
['UO', 57, 'CO', 86, 'size', 'timeout', 'O3', 'O3', 0.9944110060189166, 1.1581251621246338]
['CO', 319, 'UO', 71, 'fmt', 'c++filt', 'O0', 'O0', 0.985533966813218, 2.1837449073791504]
['CO', 239, 'UO', 71, 'date', 'c++filt', 'O2', 'O0', 0.9849035504612804, 2.651143789291382]
['UO', 23, 'CO', 253, 'cmp', 'split', 'O2', 'O2', 0.9101123595505618, 0.08717179298400879]
['CO', 54, 'BO', 39, 'true', 'codeblocks', 'O3', 'O3', 0.9959551388122817, 3.91182541847229]
['UO', 46, 'CO', 411, 'readelf', 'sort', 'O3', 'O0', 0.9754121262922604, 2.154798746109009]
['CO', 310, 'BO', 62, 'mknod', 'bash', 'O2', 'O1', 0.9856741844932727, 1.8403074741363525]
['CO', 278, 'UO', 35, 'b2sum', 'gprof', 'O2', 'O2', 0.9687561795530947, 1.2765769958496094]
['CO', 312, 'BO', 64, 'sha384sum', 'dot', 'O0', 'O0', 0.9851116625310173, 0.04394268989562988]
['BO', 58, 'CO', 407, 'svn', 'sha224sum', 'O1', 'O0', 0.983399209486166, 0.8490567207336426]
['UO', 80, 'CO', 415, 'objdump', 'ln', 'O0', 'O0', 0.9978325657003522, 5.1113059520721436]
['CO', 55, 'BO', 27, 'cp', 'perl', 'O3', 'O3', 0.9836674090571641, 9.700163125991821]
['UO', 52, 'CO', 157, 'ld', 'chmod', 'O3', 'O1', 0.9906657515442691, 2.262348175048828]
['UO', 77, 'BO', 75, 'ar', 'gvmap', 'O0', 'O1', 0.9868247694334651, 6.315506458282471]
['CO', 50, 'UO', 35, 'dircolors', 'gprof', 'O3', 'O2', 0.9778481012658228, 1.2398109436035156]
['BO', 35, 'UO', 34, 'make', 'ld', 'O3', 'O2', 0.9527523454278286, 10.468823194503784]
['CO', 224, 'BO', 61, 'dirname', 'git', 'O2', 'O1', 0.9944379263894321, 3.1350011825561523]
['CO', 67, 'UO', 60, 'nohup', 'xargs', 'O3', 'O3', 0.9526938239159002, 0.14204716682434082]
['CO', 280, 'BO', 22, 'head', 'perl', 'O2', 'O0', 0.9908803928446159, 3.4659194946289062]
['BO', 48, 'CO', 165, 'libvlccore.so.9.0.0', 'cksum', 'O0', 'O1', 0.9982738780207134, 3.128628730773926]
['UO', 26, 'CO', 258, 'nm', 'dircolors', 'O2', 'O2', 0.9940374787052811, 0.9352574348449707]
['CO', 62, 'UO', 34, 'printf', 'ld', 'O3', 'O2', 0.9821129122414757, 1.965608835220337]
['BO', 22, 'CO', 221, 'perl', 'printenv', 'O0', 'O2', 0.9987280050879797, 1.8900108337402344]
['CO', 415, 'UO', 74, 'ln', 'ld', 'O0', 'O0', 0.9845139088041296, 5.58221435546875]
['CO', 22, 'UO', 70, 'pwd', 'ranlib', 'O3', 'O0', 0.9929985189174633, 1.9812300205230713]
['CO', 199, 'UO', 50, 'sha224sum', 'strings', 'O1', 'O3', 0.9723926380368099, 1.1210477352142334]
['UO', 25, 'CO', 154, 'sdiff', 'dircolors', 'O2', 'O1', 0.9368088467614534, 0.09606003761291504]
['CO', 374, 'UO', 49, 'printf', 'c++filt', 'O0', 'O3', 0.9746003941318152, 1.2598927021026611]
['BO', 28, 'CO', 156, 'ruby', 'sha256sum', 'O0', 'O1', 0.9981696156192801, 5.937474727630615]
['UO', 75, 'CO', 288, 'gprof', 'uname', 'O0', 'O2', 0.9975573347808386, 1.1969046592712402]
['BO', 68, 'CO', 17, 'git', 'stdbuf', 'O3', 'O3', 0.9991358824800173, 4.865684986114502]
['BO', 4, 'CO', 394, 'libgeany.so.0.0.0', 'shuf', 'O2', 'O0', 0.9994741784037559, 11.157525777816772]
['BO', 60, 'CO', 200, 'openssl', 'fold', 'O0', 'O1', 0.9979901517435433, 2.686292886734009]
['CO', 349, 'BO', 77, 'truncate', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.9768707482993197, 2.4632201194763184]
['CO', 66, 'UO', 76, 'runcon', 'addr2line', 'O3', 'O0', 0.9928754630948988, 1.5595462322235107]
['BO', 80, 'CO', 234, 'ssh', 'kill', 'O3', 'O2', 0.9958500074107011, 1.1781208515167236]
['BO', 74, 'CO', 257, 'dot', 'nice', 'O1', 'O2', 0.9919028340080972, 0.025688648223876953]
['BO', 50, 'CO', 231, 'perl', 'pr', 'O2', 'O2', 0.9977760334903192, 4.30462384223938]
['BO', 14, 'CO', 410, 'cmp', 'sleep', 'O0', 'O0', 0.9195804195804196, 0.08321690559387207]
['UO', 17, 'CO', 9, 'objdump', 'du', 'O1', 'O3', 0.9938187662257386, 4.30127477645874]
['CO', 51, 'UO', 79, 'realpath', 'size', 'O3', 'O0', 0.9908090795153879, 2.3424956798553467]
['UO', 75, 'CO', 316, 'gprof', 'test', 'O0', 'O0', 0.9978717744080873, 1.9784364700317383]
