['UO', 54, 'CO', 392, 'addr2line', 'uname', 'O3', 'O0', 0.9951584507042254, 0.901242733001709]
['CO', 64, 'BO', 28, 'tty', 'ruby', 'O3', 'O0', 0.9922604297498218, 4.490093469619751]
['UO', 32, 'CO', 167, 'strings', 'logname', 'O2', 'O1', 0.9956149967112475, 0.8349595069885254]
['CO', 396, 'BO', 52, 'vdir', 'svn', 'O0', 'O3', 0.9922549895740245, 2.7697980403900146]
['BO', 0, 'UO', 83, 'codeblocks', 'diff', 'O1', 'O0', 0.9963291888691533, 14.624739646911621]
['CO', 259, 'UO', 76, 'realpath', 'addr2line', 'O2', 'O0', 0.9878393665158371, 1.8992500305175781]
['CO', 379, 'UO', 39, 'nohup', 'size', 'O0', 'O2', 0.9737916219119227, 1.1487987041473389]
['CO', 349, 'BO', 28, 'truncate', 'ruby', 'O0', 'O0', 0.990914946269365, 5.780651569366455]
['BO', 46, 'UO', 72, 'ruby', 'strings', 'O3', 'O0', 0.9951519879635563, 144.3050639629364]
['BO', 34, 'CO', 292, 'cp', 'vdir', 'O2', 'O2', 0.9258295380611581, 0.49150753021240234]
['UO', 34, 'CO', 367, 'ld', 'cp', 'O2', 'O0', 0.9868974042027194, 6.670584440231323]
['BO', 28, 'UO', 64, 'ruby', 'diff', 'O0', 'O3', 0.9988063660477453, 18.25920343399048]
['CO', 180, 'UO', 0, 'md5sum', 'locate', 'O1', 'O1', 0.9432989690721649, 0.2617180347442627]
['UO', 10, 'CO', 187, 'objcopy', 'csplit', 'O1', 'O1', 0.9915483434753212, 1.8180766105651855]
['CO', 159, 'UO', 50, 'cp', 'strings', 'O1', 'O3', 0.9666339548577036, 2.9986321926116943]
['BO', 32, 'CO', 348, 'ruby', 'pinky', 'O2', 'O0', 0.9996890668117688, 6.176379442214966]
['UO', 48, 'CO', 253, 'ranlib', 'split', 'O3', 'O2', 0.9939381693271367, 1.3342318534851074]
['CO', 308, 'BO', 25, 'tac', 'dot', 'O2', 'O3', 1.0, 0.03210711479187012]
['CO', 369, 'UO', 32, 'od', 'strings', 'O0', 'O2', 0.9616186900292032, 1.7881145477294922]
['BO', 7, 'CO', 391, 'sort', 'link', 'O0', 'O0', 0.9887730553327987, 0.19956040382385254]
['BO', 17, 'CO', 178, 'codeblocks', 'unexpand', 'O2', 'O1', 0.9983858952073504, 3.84502911567688]
['UO', 45, 'CO', 9, 'strip', 'du', 'O3', 'O3', 0.9921363040629095, 3.0330958366394043]
['UO', 76, 'CO', 3, 'addr2line', 'unlink', 'O0', 'O3', 0.9968718896630172, 1.352156639099121]
['CO', 162, 'BO', 24, 'df', 'cluster', 'O1', 'O3', 0.947847180109157, 0.5990457534790039]
['BO', 5, 'UO', 68, 'libgeany.so.0.0.0', 'readelf', 'O1', 'O0', 0.9982460282659291, 68.08634877204895]
['CO', 107, 'UO', 42, 'unlink', 'xargs', 'O1', 'O2', 0.9707174231332357, 0.12332415580749512]
['UO', 27, 'BO', 41, 'strip', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9814265052904012, 36.71131658554077]
['BO', 6, 'CO', 356, 'codeblocks', 'seq', 'O0', 'O0', 0.9995431286549707, 6.395362854003906]
['UO', 71, 'CO', 297, 'c++filt', 'pathchk', 'O0', 'O2', 0.9974044700793079, 1.1921398639678955]
['UO', 18, 'CO', 172, 'diff3', 'yes', 'O1', 'O1', 0.8963210702341137, 0.07816934585571289]
['CO', 354, 'UO', 17, 'sum', 'objdump', 'O0', 'O1', 0.9756958055664445, 2.340350389480591]
['CO', 220, 'BO', 59, 'ptx', 'libgeany.so.0.0.0', 'O2', 'O3', 0.990826361367973, 12.761660099029541]
['BO', 44, 'CO', 212, 'cmp', 'test', 'O2', 'O2', 0.939047619047619, 0.06845378875732422]
['UO', 28, 'CO', 321, 'readelf', 'du', 'O2', 'O0', 0.9771428571428571, 1.7840015888214111]
['BO', 3, 'CO', 71, 'openssl', 'readlink', 'O1', 'O3', 0.9975693293558723, 2.760570526123047]
['UO', 77, 'CO', 84, 'ar', 'vdir', 'O0', 'O3', 0.9950056186789862, 5.061913728713989]
['UO', 80, 'BO', 6, 'objdump', 'codeblocks', 'O0', 'O0', 0.9890202439252628, 208.65577340126038]
['CO', 222, 'UO', 73, 'stty', 'objcopy', 'O2', 'O0', 0.9912715263033735, 2.425659418106079]
['CO', 322, 'UO', 80, 'users', 'objdump', 'O0', 'O0', 0.9925359208807614, 2.924518585205078]
['BO', 27, 'CO', 369, 'perl', 'od', 'O3', 'O0', 0.9960654905444853, 4.853827953338623]
['BO', 64, 'CO', 99, 'dot', 'sort', 'O0', 'O3', 0.9914802981895634, 0.09865641593933105]
['CO', 8, 'BO', 81, 'dir', 'sort', 'O3', 'O3', 0.9084588644264194, 0.5544841289520264]
['CO', 111, 'BO', 65, 'fmt', 'gvmap', 'O1', 'O0', 0.9688442211055276, 0.42795276641845703]
['CO', 57, 'UO', 36, 'od', 'addr2line', 'O3', 'O2', 0.9655815882230977, 1.6759276390075684]
['CO', 33, 'UO', 67, 'chown', 'strip', 'O3', 'O0', 0.9845782023247784, 3.7525157928466797]
['BO', 80, 'CO', 316, 'ssh', 'test', 'O3', 'O0', 0.9935906773488711, 1.842012882232666]
['CO', 360, 'UO', 39, 'ls', 'size', 'O0', 'O2', 0.9613420860685631, 4.217603921890259]
['CO', 321, 'BO', 57, 'du', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.9813553244890642, 9.026121854782104]
