['UV', 45, 'CV', 263, 'cmp', 'unlink', 'V1', 'V1', 0.9616306954436451, 0.035585641860961914]
['UV', 46, 'BV', 9, 'diff', 'dot', 'V1', 'V2', 1.0, 0.1045987606048584]
['CV', 258, 'BV', 64, 'rmdir', 'openssl', 'V0', 'V2', 0.9957976887288008, 1.1682140827178955]
['CV', 212, 'UV', 48, 'split', 'locate', 'V0', 'V1', 0.8965153115100317, 0.1288909912109375]
['UV', 86, 'CV', 59, 'size', 'head', 'V0', 'V2', 0.9963038255405655, 1.0137102603912354]
['UV', 32, 'CV', 54, 'addr2line', 'false', 'V3', 'V2', 0.996921046844073, 0.6662564277648926]
['BV', 1, 'CV', 210, 'libSDL2-2.0.so', 'chroot', 'V3', 'V0', 0.9977184576773899, 1.0172240734100342]
['CV', 97, 'UV', 29, 'ptx', 'objcopy', 'V3', 'V3', 0.9692937563971341, 2.2073874473571777]
['CV', 155, 'UV', 12, 'cat', 'c++filt', 'V3', 'V2', 0.9713307659392383, 1.0224547386169434]
['CV', 258, 'UV', 21, 'rmdir', 'objdump', 'V0', 'V2', 0.987098804279421, 0.7973625659942627]
['UV', 75, 'CV', 275, 'readelf', 'dirname', 'V0', 'V1', 0.9926144756277696, 0.16247344017028809]
['BV', 23, 'CV', 212, 'diff', 'split', 'V3', 'V0', 0.9713261648745519, 0.14391279220581055]
['CV', 189, 'UV', 53, 'uptime', 'readelf', 'V0', 'V1', 0.9835841313269493, 0.22608733177185059]
['UV', 73, 'CV', 254, 'nm', 'uniq', 'V0', 'V0', 0.9947575360419397, 0.7592570781707764]
['BV', 50, 'CV', 297, 'sort', 'chroot', 'V0', 'V1', 0.9758551307847082, 0.04409933090209961]
['BV', 6, 'UV', 21, 'libvlc.so', 'objdump', 'V0', 'V2', 0.9556309539344904, 7.414185523986816]
['UV', 86, 'CV', 36, 'size', 'chroot', 'V0', 'V2', 0.9962908011869436, 0.9684386253356934]
['UV', 12, 'CV', 93, 'c++filt', 'fmt', 'V2', 'V3', 0.9961628650607547, 1.055288553237915]
