['UO', 46, 'CO', 410, 'readelf', 'sleep', 'O3', 'O0', 0.9863554757630162, 0.5425331592559814]
['UO', 79, 'CO', 297, 'size', 'pathchk', 'O0', 'O2', 0.9971505912523152, 1.1868531703948975]
['UO', 14, 'CO', 283, 'ar', 'mv', 'O1', 'O2', 0.9816163718348943, 3.5991456508636475]
['UO', 45, 'CO', 116, 'strip', 'ptx', 'O3', 'O1', 0.9927385892116183, 1.842860460281372]
['CO', 6, 'UO', 0, 'mkdir', 'locate', 'O3', 'O1', 0.9488409272581935, 0.31720709800720215]
['UO', 15, 'CO', 414, 'elfedit', 'mknod', 'O1', 'O0', 0.9606557377049181, 0.22446775436401367]
['CO', 42, 'BO', 36, 'sum', 'cluster', 'O3', 'O2', 0.956989247311828, 0.31841254234313965]
['UO', 0, 'BO', 78, 'locate', 'ssh', 'O1', 'O0', 0.9650883700632773, 6.332673788070679]
['UO', 62, 'CO', 176, 'diff3', 'head', 'O3', 'O1', 0.9123055162659123, 0.11053705215454102]
['BO', 64, 'CO', 317, 'dot', 'basename', 'O0', 'O0', 0.9736842105263158, 0.036269426345825195]
['UO', 12, 'CO', 402, 'gprof', 'tr', 'O1', 'O0', 0.9905428409305844, 1.6016480922698975]
['BO', 58, 'CO', 160, 'svn', 'cut', 'O1', 'O1', 0.9886317498984978, 0.824411153793335]
['BO', 37, 'CO', 332, 'gvmap', 'mkfifo', 'O2', 'O0', 0.9572312886888014, 0.697289228439331]
['CO', 291, 'UO', 82, 'csplit', 'cmp', 'O2', 'O0', 0.8958333333333334, 0.10791301727294922]
['UO', 39, 'CO', 158, 'size', 'true', 'O2', 'O1', 0.9943293347873501, 0.7924196720123291]
['BO', 1, 'CO', 16, 'ssh', 'dirname', 'O2', 'O3', 0.997036158861885, 1.1799941062927246]
['CO', 372, 'BO', 36, 'base64', 'cluster', 'O0', 'O2', 0.9655419956927495, 0.35269999504089355]
['CO', 172, 'BO', 50, 'yes', 'perl', 'O1', 'O2', 0.9903266414894322, 2.210897445678711]
['CO', 342, 'BO', 2, 'expand', 'perl', 'O0', 'O1', 0.9877546349279012, 3.2720961570739746]
['BO', 61, 'CO', 88, 'git', 'shred', 'O1', 'O3', 0.9985410230003433, 7.301560640335083]
['UO', 38, 'CO', 139, 'elfedit', 'base32', 'O2', 'O1', 0.9514018691588785, 0.09301328659057617]
['CO', 41, 'UO', 15, 'echo', 'elfedit', 'O3', 'O1', 0.9604743083003953, 0.07609391212463379]
['CO', 158, 'BO', 83, 'true', 'lua', 'O1', 'O2', 0.9686900958466453, 0.532031774520874]
['CO', 354, 'UO', 31, 'sum', 'c++filt', 'O0', 'O2', 0.9650636187189994, 1.3116695880889893]
['BO', 47, 'CO', 193, 'libvlc.so.12.0.0', 'pathchk', 'O0', 'O1', 0.9899175068744271, 0.5329794883728027]
['CO', 290, 'UO', 12, 'shuf', 'gprof', 'O2', 'O1', 0.9711301044634378, 1.5556385517120361]
['CO', 355, 'BO', 83, 'chroot', 'lua', 'O0', 'O2', 0.949615975422427, 0.8192088603973389]
['CO', 115, 'BO', 21, 'groups', 'cp', 'O1', 'O1', 0.8932038834951457, 0.17899155616760254]
['BO', 34, 'CO', 277, 'cp', 'who', 'O2', 'O2', 0.9478260869565217, 0.17486906051635742]
['CO', 0, 'BO', 3, 'sha384sum', 'openssl', 'O3', 'O1', 0.9940239043824701, 4.280017137527466]
['CO', 21, 'UO', 39, 'mktemp', 'size', 'O3', 'O2', 0.9746461018381576, 1.3359854221343994]
['UO', 13, 'CO', 117, 'addr2line', 'printenv', 'O1', 'O1', 0.9932574799831437, 0.8388638496398926]
['BO', 82, 'UO', 35, 'cp', 'gprof', 'O3', 'O2', 0.9646932952924394, 3.3568880558013916]
['CO', 360, 'UO', 32, 'ls', 'strings', 'O0', 'O2', 0.9588839941262849, 4.252537727355957]
['BO', 72, 'CO', 198, 'make', 'rm', 'O2', 'O1', 0.9657506969334926, 0.8769140243530273]
['CO', 161, 'BO', 38, 'od', 'acyclic', 'O1', 'O2', 0.9957627118644068, 0.053260087966918945]
['BO', 70, 'CO', 64, 'diff', 'tty', 'O3', 'O3', 0.9703056768558952, 0.1658461093902588]
['BO', 71, 'CO', 167, 'libSDL2-2.0.so.0.16.0', 'logname', 'O0', 'O1', 0.9957269522486913, 2.043229341506958]
['CO', 173, 'UO', 32, 'who', 'strings', 'O1', 'O2', 0.9725262931959648, 1.2601745128631592]
['CO', 158, 'UO', 75, 'true', 'gprof', 'O1', 'O0', 0.9921483687559226, 1.5480144023895264]
['BO', 53, 'CO', 110, 'bash', 'mkdir', 'O0', 'O1', 0.9951132106206223, 3.201406478881836]
['BO', 73, 'CO', 111, 'cluster', 'fmt', 'O1', 'O1', 0.9606986899563319, 0.2989213466644287]
['BO', 17, 'UO', 54, 'codeblocks', 'addr2line', 'O2', 'O3', 0.9896912325915647, 52.07432317733765]
['CO', 191, 'UO', 62, 'id', 'diff3', 'O1', 'O3', 0.9212827988338192, 0.10551571846008301]
['BO', 33, 'CO', 123, 'sort', 'dd', 'O2', 'O1', 0.929159802306425, 0.2988567352294922]
['CO', 193, 'UO', 23, 'pathchk', 'cmp', 'O1', 'O2', 0.9024390243902439, 0.06061863899230957]
['BO', 12, 'CO', 397, 'libgeany.so.0.0.0', '[', 'O0', 'O0', 0.9995172580255853, 6.971855640411377]
['CO', 398, 'UO', 22, 'timeout', 'diff3', 'O0', 'O2', 0.8997134670487106, 0.11953973770141602]
['UO', 26, 'BO', 56, 'nm', 'libvlc.so.12.0.0', 'O2', 'O3', 0.9875617923776112, 6.245203256607056]
['BO', 48, 'CO', 86, 'libvlccore.so.9.0.0', 'timeout', 'O0', 'O3', 0.999143346659052, 4.095293283462524]
['CO', 96, 'UO', 52, 'fold', 'ld', 'O3', 'O3', 0.9747545582047685, 1.5638091564178467]
['CO', 31, 'UO', 21, 'date', 'sdiff', 'O3', 'O1', 0.9313609467455621, 0.15136051177978516]
['BO', 17, 'CO', 357, 'codeblocks', 'split', 'O2', 'O0', 0.998530042261285, 6.628656387329102]
['BO', 76, 'CO', 122, 'openssl', 'uptime', 'O2', 'O1', 0.996917318066718, 3.1143639087677]
['CO', 78, 'BO', 5, 'chcon', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9905048982667671, 12.90587329864502]
['BO', 58, 'CO', 182, 'svn', 'chcon', 'O1', 'O1', 0.9836004472605293, 1.0904088020324707]
['BO', 41, 'CO', 26, 'libSDL2-2.0.so.0.16.0', 'kill', 'O2', 'O3', 0.9964991247811953, 1.6436147689819336]
