['CO', 114, 'UO', 52, 'users', 'ld', 'O1', 'O3', 0.9808315715292459, 1.536128044128418]
['CO', 40, 'UO', 47, 'sync', 'as', 'O3', 'O3', 0.9810040705563093, 1.4245574474334717]
['UO', 45, 'CO', 249, 'strip', 'echo', 'O3', 'O2', 0.9963735267452403, 0.7353932857513428]
['BO', 63, 'UO', 52, 'cluster', 'ld', 'O0', 'O3', 0.9533364442370509, 9.396802425384521]
['BO', 56, 'CO', 107, 'libvlc.so.12.0.0', 'unlink', 'O3', 'O1', 0.9979989994997499, 0.42394423484802246]
['BO', 55, 'CO', 175, 'make', 'readlink', 'O1', 'O1', 0.9781520254893036, 0.5117015838623047]
['UO', 87, 'CO', 81, 'find', 'cat', 'O0', 'O3', 0.9947054930509597, 0.6770927906036377]
['BO', 51, 'CO', 55, 'lua', 'cp', 'O1', 'O3', 0.9832657200811359, 2.082982063293457]
['CO', 6, 'UO', 18, 'mkdir', 'diff3', 'O3', 'O1', 0.8870967741935484, 0.13335299491882324]
['CO', 268, 'UO', 0, 'base64', 'locate', 'O2', 'O1', 0.9514824797843666, 0.21642327308654785]
['BO', 36, 'CO', 197, 'cluster', 'nl', 'O2', 'O1', 0.9731943410275503, 0.2924947738647461]
['CO', 238, 'BO', 12, 'expand', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9962126729788784, 6.025760889053345]
['CO', 70, 'BO', 24, 'b2sum', 'cluster', 'O3', 'O3', 0.9409340659340659, 0.3574674129486084]
['UO', 78, 'CO', 184, 'elfedit', 'uname', 'O0', 'O1', 0.9803536345776032, 0.0810697078704834]
['CO', 333, 'UO', 48, 'mktemp', 'ranlib', 'O0', 'O3', 0.9709149666733993, 1.5793416500091553]
['BO', 34, 'CO', 81, 'cp', 'cat', 'O2', 'O3', 0.9671814671814671, 0.16098308563232422]
['CO', 40, 'UO', 70, 'sync', 'ranlib', 'O3', 'O0', 0.9935091277890467, 1.8473739624023438]
['BO', 72, 'UO', 18, 'make', 'diff3', 'O2', 'O1', 0.9741989180191427, 0.6991162300109863]
['CO', 410, 'UO', 23, 'sleep', 'cmp', 'O0', 'O2', 0.9153846153846154, 0.07205843925476074]
['BO', 79, 'CO', 319, 'bash', 'fmt', 'O3', 'O0', 0.9955555555555555, 2.6541740894317627]
['UO', 54, 'CO', 269, 'addr2line', 'cksum', 'O3', 'O2', 0.9959991109135363, 0.701007604598999]
['CO', 224, 'UO', 24, 'dirname', 'diff', 'O2', 'O2', 0.9193083573487032, 0.14170026779174805]
['BO', 72, 'CO', 321, 'make', 'du', 'O2', 'O0', 0.9740987049352468, 1.5020813941955566]
