['CO', 324, 'BO', 68, 'ptx', 'git', 'O0', 'O3', 0.9867339952071208, 10.975796461105347]
['BO', 40, 'CO', 190, 'lua', 'timeout', 'O0', 'O1', 0.990832328106152, 1.138214349746704]
['BO', 53, 'UO', 50, 'bash', 'strings', 'O0', 'O3', 0.9803234335608436, 38.41294741630554]
['UO', 30, 'CO', 240, 'ranlib', 'expr', 'O2', 'O2', 0.9939734833266372, 1.2095363140106201]
['BO', 77, 'CO', 221, 'libSDL2-2.0.so.0.16.0', 'printenv', 'O3', 'O2', 0.9970162956162497, 1.191216230392456]
['CO', 350, 'BO', 5, 'sha1sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9913557779799818, 11.467929124832153]
['UO', 13, 'CO', 101, 'addr2line', 'rmdir', 'O1', 'O3', 0.9966859983429992, 1.077263355255127]
['CO', 126, 'UO', 82, 'pwd', 'cmp', 'O1', 'O0', 0.9172413793103449, 0.0878593921661377]
['BO', 80, 'CO', 335, 'ssh', 'pr', 'O3', 'O0', 0.9926324737886086, 2.859323740005493]
['BO', 8, 'CO', 227, 'cp', 'dd', 'O0', 'O2', 0.9549496147006521, 0.44806551933288574]
['UO', 75, 'CO', 8, 'gprof', 'dir', 'O0', 'O3', 0.9957816377171216, 5.004734992980957]
['CO', 371, 'BO', 62, 'tsort', 'bash', 'O0', 'O1', 0.9796525578270467, 2.855865001678467]
['CO', 34, 'BO', 0, 'tail', 'codeblocks', 'O3', 'O1', 0.9919142419601837, 6.9887824058532715]
['BO', 77, 'CO', 97, 'libSDL2-2.0.so.0.16.0', 'uniq', 'O3', 'O3', 0.9966341299225849, 2.3187763690948486]
['BO', 44, 'UO', 69, 'cmp', 'as', 'O2', 'O0', 0.9925643647179105, 3.813408374786377]
['CO', 276, 'UO', 83, 'yes', 'diff', 'O2', 'O0', 0.9278096800656276, 0.18603253364562988]
['CO', 348, 'BO', 45, 'pinky', 'diff', 'O0', 'O2', 0.904121110176619, 0.2638871669769287]
['CO', 273, 'UO', 15, 'false', 'elfedit', 'O2', 'O1', 0.9544419134396356, 0.059137821197509766]
['CO', 147, 'UO', 61, 'chroot', 'find', 'O1', 'O3', 0.9677700348432056, 0.5852975845336914]
['BO', 36, 'CO', 4, 'cluster', 'test', 'O2', 'O3', 0.9681620839363242, 0.30576586723327637]
['BO', 16, 'CO', 53, 'make', 'chmod', 'O0', 'O3', 0.989329268292683, 0.8315727710723877]
['UO', 66, 'CO', 317, 'nm', 'basename', 'O0', 'O0', 0.9983277591973244, 1.542818546295166]
['BO', 68, 'CO', 123, 'git', 'dd', 'O3', 'O1', 0.9981128838565791, 7.97830605506897]
['CO', 167, 'UO', 42, 'logname', 'xargs', 'O1', 'O2', 0.9707174231332357, 0.1294543743133545]
['UO', 63, 'CO', 298, 'cmp', 'tr', 'O3', 'O2', 0.9219330855018587, 0.06937932968139648]
['CO', 288, 'UO', 27, 'uname', 'strip', 'O2', 'O2', 0.9820208558072636, 0.9462482929229736]
['CO', 18, 'UO', 67, 'uptime', 'strip', 'O3', 'O0', 0.9924864991782109, 2.7952988147735596]
['CO', 263, 'UO', 11, 'cp', 'ld', 'O2', 'O1', 0.9620987495165657, 4.742867946624756]
['BO', 72, 'CO', 50, 'make', 'dircolors', 'O2', 'O3', 0.9808027923211169, 0.5137012004852295]
['CO', 196, 'UO', 37, 'sha512sum', 'ar', 'O1', 'O2', 0.9728744939271255, 1.2605648040771484]
['BO', 44, 'CO', 408, 'cmp', 'fold', 'O2', 'O0', 0.9198542805100183, 0.08406853675842285]
['CO', 414, 'UO', 12, 'mknod', 'gprof', 'O0', 'O1', 0.9588521927449919, 2.8398420810699463]
['UO', 47, 'BO', 2, 'as', 'perl', 'O3', 'O1', 0.9766485775365894, 76.75428056716919]
['BO', 4, 'CO', 261, 'libgeany.so.0.0.0', 'chmod', 'O2', 'O2', 0.999019829601146, 8.728081941604614]
['BO', 44, 'CO', 411, 'cmp', 'sort', 'O2', 'O0', 0.9406392694063928, 0.28935909271240234]
['UO', 14, 'CO', 161, 'ar', 'od', 'O1', 'O1', 0.9915950334288444, 1.7197699546813965]
['BO', 43, 'CO', 152, 'diff', 'ls', 'O1', 'O1', 0.9300291545189504, 0.6048388481140137]
['UO', 21, 'CO', 214, 'sdiff', 'mkdir', 'O1', 'O2', 0.9279279279279279, 0.10462355613708496]
['CO', 294, 'BO', 66, 'timeout', 'svn', 'O2', 'O2', 0.9765277215702145, 0.7441985607147217]
['CO', 134, 'UO', 13, 'expand', 'addr2line', 'O1', 'O1', 0.9650145772594753, 1.0665419101715088]
['CO', 294, 'UO', 75, 'timeout', 'gprof', 'O2', 'O0', 0.9914243601768725, 2.2148196697235107]
['BO', 78, 'CO', 325, 'ssh', 'printenv', 'O0', 'O0', 0.9962241887905605, 1.665717363357544]
['BO', 28, 'CO', 249, 'ruby', 'echo', 'O0', 'O2', 0.9995237447271738, 3.5953049659729004]
['CO', 58, 'BO', 68, 'df', 'git', 'O3', 'O3', 0.9851497823675002, 10.928012132644653]
['CO', 333, 'UO', 70, 'mktemp', 'ranlib', 'O0', 'O0', 0.98825413774693, 2.650294780731201]
['CO', 286, 'BO', 3, 'chcon', 'openssl', 'O2', 'O1', 0.9869095669248391, 4.4400718212127686]
['UO', 16, 'CO', 247, 'size', 'paste', 'O1', 'O2', 0.9941139373554762, 0.8495709896087646]
['CO', 91, 'UO', 62, 'comm', 'diff3', 'O3', 'O3', 0.8818565400843882, 0.10381937026977539]
['CO', 133, 'UO', 78, 'nproc', 'elfedit', 'O1', 'O0', 0.9548022598870056, 0.09468674659729004]
['BO', 24, 'CO', 216, 'cluster', 'dir', 'O3', 'O2', 0.9420289855072463, 0.7952432632446289]
