['CV', 155, 'BV', 61, 'cat', 'cmp', 'V3', 'V0', 0.9538461538461538, 0.03823709487915039]
['UV', 72, 'CV', 345, 'find', 'rmdir', 'V0', 'V1', 0.991701244813278, 0.12653422355651855]
['UV', 37, 'CV', 238, 'locate', 'md5sum', 'V3', 'V0', 0.9940652818991098, 0.1777019500732422]
['CV', 72, 'UV', 77, 'id', 'ranlib', 'V2', 'V0', 0.9804288986050386, 0.9887247085571289]
['BV', 40, 'CV', 32, 'lua', 'paste', 'V2', 'V2', 0.9945111492281303, 0.4623560905456543]
['CV', 185, 'UV', 26, 'printenv', 'ranlib', 'V0', 'V3', 0.983739837398374, 0.5287365913391113]
['CV', 119, 'UV', 81, 'paste', 'ld', 'V3', 'V0', 0.9804216867469879, 1.4012022018432617]
['CV', 137, 'UV', 33, 'cksum', 'ar', 'V3', 'V3', 0.9731761837024995, 1.019679307937622]
['CV', 5, 'UV', 40, 'mkdir', 'diff3', 'V2', 'V3', 0.909985935302391, 0.10015702247619629]
['UV', 39, 'CV', 232, 'find', 'readlink', 'V3', 'V0', 0.9908130454754249, 0.28769636154174805]
['BV', 80, 'CV', 40, 'cluster', 'ls', 'V1', 'V2', 0.9658314350797267, 0.6660275459289551]
['CV', 93, 'UV', 54, 'fmt', 'as', 'V3', 'V1', 0.9756749532210639, 1.6990289688110352]
['UV', 14, 'CV', 32, 'objcopy', 'paste', 'V2', 'V2', 0.9971855760773967, 0.9107515811920166]
['UV', 33, 'CV', 250, 'ar', 'comm', 'V3', 'V0', 0.9971092298162296, 0.7250797748565674]
['CV', 101, 'UV', 20, 'dirname', 'size', 'V3', 'V2', 0.9757446808510638, 0.9581115245819092]
['BV', 42, 'CV', 69, 'libvlc.so', 'csplit', 'V1', 'V2', 0.9920879120879121, 0.9121692180633545]
['CV', 155, 'UV', 43, 'cat', 'sdiff', 'V3', 'V3', 0.8939393939393939, 0.10140037536621094]
['BV', 62, 'CV', 329, 'diff', 'cat', 'V0', 'V1', 0.978021978021978, 0.06912350654602051]
['UV', 19, 'CV', 82, 'elfedit', 'sort', 'V2', 'V2', 0.9667405764966741, 0.19564223289489746]
['CV', 193, 'BV', 23, 'pr', 'diff', 'V0', 'V3', 0.9182338511856092, 0.23917865753173828]
['CV', 201, 'BV', 31, 'expr', 'codeblocks', 'V0', 'V0', 0.9894111570247934, 8.003970384597778]
['BV', 56, 'CV', 190, 'ssh', 'dd', 'V3', 'V0', 0.9969861362266426, 1.6122891902923584]
['CV', 203, 'UV', 73, 'tail', 'nm', 'V0', 'V0', 0.9742268041237113, 1.2070200443267822]
['CV', 221, 'BV', 46, 'od', 'cluster', 'V0', 'V3', 0.9646799116997793, 0.2856602668762207]
['CV', 210, 'UV', 22, 'chroot', 'nm', 'V0', 'V3', 0.9800130349771888, 0.6252474784851074]
['UV', 33, 'BV', 31, 'ar', 'codeblocks', 'V3', 'V0', 0.9802423872084733, 64.01272940635681]
['UV', 39, 'BV', 36, 'find', 'libvlc.so', 'V3', 'V2', 0.9716932578486877, 3.0405802726745605]
['UV', 17, 'BV', 30, 'addr2line', 'bash', 'V2', 'V0', 0.9722991689750693, 26.79629349708557]
['UV', 37, 'BV', 20, 'locate', 'sort', 'V3', 'V1', 0.9809825673534073, 0.35404229164123535]
['CV', 51, 'BV', 56, 'printf', 'ssh', 'V2', 'V3', 0.979785789711872, 1.63578462600708]
['BV', 0, 'CV', 20, 'bash', 'tee', 'V2', 'V2', 0.9973292244478685, 1.552281141281128]
['CV', 67, 'BV', 47, 'uname', 'dot', 'V2', 'V3', 1.0, 0.02350926399230957]
['UV', 54, 'CV', 203, 'as', 'tail', 'V1', 'V0', 0.9975935828877005, 1.6584055423736572]
['CV', 146, 'BV', 45, 'head', 'svn', 'V3', 'V3', 0.9727705922396188, 0.900177001953125]
['CV', 314, 'UV', 62, 'tty', 'ar', 'V1', 'V1', 0.9825734549138805, 0.633366584777832]
['CV', 55, 'BV', 59, 'nohup', 'make', 'V2', 'V1', 0.9595765158806545, 0.3766200542449951]
['BV', 62, 'CV', 173, 'diff', 'ln', 'V0', 'V3', 0.9109848484848485, 0.23906922340393066]
['CV', 41, 'UV', 21, 'nice', 'objdump', 'V2', 'V2', 0.9850560398505604, 1.186875343322754]
['UV', 14, 'CV', 347, 'objcopy', 'ln', 'V2', 'V1', 0.9954561342188046, 1.0918235778808594]
['UV', 55, 'CV', 317, 'ranlib', 'yes', 'V1', 'V1', 0.9983789260385005, 0.5648844242095947]
['UV', 30, 'CV', 289, 'ld', 'chown', 'V3', 'V1', 0.9969265157865326, 1.7351469993591309]
['CV', 198, 'UV', 84, 'factor', 'ar', 'V0', 'V0', 0.9814149947201689, 0.7056028842926025]
['UV', 10, 'CV', 210, 'as', 'chroot', 'V2', 'V0', 0.9983700081499592, 0.8402481079101562]
['CV', 197, 'UV', 87, 'wc', 'objdump', 'V0', 'V0', 0.9838006230529595, 1.0189788341522217]
['BV', 38, 'CV', 252, 'ruby', 'rm', 'V2', 'V0', 0.99375, 0.018065452575683594]
['BV', 69, 'CV', 230, 'gvmap', 'yes', 'V0', 'V0', 0.988155668358714, 0.14098024368286133]
['BV', 47, 'CV', 201, 'dot', 'expr', 'V3', 'V0', 0.9966499162479062, 0.05443072319030762]
['BV', 65, 'CV', 54, 'ssh', 'false', 'V1', 'V2', 0.9986249045072575, 1.5953655242919922]
['CV', 139, 'UV', 28, 'logname', 'strings', 'V3', 'V3', 0.9773173391494002, 0.9066586494445801]
['BV', 45, 'CV', 321, 'svn', 'hostid', 'V3', 'V1', 0.9963596650891882, 0.3825690746307373]
['CV', 113, 'BV', 62, 'date', 'diff', 'V3', 'V0', 0.9175475687103594, 0.18556451797485352]
['BV', 76, 'CV', 131, 'diff', 'true', 'V2', 'V3', 0.9785522788203753, 0.15756464004516602]
['UV', 28, 'CV', 63, 'strings', 'mv', 'V3', 'V2', 0.9880478087649402, 2.3698599338531494]
['UV', 25, 'CV', 253, 'as', 'fold', 'V3', 'V0', 0.9978275627970129, 0.9543778896331787]
['UV', 22, 'CV', 199, 'nm', 'expand', 'V3', 'V0', 0.9965367965367965, 0.6235897541046143]
['CV', 276, 'UV', 41, 'uptime', 'cmp', 'V1', 'V3', 0.8790496760259179, 0.0539851188659668]
['BV', 47, 'CV', 153, 'dot', 'link', 'V3', 'V3', 0.9933993399339934, 0.027953624725341797]
['BV', 43, 'CV', 245, 'lua', '[', 'V0', 'V0', 0.989662027833002, 0.4016268253326416]
['BV', 75, 'CV', 278, 'cmp', 'mkfifo', 'V2', 'V1', 0.9440559440559441, 0.039931297302246094]
['BV', 78, 'CV', 157, 'make', 'vdir', 'V2', 'V3', 0.9738372093023255, 1.354851245880127]
['BV', 20, 'CV', 304, 'sort', 'chmod', 'V1', 'V1', 0.9187418086500655, 0.12684226036071777]
['CV', 202, 'BV', 47, 'chown', 'dot', 'V0', 'V3', 0.9892183288409704, 0.04259848594665527]
['BV', 26, 'CV', 319, 'geany', 'readlink', 'V2', 'V1', 0.9993707582363253, 3.2048964500427246]
['CV', 30, 'UV', 35, 'pinky', 'size', 'V2', 'V3', 0.9733447979363714, 1.1174025535583496]
['CV', 83, 'UV', 55, 'tac', 'ranlib', 'V2', 'V1', 0.9626517273576097, 2.229078769683838]
['BV', 23, 'CV', 288, 'diff', 'expr', 'V3', 'V1', 0.9473684210526316, 0.3633260726928711]
['BV', 82, 'UV', 38, 'gvmap', 'xargs', 'V1', 'V3', 0.9670005892751915, 0.526259183883667]
['UV', 55, 'BV', 73, 'ranlib', 'geany', 'V1', 'V0', 0.9726523745848251, 77.51396894454956]
['CV', 166, 'UV', 57, 'fold', 'strings', 'V3', 'V1', 0.9748322147651006, 1.1557979583740234]
['CV', 228, 'UV', 11, 'false', 'ranlib', 'V0', 'V2', 0.9856144677353063, 0.5579652786254883]
['UV', 73, 'BV', 11, 'nm', 'bash', 'V0', 'V1', 0.9673621460506706, 29.43719458580017]
['BV', 42, 'CV', 163, 'libvlc.so', 'comm', 'V1', 'V3', 0.9938208032955715, 0.4740774631500244]
['UV', 19, 'CV', 283, 'elfedit', 'kill', 'V2', 'V1', 0.9856115107913669, 0.056997060775756836]
['CV', 130, 'BV', 45, 'chmod', 'svn', 'V3', 'V3', 0.9777922926192031, 1.3044219017028809]
['CV', 215, 'UV', 11, 'nice', 'ranlib', 'V0', 'V2', 0.9828291087489779, 0.683941125869751]
['CV', 331, 'BV', 61, 'vdir', 'cmp', 'V1', 'V0', 0.9721362229102167, 0.06444787979125977]
['BV', 35, 'CV', 152, 'libvlccore.so', 'env', 'V2', 'V3', 0.9993112947658402, 1.9736428260803223]
['BV', 6, 'CV', 34, 'libvlc.so', 'echo', 'V0', 'V2', 0.9912826899128269, 0.2576010227203369]
['CV', 197, 'BV', 73, 'wc', 'geany', 'V0', 'V0', 0.9921255595706812, 3.5066769123077393]
['BV', 78, 'CV', 344, 'make', 'tac', 'V2', 'V1', 0.9832915622389307, 0.7705628871917725]
['CV', 58, 'BV', 1, 'readlink', 'libSDL2-2.0.so', 'V2', 'V3', 0.9790681971640783, 2.079559326171875]
['UV', 74, 'BV', 9, 'strip', 'dot', 'V0', 'V2', 0.9982644914960084, 0.39209938049316406]
['CV', 137, 'BV', 32, 'cksum', 'perl', 'V3', 'V0', 0.9843882253362174, 1.9768486022949219]
['BV', 75, 'CV', 50, 'cmp', 'cksum', 'V2', 'V2', 0.940552016985138, 0.04910874366760254]
['BV', 78, 'CV', 340, 'make', 'fold', 'V2', 'V1', 0.9921836834391793, 0.2825446128845215]
['UV', 60, 'CV', 114, 'gprof', 'expr', 'V1', 'V3', 0.9958278020102409, 1.3751323223114014]
['BV', 62, 'UV', 20, 'diff', 'size', 'V0', 'V2', 0.9544905356423681, 1.843064785003662]
['UV', 78, 'CV', 9, 'c++filt', 'users', 'V0', 'V2', 0.9959550561797753, 0.7509584426879883]
['BV', 5, 'UV', 38, 'libvlccore.so', 'xargs', 'V0', 'V3', 0.9966883199592409, 3.0275111198425293]
['CV', 27, 'BV', 79, 'expr', 'bash', 'V2', 'V3', 0.9712380952380952, 4.6358911991119385]
['CV', 169, 'BV', 38, 'sort', 'ruby', 'V3', 'V2', 1.0, 0.03554558753967285]
['CV', 10, 'UV', 67, 'ptx', 'cmp', 'V2', 'V0', 0.9756838905775076, 0.1542985439300537]
['BV', 0, 'CV', 187, 'bash', 'join', 'V2', 'V0', 0.9969284324767073, 1.785745620727539]
['UV', 81, 'CV', 226, 'ld', 'logname', 'V0', 'V0', 0.9984629572702121, 0.696876049041748]
['CV', 204, 'BV', 61, 'pinky', 'cmp', 'V0', 'V0', 0.9390243902439024, 0.02935934066772461]
['CV', 7, 'UV', 72, 'dir', 'find', 'V2', 'V0', 0.9282774838330394, 0.5720629692077637]
['BV', 21, 'UV', 77, 'cp', 'ranlib', 'V1', 'V0', 0.9657506969334926, 2.945122718811035]
['CV', 216, 'UV', 27, 'dircolors', 'c++filt', 'V0', 'V3', 0.9804487891579649, 1.5536634922027588]
['CV', 162, 'BV', 19, 'tr', 'cp', 'V3', 'V3', 0.8902439024390244, 0.39656782150268555]
['CV', 141, 'UV', 44, 'false', 'diff3', 'V3', 'V1', 0.87, 0.13444232940673828]
['CV', 314, 'UV', 50, 'tty', 'find', 'V1', 'V1', 0.9386189258312021, 0.18733930587768555]
['CV', 118, 'BV', 56, 'sha1sum', 'ssh', 'V3', 'V3', 0.9776704888352444, 1.571653127670288]
['CV', 7, 'BV', 29, 'dir', 'perl', 'V2', 'V3', 0.981874039938556, 6.321309804916382]
['UV', 70, 'BV', 33, 'locate', 'openssl', 'V0', 'V0', 0.9774494156412501, 10.120394706726074]
['UV', 52, 'CV', 115, 'strip', 'chown', 'V1', 'V3', 0.9940800747780028, 2.2872509956359863]
['CV', 266, 'BV', 31, 'mkdir', 'codeblocks', 'V1', 'V0', 0.9935428609079529, 3.9212892055511475]
['UV', 84, 'CV', 231, 'ar', 'who', 'V0', 'V0', 0.9979123173277662, 0.819277286529541]
['BV', 35, 'UV', 42, 'libvlccore.so', 'diff', 'V2', 'V3', 0.9961632740061814, 6.416140556335449]
['CV', 211, 'BV', 59, 'seq', 'make', 'V0', 'V1', 0.9781312127236581, 0.27567577362060547]
['CV', 41, 'UV', 51, 'nice', 'nm', 'V2', 'V1', 0.9791492910758965, 0.8788440227508545]
['UV', 87, 'CV', 294, 'objdump', 'sync', 'V0', 'V1', 0.9987470634299138, 0.6743979454040527]
['CV', 282, 'UV', 5, 'chgrp', 'diff', 'V1', 'V2', 0.9126133553173948, 0.23730182647705078]
['CV', 68, 'UV', 70, 'cat', 'locate', 'V2', 'V0', 0.8865979381443299, 0.18608951568603516]
['BV', 16, 'CV', 178, 'libvlc.so', 'basename', 'V3', 'V0', 0.9949874686716792, 0.2579996585845947]
['UV', 38, 'CV', 184, 'xargs', 'ptx', 'V3', 'V0', 0.9689320388349515, 0.2572486400604248]
['BV', 43, 'CV', 122, 'lua', 'sum', 'V0', 'V3', 0.9901440485216073, 0.6244292259216309]
['UV', 27, 'CV', 74, 'c++filt', 'pathchk', 'V3', 'V2', 0.9960176991150442, 0.7314255237579346]
['UV', 44, 'CV', 260, 'diff3', 'ln', 'V1', 'V0', 0.9206611570247933, 0.07637715339660645]
['CV', 190, 'BV', 41, 'dd', 'libvlccore.so', 'V0', 'V1', 0.9890473764645951, 2.2948455810546875]
['UV', 56, 'CV', 195, 'c++filt', 'chgrp', 'V1', 'V0', 0.9957850368809273, 1.0369930267333984]
['CV', 337, 'UV', 50, 'comm', 'find', 'V1', 'V1', 0.9327940261356565, 0.2334880828857422]
['CV', 2, 'UV', 20, 'unlink', 'size', 'V2', 'V2', 0.9764049764049764, 0.741950273513794]
['CV', 207, 'UV', 56, 'sync', 'c++filt', 'V0', 'V1', 0.987355570089383, 0.5823862552642822]
['CV', 79, 'UV', 8, 'fold', 'strip', 'V2', 'V2', 0.9799964906123881, 1.0108773708343506]
['UV', 74, 'CV', 254, 'strip', 'uniq', 'V0', 'V0', 0.9969455285932463, 0.9444339275360107]
['UV', 30, 'BV', 71, 'ld', 'ruby', 'V3', 'V1', 0.9979615608619685, 0.18814682960510254]
['BV', 29, 'CV', 317, 'perl', 'yes', 'V3', 'V1', 0.9990412272291467, 1.2556617259979248]
['CV', 261, 'UV', 77, 'touch', 'ranlib', 'V1', 'V0', 0.9767248545303409, 1.0282487869262695]
['UV', 3, 'CV', 232, 'diff3', 'readlink', 'V2', 'V0', 0.9559633027522936, 0.05504631996154785]
['UV', 63, 'CV', 281, 'elfedit', 'tee', 'V1', 'V1', 0.9854368932038835, 0.05709481239318848]
