['CV', 84, 'BV', 36, 'rmdir', 'libvlc.so', 'V2', 'V2', 0.9847182425978988, 0.5074868202209473]
['CV', 82, 'BV', 20, 'sort', 'sort', 'V2', 'V1', 0.9185938945420906, 0.2186276912689209]
['BV', 47, 'CV', 0, 'dot', 'touch', 'V3', 'V2', 0.9942528735632183, 0.03415870666503906]
['UV', 4, 'CV', 14, 'cmp', 'dirname', 'V2', 'V2', 0.9534883720930233, 0.04956531524658203]
['CV', 39, 'UV', 23, 'whoami', 'strip', 'V2', 'V3', 0.9849462365591398, 0.9597084522247314]
['BV', 67, 'CV', 232, 'cluster', 'readlink', 'V0', 'V0', 0.980819529206626, 0.16478395462036133]
['UV', 76, 'CV', 165, 'as', 'rm', 'V0', 'V3', 0.9945945945945946, 2.70784592628479]
['UV', 71, 'CV', 60, 'xargs', 'hostid', 'V0', 'V2', 0.9315403422982885, 0.040201663970947266]
['CV', 116, 'BV', 66, 'tail', 'lua', 'V3', 'V1', 0.9552484369858506, 1.054915189743042]
['CV', 216, 'UV', 25, 'dircolors', 'as', 'V0', 'V3', 0.9832228385874713, 1.2357325553894043]
['UV', 41, 'CV', 38, 'cmp', 'split', 'V3', 'V2', 0.9113737075332349, 0.09647440910339355]
['UV', 69, 'CV', 318, 'sdiff', 'who', 'V0', 'V1', 0.9444444444444444, 0.08014655113220215]
['UV', 85, 'CV', 35, 'elfedit', 'sum', 'V0', 'V2', 0.9757575757575757, 0.08079648017883301]
['BV', 65, 'CV', 145, 'ssh', 'readlink', 'V1', 'V3', 0.9972807613868117, 2.991309404373169]
['BV', 74, 'UV', 49, 'git', 'xargs', 'V1', 'V1', 0.9989700278092492, 4.223228931427002]
['BV', 37, 'CV', 194, 'geany', 'tee', 'V1', 'V0', 0.9994363286204143, 3.073378801345825]
['BV', 42, 'CV', 293, 'libvlc.so', 'paste', 'V1', 'V1', 0.9921787709497206, 0.2562558650970459]
['CV', 12, 'BV', 21, 'stty', 'cp', 'V2', 'V1', 0.8772169167803547, 0.11314749717712402]
['UV', 12, 'CV', 215, 'c++filt', 'nice', 'V2', 'V0', 0.9973620575950758, 0.5873410701751709]
['UV', 31, 'CV', 299, 'gprof', 'split', 'V3', 'V1', 0.9979871175523349, 0.8523657321929932]
['CV', 186, 'UV', 24, 'stty', 'readelf', 'V0', 'V3', 0.9753914988814317, 0.46358561515808105]
['BV', 57, 'CV', 21, 'svn', 'chgrp', 'V2', 'V2', 0.9872340425531915, 0.7964344024658203]
['UV', 14, 'BV', 58, 'objcopy', 'ruby', 'V2', 'V3', 0.9981890619340819, 0.1615910530090332]
['UV', 19, 'CV', 113, 'elfedit', 'date', 'V2', 'V3', 0.9804469273743017, 0.1388859748840332]
['UV', 71, 'BV', 63, 'xargs', 'ruby', 'V0', 'V0', 0.9931193698791363, 4.378180503845215]
['UV', 57, 'BV', 42, 'strings', 'libvlc.so', 'V1', 'V1', 0.989591803545292, 5.510575532913208]
['BV', 33, 'CV', 315, 'openssl', 'false', 'V0', 'V1', 0.9994712351945855, 1.7486858367919922]
['UV', 39, 'CV', 243, 'find', 'csplit', 'V3', 'V0', 0.9854238588415803, 0.9675097465515137]
['BV', 64, 'CV', 313, 'openssl', 'logname', 'V2', 'V1', 0.9985000749962502, 1.0529093742370605]
['CV', 116, 'UV', 40, 'tail', 'diff3', 'V3', 'V3', 0.9287305122494433, 0.16692471504211426]
['CV', 295, 'UV', 83, 'echo', 'addr2line', 'V1', 'V0', 0.984180790960452, 0.6208195686340332]
['CV', 287, 'BV', 44, 'date', 'make', 'V1', 'V0', 0.961025641025641, 0.4190785884857178]
['UV', 76, 'CV', 46, 'as', 'cut', 'V0', 'V2', 0.9966414777497901, 1.4932026863098145]
['CV', 210, 'BV', 64, 'chroot', 'openssl', 'V0', 'V2', 0.9949010197960408, 1.2734589576721191]
['UV', 78, 'CV', 29, 'c++filt', 'tail', 'V0', 'V2', 0.9930974978429681, 1.3063976764678955]
['CV', 125, 'BV', 70, 'split', 'ssh', 'V3', 'V0', 0.9750289017341041, 4.089873552322388]
['UV', 38, 'CV', 189, 'xargs', 'uptime', 'V3', 'V0', 0.9791356184798807, 0.11150813102722168]
['CV', 203, 'UV', 2, 'tail', 'find', 'V0', 'V2', 0.9234393404004712, 0.34479594230651855]
['BV', 78, 'CV', 322, 'make', 'ginstall', 'V2', 'V1', 0.9781879194630873, 0.8320064544677734]
['CV', 231, 'BV', 15, 'who', 'libvlccore.so', 'V0', 'V3', 0.9919577205882353, 2.1658122539520264]
['CV', 316, 'UV', 22, 'nohup', 'nm', 'V1', 'V3', 0.9788793103448276, 0.7836995124816895]
['BV', 69, 'CV', 338, 'gvmap', 'nl', 'V0', 'V1', 0.9677002583979328, 0.45444226264953613]
['CV', 252, 'BV', 44, 'rm', 'make', 'V0', 'V0', 0.944083874188717, 0.465984582901001]
['CV', 192, 'UV', 28, 'pwd', 'strings', 'V0', 'V3', 0.9796819787985865, 0.757817268371582]
['UV', 15, 'BV', 34, 'ld', 'svn', 'V2', 'V0', 0.9934966902798745, 8.914129972457886]
['BV', 8, 'CV', 212, 'cluster', 'split', 'V2', 'V0', 0.9832699619771863, 0.21805572509765625]
['UV', 65, 'CV', 228, 'objdump', 'false', 'V1', 'V0', 0.9987845639623215, 0.6833562850952148]
['CV', 28, 'UV', 22, 'chown', 'nm', 'V2', 'V3', 0.9704857552777209, 1.6500270366668701]
['CV', 258, 'UV', 33, 'rmdir', 'ar', 'V0', 'V3', 0.9854257755569436, 0.6530685424804688]
['CV', 110, 'BV', 60, 'wc', 'codeblocks', 'V3', 'V1', 0.9940309880619761, 5.761767148971558]
['CV', 206, 'UV', 71, 'paste', 'xargs', 'V0', 'V0', 0.8486486486486486, 0.03626227378845215]
['CV', 296, 'BV', 1, 'sum', 'libSDL2-2.0.so', 'V1', 'V3', 0.9838910947249008, 1.687182903289795]
['BV', 26, 'CV', 90, 'geany', 'test', 'V2', 'V3', 0.9991064647276952, 5.178287982940674]
['BV', 35, 'CV', 74, 'libvlccore.so', 'pathchk', 'V2', 'V2', 0.9993067590987869, 1.533947467803955]
['UV', 45, 'CV', 52, 'cmp', 'logname', 'V1', 'V2', 0.9573560767590619, 0.05001044273376465]
['CV', 89, 'UV', 30, 'unlink', 'ld', 'V3', 'V3', 0.9821782178217822, 1.4445068836212158]
['BV', 55, 'CV', 105, 'codeblocks', 'pwd', 'V3', 'V3', 0.9988841361353915, 3.976755380630493]
['CV', 210, 'BV', 4, 'chroot', 'geany', 'V0', 'V3', 0.9954949317982731, 3.8363308906555176]
['CV', 39, 'UV', 80, 'whoami', 'objcopy', 'V2', 'V0', 0.9860449285228047, 0.9282221794128418]
['CV', 119, 'UV', 48, 'paste', 'locate', 'V3', 'V1', 0.8641732283464567, 0.1615281105041504]
['UV', 82, 'BV', 16, 'gprof', 'libvlc.so', 'V0', 'V3', 0.9859926918392204, 6.600248336791992]
['UV', 32, 'BV', 43, 'addr2line', 'lua', 'V3', 'V0', 0.9740955783832068, 7.28150749206543]
['BV', 20, 'UV', 60, 'sort', 'gprof', 'V1', 'V1', 0.9731393396754336, 1.8730778694152832]
['CV', 302, 'BV', 48, 'nice', 'gvmap', 'V1', 'V3', 0.956973293768546, 0.19084382057189941]
['UV', 33, 'CV', 47, 'ar', 'od', 'V3', 'V2', 0.994026284348865, 1.3516039848327637]
['CV', 104, 'UV', 46, 'mkfifo', 'diff', 'V3', 'V1', 0.9090231170768084, 0.21937203407287598]
['UV', 16, 'BV', 20, 'gprof', 'sort', 'V2', 'V1', 0.9950841368878806, 1.7608609199523926]
['CV', 160, 'UV', 0, 'shred', 'locate', 'V3', 'V2', 0.9201637666325486, 0.20479178428649902]
['BV', 31, 'UV', 24, 'codeblocks', 'readelf', 'V0', 'V3', 0.9941507053561188, 26.142695426940918]
['BV', 55, 'CV', 152, 'codeblocks', 'env', 'V3', 'V3', 0.998882542835858, 3.5331106185913086]
['BV', 63, 'CV', 27, 'ruby', 'expr', 'V0', 'V2', 0.998395364386004, 8.750276327133179]
['CV', 322, 'BV', 69, 'ginstall', 'gvmap', 'V1', 'V0', 0.9469941822882999, 0.4807746410369873]
['UV', 81, 'CV', 280, 'ld', 'pr', 'V0', 'V1', 0.9961066187481282, 1.4787611961364746]
['CV', 154, 'UV', 68, 'uname', 'diff', 'V3', 'V0', 0.8864541832669323, 0.15346407890319824]
['UV', 70, 'CV', 128, 'locate', 'nice', 'V0', 'V3', 0.9559675550405562, 0.1260221004486084]
['UV', 84, 'CV', 210, 'ar', 'chroot', 'V0', 'V0', 0.9987274655355249, 0.5361752510070801]
['CV', 124, 'UV', 63, 'seq', 'elfedit', 'V3', 'V1', 0.9781818181818182, 0.08920097351074219]
['UV', 27, 'BV', 8, 'c++filt', 'cluster', 'V3', 'V2', 0.9827427941986414, 3.6413938999176025]
['CV', 290, 'UV', 43, 'tail', 'sdiff', 'V1', 'V3', 0.8639652677279306, 0.10223221778869629]
['UV', 32, 'CV', 105, 'addr2line', 'pwd', 'V3', 'V3', 0.9965657866494956, 1.0326604843139648]
['UV', 6, 'CV', 56, 'sdiff', 'yes', 'V2', 'V2', 0.9614035087719298, 0.05981302261352539]
['UV', 86, 'CV', 51, 'size', 'printf', 'V0', 'V2', 0.9944903581267217, 1.1741254329681396]
['BV', 21, 'CV', 94, 'cp', 'dir', 'V1', 'V3', 0.9153194765204004, 0.320223331451416]
['CV', 138, 'BV', 27, 'printf', 'libSDL2-2.0.so', 'V3', 'V1', 0.979855723424527, 2.359945058822632]
['BV', 21, 'UV', 46, 'cp', 'diff', 'V1', 'V1', 0.9065541855937703, 0.38216304779052734]
