['BV', 68, 'CV', 149, 'dot', 'unexpand', 'V0', 'V3', 0.9942857142857143, 0.03348398208618164]
['BV', 15, 'CV', 257, 'libvlccore.so', 'tac', 'V3', 'V0', 0.998443579766537, 3.3288967609405518]
['UV', 6, 'CV', 39, 'sdiff', 'whoami', 'V2', 'V2', 0.9484536082474226, 0.062018632888793945]
['UV', 50, 'BV', 58, 'find', 'ruby', 'V1', 'V3', 0.9986320109439124, 0.06004905700683594]
['BV', 33, 'CV', 188, 'openssl', 'dirname', 'V0', 'V0', 0.9993658510806954, 1.8545546531677246]
['CV', 65, 'UV', 64, 'env', 'size', 'V2', 'V1', 0.9808876619239754, 0.7873363494873047]
['BV', 18, 'CV', 104, 'sort', 'mkfifo', 'V3', 'V3', 0.98193315266486, 0.1742703914642334]
['BV', 76, 'UV', 87, 'diff', 'objdump', 'V2', 'V0', 0.9684621825286073, 5.0194268226623535]
['BV', 71, 'CV', 272, 'ruby', 'printenv', 'V1', 'V1', 0.987012987012987, 0.009354591369628906]
['BV', 25, 'UV', 32, 'git', 'addr2line', 'V3', 'V3', 0.9957068749627332, 87.7781023979187]
['UV', 10, 'CV', 126, 'as', 'whoami', 'V2', 'V3', 0.9975851891601825, 1.330310344696045]
['UV', 8, 'CV', 69, 'strip', 'csplit', 'V2', 'V2', 0.9921645445641528, 2.6157965660095215]
['UV', 55, 'CV', 261, 'ranlib', 'touch', 'V1', 'V1', 0.997219463753724, 1.0068063735961914]
['CV', 124, 'UV', 33, 'seq', 'ar', 'V3', 'V3', 0.971836652584993, 1.2885198593139648]
['UV', 3, 'CV', 143, 'diff3', 'yes', 'V2', 'V3', 0.9514563106796117, 0.0764164924621582]
['CV', 192, 'BV', 2, 'pwd', 'cmp', 'V0', 'V1', 0.8628318584070797, 0.04951357841491699]
['UV', 35, 'CV', 125, 'size', 'split', 'V3', 'V3', 0.9950372208436724, 1.5747029781341553]
['UV', 36, 'CV', 275, 'objdump', 'dirname', 'V3', 'V1', 0.998343913883522, 0.9083678722381592]
['UV', 24, 'CV', 34, 'readelf', 'echo', 'V3', 'V2', 0.9947089947089947, 0.3662290573120117]
['CV', 24, 'UV', 65, 'factor', 'objdump', 'V2', 'V1', 0.9802276812462553, 1.2929325103759766]
['BV', 79, 'CV', 279, 'bash', 'pwd', 'V3', 'V1', 0.9982174688057041, 1.4322068691253662]
['UV', 21, 'CV', 256, 'objdump', 'sort', 'V2', 'V0', 0.9963570127504554, 1.839409589767456]
['UV', 63, 'CV', 259, 'elfedit', 'mknod', 'V1', 'V0', 0.9605911330049262, 0.059493064880371094]
['UV', 4, 'CV', 148, 'cmp', 'ginstall', 'V2', 'V3', 0.9047619047619048, 0.2333817481994629]
['BV', 78, 'CV', 169, 'make', 'sort', 'V2', 'V3', 0.9717391304347827, 1.3351764678955078]
['CV', 326, 'BV', 26, 'env', 'geany', 'V1', 'V2', 0.9958597722874758, 3.8463032245635986]
['BV', 80, 'CV', 76, 'cluster', 'comm', 'V1', 'V2', 0.9734121122599705, 0.2560701370239258]
['CV', 15, 'UV', 31, 'uptime', 'gprof', 'V2', 'V3', 0.9720837487537388, 1.158555269241333]
['UV', 61, 'CV', 322, 'addr2line', 'ginstall', 'V1', 'V1', 0.9904229848363927, 1.9108421802520752]
['CV', 107, 'UV', 15, 'tee', 'ld', 'V3', 'V2', 0.9745834510025416, 1.702768325805664]
['UV', 48, 'BV', 69, 'locate', 'gvmap', 'V1', 'V0', 0.958011049723757, 0.7163028717041016]
['CV', 83, 'UV', 60, 'tac', 'gprof', 'V2', 'V1', 0.964572680788897, 2.2353856563568115]
['CV', 62, 'BV', 8, 'unexpand', 'cluster', 'V2', 'V2', 0.962178517397882, 0.22968816757202148]
['UV', 85, 'CV', 33, 'elfedit', 'sync', 'V0', 'V2', 0.972027972027972, 0.05711984634399414]
['BV', 69, 'CV', 177, 'gvmap', 'test', 'V0', 'V0', 0.982011447260834, 0.18610453605651855]
['CV', 61, 'UV', 45, 'ginstall', 'cmp', 'V2', 'V1', 0.9659936238044633, 0.2019197940826416]
['BV', 42, 'UV', 4, 'libvlc.so', 'cmp', 'V1', 'V2', 0.9917141377524599, 0.4810769557952881]
['UV', 43, 'BV', 48, 'sdiff', 'gvmap', 'V3', 'V3', 0.954915466499687, 0.45348024368286133]
['CV', 128, 'BV', 9, 'nice', 'dot', 'V3', 'V2', 1.0, 0.029582738876342773]
['BV', 42, 'CV', 312, 'libvlc.so', 'printf', 'V1', 'V1', 0.99235807860262, 0.3307614326477051]
['UV', 84, 'CV', 89, 'ar', 'unlink', 'V0', 'V3', 0.9970906068162926, 0.8551862239837646]
['BV', 48, 'UV', 6, 'gvmap', 'sdiff', 'V3', 'V2', 0.9687304565353346, 0.4489936828613281]
['UV', 7, 'BV', 10, 'nm', 'gvmap', 'V2', 'V2', 0.9805217391304348, 4.045619964599609]
['UV', 46, 'CV', 292, 'diff', 'sha1sum', 'V1', 'V1', 0.9921752738654147, 0.16295337677001953]
['CV', 76, 'UV', 34, 'comm', 'elfedit', 'V2', 'V3', 0.9766990291262136, 0.08134007453918457]
['CV', 258, 'BV', 21, 'rmdir', 'cp', 'V0', 'V1', 0.8732394366197183, 0.06026172637939453]
['CV', 31, 'BV', 49, 'sha1sum', 'make', 'V2', 'V3', 0.9514606741573034, 0.3927454948425293]
['UV', 72, 'CV', 213, 'find', 'whoami', 'V0', 'V0', 0.988313856427379, 0.11970710754394531]
['UV', 78, 'CV', 11, 'c++filt', 'printenv', 'V0', 'V2', 0.9972776769509982, 0.6166884899139404]
['CV', 0, 'BV', 75, 'touch', 'cmp', 'V2', 'V2', 0.9361702127659575, 0.0737450122833252]
['BV', 46, 'CV', 82, 'cluster', 'sort', 'V3', 'V2', 0.9671945701357466, 0.6628148555755615]
['CV', 7, 'UV', 30, 'dir', 'ld', 'V2', 'V3', 0.9727053786459727, 3.779885768890381]
['CV', 65, 'UV', 68, 'env', 'diff', 'V2', 'V0', 0.8802521008403361, 0.12427783012390137]
['CV', 345, 'UV', 19, 'rmdir', 'elfedit', 'V1', 'V2', 0.9746192893401016, 0.05167365074157715]
['UV', 35, 'CV', 49, 'size', 'tsort', 'V3', 'V2', 0.9965322930212397, 0.8094875812530518]
['UV', 42, 'CV', 169, 'diff', 'sort', 'V3', 'V3', 0.9430167597765363, 0.6226696968078613]
['BV', 18, 'CV', 332, 'sort', '[', 'V3', 'V1', 0.9867298578199052, 0.1378343105316162]
['UV', 44, 'CV', 328, 'diff3', 'uname', 'V1', 'V1', 0.9808429118773946, 0.04781222343444824]
['BV', 69, 'CV', 10, 'gvmap', 'ptx', 'V0', 'V2', 0.9555808656036446, 0.6147170066833496]
['CV', 71, 'UV', 85, '[', 'elfedit', 'V2', 'V0', 0.9717741935483871, 0.07349610328674316]
['BV', 50, 'CV', 4, 'sort', 'basename', 'V0', 'V2', 0.9488117001828154, 0.05823707580566406]
['UV', 60, 'CV', 252, 'gprof', 'rm', 'V1', 'V0', 0.9950172479877347, 1.2416272163391113]
['CV', 109, 'BV', 22, 'kill', 'cmp', 'V3', 'V3', 0.8853974121996303, 0.07187914848327637]
['UV', 34, 'BV', 76, 'elfedit', 'diff', 'V3', 'V2', 0.9714765100671141, 0.28552842140197754]
['UV', 7, 'CV', 283, 'nm', 'kill', 'V2', 'V1', 0.9970269696326184, 0.6598916053771973]
['UV', 23, 'BV', 35, 'strip', 'libvlccore.so', 'V3', 'V2', 0.9776237909628988, 37.01372575759888]
['UV', 28, 'CV', 222, 'strings', 'df', 'V3', 'V0', 0.9961148284049213, 1.1267874240875244]
['CV', 103, 'BV', 67, 'dd', 'cluster', 'V3', 'V0', 0.962214983713355, 0.49231958389282227]
['CV', 106, 'UV', 48, 'pr', 'locate', 'V3', 'V1', 0.9340478153338829, 0.28168463706970215]
['UV', 30, 'CV', 272, 'ld', 'printenv', 'V3', 'V1', 0.9985644559287971, 0.7267158031463623]
['BV', 5, 'CV', 82, 'libvlccore.so', 'sort', 'V0', 'V2', 0.9972506873281679, 3.9065446853637695]
['BV', 62, 'CV', 204, 'diff', 'pinky', 'V0', 'V0', 0.9710144927536232, 0.09305834770202637]
['BV', 54, 'UV', 76, 'lua', 'as', 'V3', 'V0', 0.9690364636382155, 14.78446626663208]
['CV', 223, 'BV', 74, 'tsort', 'git', 'V0', 'V1', 0.9927344439254762, 2.2025387287139893]
['BV', 40, 'UV', 7, 'lua', 'nm', 'V2', 'V2', 0.9667216721672167, 9.261550664901733]
['CV', 41, 'UV', 52, 'nice', 'strip', 'V2', 'V1', 0.9833251593918587, 1.1137151718139648]
['UV', 55, 'CV', 69, 'ranlib', 'csplit', 'V1', 'V2', 0.9944822512414935, 2.348259449005127]
['UV', 35, 'CV', 28, 'size', 'chown', 'V3', 'V2', 0.9912645590682196, 1.526705265045166]
['CV', 92, 'UV', 66, 'mkdir', 'diff3', 'V3', 'V0', 0.8797814207650273, 0.11320018768310547]
['UV', 86, 'BV', 66, 'size', 'lua', 'V0', 'V1', 0.9753470870637083, 9.099124431610107]
['UV', 28, 'BV', 51, 'strings', 'cp', 'V3', 'V0', 0.9929151906647218, 1.607362985610962]
['BV', 61, 'CV', 125, 'cmp', 'split', 'V0', 'V3', 0.9322638146167558, 0.05925130844116211]
['CV', 300, 'UV', 26, 'whoami', 'ranlib', 'V1', 'V3', 0.9833679833679834, 0.6551144123077393]
['CV', 100, 'BV', 27, 'join', 'libSDL2-2.0.so', 'V3', 'V1', 0.9746801346801347, 2.778658390045166]
['UV', 65, 'CV', 8, 'objdump', 'du', 'V1', 'V2', 0.9938288920056101, 3.3764142990112305]
['CV', 271, 'BV', 6, 'ptx', 'libvlc.so', 'V1', 'V0', 0.9786802030456853, 0.7455835342407227]
['CV', 189, 'UV', 2, 'uptime', 'find', 'V0', 'V2', 0.9522912743251726, 0.24059081077575684]
['UV', 17, 'CV', 221, 'addr2line', 'od', 'V2', 'V0', 0.9974484371677652, 0.9385862350463867]
['UV', 79, 'CV', 36, 'strings', 'chroot', 'V0', 'V2', 0.9955703211517165, 0.8522844314575195]
['CV', 68, 'UV', 87, 'cat', 'objdump', 'V2', 'V0', 0.9784750644232226, 1.9277770519256592]
['UV', 66, 'CV', 327, 'diff3', 'link', 'V0', 'V1', 0.9806576402321083, 0.04794669151306152]
['UV', 51, 'CV', 155, 'nm', 'cat', 'V1', 'V3', 0.9975339087546239, 1.0508878231048584]
['CV', 129, 'BV', 68, 'dircolors', 'dot', 'V3', 'V0', 1.0, 0.034384727478027344]
['BV', 38, 'CV', 312, 'ruby', 'printf', 'V2', 'V1', 0.9907834101382489, 0.013097047805786133]
['UV', 79, 'CV', 244, 'strings', 'vdir', 'V0', 'V0', 0.9941459335145306, 1.8911004066467285]
['CV', 261, 'BV', 14, 'touch', 'openssl', 'V1', 'V3', 0.9951186440677966, 2.354182243347168]
['CV', 192, 'BV', 28, 'pwd', 'openssl', 'V0', 'V1', 0.9919165710293898, 2.6083121299743652]
['CV', 274, 'UV', 15, 'join', 'ld', 'V1', 'V2', 0.9800740108169655, 1.4685180187225342]
['UV', 81, 'CV', 3, 'ld', 'test', 'V0', 'V2', 0.9972739663789186, 1.142526388168335]
['UV', 53, 'CV', 228, 'readelf', 'false', 'V1', 'V0', 0.9928622412562456, 0.14694738388061523]
['CV', 82, 'UV', 43, 'sort', 'sdiff', 'V2', 'V3', 0.948076923076923, 0.20726871490478516]
['BV', 25, 'CV', 13, 'git', 'join', 'V3', 'V2', 0.9988458143797949, 6.382999420166016]
['BV', 6, 'CV', 94, 'libvlc.so', 'dir', 'V0', 'V3', 0.983435047951177, 1.1480522155761719]
['BV', 69, 'CV', 303, 'gvmap', 'dircolors', 'V0', 'V1', 0.9789983844911146, 0.20171189308166504]
['CV', 132, 'BV', 40, 'cp', 'lua', 'V3', 'V2', 0.9505756809884864, 1.8692107200622559]
['CV', 122, 'BV', 68, 'sum', 'dot', 'V3', 'V0', 1.0, 0.03558468818664551]
['CV', 329, 'UV', 19, 'cat', 'elfedit', 'V1', 'V2', 0.9754299754299754, 0.061730146408081055]
['BV', 67, 'CV', 135, 'cluster', 'df', 'V0', 'V3', 0.944233206590621, 0.537604570388794]
['UV', 37, 'CV', 284, 'locate', 'wc', 'V3', 'V1', 0.9921104536489151, 0.17451977729797363]
['CV', 328, 'BV', 48, 'uname', 'gvmap', 'V1', 'V3', 0.9610486891385768, 0.17652583122253418]
['CV', 221, 'UV', 12, 'od', 'c++filt', 'V0', 'V2', 0.9733046286329387, 0.9959325790405273]
['UV', 42, 'BV', 17, 'diff', 'codeblocks', 'V3', 'V2', 0.9893404397068621, 15.022581815719604]
['UV', 11, 'BV', 16, 'ranlib', 'libvlc.so', 'V2', 'V3', 0.9873054254193744, 6.630219221115112]
['BV', 50, 'CV', 148, 'sort', 'ginstall', 'V0', 'V3', 0.9054263565891473, 0.2677626609802246]
['CV', 336, 'BV', 57, 'tr', 'svn', 'V1', 'V2', 0.977890373099954, 0.48465824127197266]
['CV', 58, 'BV', 38, 'readlink', 'ruby', 'V2', 'V2', 1.0, 0.012753486633300781]
['CV', 45, 'UV', 29, 'cp', 'objcopy', 'V2', 'V3', 0.967784352399737, 3.289443016052246]
['UV', 67, 'CV', 282, 'cmp', 'chgrp', 'V0', 'V1', 0.8984771573604061, 0.08315110206604004]
['CV', 273, 'UV', 35, 'stty', 'size', 'V1', 'V3', 0.9800433839479392, 0.9427156448364258]
['UV', 55, 'CV', 324, 'ranlib', 'mv', 'V1', 'V1', 0.9917153078516286, 2.0192971229553223]
['CV', 307, 'BV', 76, 'cut', 'diff', 'V1', 'V2', 0.8959854014598541, 0.1549379825592041]
['BV', 83, 'UV', 66, 'git', 'diff3', 'V2', 'V0', 0.9988771323688188, 6.150547742843628]
['BV', 74, 'UV', 14, 'git', 'objcopy', 'V1', 'V2', 0.9920344631390717, 71.6138346195221]
['CV', 36, 'UV', 9, 'chroot', 'readelf', 'V2', 'V2', 0.9708029197080292, 0.33165574073791504]
['BV', 12, 'CV', 76, 'sort', 'comm', 'V2', 'V2', 0.9681093394077449, 0.12376856803894043]
['BV', 70, 'CV', 285, 'ssh', 'factor', 'V0', 'V1', 0.9990547459629775, 1.505375862121582]
['UV', 79, 'CV', 135, 'strings', 'df', 'V0', 'V3', 0.9921842863019333, 1.9645090103149414]
['CV', 95, 'UV', 38, 'du', 'xargs', 'V3', 'V3', 0.9758648431214803, 0.3727242946624756]
['BV', 59, 'UV', 13, 'make', 'strings', 'V1', 'V2', 0.947034570250555, 5.932471036911011]
['UV', 5, 'CV', 103, 'diff', 'dd', 'V2', 'V3', 0.9614059269469332, 0.3728952407836914]
['BV', 47, 'CV', 228, 'dot', 'false', 'V3', 'V0', 0.9893048128342246, 0.016863346099853516]
['UV', 59, 'CV', 39, 'ld', 'whoami', 'V1', 'V2', 0.9979899497487437, 0.9958653450012207]
['CV', 11, 'UV', 82, 'printenv', 'gprof', 'V2', 'V0', 0.9815270935960592, 0.7728345394134521]
['BV', 49, 'CV', 212, 'make', 'split', 'V3', 'V0', 0.990909090909091, 0.35117578506469727]
['UV', 14, 'CV', 11, 'objcopy', 'printenv', 'V2', 'V2', 0.9975282485875706, 0.7947647571563721]
['UV', 0, 'BV', 72, 'locate', 'perl', 'V2', 'V1', 0.9834829443447037, 4.926199674606323]
['BV', 51, 'UV', 36, 'cp', 'objdump', 'V0', 'V3', 0.9726862901087244, 2.642988443374634]
['CV', 282, 'UV', 64, 'chgrp', 'size', 'V1', 'V1', 0.9723083281669767, 1.224745512008667]
['UV', 35, 'BV', 82, 'size', 'gvmap', 'V3', 'V1', 0.9842885199071595, 3.838486433029175]
['UV', 59, 'CV', 88, 'ld', 'stat', 'V1', 'V3', 0.9967032967032967, 2.6016337871551514]
['CV', 334, 'BV', 68, 'shred', 'dot', 'V1', 'V0', 1.0, 0.03831076622009277]
['BV', 8, 'CV', 57, 'cluster', 'who', 'V2', 'V2', 0.9758522727272727, 0.3077883720397949]
['CV', 63, 'BV', 59, 'mv', 'make', 'V2', 'V1', 0.945216355696705, 0.985271692276001]
['BV', 28, 'CV', 4, 'openssl', 'basename', 'V1', 'V2', 0.9989034541195235, 2.6434664726257324]
['UV', 36, 'CV', 283, 'objdump', 'kill', 'V3', 'V1', 0.9986239163341131, 0.999396562576294]
['BV', 80, 'CV', 243, 'cluster', 'csplit', 'V1', 'V0', 0.9718640093786636, 0.5546286106109619]
['BV', 13, 'CV', 96, 'cp', 'users', 'V2', 'V3', 0.9789695057833859, 0.1467292308807373]
['BV', 24, 'CV', 162, 'git', 'tr', 'V0', 'V3', 0.9985649366180339, 3.6044256687164307]
['CV', 29, 'BV', 58, 'tail', 'ruby', 'V2', 'V3', 1.0, 0.018704891204833984]
['CV', 62, 'BV', 44, 'unexpand', 'make', 'V2', 'V0', 0.9539508110936682, 0.3167581558227539]
['UV', 60, 'CV', 269, 'gprof', 'du', 'V1', 'V1', 0.9958870816975136, 1.7178711891174316]
['UV', 19, 'BV', 21, 'elfedit', 'cp', 'V2', 'V1', 0.9568965517241379, 0.14279627799987793]
['CV', 38, 'BV', 27, 'split', 'libSDL2-2.0.so', 'V2', 'V1', 0.9781729991915926, 2.788548231124878]
['BV', 30, 'CV', 22, 'bash', 'kill', 'V0', 'V2', 0.9979393245563823, 1.4155404567718506]
['UV', 26, 'CV', 220, 'ranlib', 'cut', 'V3', 'V0', 0.9971181556195965, 0.7675189971923828]
['UV', 28, 'CV', 302, 'strings', 'nice', 'V3', 'V1', 0.9977817213842058, 0.5753474235534668]
['BV', 56, 'UV', 61, 'ssh', 'addr2line', 'V3', 'V1', 0.973294041808638, 21.14607000350952]
['UV', 58, 'BV', 27, 'objcopy', 'libSDL2-2.0.so', 'V1', 'V1', 0.9827053736874614, 33.168280601501465]
['CV', 273, 'BV', 20, 'stty', 'sort', 'V1', 'V1', 0.8854489164086687, 0.08796262741088867]
['UV', 77, 'CV', 123, 'ranlib', 'chroot', 'V0', 'V3', 0.9959041572803604, 1.1386563777923584]
['CV', 17, 'UV', 81, 'mkfifo', 'ld', 'V2', 'V0', 0.9881242387332522, 1.138951063156128]
['UV', 85, 'BV', 10, 'elfedit', 'gvmap', 'V0', 'V2', 0.9218642906100069, 0.2694237232208252]
['CV', 130, 'BV', 6, 'chmod', 'libvlc.so', 'V3', 'V0', 0.9787347155768208, 0.6713106632232666]
['CV', 293, 'UV', 63, 'paste', 'elfedit', 'V1', 'V1', 0.9800498753117207, 0.05981850624084473]
['BV', 13, 'CV', 142, 'cp', 'nohup', 'V2', 'V3', 0.9748953974895398, 0.15178132057189941]
['UV', 9, 'CV', 178, 'readelf', 'basename', 'V2', 'V0', 0.992822966507177, 0.22904419898986816]
['CV', 255, 'BV', 17, 'sleep', 'codeblocks', 'V0', 'V2', 0.9969483120350944, 2.6719813346862793]
['UV', 8, 'BV', 62, 'strip', 'diff', 'V2', 'V0', 0.9919732441471572, 2.133701801300049]
['CV', 65, 'BV', 58, 'env', 'ruby', 'V2', 'V3', 1.0, 0.00968313217163086]
['UV', 62, 'CV', 116, 'ar', 'tail', 'V1', 'V3', 0.9920619920619921, 2.422454833984375]
['CV', 238, 'UV', 83, 'md5sum', 'addr2line', 'V0', 'V0', 0.9816964285714286, 0.8339605331420898]
['CV', 112, 'UV', 8, 'expand', 'strip', 'V3', 'V2', 0.9791919542222993, 1.3099229335784912]
['CV', 96, 'UV', 18, 'users', 'ar', 'V3', 'V2', 0.9748603351955307, 1.1126391887664795]
['BV', 60, 'CV', 36, 'codeblocks', 'chroot', 'V1', 'V2', 0.9989774397648111, 3.819127321243286]
['UV', 76, 'CV', 338, 'as', 'nl', 'V0', 'V1', 0.9964745762711864, 2.4779553413391113]
['UV', 78, 'CV', 69, 'c++filt', 'csplit', 'V0', 'V2', 0.9917864476386037, 1.9818973541259766]
['CV', 232, 'UV', 85, 'readlink', 'elfedit', 'V0', 'V0', 0.9708029197080292, 0.06127619743347168]
['BV', 50, 'UV', 2, 'sort', 'find', 'V0', 'V2', 0.9223410241980867, 0.4213683605194092]
['BV', 59, 'CV', 181, 'make', 'dir', 'V1', 'V0', 0.9797297297297297, 0.8172807693481445]
['UV', 16, 'BV', 35, 'gprof', 'libvlccore.so', 'V2', 'V2', 0.9767162385458915, 32.08364129066467]
['BV', 22, 'UV', 48, 'cmp', 'locate', 'V3', 'V1', 0.9, 0.18377232551574707]
['BV', 57, 'CV', 200, 'svn', 'date', 'V2', 'V0', 0.99179580674567, 0.530890941619873]
['UV', 60, 'BV', 5, 'gprof', 'libvlccore.so', 'V1', 'V0', 0.9770395701025891, 27.104974508285522]
['BV', 50, 'CV', 226, 'sort', 'logname', 'V0', 'V0', 0.9795081967213115, 0.04269003868103027]
['UV', 34, 'BV', 32, 'elfedit', 'perl', 'V3', 'V0', 0.9791940018744143, 2.12874698638916]
['CV', 336, 'UV', 26, 'tr', 'ranlib', 'V1', 'V3', 0.97219382539358, 0.9285342693328857]
['CV', 198, 'UV', 24, 'factor', 'readelf', 'V0', 'V3', 0.9748858447488584, 0.3565361499786377]
['CV', 18, 'UV', 52, 'pwd', 'strip', 'V2', 'V1', 0.9847005208333334, 1.2591972351074219]
['BV', 41, 'CV', 74, 'libvlccore.so', 'pathchk', 'V1', 'V2', 0.9992257065427798, 1.286386489868164]
['UV', 47, 'BV', 27, 'sdiff', 'libSDL2-2.0.so', 'V1', 'V1', 0.9798007002423916, 3.0014195442199707]
