['BV', 63, 'CV', 23, 'ruby', 'wc', 'V0', 'V2', 0.9992767707815395, 4.50452995300293]
['UV', 55, 'CV', 321, 'ranlib', 'hostid', 'V1', 'V1', 0.9983792544570502, 0.5789811611175537]
['CV', 102, 'UV', 50, 'uptime', 'find', 'V3', 'V1', 0.9068710959681999, 0.4071238040924072]
['BV', 14, 'CV', 68, 'openssl', 'cat', 'V3', 'V2', 0.9970607882431529, 2.434389114379883]
['CV', 200, 'UV', 53, 'date', 'readelf', 'V0', 'V1', 0.9698360655737704, 0.3120303153991699]
['CV', 147, 'UV', 38, 'hostid', 'xargs', 'V3', 'V3', 0.9581005586592178, 0.12039470672607422]
['BV', 7, 'CV', 180, 'libSDL2-2.0.so', 'fmt', 'V0', 'V0', 0.9978319783197832, 0.8382155895233154]
['BV', 61, 'UV', 17, 'cmp', 'addr2line', 'V0', 'V2', 0.9851851851851852, 0.555680513381958]
['CV', 20, 'UV', 14, 'tee', 'objcopy', 'V2', 'V2', 0.9796312554872695, 1.0193147659301758]
['CV', 202, 'UV', 30, 'chown', 'ld', 'V0', 'V3', 0.9781482000280152, 1.8730254173278809]
['UV', 42, 'BV', 20, 'diff', 'sort', 'V3', 'V1', 0.9631811487481591, 0.31972813606262207]
['UV', 19, 'BV', 43, 'elfedit', 'lua', 'V2', 'V0', 0.951332560834299, 0.49628686904907227]
['BV', 52, 'CV', 68, 'libSDL2-2.0.so', 'cat', 'V2', 'V2', 0.9956720977596741, 1.9841222763061523]
['BV', 1, 'UV', 67, 'libSDL2-2.0.so', 'cmp', 'V3', 'V0', 0.9950672645739911, 1.941014051437378]
['CV', 0, 'UV', 34, 'touch', 'elfedit', 'V2', 'V3', 0.9821109123434705, 0.09531545639038086]
['UV', 76, 'CV', 97, 'as', 'ptx', 'V0', 'V3', 0.9951027071146783, 2.4101505279541016]
['CV', 2, 'UV', 8, 'unlink', 'strip', 'V2', 'V2', 0.9802677942212826, 0.8950397968292236]
['UV', 34, 'CV', 33, 'elfedit', 'sync', 'V3', 'V2', 0.9736263736263736, 0.059925079345703125]
['BV', 43, 'CV', 11, 'lua', 'printenv', 'V0', 'V2', 0.9896124650419497, 0.35901689529418945]
['CV', 67, 'UV', 6, 'uname', 'sdiff', 'V2', 'V2', 0.8411053540587219, 0.06644558906555176]
['UV', 26, 'BV', 51, 'ranlib', 'cp', 'V3', 'V0', 0.9909998043435727, 1.6815910339355469]
['BV', 10, 'CV', 334, 'gvmap', 'shred', 'V2', 'V1', 0.976158940397351, 0.3701963424682617]
['CV', 261, 'UV', 51, 'touch', 'nm', 'V1', 'V1', 0.9763975155279503, 1.0769734382629395]
['UV', 53, 'CV', 15, 'readelf', 'uptime', 'V1', 'V2', 0.9882352941176471, 0.280407190322876]
['UV', 47, 'CV', 128, 'sdiff', 'nice', 'V1', 'V3', 0.9585987261146497, 0.08090710639953613]
['UV', 23, 'BV', 11, 'strip', 'bash', 'V3', 'V1', 0.9711891405221968, 35.159815311431885]
['UV', 25, 'CV', 257, 'as', 'tac', 'V3', 'V0', 0.9953331604874255, 2.726684331893921]
['CV', 292, 'UV', 55, 'sha1sum', 'ranlib', 'V1', 'V1', 0.9819349658771578, 0.8835148811340332]
['UV', 37, 'CV', 199, 'locate', 'expand', 'V3', 'V0', 0.9877175025588536, 0.13743066787719727]
['BV', 22, 'CV', 78, 'cmp', 'rm', 'V3', 'V2', 0.9046242774566474, 0.10531783103942871]
['CV', 256, 'BV', 21, 'sort', 'cp', 'V0', 'V1', 0.915, 0.13953804969787598]
['CV', 130, 'BV', 70, 'chmod', 'ssh', 'V3', 'V0', 0.972735674676525, 4.274597883224487]
['BV', 47, 'CV', 76, 'dot', 'comm', 'V3', 'V2', 0.993421052631579, 0.028643131256103516]
['UV', 11, 'CV', 139, 'ranlib', 'logname', 'V2', 'V3', 0.9975869696360345, 0.8967888355255127]
['CV', 104, 'UV', 79, 'mkfifo', 'strings', 'V3', 'V0', 0.9725481514279389, 0.9543795585632324]
['CV', 132, 'BV', 38, 'cp', 'ruby', 'V3', 'V2', 0.9976878612716763, 0.03768754005432129]
['BV', 10, 'UV', 40, 'gvmap', 'diff3', 'V2', 'V3', 0.9714993804213135, 0.46791839599609375]
['CV', 225, 'UV', 8, 'printf', 'strip', 'V0', 'V2', 0.9816869167106885, 1.0024418830871582]
['CV', 208, 'UV', 52, 'echo', 'strip', 'V0', 'V1', 0.9867681111478663, 0.7930572032928467]
['CV', 293, 'UV', 71, 'paste', 'xargs', 'V1', 'V0', 0.8449197860962567, 0.03705596923828125]
['CV', 228, 'UV', 86, 'false', 'size', 'V0', 'V0', 0.9897513759726704, 0.5866572856903076]
['CV', 307, 'UV', 62, 'cut', 'ar', 'V1', 'V1', 0.9771634615384616, 0.8696560859680176]
['UV', 71, 'CV', 157, 'xargs', 'vdir', 'V0', 'V3', 0.9042357274401474, 0.18144464492797852]
['CV', 161, 'BV', 38, 'pathchk', 'ruby', 'V3', 'V2', 0.9931972789115646, 0.013059854507446289]
['CV', 88, 'UV', 20, 'stat', 'size', 'V3', 'V2', 0.9670748845613331, 1.9889116287231445]
['UV', 37, 'CV', 193, 'locate', 'pr', 'V3', 'V0', 0.9804791481810116, 0.24759626388549805]
