['BV', 57, 'UV', 11, 'svn', 'ranlib', 'V2', 'V2', 0.9576498657918282, 7.893649578094482]
['UV', 59, 'CV', 219, 'ld', 'cp', 'V1', 'V0', 0.9955647955647956, 2.2971274852752686]
['CV', 271, 'BV', 9, 'ptx', 'dot', 'V1', 'V2', 0.9967051070840197, 0.05652785301208496]
['CV', 299, 'UV', 43, 'split', 'sdiff', 'V1', 'V3', 0.9018612521150592, 0.07136154174804688]
['BV', 8, 'CV', 182, 'cluster', 'du', 'V2', 'V0', 0.9672988881621976, 0.44295597076416016]
['CV', 315, 'UV', 28, 'false', 'strings', 'V1', 'V3', 0.9834895136099956, 0.5605168342590332]
['CV', 189, 'BV', 34, 'uptime', 'svn', 'V0', 'V0', 0.984992496248124, 0.3998756408691406]
['CV', 300, 'BV', 75, 'whoami', 'cmp', 'V1', 'V2', 0.8392434988179669, 0.04083847999572754]
['UV', 79, 'CV', 282, 'strings', 'chgrp', 'V0', 'V1', 0.9938877974241432, 1.0528371334075928]
['UV', 14, 'CV', 226, 'objcopy', 'logname', 'V2', 'V0', 0.9978655282817502, 0.6341149806976318]
['BV', 61, 'CV', 126, 'cmp', 'whoami', 'V0', 'V3', 0.9025787965616046, 0.03412437438964844]
['CV', 305, 'BV', 23, 'true', 'diff', 'V1', 'V3', 0.9232245681381958, 0.10907912254333496]
['CV', 235, 'UV', 26, 'ginstall', 'ranlib', 'V0', 'V3', 0.9638624441422188, 1.9944655895233154]
['CV', 38, 'BV', 51, 'split', 'cp', 'V2', 'V0', 0.9081015719467956, 0.14403414726257324]
['UV', 74, 'CV', 203, 'strip', 'tail', 'V0', 'V0', 0.9956456204990789, 1.2702546119689941]
['BV', 35, 'UV', 85, 'libvlccore.so', 'elfedit', 'V2', 'V0', 0.9993116898015372, 1.7486093044281006]
['CV', 319, 'UV', 44, 'readlink', 'diff3', 'V1', 'V1', 0.8832116788321168, 0.06110882759094238]
['UV', 78, 'CV', 275, 'c++filt', 'dirname', 'V0', 'V1', 0.9958885335769758, 0.5175573825836182]
['CV', 54, 'UV', 17, 'false', 'addr2line', 'V2', 'V2', 0.9801252970403975, 0.690509557723999]
['BV', 24, 'CV', 38, 'git', 'split', 'V0', 'V2', 0.998452749345394, 4.479844331741333]
['UV', 31, 'CV', 79, 'gprof', 'fold', 'V3', 'V2', 0.9979903536977492, 0.8668720722198486]
['UV', 4, 'BV', 79, 'cmp', 'bash', 'V2', 'V3', 0.9794460213369873, 2.425398826599121]
['BV', 49, 'CV', 308, 'make', 'od', 'V3', 'V1', 0.9893238434163701, 0.44510364532470703]
['BV', 18, 'UV', 10, 'sort', 'as', 'V3', 'V2', 0.9604743083003953, 4.943354368209839]
['BV', 49, 'CV', 110, 'make', 'wc', 'V3', 'V3', 0.9820971867007673, 0.5894434452056885]
['CV', 333, 'BV', 19, 'id', 'cp', 'V1', 'V3', 0.9223107569721115, 0.1316976547241211]
['UV', 48, 'CV', 223, 'locate', 'tsort', 'V1', 'V0', 0.9802414928649835, 0.11227583885192871]
['CV', 36, 'UV', 57, 'chroot', 'strings', 'V2', 'V1', 0.9742833052276559, 1.0208022594451904]
['BV', 31, 'UV', 40, 'codeblocks', 'diff3', 'V0', 'V3', 0.9983089430894309, 5.0988123416900635]
['CV', 254, 'BV', 78, 'uniq', 'make', 'V0', 'V2', 0.9637404580152672, 0.35363197326660156]
['UV', 70, 'CV', 193, 'locate', 'pr', 'V0', 'V0', 0.9612903225806452, 0.15781927108764648]
['BV', 21, 'CV', 115, 'cp', 'chown', 'V1', 'V3', 0.9168443496801706, 0.18293499946594238]
['UV', 52, 'CV', 165, 'strip', 'rm', 'V1', 'V3', 0.993165579372476, 2.3372437953948975]
['CV', 333, 'UV', 47, 'id', 'sdiff', 'V1', 'V1', 0.8861209964412812, 0.06610298156738281]
['CV', 153, 'BV', 62, 'link', 'diff', 'V3', 'V0', 0.899581589958159, 0.10534167289733887]
['BV', 30, 'UV', 16, 'bash', 'gprof', 'V0', 'V2', 0.9864016736401674, 30.98194718360901]
['CV', 202, 'UV', 66, 'chown', 'diff3', 'V0', 'V0', 0.8711566617862372, 0.10013031959533691]
['CV', 254, 'UV', 73, 'uniq', 'nm', 'V0', 'V0', 0.9799038881607689, 0.9039621353149414]
['UV', 0, 'CV', 324, 'locate', 'mv', 'V2', 'V1', 0.9319066147859922, 0.22695493698120117]
['UV', 48, 'BV', 4, 'locate', 'geany', 'V1', 'V3', 0.9877205822558348, 18.6684992313385]
['CV', 115, 'BV', 63, 'chown', 'ruby', 'V3', 'V0', 0.9844378856989536, 8.607504844665527]
['CV', 96, 'UV', 10, 'users', 'as', 'V3', 'V2', 0.9797062750333778, 1.5788376331329346]
['CV', 152, 'BV', 79, 'env', 'bash', 'V3', 'V3', 0.9854631175719477, 2.22770357131958]
['CV', 66, 'UV', 16, 'link', 'gprof', 'V2', 'V2', 0.977764542386341, 0.8128235340118408]
['CV', 248, 'UV', 12, 'pathchk', 'c++filt', 'V0', 'V2', 0.9824137173005056, 0.6425662040710449]
['CV', 32, 'UV', 5, 'paste', 'diff', 'V2', 'V2', 0.8945454545454545, 0.1448073387145996]
['BV', 23, 'CV', 141, 'diff', 'false', 'V3', 'V3', 0.9805825242718447, 0.15449261665344238]
['UV', 43, 'BV', 81, 'sdiff', 'dot', 'V3', 'V1', 1.0, 0.04372859001159668]
['BV', 5, 'UV', 2, 'libvlccore.so', 'find', 'V0', 'V2', 0.9901971959420951, 8.328671216964722]
['BV', 24, 'CV', 294, 'git', 'sync', 'V0', 'V1', 0.9992745299558672, 1.6154606342315674]
['UV', 33, 'BV', 2, 'ar', 'cmp', 'V3', 'V1', 0.9939540507859734, 1.1336567401885986]
['CV', 275, 'UV', 75, 'dirname', 'readelf', 'V1', 'V0', 0.9748892171344166, 0.17742037773132324]
['CV', 336, 'UV', 47, 'tr', 'sdiff', 'V1', 'V1', 0.8985270049099836, 0.07495975494384766]
['CV', 272, 'BV', 80, 'printenv', 'cluster', 'V1', 'V1', 0.9663461538461539, 0.15921568870544434]
['BV', 76, 'CV', 241, 'diff', 'uname', 'V2', 'V0', 0.9884281581485053, 0.09519100189208984]
['CV', 321, 'BV', 77, 'hostid', 'perl', 'V1', 'V2', 0.9927953890489913, 1.4775869846343994]
['UV', 56, 'BV', 7, 'c++filt', 'libSDL2-2.0.so', 'V1', 'V0', 0.9812970115877211, 19.785706996917725]
['BV', 82, 'CV', 277, 'gvmap', 'dd', 'V1', 'V1', 0.9748010610079576, 0.3509674072265625]
['BV', 63, 'UV', 35, 'ruby', 'size', 'V0', 'V3', 0.9947454593915395, 68.66129994392395]
['BV', 56, 'CV', 159, 'ssh', 'id', 'V3', 'V3', 0.996985227615315, 1.551816701889038]
['CV', 219, 'UV', 84, 'cp', 'ar', 'V0', 'V0', 0.9669190912714228, 1.740722894668579]
['UV', 34, 'CV', 318, 'elfedit', 'who', 'V3', 'V1', 0.9595959595959596, 0.07923340797424316]
['UV', 34, 'CV', 308, 'elfedit', 'od', 'V3', 'V1', 0.9770992366412213, 0.08017158508300781]
['BV', 59, 'CV', 346, 'make', 'mknod', 'V1', 'V1', 0.9950396825396826, 0.2728416919708252]
['CV', 337, 'UV', 15, 'comm', 'ld', 'V1', 'V2', 0.9833357276253412, 1.0599939823150635]
['CV', 297, 'BV', 71, 'chroot', 'ruby', 'V1', 'V1', 0.9878787878787879, 0.008291482925415039]
['BV', 48, 'CV', 20, 'gvmap', 'tee', 'V3', 'V2', 0.9843304843304843, 0.23380804061889648]
['CV', 104, 'BV', 60, 'mkfifo', 'codeblocks', 'V3', 'V1', 0.9951434596459837, 4.006246089935303]
['CV', 232, 'UV', 36, 'readlink', 'objdump', 'V0', 'V3', 0.9834710743801653, 1.0441632270812988]
['CV', 28, 'UV', 51, 'chown', 'nm', 'V2', 'V1', 0.9712517468556598, 1.8039958477020264]
['CV', 46, 'UV', 1, 'cut', 'xargs', 'V2', 'V2', 0.9090909090909091, 0.18879914283752441]
['UV', 61, 'CV', 98, 'addr2line', 'printenv', 'V1', 'V3', 0.9961993243243243, 1.3599460124969482]
['UV', 81, 'BV', 32, 'ld', 'perl', 'V0', 'V0', 0.9728004771846108, 45.21539568901062]
['CV', 291, 'UV', 62, 'pinky', 'ar', 'V1', 'V1', 0.9804508278475963, 1.0100963115692139]
['UV', 23, 'CV', 165, 'strip', 'rm', 'V3', 'V3', 0.9918795466080189, 2.0909810066223145]
['CV', 164, 'UV', 48, 'nl', 'locate', 'V3', 'V1', 0.8996138996138996, 0.18010997772216797]
['CV', 99, 'BV', 34, 'stty', 'svn', 'V3', 'V0', 0.9880459770114942, 0.6657350063323975]
['CV', 87, 'UV', 67, 'touch', 'cmp', 'V3', 'V0', 0.9567567567567568, 0.11040067672729492]
['UV', 84, 'CV', 330, 'ar', 'csplit', 'V0', 'V1', 0.9930313588850174, 1.975583553314209]
['BV', 62, 'CV', 288, 'diff', 'expr', 'V0', 'V1', 0.9106256206554121, 0.20123052597045898]
['UV', 2, 'CV', 78, 'find', 'rm', 'V2', 'V2', 0.9923203510696654, 0.4381392002105713]
['CV', 264, 'BV', 23, 'test', 'diff', 'V1', 'V3', 0.9178832116788321, 0.14151954650878906]
['UV', 29, 'CV', 58, 'objcopy', 'readlink', 'V3', 'V2', 0.9957499557287055, 1.0848774909973145]
['BV', 4, 'CV', 294, 'geany', 'sync', 'V3', 'V1', 0.9996662216288384, 2.7556774616241455]
['UV', 10, 'CV', 172, 'as', 'mknod', 'V2', 'V3', 0.9975980784627703, 1.5057761669158936]
['CV', 266, 'UV', 5, 'mkdir', 'diff', 'V1', 'V2', 0.9109528049866429, 0.17107605934143066]
['BV', 39, 'CV', 144, 'svn', 'who', 'V1', 'V3', 0.9903719912472647, 0.6718003749847412]
['CV', 330, 'UV', 37, 'csplit', 'locate', 'V1', 'V3', 0.9730687455705174, 0.4482104778289795]
['BV', 78, 'CV', 136, 'make', 'tsort', 'V2', 'V3', 0.9797887000459348, 0.4655880928039551]
['CV', 23, 'BV', 37, 'wc', 'geany', 'V2', 'V1', 0.9937365616527999, 6.9419989585876465]
['BV', 48, 'CV', 47, 'gvmap', 'od', 'V3', 'V2', 0.9780645161290322, 0.3732264041900635]
['CV', 146, 'BV', 23, 'head', 'diff', 'V3', 'V3', 0.9132530120481928, 0.2418203353881836]
['CV', 306, 'UV', 43, 'cp', 'sdiff', 'V1', 'V3', 0.9232613908872902, 0.14918184280395508]
['CV', 139, 'BV', 81, 'logname', 'dot', 'V3', 'V1', 1.0, 0.02665424346923828]
['UV', 17, 'CV', 307, 'addr2line', 'cut', 'V2', 'V1', 0.9961315280464217, 0.7444839477539062]
['BV', 40, 'CV', 336, 'lua', 'tr', 'V2', 'V1', 0.9938775510204082, 0.512986421585083]
['BV', 77, 'UV', 55, 'perl', 'ranlib', 'V2', 'V1', 0.9899752075024254, 46.358771562576294]
['CV', 65, 'UV', 69, 'env', 'sdiff', 'V2', 'V0', 0.8850174216027875, 0.06652379035949707]
['BV', 11, 'CV', 205, 'bash', 'sha1sum', 'V1', 'V0', 0.9989164589879727, 1.398226261138916]
['UV', 49, 'CV', 235, 'xargs', 'ginstall', 'V1', 'V0', 0.9203084832904884, 0.12953567504882812]
['CV', 119, 'UV', 49, 'paste', 'xargs', 'V3', 'V1', 0.8943661971830986, 0.06996774673461914]
['CV', 62, 'BV', 0, 'unexpand', 'bash', 'V2', 'V2', 0.9823299773988083, 1.5276854038238525]
['CV', 53, 'UV', 74, 'tty', 'strip', 'V2', 'V0', 0.9870550161812298, 0.9425754547119141]
['BV', 1, 'UV', 32, 'libSDL2-2.0.so', 'addr2line', 'V3', 'V3', 0.9861719290159023, 31.0031521320343]
['UV', 40, 'CV', 52, 'diff3', 'logname', 'V3', 'V2', 0.946218487394958, 0.06403994560241699]
['UV', 78, 'CV', 289, 'c++filt', 'chown', 'V0', 'V1', 0.9947322212467077, 1.0945329666137695]
['UV', 52, 'CV', 315, 'strip', 'false', 'V1', 'V1', 0.9990066225165563, 0.6206104755401611]
['BV', 4, 'CV', 182, 'geany', 'du', 'V3', 'V0', 0.9992576401204273, 8.20531177520752]
['CV', 306, 'BV', 83, 'cp', 'git', 'V1', 'V2', 0.9877644220412736, 8.109254598617554]
['CV', 121, 'UV', 7, 'echo', 'nm', 'V3', 'V2', 0.9777591271506505, 0.9273252487182617]
['BV', 2, 'CV', 129, 'cmp', 'dircolors', 'V1', 'V3', 0.9125874125874126, 0.07404041290283203]
['UV', 35, 'CV', 226, 'size', 'logname', 'V3', 'V0', 0.9973492379058979, 0.5136878490447998]
['UV', 24, 'BV', 45, 'readelf', 'svn', 'V3', 'V3', 0.9732861913180122, 4.916898965835571]
['BV', 26, 'CV', 187, 'geany', 'join', 'V2', 'V0', 0.9992832825658484, 4.4969611167907715]
