['CO', 409, 'BO', 18, 'uniq', 'libvlc.so.12.0.0', 'O0', 'O1', 0.9796610169491525, 0.795947790145874]
['CO', 246, 'BO', 31, 'sha1sum', 'bash', 'O2', 'O2', 0.9856549641374104, 2.1477742195129395]
['CO', 30, 'UO', 14, 'expand', 'ar', 'O3', 'O1', 0.9730521382542472, 1.207836389541626]
['BO', 83, 'CO', 294, 'lua', 'timeout', 'O2', 'O2', 0.9893948845913911, 0.7562065124511719]
['CO', 48, 'UO', 78, 'ls', 'elfedit', 'O3', 'O0', 0.9879931389365352, 0.2806692123413086]
['CO', 285, 'BO', 11, 'env', 'ssh', 'O2', 'O1', 0.9854036341971999, 1.1868960857391357]
['CO', 302, 'BO', 56, 'rm', 'libvlc.so.12.0.0', 'O2', 'O3', 0.9832820061592609, 0.98895263671875]
['BO', 66, 'CO', 83, 'svn', 'csplit', 'O2', 'O3', 0.9892843474933027, 0.9092230796813965]
['UO', 25, 'CO', 327, 'sdiff', 'join', 'O2', 'O0', 0.9185888738127544, 0.14047455787658691]
['BO', 56, 'CO', 239, 'libvlc.so.12.0.0', 'date', 'O3', 'O2', 0.9945380063723259, 0.7480530738830566]
['UO', 43, 'CO', 196, 'find', 'sha512sum', 'O2', 'O1', 0.9861830742659758, 0.5751078128814697]
['CO', 342, 'UO', 17, 'expand', 'objdump', 'O0', 'O1', 0.9763779527559056, 2.0078861713409424]
['CO', 137, 'UO', 79, 'chown', 'size', 'O1', 'O0', 0.9833150984682714, 3.2219388484954834]
['BO', 44, 'CO', 129, 'cmp', 'chgrp', 'O2', 'O1', 0.8972972972972972, 0.12821054458618164]
['UO', 24, 'BO', 76, 'diff', 'openssl', 'O2', 'O2', 0.9890303218462175, 10.203362941741943]
['CO', 47, 'UO', 8, 'numfmt', 'c++filt', 'O3', 'O1', 0.9727047146401985, 1.4055705070495605]
['BO', 37, 'CO', 253, 'gvmap', 'split', 'O2', 'O2', 0.9588859416445623, 0.40574049949645996]
['CO', 68, 'BO', 66, 'yes', 'svn', 'O3', 'O2', 0.9729064039408867, 0.6027863025665283]
['CO', 156, 'BO', 23, 'sha256sum', 'git', 'O1', 'O2', 0.9905684866314788, 5.3220343589782715]
['CO', 373, 'UO', 69, 'cksum', 'as', 'O0', 'O0', 0.9904824111225157, 3.104724884033203]
['CO', 144, 'BO', 63, 'sync', 'cluster', 'O1', 'O0', 0.9655352480417755, 0.40175724029541016]
['UO', 61, 'CO', 126, 'find', 'pwd', 'O3', 'O1', 0.9858781994704324, 0.49240732192993164]
