['CV', 56, 'UV', 7, 'yes', 'nm', 'V2', 'V2', 0.9796696315120712, 0.7588975429534912]
['BV', 70, 'CV', 101, 'ssh', 'dirname', 'V0', 'V3', 0.9984323561686784, 2.0672495365142822]
['UV', 52, 'CV', 207, 'strip', 'sync', 'V1', 'V0', 0.9986765922249793, 0.667227029800415]
['UV', 13, 'CV', 160, 'strings', 'shred', 'V2', 'V3', 0.993059808124107, 1.65971040725708]
['CV', 27, 'UV', 42, 'expr', 'diff', 'V2', 'V3', 0.9236947791164658, 0.39058899879455566]
['BV', 76, 'CV', 56, 'diff', 'yes', 'V2', 'V2', 0.9889196675900277, 0.12638616561889648]
['CV', 324, 'BV', 12, 'mv', 'sort', 'V1', 'V2', 0.9409722222222222, 0.27243471145629883]
['BV', 73, 'CV', 206, 'geany', 'paste', 'V0', 'V0', 0.999676043410183, 2.541823387145996]
['BV', 27, 'CV', 313, 'libSDL2-2.0.so', 'logname', 'V1', 'V1', 0.9977662990367164, 0.7941603660583496]
['CV', 241, 'BV', 59, 'uname', 'make', 'V0', 'V1', 0.978894472361809, 0.23439669609069824]
['BV', 52, 'CV', 286, 'libSDL2-2.0.so', 'expand', 'V2', 'V1', 0.996870925684485, 0.9994022846221924]
['CV', 305, 'BV', 5, 'true', 'libvlccore.so', 'V1', 'V0', 0.9941137123745819, 0.9907705783843994]
['CV', 271, 'UV', 60, 'ptx', 'gprof', 'V1', 'V1', 0.9626442043581762, 2.161330461502075]
['UV', 43, 'CV', 39, 'sdiff', 'whoami', 'V3', 'V2', 0.9448275862068966, 0.06590056419372559]
['CV', 326, 'UV', 43, 'env', 'sdiff', 'V1', 'V3', 0.8778625954198473, 0.05371975898742676]
['CV', 135, 'UV', 49, 'df', 'xargs', 'V3', 'V1', 0.9551066217732884, 0.15317797660827637]
['CV', 128, 'BV', 7, 'nice', 'libSDL2-2.0.so', 'V3', 'V0', 0.9761055634807418, 1.4788367748260498]
['CV', 316, 'UV', 74, 'nohup', 'strip', 'V1', 'V0', 0.9836177474402731, 0.9438009262084961]
['CV', 52, 'UV', 53, 'logname', 'readelf', 'V2', 'V1', 0.9782164737916951, 0.22694849967956543]
['UV', 77, 'CV', 208, 'ranlib', 'echo', 'V0', 'V0', 0.9987253027405991, 0.5079641342163086]
['UV', 17, 'CV', 200, 'addr2line', 'date', 'V2', 'V0', 0.9961742826780021, 0.9914264678955078]
['UV', 5, 'BV', 22, 'diff', 'cmp', 'V2', 'V3', 0.9899581589958159, 0.20369458198547363]
['BV', 20, 'CV', 10, 'sort', 'ptx', 'V1', 'V2', 0.9066079295154185, 0.23574376106262207]
['UV', 62, 'CV', 17, 'ar', 'mkfifo', 'V1', 'V2', 0.9967967967967968, 0.6971216201782227]
['BV', 58, 'CV', 316, 'ruby', 'nohup', 'V3', 'V1', 0.98989898989899, 0.010986804962158203]
['BV', 69, 'CV', 25, 'gvmap', 'expand', 'V0', 'V2', 0.9809069212410502, 0.1915590763092041]
['UV', 59, 'CV', 200, 'ld', 'date', 'V1', 'V0', 0.9977201481903676, 1.2932782173156738]
['CV', 207, 'BV', 73, 'sync', 'geany', 'V0', 'V0', 0.9947032753215869, 2.802842378616333]
['CV', 26, 'BV', 11, 'date', 'bash', 'V2', 'V1', 0.9794146027661628, 2.2320032119750977]
['CV', 82, 'BV', 71, 'sort', 'ruby', 'V2', 'V1', 1.0, 0.02942347526550293]
['BV', 53, 'CV', 2, 'ssh', 'unlink', 'V2', 'V2', 0.9989354421716979, 1.7378365993499756]
['BV', 62, 'CV', 254, 'diff', 'uniq', 'V0', 'V0', 0.965166908563135, 0.09162139892578125]
['BV', 78, 'CV', 148, 'make', 'ginstall', 'V2', 'V3', 0.963159759121502, 1.4780502319335938]
['CV', 188, 'BV', 10, 'dirname', 'gvmap', 'V0', 'V2', 0.9654654654654655, 0.17670035362243652]
['CV', 319, 'UV', 39, 'readlink', 'find', 'V1', 'V3', 0.9706556625401193, 0.36647725105285645]
['BV', 27, 'UV', 11, 'libSDL2-2.0.so', 'ranlib', 'V1', 'V2', 0.9835342047190629, 25.257152795791626]
['CV', 187, 'BV', 70, 'join', 'ssh', 'V0', 'V0', 0.9851225432620782, 2.4335129261016846]
['CV', 175, 'BV', 45, 'stat', 'svn', 'V0', 'V3', 0.9864527629233512, 0.6231389045715332]
['UV', 17, 'BV', 78, 'addr2line', 'make', 'V2', 'V2', 0.9723226922472087, 5.7953081130981445]
['UV', 82, 'CV', 82, 'gprof', 'sort', 'V0', 'V2', 0.9917726252804787, 2.1156561374664307]
['UV', 60, 'BV', 14, 'gprof', 'openssl', 'V1', 'V3', 0.9867450915417115, 31.173560857772827]
['CV', 285, 'BV', 8, 'factor', 'cluster', 'V1', 'V2', 0.9593432369038312, 0.19467711448669434]
['CV', 190, 'BV', 67, 'dd', 'cluster', 'V0', 'V0', 0.9581719597211464, 0.30119991302490234]
['CV', 165, 'UV', 84, 'rm', 'ar', 'V3', 'V0', 0.9662678956658168, 2.0299530029296875]
['BV', 4, 'CV', 304, 'geany', 'chmod', 'V3', 'V1', 0.999172459450513, 6.648272514343262]
['CV', 35, 'UV', 41, 'sum', 'cmp', 'V2', 'V3', 0.9274809160305344, 0.06348276138305664]
['BV', 56, 'CV', 250, 'ssh', 'comm', 'V3', 'V0', 0.9975407316323394, 0.9612507820129395]
['BV', 72, 'UV', 80, 'perl', 'objcopy', 'V1', 'V0', 0.9887917037657781, 53.38779973983765]
['UV', 54, 'CV', 12, 'as', 'stty', 'V1', 'V2', 0.99786438868126, 1.7295961380004883]
['UV', 6, 'CV', 108, 'sdiff', 'chgrp', 'V2', 'V3', 0.9227272727272727, 0.17043519020080566]
['CV', 93, 'UV', 31, 'fmt', 'gprof', 'V3', 'V3', 0.9675504550850811, 1.2241873741149902]
['CV', 10, 'UV', 29, 'ptx', 'objcopy', 'V2', 'V3', 0.9612733836560552, 3.1366922855377197]
['CV', 321, 'BV', 78, 'hostid', 'make', 'V1', 'V2', 0.9723320158102767, 0.25530290603637695]
['UV', 77, 'CV', 14, 'ranlib', 'dirname', 'V0', 'V2', 0.9974826935179358, 0.6998612880706787]
['CV', 200, 'UV', 74, 'date', 'strip', 'V0', 'V0', 0.9807724742789677, 1.2810707092285156]
['UV', 50, 'CV', 52, 'find', 'logname', 'V1', 'V2', 0.9950525664811379, 0.21120762825012207]
['CV', 319, 'BV', 1, 'readlink', 'libSDL2-2.0.so', 'V1', 'V3', 0.9858946649982937, 1.5016653537750244]
['BV', 35, 'CV', 126, 'libvlccore.so', 'whoami', 'V2', 'V3', 0.9990788716177317, 1.7340452671051025]
['CV', 210, 'UV', 55, 'chroot', 'ranlib', 'V0', 'V1', 0.9842041312272175, 0.6952221393585205]
['CV', 231, 'BV', 59, 'who', 'make', 'V0', 'V1', 0.970048309178744, 0.39446330070495605]
['CV', 172, 'UV', 8, 'mknod', 'strip', 'V3', 'V2', 0.9753429414828964, 1.2552099227905273]
['UV', 10, 'BV', 22, 'as', 'cmp', 'V2', 'V3', 0.9976047904191617, 1.6779685020446777]
['CV', 285, 'BV', 47, 'factor', 'dot', 'V1', 'V3', 0.9912663755458515, 0.02201676368713379]
['CV', 200, 'UV', 0, 'date', 'locate', 'V0', 'V2', 0.9027595269382391, 0.11962461471557617]
['UV', 14, 'CV', 121, 'objcopy', 'echo', 'V2', 'V3', 0.9961484593837535, 1.018519401550293]
['CV', 268, 'BV', 62, 'dir', 'diff', 'V1', 'V0', 0.9484126984126984, 0.21976804733276367]
['CV', 54, 'BV', 76, 'false', 'diff', 'V2', 'V2', 0.8955223880597015, 0.13526606559753418]
['CV', 169, 'BV', 80, 'sort', 'cluster', 'V3', 'V1', 0.951734539969834, 0.8612833023071289]
['CV', 63, 'BV', 82, 'mv', 'gvmap', 'V2', 'V1', 0.9483593329747176, 0.7239906787872314]
['BV', 45, 'UV', 74, 'svn', 'strip', 'V3', 'V0', 0.9566578377076812, 12.673091173171997]
['BV', 37, 'CV', 165, 'geany', 'rm', 'V1', 'V3', 0.9980602253833364, 8.928696870803833]
['CV', 251, 'BV', 17, 'nl', 'codeblocks', 'V0', 'V2', 0.9905484392488496, 7.525585412979126]
['UV', 42, 'BV', 70, 'diff', 'ssh', 'V3', 'V0', 0.9671644008617487, 9.067291259765625]
['UV', 11, 'BV', 67, 'ranlib', 'cluster', 'V2', 'V0', 0.9836350974930362, 3.489193916320801]
['BV', 73, 'UV', 10, 'geany', 'as', 'V0', 'V2', 0.9917991174288281, 103.66384625434875]
['BV', 71, 'CV', 201, 'ruby', 'expr', 'V1', 'V0', 0.9963833634719711, 0.023190021514892578]
['CV', 87, 'BV', 57, 'touch', 'svn', 'V3', 'V2', 0.9775747508305648, 0.9732370376586914]
['CV', 88, 'UV', 52, 'stat', 'strip', 'V3', 'V1', 0.9697913422609779, 2.6632184982299805]
['BV', 62, 'CV', 52, 'diff', 'logname', 'V0', 'V2', 0.9671150971599403, 0.07829046249389648]
['BV', 66, 'CV', 192, 'lua', 'pwd', 'V1', 'V0', 0.9941133186166299, 0.4137709140777588]
['CV', 62, 'BV', 58, 'unexpand', 'ruby', 'V2', 'V3', 1.0, 0.01100921630859375]
['UV', 35, 'CV', 296, 'size', 'sum', 'V3', 'V1', 0.9960707269155207, 0.7572164535522461]
['CV', 211, 'BV', 57, 'seq', 'svn', 'V0', 'V2', 0.9809976247030879, 0.3749527931213379]
['BV', 64, 'CV', 284, 'openssl', 'wc', 'V2', 'V1', 0.9991074085093722, 1.502575159072876]
['UV', 71, 'CV', 203, 'xargs', 'tail', 'V0', 'V0', 0.8937007874015748, 0.062378883361816406]
['UV', 19, 'CV', 281, 'elfedit', 'tee', 'V2', 'V1', 0.9855072463768116, 0.05625605583190918]
['BV', 71, 'CV', 132, 'ruby', 'cp', 'V1', 'V3', 0.9930635838150289, 0.039620161056518555]
['CV', 277, 'BV', 39, 'dd', 'svn', 'V1', 'V1', 0.9725663716814159, 0.6655857563018799]
['CV', 266, 'BV', 78, 'mkdir', 'make', 'V1', 'V2', 0.9686758424299953, 0.4034099578857422]
['CV', 300, 'UV', 12, 'whoami', 'c++filt', 'V1', 'V2', 0.9801893022232006, 0.6064245700836182]
['CV', 292, 'BV', 16, 'sha1sum', 'libvlc.so', 'V1', 'V3', 0.9931473323543808, 0.44490814208984375]
['CV', 128, 'UV', 46, 'nice', 'diff', 'V3', 'V1', 0.9145427286356822, 0.2148571014404297]
['BV', 0, 'UV', 55, 'bash', 'ranlib', 'V2', 'V1', 0.9863309854243671, 34.830368995666504]
['UV', 71, 'CV', 248, 'xargs', 'pathchk', 'V0', 'V0', 0.9239130434782609, 0.03316378593444824]
['UV', 42, 'BV', 56, 'diff', 'ssh', 'V3', 'V3', 0.9674975898636552, 4.785097599029541]
['BV', 43, 'CV', 283, 'lua', 'kill', 'V0', 'V1', 0.991980753809142, 0.36429810523986816]
['BV', 8, 'CV', 164, 'cluster', 'nl', 'V2', 'V3', 0.9772079772079773, 0.30548691749572754]
['BV', 13, 'UV', 20, 'cp', 'size', 'V2', 'V2', 0.9636363636363636, 2.6734023094177246]
['CV', 329, 'BV', 69, 'cat', 'gvmap', 'V1', 'V0', 0.9585749792874897, 0.17824292182922363]
['UV', 13, 'CV', 14, 'strings', 'dirname', 'V2', 'V2', 0.9974076474400518, 0.7071287631988525]
['CV', 319, 'BV', 17, 'readlink', 'codeblocks', 'V1', 'V2', 0.9951733773656801, 3.0882022380828857]
['CV', 302, 'UV', 20, 'nice', 'size', 'V1', 'V2', 0.9783783783783784, 0.6644361019134521]
['UV', 23, 'CV', 152, 'strip', 'env', 'V3', 'V3', 0.9964576691462983, 1.0800426006317139]
['CV', 107, 'BV', 42, 'tee', 'libvlc.so', 'V3', 'V1', 0.9876097057305111, 0.564157247543335]
['BV', 30, 'CV', 295, 'bash', 'echo', 'V0', 'V1', 0.9995380528929437, 0.9671921730041504]
['UV', 35, 'CV', 115, 'size', 'chown', 'V3', 'V3', 0.9926485603430671, 1.7733361721038818]
['BV', 26, 'CV', 194, 'geany', 'tee', 'V2', 'V0', 0.9994605529332434, 3.095921039581299]
['CV', 303, 'BV', 69, 'dircolors', 'gvmap', 'V1', 'V0', 0.9563812600969306, 0.20424914360046387]
['CV', 189, 'BV', 75, 'uptime', 'cmp', 'V0', 'V2', 0.8706896551724138, 0.053218841552734375]
['UV', 7, 'CV', 161, 'nm', 'pathchk', 'V2', 'V3', 0.997507270461155, 0.9822962284088135]
['CV', 99, 'UV', 2, 'stty', 'find', 'V3', 'V2', 0.9242509892594686, 0.4134659767150879]
['CV', 39, 'BV', 26, 'whoami', 'geany', 'V2', 'V2', 0.9946132782690668, 5.118210315704346]
['UV', 26, 'CV', 50, 'ranlib', 'cksum', 'V3', 'V2', 0.9971181556195965, 0.7352244853973389]
['BV', 58, 'CV', 4, 'ruby', 'basename', 'V3', 'V2', 0.9906976744186047, 0.010950326919555664]
['CV', 195, 'UV', 40, 'chgrp', 'diff3', 'V0', 'V3', 0.8876080691642652, 0.10231184959411621]
['BV', 40, 'CV', 304, 'lua', 'chmod', 'V2', 'V1', 0.9908256880733946, 0.7800745964050293]
['CV', 85, 'UV', 16, 'mknod', 'gprof', 'V2', 'V2', 0.9778524817085228, 0.9020652770996094]
['CV', 232, 'BV', 28, 'readlink', 'openssl', 'V0', 'V1', 0.9919121318022965, 2.36704683303833]
['CV', 129, 'BV', 55, 'dircolors', 'codeblocks', 'V3', 'V3', 0.99454804535035, 5.122941017150879]
['UV', 0, 'CV', 250, 'locate', 'comm', 'V2', 'V0', 0.9565217391304348, 0.07837629318237305]
['CV', 35, 'BV', 10, 'sum', 'gvmap', 'V2', 'V2', 0.9569444444444445, 0.2789738178253174]
['BV', 59, 'UV', 46, 'make', 'diff', 'V1', 'V1', 0.9804252446844415, 1.5511038303375244]
['CV', 87, 'UV', 9, 'touch', 'readelf', 'V3', 'V2', 0.9629258517034068, 0.5674481391906738]
['CV', 290, 'BV', 18, 'tail', 'sort', 'V1', 'V3', 0.8848797250859106, 0.20760536193847656]
['BV', 58, 'UV', 2, 'ruby', 'find', 'V3', 'V2', 0.995847750865052, 0.060688018798828125]
['UV', 87, 'BV', 26, 'objdump', 'geany', 'V0', 'V2', 0.9752363482432623, 127.65343809127808]
['CV', 201, 'UV', 39, 'expr', 'find', 'V0', 'V3', 0.9560439560439561, 0.8957953453063965]
['BV', 57, 'CV', 122, 'svn', 'sum', 'V2', 'V3', 0.9929203539823008, 0.6142747402191162]
['UV', 8, 'CV', 335, 'strip', 'pathchk', 'V2', 'V1', 0.9971626174853697, 0.6963644027709961]
['CV', 193, 'UV', 74, 'pr', 'strip', 'V0', 'V0', 0.9792988313856428, 1.552584171295166]
['CV', 69, 'BV', 63, 'csplit', 'ruby', 'V2', 'V0', 0.984975106685633, 11.320080518722534]
['CV', 36, 'UV', 17, 'chroot', 'addr2line', 'V2', 'V2', 0.9702380952380952, 0.9741859436035156]
['CV', 289, 'UV', 14, 'chown', 'objcopy', 'V1', 'V2', 0.9745354439091535, 1.5952250957489014]
['CV', 184, 'UV', 52, 'ptx', 'strip', 'V0', 'V1', 0.9649938042131351, 2.526050090789795]
['BV', 41, 'CV', 163, 'libvlccore.so', 'comm', 'V1', 'V3', 0.9987266012988667, 1.917569875717163]
['CV', 9, 'UV', 69, 'users', 'sdiff', 'V2', 'V0', 0.8856209150326797, 0.07609057426452637]
['CV', 215, 'UV', 85, 'nice', 'elfedit', 'V0', 'V0', 0.9597989949748744, 0.05128979682922363]
['UV', 52, 'CV', 287, 'strip', 'date', 'V1', 'V1', 0.9977272727272727, 1.2241573333740234]
['CV', 252, 'BV', 7, 'rm', 'libSDL2-2.0.so', 'V0', 'V0', 0.9756484912652197, 1.785858154296875]
['BV', 1, 'UV', 56, 'libSDL2-2.0.so', 'c++filt', 'V3', 'V1', 0.9870189370800244, 28.80245804786682]
['BV', 21, 'CV', 317, 'cp', 'yes', 'V1', 'V1', 0.9789473684210527, 0.052092790603637695]
['CV', 124, 'UV', 51, 'seq', 'nm', 'V3', 'V1', 0.9669117647058824, 1.2108445167541504]
['CV', 338, 'BV', 7, 'nl', 'libSDL2-2.0.so', 'V1', 'V0', 0.9652292483381626, 2.587439775466919]
['CV', 179, 'BV', 66, 'mkdir', 'lua', 'V0', 'V1', 0.9709407918634217, 0.49390268325805664]
['UV', 67, 'CV', 35, 'cmp', 'sum', 'V0', 'V2', 0.9276190476190476, 0.06207633018493652]
['UV', 56, 'CV', 185, 'c++filt', 'printenv', 'V1', 'V0', 0.9986913849509269, 0.4743342399597168]
['BV', 62, 'CV', 310, 'diff', 'tsort', 'V0', 'V1', 0.9721792890262752, 0.07063841819763184]
