['UV', 1, 'CV', 181, 'xargs', 'dir', 'V2', 'V0', 0.9190523198420533, 0.22232484817504883]
['BV', 41, 'UV', 57, 'libvlccore.so', 'strings', 'V1', 'V1', 0.9781094527363184, 27.067768812179565]
['BV', 11, 'CV', 278, 'bash', 'mkfifo', 'V1', 'V1', 0.9986936642717178, 1.1330115795135498]
['UV', 67, 'CV', 62, 'cmp', 'unexpand', 'V0', 'V2', 0.9507186858316222, 0.05280494689941406]
['UV', 38, 'CV', 83, 'xargs', 'tac', 'V3', 'V2', 0.9732057416267943, 0.262300968170166]
['CV', 292, 'UV', 3, 'sha1sum', 'diff3', 'V1', 'V2', 0.9049295774647887, 0.06929588317871094]
['CV', 111, 'BV', 13, 'factor', 'cp', 'V3', 'V2', 0.9035486806187443, 0.2299511432647705]
['BV', 70, 'CV', 136, 'ssh', 'tsort', 'V0', 'V3', 0.9981282171268133, 2.65403413772583]
['CV', 122, 'BV', 49, 'sum', 'make', 'V3', 'V3', 0.9532871972318339, 0.5406246185302734]
['CV', 91, 'BV', 51, 'basename', 'cp', 'V3', 'V0', 0.8952095808383234, 0.0981588363647461]
['BV', 50, 'CV', 331, 'sort', 'vdir', 'V0', 'V1', 0.9115646258503401, 0.16902637481689453]
['UV', 40, 'CV', 202, 'diff3', 'chown', 'V3', 'V0', 0.9212376933895922, 0.10931992530822754]
['UV', 54, 'CV', 226, 'as', 'logname', 'V1', 'V0', 0.99836222191893, 0.8276393413543701]
['CV', 118, 'UV', 52, 'sha1sum', 'strip', 'V3', 'V1', 0.9752052809531476, 1.550971508026123]
['CV', 274, 'UV', 45, 'join', 'cmp', 'V1', 'V1', 0.9389312977099237, 0.0644080638885498]
['BV', 24, 'CV', 161, 'git', 'pathchk', 'V0', 'V3', 0.9989207986090293, 3.2590200901031494]
['BV', 33, 'CV', 61, 'openssl', 'ginstall', 'V0', 'V2', 0.9971205265322912, 8.93530559539795]
['CV', 34, 'BV', 78, 'echo', 'make', 'V2', 'V2', 0.9641472868217055, 0.3207697868347168]
['UV', 0, 'CV', 312, 'locate', 'printf', 'V2', 'V1', 0.9578059071729957, 0.09183549880981445]
['BV', 12, 'UV', 57, 'sort', 'strings', 'V2', 'V1', 0.9619565217391304, 2.478865385055542]
['BV', 60, 'UV', 19, 'codeblocks', 'elfedit', 'V1', 'V2', 0.9996169805298436, 3.15909481048584]
['UV', 8, 'CV', 64, 'strip', 'md5sum', 'V2', 'V2', 0.9972003499562555, 1.008936882019043]
['BV', 65, 'CV', 102, 'ssh', 'uptime', 'V1', 'V3', 0.9983401237362306, 3.127732515335083]
['CV', 47, 'BV', 8, 'od', 'cluster', 'V2', 'V2', 0.9441797140912185, 0.36817455291748047]
['CV', 114, 'UV', 43, 'expr', 'sdiff', 'V3', 'V3', 0.902834008097166, 0.12414383888244629]
['UV', 74, 'CV', 273, 'strip', 'stty', 'V0', 'V1', 0.9983053719708525, 1.0107269287109375]
['CV', 245, 'BV', 30, '[', 'bash', 'V0', 'V0', 0.9869146005509641, 1.3746049404144287]
['CV', 15, 'BV', 37, 'uptime', 'geany', 'V2', 'V1', 0.9925160203938445, 7.091191530227661]
['UV', 36, 'BV', 15, 'objdump', 'libvlccore.so', 'V3', 'V3', 0.979874375080118, 46.61895227432251]
['CV', 34, 'BV', 42, 'echo', 'libvlc.so', 'V2', 'V1', 0.9823594266813671, 0.3664829730987549]
['CV', 270, 'UV', 33, 'users', 'ar', 'V1', 'V3', 0.9776813391196528, 0.8248693943023682]
['UV', 78, 'CV', 17, 'c++filt', 'mkfifo', 'V0', 'V2', 0.996386630532972, 0.6744635105133057]
['CV', 102, 'BV', 81, 'uptime', 'dot', 'V3', 'V1', 1.0, 0.04018831253051758]
