['UV', 61, 'CV', 116, 'addr2line', 'tail', 'V1', 'V3', 0.9928100659077291, 1.7591679096221924]
['UV', 63, 'CV', 230, 'elfedit', 'yes', 'V1', 'V0', 0.9842105263157894, 0.04424118995666504]
['BV', 14, 'CV', 193, 'openssl', 'pr', 'V3', 'V0', 0.9973136333109469, 2.2776992321014404]
['CV', 253, 'UV', 40, 'fold', 'diff3', 'V0', 'V3', 0.8540925266903915, 0.06081390380859375]
['UV', 53, 'CV', 62, 'readelf', 'unexpand', 'V1', 'V2', 0.9878869448183042, 0.22807765007019043]
['BV', 76, 'CV', 344, 'diff', 'tac', 'V2', 'V1', 0.9602836879432624, 0.3405129909515381]
['CV', 75, 'UV', 52, 'tr', 'strip', 'V2', 'V1', 0.9751090997252303, 1.355919599533081]
['CV', 59, 'BV', 25, 'head', 'git', 'V2', 'V3', 0.9927927927927928, 5.731872081756592]
['UV', 73, 'CV', 248, 'nm', 'pathchk', 'V0', 'V0', 0.996014171833481, 0.5238513946533203]
['UV', 40, 'CV', 57, 'diff3', 'who', 'V3', 'V2', 0.9255014326647565, 0.10039925575256348]
['CV', 298, 'BV', 51, 'seq', 'cp', 'V1', 'V0', 0.8581081081081081, 0.07062602043151855]
['UV', 65, 'CV', 77, 'objdump', 'nl', 'V1', 'V2', 0.9951497860199715, 2.587660551071167]
['UV', 54, 'CV', 327, 'as', 'link', 'V1', 'V1', 0.9983633387888707, 0.836979866027832]
['CV', 313, 'BV', 23, 'logname', 'diff', 'V1', 'V3', 0.9222748815165877, 0.11722183227539062]
['BV', 37, 'CV', 229, 'geany', 'nohup', 'V1', 'V0', 0.9993425378040762, 3.1809701919555664]
['BV', 3, 'CV', 57, 'diff', 'who', 'V1', 'V2', 0.9661654135338346, 0.1803133487701416]
['UV', 20, 'BV', 43, 'size', 'lua', 'V2', 'V0', 0.9741670336122119, 7.300134897232056]
['BV', 73, 'UV', 76, 'geany', 'as', 'V0', 'V0', 0.9915284430545109, 92.46669459342957]
['UV', 74, 'CV', 121, 'strip', 'echo', 'V0', 'V3', 0.996614759647935, 1.016291618347168]
['UV', 5, 'CV', 105, 'diff', 'pwd', 'V2', 'V3', 0.9611486486486487, 0.21552348136901855]
['UV', 31, 'CV', 183, 'gprof', 'users', 'V3', 'V0', 0.9971608193064287, 0.7091219425201416]
['CV', 306, 'BV', 41, 'cp', 'libvlccore.so', 'V1', 'V1', 0.987240430322742, 3.2367281913757324]
['CV', 172, 'UV', 71, 'mknod', 'xargs', 'V3', 'V0', 0.9065040650406504, 0.05972146987915039]
['UV', 65, 'CV', 227, 'objdump', 'tty', 'V1', 'V0', 0.9987865918398301, 0.7212402820587158]
['UV', 54, 'CV', 222, 'as', 'df', 'V1', 'V0', 0.9973222653635024, 1.6255393028259277]
