['BV', 19, 'CV', 327, 'cp', 'link', 'V3', 'V1', 0.9917525773195877, 0.09226489067077637]
['CV', 72, 'BV', 50, 'id', 'sort', 'V2', 'V0', 0.8760757314974182, 0.07607412338256836]
['BV', 69, 'CV', 38, 'gvmap', 'split', 'V0', 'V2', 0.9668279198341396, 0.37824010848999023]
['UV', 84, 'CV', 3, 'ar', 'test', 'V0', 'V2', 0.9962554607863532, 0.838749885559082]
['CV', 66, 'UV', 49, 'link', 'xargs', 'V2', 'V1', 0.8732106339468303, 0.05519413948059082]
['UV', 41, 'BV', 11, 'cmp', 'bash', 'V3', 'V1', 0.9770656949951774, 2.1805918216705322]
['CV', 30, 'BV', 62, 'pinky', 'diff', 'V2', 'V0', 0.9161028416779432, 0.1142725944519043]
['CV', 154, 'BV', 71, 'uname', 'ruby', 'V3', 'V1', 1.0, 0.012024164199829102]
['CV', 14, 'BV', 4, 'dirname', 'geany', 'V2', 'V3', 0.9940894901144641, 5.094433784484863]
['BV', 53, 'CV', 139, 'ssh', 'logname', 'V2', 'V3', 0.9984838147221591, 2.0634469985961914]
['UV', 7, 'CV', 268, 'nm', 'dir', 'V2', 'V1', 0.9921104536489151, 2.0596325397491455]
['CV', 218, 'BV', 79, 'true', 'bash', 'V0', 'V3', 0.9922341696535245, 1.176032543182373]
['CV', 149, 'UV', 42, 'unexpand', 'diff', 'V3', 'V3', 0.9150707743547044, 0.21485090255737305]
['CV', 152, 'BV', 28, 'env', 'openssl', 'V3', 'V1', 0.989268680445151, 3.7574312686920166]
['CV', 146, 'BV', 3, 'head', 'diff', 'V3', 'V1', 0.8927272727272727, 0.207350492477417]
['BV', 1, 'CV', 191, 'libSDL2-2.0.so', 'mkfifo', 'V3', 'V0', 0.9970360237118103, 1.0543479919433594]
['BV', 34, 'UV', 43, 'svn', 'sdiff', 'V0', 'V3', 0.981957600360848, 0.7598652839660645]
['UV', 27, 'CV', 230, 'c++filt', 'yes', 'V3', 'V0', 0.9977533138620535, 0.5154502391815186]
['CV', 165, 'BV', 79, 'rm', 'bash', 'V3', 'V3', 0.9720467164464867, 4.376564264297485]
['CV', 8, 'BV', 79, 'du', 'bash', 'V2', 'V3', 0.9684667673716012, 5.384399175643921]
['BV', 37, 'UV', 44, 'geany', 'diff3', 'V1', 'V1', 0.9989779326364692, 7.058347225189209]
['UV', 87, 'CV', 169, 'objdump', 'sort', 'V0', 'V3', 0.9904548006737788, 4.150244235992432]
['BV', 52, 'CV', 305, 'libSDL2-2.0.so', 'true', 'V2', 'V1', 0.9979043876882777, 0.7929098606109619]
['CV', 294, 'BV', 32, 'sync', 'perl', 'V1', 'V0', 0.9897289586305278, 1.0758349895477295]
['UV', 47, 'CV', 36, 'sdiff', 'chroot', 'V1', 'V2', 0.943127962085308, 0.08455729484558105]
['BV', 59, 'CV', 84, 'make', 'rmdir', 'V1', 'V2', 0.9894887720974678, 0.3871643543243408]
['BV', 37, 'CV', 80, 'geany', 'uniq', 'V1', 'V2', 0.999065245840344, 4.832545042037964]
['CV', 50, 'BV', 44, 'cksum', 'make', 'V2', 'V0', 0.9598732840549102, 0.3133089542388916]
['UV', 36, 'BV', 75, 'objdump', 'cmp', 'V3', 'V2', 0.9972951041384907, 1.7284486293792725]
['BV', 67, 'UV', 46, 'cluster', 'diff', 'V0', 'V1', 0.9551098376313276, 0.9306671619415283]
['CV', 108, 'UV', 75, 'chgrp', 'readelf', 'V3', 'V0', 0.9587750294464076, 0.5217757225036621]
