['UV', 57, 'CV', 62, 'strings', 'unexpand', 'V1', 'V2', 0.996600084997875, 0.7830491065979004]
['BV', 45, 'CV', 54, 'svn', 'false', 'V3', 'V2', 0.9942425332853544, 0.44428181648254395]
['UV', 66, 'CV', 85, 'diff3', 'mknod', 'V0', 'V2', 0.9454855195911414, 0.06902909278869629]
['CV', 67, 'UV', 33, 'uname', 'ar', 'V2', 'V3', 0.9827089337175793, 0.8724727630615234]
['CV', 95, 'UV', 74, 'du', 'strip', 'V3', 'V0', 0.9652065858962411, 3.970832586288452]
['CV', 121, 'UV', 64, 'echo', 'size', 'V3', 'V1', 0.977277508941721, 0.9588050842285156]
['BV', 5, 'CV', 83, 'libvlccore.so', 'tac', 'V0', 'V2', 0.9974702757399444, 3.237464666366577]
['BV', 68, 'UV', 23, 'dot', 'strip', 'V0', 'V3', 0.991218441273326, 0.48903393745422363]
['UV', 18, 'CV', 58, 'ar', 'readlink', 'V2', 'V2', 0.995603517186251, 1.0305378437042236]
['CV', 303, 'UV', 55, 'dircolors', 'ranlib', 'V1', 'V1', 0.9767395227591739, 0.8851718902587891]
['CV', 324, 'UV', 83, 'mv', 'addr2line', 'V1', 'V0', 0.9716784673052895, 2.026270627975464]
['CV', 191, 'UV', 61, 'mkfifo', 'addr2line', 'V0', 'V1', 0.9824034334763948, 0.6453826427459717]
['CV', 170, 'BV', 49, 'tac', 'make', 'V3', 'V3', 0.9405172413793104, 0.5191230773925781]
['CV', 275, 'UV', 41, 'dirname', 'cmp', 'V1', 'V3', 0.8544600938967136, 0.04219675064086914]
['BV', 75, 'CV', 111, 'cmp', 'factor', 'V2', 'V3', 0.9253945480631277, 0.10027337074279785]
['BV', 24, 'CV', 340, 'git', 'fold', 'V0', 'V1', 0.9993963904146798, 1.974686861038208]
['BV', 78, 'CV', 265, 'make', 'basename', 'V2', 'V1', 0.9882005899705015, 0.2553863525390625]
['UV', 46, 'BV', 29, 'diff', 'perl', 'V1', 'V3', 0.9724178838881886, 10.207862854003906]
['CV', 183, 'BV', 45, 'users', 'svn', 'V0', 'V3', 0.9877521613832853, 0.5359792709350586]
['CV', 297, 'BV', 2, 'chroot', 'cmp', 'V1', 'V1', 0.8537735849056604, 0.04155874252319336]
['UV', 22, 'BV', 73, 'nm', 'geany', 'V3', 'V0', 0.9735644257703081, 74.17685198783875]
['BV', 77, 'CV', 323, 'perl', 'unexpand', 'V2', 'V1', 0.998993023088542, 1.6415376663208008]
['CV', 212, 'UV', 42, 'split', 'diff', 'V0', 'V3', 0.9032258064516129, 0.15112090110778809]
['UV', 30, 'CV', 223, 'ld', 'tsort', 'V3', 'V0', 0.9974274689152494, 0.8845970630645752]
['UV', 17, 'CV', 107, 'addr2line', 'tee', 'V2', 'V3', 0.9953781512605042, 1.1039888858795166]
['CV', 280, 'BV', 5, 'pr', 'libvlccore.so', 'V1', 'V0', 0.9871995820271683, 2.1637513637542725]
['CV', 3, 'UV', 24, 'test', 'readelf', 'V2', 'V3', 0.965925925925926, 0.4823758602142334]
['CV', 223, 'UV', 86, 'tsort', 'size', 'V0', 'V0', 0.9860666541141028, 0.742091178894043]
['UV', 46, 'BV', 53, 'diff', 'ssh', 'V1', 'V2', 0.9617626154939588, 11.302976608276367]
['CV', 325, 'UV', 3, 'md5sum', 'diff3', 'V1', 'V2', 0.9047619047619048, 0.06762504577636719]
['CV', 142, 'BV', 13, 'nohup', 'cp', 'V3', 'V2', 0.899581589958159, 0.15582013130187988]
['BV', 26, 'CV', 29, 'geany', 'tail', 'V2', 'V2', 0.9991996086975855, 7.846527338027954]
['BV', 18, 'CV', 69, 'sort', 'csplit', 'V3', 'V2', 0.9399599733155437, 0.4137561321258545]
['CV', 43, 'UV', 39, 'chmod', 'find', 'V2', 'V3', 0.9539748953974896, 0.6760802268981934]
['CV', 249, 'BV', 30, 'tr', 'bash', 'V0', 'V0', 0.9855868222374743, 1.5369324684143066]
['CV', 190, 'UV', 7, 'dd', 'nm', 'V0', 'V2', 0.9731737515476682, 1.2478742599487305]
['BV', 70, 'CV', 174, 'ssh', 'touch', 'V0', 'V0', 0.9990596348248569, 2.2224769592285156]
['BV', 11, 'CV', 221, 'bash', 'od', 'V1', 'V0', 0.9976298211592329, 1.7546632289886475]
['CV', 267, 'UV', 48, 'fmt', 'locate', 'V1', 'V1', 0.9084967320261438, 0.11865687370300293]
['UV', 85, 'CV', 133, 'elfedit', 'cut', 'V0', 'V3', 0.9709618874773139, 0.09261369705200195]
['CV', 11, 'UV', 56, 'printenv', 'c++filt', 'V2', 'V1', 0.979710770559033, 0.7337298393249512]
['BV', 64, 'CV', 168, 'openssl', 'sleep', 'V2', 'V3', 0.9985231132772117, 1.7001371383666992]
['BV', 60, 'CV', 296, 'codeblocks', 'sum', 'V1', 'V1', 0.9993586043230068, 2.67197585105896]
['CV', 99, 'UV', 25, 'stty', 'as', 'V3', 'V3', 0.9777983348751156, 2.283348321914673]
['CV', 65, 'UV', 46, 'env', 'diff', 'V2', 'V1', 0.912156862745098, 0.16552352905273438]
['CV', 286, 'BV', 51, 'expand', 'cp', 'V1', 'V0', 0.9050847457627118, 0.06969499588012695]
['CV', 289, 'BV', 0, 'chown', 'bash', 'V1', 'V2', 0.9782785221274868, 2.45478892326355]
['CV', 160, 'UV', 41, 'shred', 'cmp', 'V3', 'V3', 0.9757085020242915, 0.11393117904663086]
['UV', 17, 'BV', 73, 'addr2line', 'geany', 'V2', 'V0', 0.9726842934687445, 73.89337706565857]
['BV', 38, 'CV', 53, 'ruby', 'tty', 'V2', 'V2', 0.9904306220095693, 0.010954618453979492]
['CV', 35, 'BV', 26, 'sum', 'geany', 'V2', 'V2', 0.9930135697971249, 6.274693250656128]
['BV', 60, 'CV', 117, 'codeblocks', 'pinky', 'V1', 'V3', 0.9987276544309435, 4.13464093208313]
['BV', 6, 'CV', 122, 'libvlc.so', 'sum', 'V0', 'V3', 0.9885057471264368, 0.42264223098754883]
['UV', 53, 'CV', 164, 'readelf', 'nl', 'V1', 'V3', 0.985969387755102, 0.3123171329498291]
['CV', 58, 'BV', 68, 'readlink', 'dot', 'V2', 'V0', 1.0, 0.03512263298034668]
['CV', 35, 'UV', 26, 'sum', 'ranlib', 'V2', 'V3', 0.974760838591492, 1.0073466300964355]
['CV', 126, 'BV', 59, 'whoami', 'make', 'V3', 'V1', 0.9597508385241974, 0.38077616691589355]
['CV', 319, 'BV', 59, 'readlink', 'make', 'V1', 'V1', 0.9673267326732673, 0.2991189956665039]
['UV', 81, 'CV', 112, 'ld', 'expand', 'V0', 'V3', 0.9957901067508645, 1.374739408493042]
['UV', 45, 'CV', 94, 'cmp', 'dir', 'V1', 'V3', 0.9179039301310044, 0.21799564361572266]
['UV', 82, 'CV', 44, 'gprof', 'true', 'V0', 'V2', 0.9975334018499487, 0.6360578536987305]
['CV', 33, 'UV', 65, 'sync', 'objdump', 'V2', 'V1', 0.9861424913390571, 1.0713512897491455]
['UV', 86, 'CV', 342, 'size', 'sleep', 'V0', 'V1', 0.9977401129943503, 0.6670985221862793]
['CV', 95, 'BV', 71, 'du', 'ruby', 'V3', 'V1', 1.0, 0.031551361083984375]
['UV', 35, 'CV', 70, 'size', 'vdir', 'V3', 'V2', 0.9892708126365984, 2.364243745803833]
['CV', 332, 'BV', 62, '[', 'diff', 'V1', 'V0', 0.8931750741839762, 0.0869452953338623]
['CV', 270, 'BV', 28, 'users', 'openssl', 'V1', 'V1', 0.9922155688622755, 2.535407066345215]
['BV', 20, 'CV', 221, 'sort', 'od', 'V1', 'V0', 0.9464285714285714, 0.09196233749389648]
['UV', 51, 'BV', 82, 'nm', 'gvmap', 'V1', 'V1', 0.984488107549121, 4.081238269805908]
['CV', 163, 'BV', 62, 'comm', 'diff', 'V3', 'V0', 0.9031847133757962, 0.12589168548583984]
['BV', 50, 'CV', 3, 'sort', 'test', 'V0', 'V2', 0.9418803418803419, 0.06938815116882324]
['BV', 59, 'CV', 14, 'make', 'dirname', 'V1', 'V2', 0.9912066438690768, 0.3073306083679199]
['BV', 12, 'CV', 140, 'sort', 'tty', 'V2', 'V3', 0.9654377880184332, 0.11908364295959473]
['UV', 46, 'CV', 333, 'diff', 'id', 'V1', 'V1', 0.9905362776025236, 0.15151524543762207]
['CV', 11, 'BV', 63, 'printenv', 'ruby', 'V2', 'V0', 0.9930108014886085, 3.1344823837280273]
['UV', 14, 'CV', 307, 'objcopy', 'cut', 'V2', 'V1', 0.9968315437422989, 0.9208126068115234]
['BV', 44, 'CV', 327, 'make', 'link', 'V0', 'V1', 0.9934924078091106, 0.2059004306793213]
['CV', 126, 'UV', 81, 'whoami', 'ld', 'V3', 'V0', 0.985158261396335, 1.3300061225891113]
['UV', 6, 'CV', 176, 'sdiff', 'unlink', 'V2', 'V0', 0.9579349904397706, 0.04501748085021973]
['BV', 40, 'CV', 333, 'lua', 'id', 'V2', 'V1', 0.9965409892770668, 0.44312453269958496]
