['CV', 58, 'BV', 20, 'readlink', 'sort', 'V2', 'V1', 0.8953488372093024, 0.10218667984008789]
['BV', 81, 'UV', 63, 'dot', 'elfedit', 'V1', 'V1', 0.9263803680981595, 0.03210091590881348]
['UV', 68, 'CV', 117, 'diff', 'pinky', 'V0', 'V3', 0.96875, 0.1976613998413086]
['UV', 77, 'BV', 43, 'ranlib', 'lua', 'V0', 'V0', 0.9765726681127983, 8.48197078704834]
['CV', 27, 'UV', 32, 'expr', 'addr2line', 'V2', 'V3', 0.9572149344096872, 2.0537447929382324]
['BV', 1, 'CV', 333, 'libSDL2-2.0.so', 'id', 'V3', 'V1', 0.9975, 1.2506420612335205]
['BV', 53, 'CV', 79, 'ssh', 'fold', 'V2', 'V2', 0.9987854865644451, 2.0369606018066406]
['UV', 29, 'BV', 56, 'objcopy', 'ssh', 'V3', 'V3', 0.9785202863961814, 25.031962633132935]
['UV', 47, 'CV', 161, 'sdiff', 'pathchk', 'V1', 'V3', 0.9455370650529501, 0.09310698509216309]
['CV', 63, 'UV', 22, 'mv', 'nm', 'V2', 'V3', 0.9668422079188609, 2.6489145755767822]
['BV', 9, 'CV', 142, 'dot', 'nohup', 'V2', 'V3', 0.9940828402366864, 0.03284907341003418]
['UV', 76, 'BV', 69, 'as', 'gvmap', 'V0', 'V0', 0.9848847461896965, 5.280937671661377]
['UV', 41, 'CV', 267, 'cmp', 'fmt', 'V3', 'V1', 0.9644444444444444, 0.046982526779174805]
['BV', 36, 'CV', 211, 'libvlc.so', 'seq', 'V2', 'V0', 0.9940387481371088, 0.3079512119293213]
['CV', 259, 'UV', 77, 'mknod', 'ranlib', 'V0', 'V0', 0.9831009716941276, 0.7522516250610352]
['CV', 215, 'BV', 63, 'nice', 'ruby', 'V0', 'V0', 0.9938195864576232, 2.8847997188568115]
['CV', 337, 'UV', 26, 'comm', 'ranlib', 'V1', 'V3', 0.9785478547854786, 0.8000290393829346]
['CV', 286, 'BV', 14, 'expand', 'openssl', 'V1', 'V3', 0.9964378682011235, 1.642364263534546]
['BV', 35, 'CV', 188, 'libvlccore.so', 'dirname', 'V2', 'V0', 0.99976717112922, 1.1317758560180664]
['UV', 48, 'CV', 20, 'locate', 'tee', 'V1', 'V2', 0.9790575916230366, 0.12939047813415527]
['BV', 2, 'CV', 160, 'cmp', 'shred', 'V1', 'V3', 0.9245283018867925, 0.11766505241394043]
['CV', 285, 'BV', 13, 'factor', 'cp', 'V1', 'V2', 0.9079102715466352, 0.10541963577270508]
['BV', 61, 'CV', 81, 'cmp', 'sleep', 'V0', 'V2', 0.8960244648318043, 0.030231237411499023]
['BV', 35, 'UV', 86, 'libvlccore.so', 'size', 'V2', 'V0', 0.9881004847950638, 32.94154930114746]
['UV', 43, 'CV', 226, 'sdiff', 'logname', 'V3', 'V0', 0.9578544061302682, 0.047684431076049805]
['BV', 51, 'CV', 25, 'cp', 'expand', 'V0', 'V2', 0.9560439560439561, 0.07848334312438965]
['CV', 117, 'UV', 69, 'pinky', 'sdiff', 'V3', 'V0', 0.9070422535211268, 0.11257600784301758]
['CV', 194, 'BV', 68, 'tee', 'dot', 'V0', 'V0', 0.9911504424778761, 0.021982192993164062]
['BV', 23, 'CV', 71, 'diff', '[', 'V3', 'V2', 0.9827882960413081, 0.18399667739868164]
['UV', 58, 'CV', 74, 'objcopy', 'pathchk', 'V1', 'V2', 0.9967298888162197, 0.9665775299072266]
['UV', 14, 'BV', 72, 'objcopy', 'perl', 'V2', 'V1', 0.9730115891411335, 48.843751192092896]
['BV', 13, 'CV', 189, 'cp', 'uptime', 'V2', 'V0', 0.9861431870669746, 0.1100454330444336]
['UV', 52, 'BV', 44, 'strip', 'make', 'V1', 'V0', 0.9808700209643606, 7.10073184967041]
['UV', 40, 'CV', 63, 'diff3', 'mv', 'V3', 'V2', 0.9027128157156221, 0.2323293685913086]
['CV', 215, 'BV', 82, 'nice', 'gvmap', 'V0', 'V1', 0.9612807148175726, 0.18239355087280273]
['CV', 250, 'UV', 46, 'comm', 'diff', 'V0', 'V1', 0.9180457052797478, 0.1684703826904297]
['UV', 21, 'CV', 35, 'objdump', 'sum', 'V2', 'V2', 0.9978348283328178, 1.2801685333251953]
['CV', 306, 'UV', 52, 'cp', 'strip', 'V1', 'V1', 0.9707593145731803, 2.3810901641845703]
['CV', 93, 'UV', 69, 'fmt', 'sdiff', 'V3', 'V0', 0.9209370424597365, 0.10031509399414062]
['CV', 255, 'UV', 29, 'sleep', 'objcopy', 'V0', 'V3', 0.9833785004516712, 0.7818059921264648]
['CV', 239, 'BV', 46, 'env', 'cluster', 'V0', 'V3', 0.9583333333333334, 0.16245055198669434]
['CV', 139, 'BV', 25, 'logname', 'git', 'V3', 'V3', 0.9950987066031314, 5.56647515296936]
['UV', 73, 'CV', 326, 'nm', 'env', 'V0', 'V1', 0.9964483906770255, 0.5252821445465088]
['CV', 62, 'UV', 35, 'unexpand', 'size', 'V2', 'V3', 0.9760817569036747, 0.8874962329864502]
['BV', 6, 'CV', 296, 'libvlc.so', 'sum', 'V0', 'V1', 0.9913419913419913, 0.2869870662689209]
['BV', 61, 'CV', 236, 'cmp', 'unexpand', 'V0', 'V0', 0.8832116788321168, 0.02260589599609375]
['BV', 59, 'CV', 116, 'make', 'tail', 'V1', 'V3', 0.989778534923339, 0.7758383750915527]
['BV', 46, 'UV', 16, 'cluster', 'gprof', 'V3', 'V2', 0.9521419009370816, 4.338050842285156]
['CV', 211, 'UV', 86, 'seq', 'size', 'V0', 'V0', 0.9868024132730016, 0.7538340091705322]
['CV', 115, 'BV', 53, 'chown', 'ssh', 'V3', 'V2', 0.9729709660651964, 5.088255882263184]
['BV', 16, 'CV', 188, 'libvlc.so', 'dirname', 'V3', 'V0', 0.9949899799599199, 0.26215100288391113]
['UV', 56, 'CV', 100, 'c++filt', 'join', 'V1', 'V3', 0.9954704550133827, 1.379704475402832]
['CV', 271, 'UV', 74, 'ptx', 'strip', 'V1', 'V0', 0.9643373493975904, 2.513833522796631]
['UV', 45, 'CV', 189, 'cmp', 'uptime', 'V1', 'V0', 0.9523809523809523, 0.05185079574584961]
['BV', 10, 'CV', 7, 'gvmap', 'dir', 'V2', 'V2', 0.9684095860566448, 0.7140586376190186]
['CV', 158, 'UV', 22, '[', 'nm', 'V3', 'V3', 0.9732385532092829, 1.2862932682037354]
['UV', 77, 'CV', 136, 'ranlib', 'tsort', 'V0', 'V3', 0.9942457870941225, 1.0795187950134277]
['BV', 36, 'CV', 322, 'libvlc.so', 'ginstall', 'V2', 'V1', 0.9906542056074766, 0.9181222915649414]
['BV', 42, 'UV', 80, 'libvlc.so', 'objcopy', 'V1', 'V0', 0.9620891858720851, 7.776671886444092]
['CV', 271, 'UV', 58, 'ptx', 'objcopy', 'V1', 'V1', 0.9643742255266419, 2.556912660598755]
['CV', 22, 'BV', 54, 'kill', 'lua', 'V2', 'V3', 0.9700636942675159, 0.5677371025085449]
['UV', 57, 'BV', 16, 'strings', 'libvlc.so', 'V1', 'V3', 0.9846202134337727, 6.4209277629852295]
['UV', 80, 'CV', 163, 'objcopy', 'comm', 'V0', 'V3', 0.994990816496911, 1.358557939529419]
['CV', 140, 'UV', 69, 'tty', 'sdiff', 'V3', 'V0', 0.8778135048231511, 0.09018492698669434]
['CV', 166, 'UV', 74, 'fold', 'strip', 'V3', 'V0', 0.978494623655914, 1.395139455795288]
['UV', 2, 'CV', 292, 'find', 'sha1sum', 'V2', 'V1', 0.9949811794228356, 0.20476841926574707]
['BV', 62, 'UV', 61, 'diff', 'addr2line', 'V0', 'V1', 0.9600559217096065, 1.9747214317321777]
['CV', 119, 'UV', 24, 'paste', 'readelf', 'V3', 'V3', 0.959079283887468, 0.5561048984527588]
['CV', 47, 'UV', 40, 'od', 'diff3', 'V2', 'V3', 0.9262187088274045, 0.12281990051269531]
['CV', 190, 'UV', 0, 'dd', 'locate', 'V0', 'V2', 0.848780487804878, 0.14046955108642578]
['UV', 52, 'CV', 10, 'strip', 'ptx', 'V1', 'V2', 0.9939586165231838, 3.135637044906616]
['BV', 11, 'UV', 43, 'bash', 'sdiff', 'V1', 'V3', 0.9970335840661086, 2.907395601272583]
['BV', 77, 'UV', 73, 'perl', 'nm', 'V2', 'V0', 0.9896270139042154, 43.698912620544434]
['CV', 111, 'BV', 14, 'factor', 'openssl', 'V3', 'V3', 0.9928514694201748, 3.4813570976257324]
['CV', 338, 'BV', 57, 'nl', 'svn', 'V1', 'V2', 0.9738455251328157, 0.9933912754058838]
['CV', 106, 'UV', 59, 'pr', 'ld', 'V3', 'V1', 0.9773418071290412, 2.760204553604126]
['BV', 7, 'UV', 13, 'libSDL2-2.0.so', 'strings', 'V0', 'V2', 0.9743354720439963, 19.810025453567505]
['UV', 36, 'CV', 49, 'objdump', 'tsort', 'V3', 'V2', 0.9978145062149979, 1.6518919467926025]
['CV', 280, 'UV', 31, 'pr', 'gprof', 'V1', 'V3', 0.9712088345493985, 1.3524603843688965]
['BV', 9, 'CV', 176, 'dot', 'unlink', 'V2', 'V0', 0.9899497487437185, 0.01820540428161621]
['CV', 242, 'UV', 39, 'cat', 'find', 'V0', 'V3', 0.9769585253456221, 0.34296131134033203]
['BV', 30, 'CV', 151, 'bash', 'md5sum', 'V0', 'V3', 0.9959202175883953, 2.0573577880859375]
['CV', 83, 'UV', 29, 'tac', 'objcopy', 'V2', 'V3', 0.9660161507402423, 2.5080723762512207]
['CV', 151, 'BV', 19, 'md5sum', 'cp', 'V3', 'V3', 0.900972590627763, 0.21047616004943848]
['BV', 31, 'CV', 347, 'codeblocks', 'ln', 'V0', 'V1', 0.9992100585873215, 3.3537678718566895]
['UV', 3, 'CV', 269, 'diff3', 'du', 'V2', 'V1', 0.9066339066339066, 0.14690613746643066]
['BV', 48, 'CV', 79, 'gvmap', 'fold', 'V3', 'V2', 0.9815340909090909, 0.23812556266784668]
['CV', 256, 'BV', 77, 'sort', 'perl', 'V0', 'V2', 0.9862499114040684, 3.9621801376342773]
['UV', 19, 'CV', 55, 'elfedit', 'nohup', 'V2', 'V2', 0.978813559322034, 0.07255315780639648]
['BV', 61, 'UV', 38, 'cmp', 'xargs', 'V0', 'V3', 0.9612277867528272, 0.08711576461791992]
['BV', 29, 'CV', 337, 'perl', 'comm', 'V3', 'V1', 0.9988852615654112, 1.688197374343872]
['UV', 1, 'CV', 270, 'xargs', 'users', 'V2', 'V1', 0.9731743666169895, 0.07446622848510742]
['BV', 74, 'CV', 230, 'git', 'yes', 'V1', 'V0', 0.9994801954465121, 1.8511199951171875]
['CV', 211, 'BV', 64, 'seq', 'openssl', 'V0', 'V2', 0.9949139865370232, 1.4690213203430176]
['CV', 263, 'UV', 21, 'unlink', 'objdump', 'V1', 'V2', 0.9849032866802957, 0.8353822231292725]
['UV', 2, 'CV', 311, 'find', 'cksum', 'V2', 'V1', 0.9961439588688946, 0.1582653522491455]
['BV', 77, 'CV', 76, 'perl', 'comm', 'V2', 'V2', 0.9982833845933767, 2.318479537963867]
['BV', 58, 'CV', 77, 'ruby', 'nl', 'V3', 'V2', 0.9964973730297724, 0.023824214935302734]
['BV', 32, 'CV', 138, 'perl', 'printf', 'V0', 'V3', 0.9971970475567598, 2.416504144668579]
['CV', 338, 'BV', 46, 'nl', 'cluster', 'V1', 'V3', 0.9690210656753407, 0.49625444412231445]
['CV', 282, 'UV', 20, 'chgrp', 'size', 'V1', 'V2', 0.9707357859531772, 1.2756524085998535]
['BV', 32, 'UV', 53, 'perl', 'readelf', 'V0', 'V1', 0.9946885976184358, 8.791240453720093]
['UV', 57, 'BV', 22, 'strings', 'cmp', 'V1', 'V3', 0.9970784641068448, 1.1092514991760254]
['BV', 22, 'CV', 146, 'cmp', 'head', 'V3', 'V3', 0.8782894736842105, 0.07848072052001953]
['BV', 62, 'CV', 71, 'diff', '[', 'V0', 'V2', 0.9668965517241379, 0.10086727142333984]
['UV', 36, 'CV', 80, 'objdump', 'uniq', 'V3', 'V2', 0.9972851907153523, 1.4640471935272217]
['CV', 172, 'UV', 57, 'mknod', 'strings', 'V3', 'V1', 0.971494445608887, 1.076453685760498]
['CV', 322, 'BV', 68, 'ginstall', 'dot', 'V1', 'V0', 1.0, 0.05577659606933594]
['BV', 49, 'CV', 4, 'make', 'basename', 'V3', 'V2', 0.9890610756608933, 0.32805347442626953]
['CV', 138, 'UV', 2, 'printf', 'find', 'V3', 'V2', 0.9019042123485286, 0.36466097831726074]
['BV', 4, 'UV', 86, 'geany', 'size', 'V3', 'V0', 0.9969648892874388, 89.86311101913452]
['CV', 152, 'UV', 29, 'env', 'objcopy', 'V3', 'V3', 0.9773290825363089, 1.2572519779205322]
['BV', 30, 'CV', 267, 'bash', 'fmt', 'V0', 'V1', 0.9981596503335634, 1.222851037979126]
['CV', 165, 'UV', 28, 'rm', 'strings', 'V3', 'V3', 0.9647540983606557, 1.9578847885131836]
['UV', 70, 'CV', 325, 'locate', 'md5sum', 'V0', 'V1', 0.9801488833746899, 0.09940624237060547]
['BV', 46, 'CV', 206, 'cluster', 'paste', 'V3', 'V0', 0.9905138339920949, 0.1700289249420166]
['CV', 72, 'UV', 27, 'id', 'c++filt', 'V2', 'V3', 0.9709634843818742, 0.9224200248718262]
['UV', 16, 'CV', 50, 'gprof', 'cksum', 'V2', 'V2', 0.9972205677982926, 0.7700779438018799]
['CV', 346, 'BV', 30, 'mknod', 'bash', 'V1', 'V0', 0.982726853984339, 1.1551549434661865]
['BV', 25, 'CV', 45, 'git', 'cp', 'V3', 'V2', 0.9977887965692843, 14.62485384941101]
['UV', 32, 'CV', 31, 'addr2line', 'sha1sum', 'V3', 'V2', 0.9952194697957409, 0.8529422283172607]
['BV', 45, 'CV', 249, 'svn', 'tr', 'V3', 'V0', 0.9957567185289957, 0.5637497901916504]
['CV', 155, 'UV', 36, 'cat', 'objdump', 'V3', 'V3', 0.9831795984807379, 1.706566333770752]
['CV', 306, 'BV', 52, 'cp', 'libSDL2-2.0.so', 'V1', 'V2', 0.9746103569632981, 3.5388247966766357]
['CV', 188, 'BV', 39, 'dirname', 'svn', 'V0', 'V1', 0.9779270633397313, 0.3661782741546631]
['CV', 254, 'UV', 71, 'uniq', 'xargs', 'V0', 'V0', 0.8651162790697674, 0.048630714416503906]
['BV', 19, 'CV', 90, 'cp', 'test', 'V3', 'V3', 0.9716563330380869, 0.19853925704956055]
['CV', 270, 'BV', 6, 'users', 'libvlc.so', 'V1', 'V0', 0.9862414008755472, 0.31642985343933105]
['BV', 33, 'CV', 92, 'openssl', 'mkdir', 'V0', 'V3', 0.9986416592654511, 4.760530948638916]
