['BV', 13, 'CV', 101, 'cp', 'dirname', 'V2', 'V3', 0.9802197802197802, 0.13251233100891113]
['CV', 336, 'UV', 34, 'tr', 'elfedit', 'V1', 'V3', 0.9679358717434869, 0.07641911506652832]
['BV', 13, 'CV', 73, 'cp', 'shred', 'V2', 'V2', 0.9541984732824428, 0.20775127410888672]
['CV', 143, 'BV', 13, 'yes', 'cp', 'V3', 'V2', 0.8822246455834242, 0.14201116561889648]
['CV', 270, 'BV', 33, 'users', 'openssl', 'V1', 'V0', 0.9915598459671889, 3.5726547241210938]
['CV', 121, 'BV', 43, 'echo', 'lua', 'V3', 'V0', 0.9607996863974911, 0.4708855152130127]
['BV', 55, 'CV', 114, 'codeblocks', 'expr', 'V3', 'V3', 0.998765660680121, 4.7604429721832275]
['UV', 84, 'CV', 56, 'ar', 'yes', 'V0', 'V2', 0.9974768713204374, 0.691650390625]
['CV', 232, 'BV', 65, 'readlink', 'ssh', 'V0', 'V1', 0.988685880284382, 1.7960803508758545]
['UV', 84, 'CV', 70, 'ar', 'vdir', 'V0', 'V2', 0.99079754601227, 2.4079439640045166]
['UV', 27, 'CV', 211, 'c++filt', 'seq', 'V3', 'V0', 0.9964245810055866, 0.6516032218933105]
['CV', 75, 'UV', 42, 'tr', 'diff', 'V2', 'V3', 0.9091673675357443, 0.20507454872131348]
['CV', 76, 'UV', 36, 'comm', 'objdump', 'V2', 'V3', 0.9806486781139275, 1.5350666046142578]
['BV', 15, 'UV', 9, 'libvlccore.so', 'readelf', 'V3', 'V2', 0.9928279709134376, 9.4404776096344]
['BV', 4, 'CV', 144, 'geany', 'who', 'V3', 'V3', 0.9993380497290141, 6.684597492218018]
['CV', 57, 'UV', 76, 'who', 'as', 'V2', 'V0', 0.9804714744036825, 1.7171459197998047]
['BV', 63, 'CV', 220, 'ruby', 'cut', 'V0', 'V0', 0.9994557082596272, 3.3351550102233887]
['UV', 61, 'BV', 6, 'addr2line', 'libvlc.so', 'V1', 'V0', 0.9892545332437878, 4.927566289901733]
['CV', 214, 'BV', 41, 'ls', 'libvlccore.so', 'V0', 'V1', 0.9870967741935484, 3.9884495735168457]
['CV', 290, 'UV', 72, 'tail', 'find', 'V1', 'V0', 0.9105571847507331, 0.2882835865020752]
['UV', 16, 'BV', 71, 'gprof', 'ruby', 'V2', 'V1', 0.9979516591560835, 0.14028716087341309]
['UV', 59, 'CV', 214, 'ld', 'ls', 'V1', 'V0', 0.9950583390528484, 2.851370334625244]
['UV', 23, 'BV', 40, 'strip', 'lua', 'V3', 'V2', 0.981029810298103, 10.323572158813477]
['UV', 61, 'CV', 283, 'addr2line', 'kill', 'V1', 'V1', 0.9978641606151217, 0.6764473915100098]
['UV', 80, 'CV', 13, 'objcopy', 'join', 'V0', 'V2', 0.996661101836394, 1.328561782836914]
['BV', 43, 'CV', 97, 'lua', 'ptx', 'V0', 'V3', 0.9850053552302749, 0.9250059127807617]
['BV', 70, 'CV', 257, 'ssh', 'tac', 'V0', 'V0', 0.998005676152489, 4.37668251991272]
['CV', 2, 'BV', 60, 'unlink', 'codeblocks', 'V2', 'V1', 0.9951253928548521, 3.201155185699463]
['CV', 249, 'UV', 33, 'tr', 'ar', 'V0', 'V3', 0.9766728054020871, 0.9744019508361816]
['BV', 59, 'CV', 343, 'make', 'sort', 'V1', 'V1', 0.9878101872006966, 0.7043302059173584]
['CV', 318, 'BV', 57, 'who', 'svn', 'V1', 'V2', 0.9815413013382557, 0.5410945415496826]
['BV', 30, 'CV', 162, 'bash', 'tr', 'V0', 'V3', 0.9968329374505146, 2.1263771057128906]
['CV', 235, 'UV', 83, 'ginstall', 'addr2line', 'V0', 'V0', 0.9672818791946308, 1.9783198833465576]
['UV', 60, 'CV', 133, 'gprof', 'cut', 'V1', 'V3', 0.9961685823754789, 1.2351758480072021]
['UV', 77, 'CV', 198, 'ranlib', 'factor', 'V0', 'V0', 0.9974656810982049, 0.6175317764282227]
['BV', 66, 'CV', 10, 'lua', 'ptx', 'V1', 'V2', 0.9877036581616969, 1.379425048828125]
['BV', 78, 'CV', 273, 'make', 'stty', 'V2', 'V1', 0.9895437262357415, 0.3784635066986084]
