['UV', 32, 'CV', 112, 'addr2line', 'expand', 'V3', 'V3', 0.9944170066566459, 1.008535385131836]
['BV', 60, 'UV', 62, 'codeblocks', 'ar', 'V1', 'V1', 0.9871376273869595, 58.248833656311035]
['UV', 29, 'BV', 38, 'objcopy', 'ruby', 'V3', 'V2', 0.9981556621172999, 0.1571044921875]
['CV', 160, 'BV', 32, 'shred', 'perl', 'V3', 'V0', 0.9760191846522782, 3.5541248321533203]
['UV', 44, 'CV', 263, 'diff3', 'unlink', 'V1', 'V1', 0.9731285988483686, 0.046259164810180664]
['BV', 14, 'UV', 12, 'openssl', 'c++filt', 'V3', 'V2', 0.9738596035661733, 29.132917881011963]
['UV', 4, 'BV', 64, 'cmp', 'openssl', 'V2', 'V2', 0.9920855928477209, 2.467494010925293]
['CV', 45, 'UV', 4, 'cp', 'cmp', 'V2', 'V2', 0.9775051124744376, 0.17516636848449707]
['CV', 30, 'UV', 81, 'pinky', 'ld', 'V2', 'V0', 0.9834112501885085, 1.5477147102355957]
['CV', 255, 'UV', 23, 'sleep', 'strip', 'V0', 'V3', 0.9833785004516712, 0.7394130229949951]
['UV', 18, 'BV', 9, 'ar', 'dot', 'V2', 'V2', 0.9979266017001867, 0.33271312713623047]
['UV', 8, 'CV', 272, 'strip', 'printenv', 'V2', 'V1', 0.998220640569395, 0.6161074638366699]
['CV', 171, 'UV', 67, 'rmdir', 'cmp', 'V3', 'V0', 0.9035714285714286, 0.07441306114196777]
['BV', 18, 'CV', 318, 'sort', 'who', 'V3', 'V1', 0.9833178869323448, 0.17032647132873535]
['UV', 27, 'BV', 33, 'c++filt', 'openssl', 'V3', 'V0', 0.9699801020849554, 64.64098882675171]
['CV', 53, 'BV', 8, 'tty', 'cluster', 'V2', 'V2', 0.9631619339984651, 0.2039470672607422]
['CV', 299, 'BV', 34, 'split', 'svn', 'V1', 'V0', 0.9772277227722772, 0.4515528678894043]
['CV', 266, 'BV', 52, 'mkdir', 'libSDL2-2.0.so', 'V1', 'V2', 0.9821474773609314, 1.8928744792938232]
['BV', 48, 'CV', 29, 'gvmap', 'tail', 'V3', 'V2', 0.9775140537164272, 0.439298152923584]
['CV', 96, 'BV', 3, 'users', 'diff', 'V3', 'V1', 0.8671799807507219, 0.17765235900878906]
['UV', 21, 'CV', 213, 'objdump', 'whoami', 'V2', 'V0', 0.9987419405566913, 0.7381634712219238]
['BV', 27, 'UV', 84, 'libSDL2-2.0.so', 'ar', 'V1', 'V0', 0.9798501679152674, 24.31234383583069]
['UV', 87, 'CV', 22, 'objdump', 'kill', 'V0', 'V2', 0.9975239863819251, 1.0452420711517334]
['BV', 49, 'CV', 338, 'make', 'nl', 'V3', 'V1', 0.9839935974389756, 0.7893047332763672]
['BV', 83, 'CV', 297, 'git', 'chroot', 'V2', 'V1', 0.9994761655316919, 2.429441452026367]
['UV', 31, 'CV', 82, 'gprof', 'sort', 'V3', 'V2', 0.9915082148790844, 2.466407537460327]
['CV', 247, 'BV', 24, 'shred', 'git', 'V0', 'V0', 0.98848644758935, 3.471284866333008]
['BV', 4, 'UV', 43, 'geany', 'sdiff', 'V3', 'V3', 0.9989271271766939, 7.823620319366455]
['BV', 49, 'UV', 10, 'make', 'as', 'V3', 'V2', 0.9499783456041576, 10.339958190917969]
['CV', 71, 'UV', 39, '[', 'find', 'V2', 'V3', 0.9681697612732095, 0.45977091789245605]
['CV', 112, 'UV', 86, 'expand', 'size', 'V3', 'V0', 0.9819421411461212, 1.1766107082366943]
['CV', 127, 'UV', 34, 'ls', 'elfedit', 'V3', 'V3', 0.9947460595446584, 0.24752593040466309]
['UV', 51, 'CV', 98, 'nm', 'printenv', 'V1', 'V3', 0.995846313603323, 0.8125028610229492]
['CV', 339, 'UV', 49, 'rm', 'xargs', 'V1', 'V1', 0.9111842105263158, 0.08342742919921875]
['BV', 67, 'CV', 14, 'cluster', 'dirname', 'V0', 'V2', 0.9830220713073005, 0.18096566200256348]
['CV', 77, 'UV', 50, 'nl', 'find', 'V2', 'V1', 0.9069296914516944, 0.6065115928649902]
['CV', 73, 'BV', 41, 'shred', 'libvlccore.so', 'V2', 'V1', 0.9896359959555107, 2.690554141998291]
['CV', 75, 'BV', 25, 'tr', 'git', 'V2', 'V3', 0.9926590538336052, 6.0207836627960205]
['CV', 201, 'BV', 41, 'expr', 'libvlccore.so', 'V0', 'V1', 0.9806906795395469, 3.4824070930480957]
['BV', 42, 'UV', 22, 'libvlc.so', 'nm', 'V1', 'V3', 0.9620480942254213, 6.044335126876831]
['BV', 83, 'UV', 7, 'git', 'nm', 'V2', 'V2', 0.994728943226326, 69.13268256187439]
['CV', 279, 'UV', 66, 'pwd', 'diff3', 'V1', 'V0', 0.8734177215189873, 0.06452560424804688]
['CV', 202, 'UV', 17, 'chown', 'addr2line', 'V0', 'V2', 0.9727177334732424, 1.2393903732299805]
['BV', 48, 'CV', 33, 'gvmap', 'sync', 'V3', 'V2', 0.986909090909091, 0.2015063762664795]
['CV', 101, 'UV', 25, 'dirname', 'as', 'V3', 'V3', 0.9779421654337592, 1.42246675491333]
['CV', 313, 'UV', 57, 'logname', 'strings', 'V1', 'V1', 0.9849072876239758, 0.6159689426422119]
['CV', 137, 'UV', 81, 'cksum', 'ld', 'V3', 'V0', 0.9836956521739131, 1.4563522338867188]
['BV', 30, 'CV', 107, 'bash', 'tee', 'V0', 'V3', 0.9961468721668177, 1.9732270240783691]
['BV', 79, 'CV', 161, 'bash', 'pathchk', 'V3', 'V3', 0.998038254046101, 2.033994197845459]
['UV', 42, 'CV', 63, 'diff', 'mv', 'V3', 'V2', 0.9531645569620253, 0.47832608222961426]
['CV', 250, 'UV', 48, 'comm', 'locate', 'V0', 'V1', 0.8828633405639913, 0.11818265914916992]
['BV', 2, 'UV', 4, 'cmp', 'cmp', 'V1', 'V2', 0.8678260869565217, 0.06413865089416504]
['BV', 40, 'CV', 231, 'lua', 'who', 'V2', 'V0', 0.9965893587994543, 0.5312168598175049]
['UV', 86, 'CV', 45, 'size', 'cp', 'V0', 'V2', 0.9880219028062971, 2.664674997329712]
['UV', 25, 'CV', 256, 'as', 'sort', 'V3', 'V0', 0.9976237623762376, 2.0498580932617188]
['UV', 43, 'CV', 68, 'sdiff', 'cat', 'V3', 'V2', 0.9182561307901907, 0.10941314697265625]
['BV', 47, 'CV', 1, 'dot', 'stat', 'V3', 'V2', 0.9933774834437086, 0.02853107452392578]
['CV', 21, 'UV', 9, 'chgrp', 'readelf', 'V2', 'V2', 0.9721362229102167, 0.511676549911499]
['CV', 342, 'UV', 50, 'sleep', 'find', 'V1', 'V1', 0.9383647798742139, 0.20618295669555664]
['UV', 68, 'CV', 30, 'diff', 'pinky', 'V0', 'V2', 0.976721629485936, 0.16455435752868652]
['BV', 1, 'UV', 39, 'libSDL2-2.0.so', 'find', 'V3', 'V3', 0.9930555555555556, 12.670308113098145]
['CV', 344, 'UV', 61, 'tac', 'addr2line', 'V1', 'V1', 0.9605734767025089, 1.846311330795288]
['CV', 33, 'UV', 2, 'sync', 'find', 'V2', 'V2', 0.9358086847073631, 0.21996140480041504]
['BV', 14, 'CV', 74, 'openssl', 'pathchk', 'V3', 'V2', 0.9983651226158038, 1.5278034210205078]
['BV', 27, 'CV', 0, 'libSDL2-2.0.so', 'touch', 'V1', 'V2', 0.9953469276036677, 1.9986720085144043]
['CV', 219, 'BV', 67, 'cp', 'cluster', 'V0', 'V0', 0.9538138558432471, 0.5098192691802979]
['CV', 73, 'BV', 12, 'shred', 'sort', 'V2', 'V2', 0.896414342629482, 0.1892378330230713]
['CV', 3, 'UV', 21, 'test', 'objdump', 'V2', 'V2', 0.9820238648690531, 1.3015775680541992]
['UV', 58, 'CV', 27, 'objcopy', 'expr', 'V1', 'V2', 0.9938385705483672, 2.4450438022613525]
['CV', 113, 'UV', 62, 'date', 'ar', 'V3', 'V1', 0.9669515669515669, 1.9509515762329102]
['CV', 292, 'BV', 78, 'sha1sum', 'make', 'V1', 'V2', 0.9710144927536232, 0.35888123512268066]
['BV', 8, 'CV', 159, 'cluster', 'id', 'V2', 'V3', 0.9746121297602257, 0.3131296634674072]
['CV', 307, 'BV', 54, 'cut', 'lua', 'V1', 'V3', 0.9724535554131967, 0.5176718235015869]
['UV', 57, 'CV', 18, 'strings', 'pwd', 'V1', 'V2', 0.9970395432438147, 0.8729679584503174]
['CV', 293, 'BV', 41, 'paste', 'libvlccore.so', 'V1', 'V1', 0.9937670432411375, 1.2898204326629639]
['CV', 202, 'UV', 65, 'chown', 'objdump', 'V0', 'V1', 0.9781259237363287, 1.8346986770629883]
['CV', 264, 'UV', 56, 'test', 'c++filt', 'V1', 'V1', 0.9810181190681622, 0.7670285701751709]
['BV', 81, 'CV', 273, 'dot', 'stty', 'V1', 'V1', 0.9929328621908127, 0.027390718460083008]
