['BO', 50, 'CO', 318, 'perl', 'mkdir', 'O2', 'O0', 0.9952506257621462, 7.887916564941406]
['UO', 77, 'CO', 125, 'ar', 'mktemp', 'O0', 'O1', 0.994631593074755, 2.11323881149292]
['CO', 301, 'UO', 84, 'nl', 'sdiff', 'O2', 'O0', 0.9281437125748503, 0.11133861541748047]
['BO', 61, 'CO', 384, 'git', 'head', 'O1', 'O0', 0.9993106716642971, 6.146193981170654]
['BO', 16, 'CO', 139, 'make', 'base32', 'O0', 'O1', 0.9786008230452675, 0.549640417098999]
['CO', 106, 'BO', 10, 'stat', 'openssl', 'O1', 'O3', 0.9898608564340416, 5.999798536300659]
['CO', 7, 'UO', 75, 'fmt', 'gprof', 'O3', 'O0', 0.9919828968466061, 2.133338212966919]
['CO', 292, 'BO', 46, 'vdir', 'ruby', 'O2', 'O3', 0.9843917470525188, 20.34706425666809]
['CO', 63, 'UO', 42, 'logname', 'xargs', 'O3', 'O2', 0.9575671852899575, 0.12670087814331055]
['CO', 385, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9933769792935444, 7.493346691131592]
['CO', 46, 'UO', 86, 'whoami', 'xargs', 'O3', 'O0', 0.9784688995215312, 0.1726698875427246]
['CO', 381, 'BO', 17, 'who', 'codeblocks', 'O0', 'O2', 0.9923475685016045, 6.888739585876465]
['UO', 25, 'CO', 316, 'sdiff', 'test', 'O2', 'O0', 0.9334298118668596, 0.13358187675476074]
['UO', 16, 'CO', 279, 'size', 'readlink', 'O1', 'O2', 0.9904425514232288, 1.0935299396514893]
['CO', 171, 'BO', 31, 'nohup', 'bash', 'O1', 'O2', 0.9824544854259032, 2.3707175254821777]
['CO', 25, 'UO', 85, 'chgrp', 'locate', 'O3', 'O0', 0.9725373134328358, 0.5952811241149902]
['UO', 44, 'CO', 344, 'nm', 'expr', 'O3', 'O0', 0.9916405433646813, 1.5985684394836426]
['UO', 66, 'CO', 59, 'nm', 'tsort', 'O0', 'O3', 0.9975096845600443, 1.7795846462249756]
['CO', 297, 'BO', 27, 'pathchk', 'perl', 'O2', 'O3', 0.9931630546955624, 2.385612964630127]
['BO', 67, 'CO', 29, 'libSDL2-2.0.so.0.16.0', 'nproc', 'O1', 'O3', 0.9955839057899902, 1.9639503955841064]
['CO', 413, 'UO', 29, 'rmdir', 'as', 'O0', 'O2', 0.9817889662560257, 1.8850455284118652]
['BO', 2, 'UO', 14, 'perl', 'ar', 'O1', 'O1', 0.9894760716715808, 60.56760621070862]
['UO', 60, 'CO', 171, 'xargs', 'nohup', 'O3', 'O1', 0.9669876203576341, 0.14040827751159668]
['BO', 34, 'CO', 324, 'cp', 'ptx', 'O2', 'O0', 0.9596586501163693, 0.36333250999450684]
['BO', 5, 'CO', 186, 'libgeany.so.0.0.0', 'shuf', 'O1', 'O1', 0.9989414789051868, 9.03128719329834]
['BO', 52, 'CO', 78, 'svn', 'chcon', 'O3', 'O3', 0.9956474428726877, 1.0911333560943604]
['UO', 72, 'CO', 208, 'strings', 'sha384sum', 'O0', 'O2', 0.9965894557339775, 1.5508780479431152]
['UO', 41, 'CO', 175, 'locate', 'readlink', 'O2', 'O1', 0.9707401032702238, 0.2763395309448242]
['CO', 76, 'UO', 63, 'md5sum', 'cmp', 'O3', 'O3', 0.9241379310344827, 0.08187627792358398]
['UO', 65, 'BO', 55, 'sdiff', 'make', 'O3', 'O1', 0.9531656548135299, 0.6998517513275146]
['CO', 155, 'UO', 51, 'realpath', 'objcopy', 'O1', 'O3', 0.9734794908062234, 1.4856364727020264]
['UO', 19, 'CO', 399, 'cmp', 'id', 'O1', 'O0', 0.9154471544715447, 0.10061192512512207]
['CO', 261, 'BO', 5, 'chmod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9902420574886536, 12.070040464401245]
['UO', 22, 'BO', 28, 'diff3', 'ruby', 'O2', 'O0', 0.9902686264571718, 7.65549898147583]
['BO', 64, 'CO', 256, 'dot', 'ls', 'O0', 'O2', 0.9904648390941597, 0.09414458274841309]
['CO', 162, 'BO', 77, 'df', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.9738777302162221, 5.842264890670776]
['BO', 0, 'CO', 210, 'codeblocks', 'stat', 'O1', 'O2', 0.9977926298362867, 7.005159378051758]
['CO', 96, 'BO', 82, 'fold', 'cp', 'O3', 'O3', 0.8980891719745223, 0.18944334983825684]
['CO', 367, 'BO', 27, 'cp', 'perl', 'O0', 'O3', 0.9756288833926525, 16.04859733581543]
['UO', 23, 'BO', 19, 'cmp', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9911699779249448, 3.3060052394866943]
['CO', 81, 'BO', 58, 'cat', 'svn', 'O3', 'O1', 0.9772819472616633, 0.6615533828735352]
['CO', 186, 'BO', 71, 'shuf', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.9838912133891213, 4.215252161026001]
['BO', 83, 'CO', 242, 'lua', 'tail', 'O2', 'O2', 0.9851543942992874, 1.0940730571746826]
['BO', 69, 'CO', 356, 'cmp', 'seq', 'O3', 'O0', 0.9075342465753424, 0.09005570411682129]
['CO', 158, 'BO', 75, 'true', 'gvmap', 'O1', 'O1', 0.9610108303249097, 0.2497081756591797]
['UO', 61, 'BO', 45, 'find', 'diff', 'O3', 'O2', 0.98, 1.5395355224609375]
['CO', 48, 'UO', 61, 'ls', 'find', 'O3', 'O3', 0.9590562109646079, 1.5226564407348633]
['BO', 53, 'UO', 63, 'bash', 'cmp', 'O0', 'O3', 0.9982040816326531, 2.8524410724639893]
['CO', 328, 'UO', 82, 'dirname', 'cmp', 'O0', 'O0', 0.9066427289048474, 0.080963134765625]
['UO', 10, 'CO', 237, 'objcopy', 'nproc', 'O1', 'O2', 0.9944211994421199, 1.0046513080596924]
['BO', 18, 'CO', 134, 'libvlc.so.12.0.0', 'expand', 'O1', 'O1', 0.9878357830714648, 0.533778190612793]
['CO', 346, 'UO', 26, 'tail', 'nm', 'O0', 'O2', 0.9622567328484372, 2.515578508377075]
['CO', 207, 'BO', 74, 'ln', 'dot', 'O1', 'O1', 0.9966044142614601, 0.063995361328125]
['BO', 20, 'CO', 337, 'sort', 'chgrp', 'O1', 'O0', 0.9532428355957767, 0.3916635513305664]
['UO', 19, 'CO', 189, 'cmp', '[', 'O1', 'O1', 0.8823529411764706, 0.09006738662719727]
['BO', 51, 'CO', 412, 'lua', 'tac', 'O1', 'O0', 0.9959266802443992, 0.9539601802825928]
['BO', 53, 'CO', 406, 'bash', 'rm', 'O0', 'O0', 0.9948991790866343, 5.69911527633667]
['BO', 31, 'CO', 211, 'bash', 'unlink', 'O2', 'O2', 0.9982912473894058, 1.5144238471984863]
['BO', 46, 'CO', 385, 'ruby', 'hostid', 'O3', 'O0', 0.9993857913055347, 4.951852560043335]
