['UV', 25, 'BV', 80, 'as', 'cluster', 'V3', 'V1', 0.9853664387669425, 5.746607065200806]
['UV', 27, 'CV', 193, 'c++filt', 'pr', 'V3', 'V0', 0.9948108108108108, 1.1335537433624268]
['CV', 99, 'BV', 77, 'stty', 'perl', 'V3', 'V2', 0.9853911070136869, 3.836024045944214]
['UV', 77, 'CV', 236, 'ranlib', 'unexpand', 'V0', 'V0', 0.9978867286559594, 0.6022739410400391]
['BV', 65, 'CV', 55, 'ssh', 'nohup', 'V1', 'V2', 0.9986304496690254, 2.0405569076538086]
['CV', 83, 'BV', 21, 'tac', 'cp', 'V2', 'V1', 0.9494949494949495, 0.2005782127380371]
['BV', 37, 'CV', 240, 'geany', 'link', 'V1', 'V0', 0.9995297215951844, 2.518547534942627]
['CV', 306, 'BV', 5, 'cp', 'libvlccore.so', 'V1', 'V0', 0.9851205746536685, 3.186063289642334]
['CV', 222, 'UV', 43, 'df', 'sdiff', 'V0', 'V3', 0.8765060240963856, 0.09243965148925781]
['CV', 329, 'UV', 11, 'cat', 'ranlib', 'V1', 'V2', 0.9767441860465116, 0.6986472606658936]
['UV', 40, 'CV', 105, 'diff3', 'pwd', 'V3', 'V3', 0.9243085880640466, 0.09608840942382812]
['BV', 29, 'UV', 74, 'perl', 'strip', 'V3', 'V0', 0.988271741535738, 50.62293553352356]
['UV', 21, 'CV', 27, 'objdump', 'expr', 'V2', 'V2', 0.9947051036917194, 2.599058151245117]
['UV', 42, 'CV', 119, 'diff', 'paste', 'V3', 'V3', 0.9713080168776371, 0.19836974143981934]
['CV', 147, 'UV', 12, 'hostid', 'c++filt', 'V3', 'V2', 0.9740764744005185, 0.8823833465576172]
['UV', 71, 'BV', 23, 'xargs', 'diff', 'V0', 'V3', 0.9130434782608696, 0.18616008758544922]
['CV', 81, 'BV', 38, 'sleep', 'ruby', 'V2', 'V2', 1.0, 0.010668516159057617]
['CV', 256, 'BV', 10, 'sort', 'gvmap', 'V0', 'V2', 0.9590268886043534, 0.4150536060333252]
['CV', 172, 'UV', 54, 'mknod', 'as', 'V3', 'V1', 0.9788317256162915, 1.5794799327850342]
['CV', 3, 'UV', 33, 'test', 'ar', 'V2', 'V3', 0.9742857142857143, 1.027745008468628]
['CV', 126, 'BV', 16, 'whoami', 'libvlc.so', 'V3', 'V3', 0.9856527977044476, 0.483121395111084]
['CV', 50, 'BV', 65, 'cksum', 'ssh', 'V2', 'V1', 0.9861174675819985, 1.824857234954834]
['BV', 29, 'CV', 307, 'perl', 'cut', 'V3', 'V1', 0.9987274317982979, 1.7936818599700928]
['CV', 159, 'BV', 29, 'id', 'perl', 'V3', 'V3', 0.9839142091152815, 2.8765695095062256]
['CV', 98, 'UV', 41, 'printenv', 'cmp', 'V3', 'V3', 0.9241516966067864, 0.06017279624938965]
['BV', 18, 'CV', 274, 'sort', 'join', 'V3', 'V1', 0.9782805429864253, 0.1644148826599121]
['BV', 57, 'UV', 6, 'svn', 'sdiff', 'V2', 'V2', 0.9889408762228838, 0.8007965087890625]
['CV', 211, 'UV', 48, 'seq', 'locate', 'V0', 'V1', 0.9026548672566371, 0.11271858215332031]
['CV', 165, 'BV', 44, 'rm', 'make', 'V3', 'V0', 0.9470377019748654, 0.7438733577728271]
['CV', 311, 'UV', 26, 'cksum', 'ranlib', 'V1', 'V3', 0.9821354383049439, 0.6635241508483887]
['UV', 81, 'BV', 35, 'ld', 'libvlccore.so', 'V0', 'V2', 0.979512063620434, 43.4439754486084]
['UV', 81, 'CV', 53, 'ld', 'tty', 'V0', 'V2', 0.9984753773441073, 0.9494888782501221]
['UV', 42, 'CV', 148, 'diff', 'ginstall', 'V3', 'V3', 0.940636805180788, 0.6696507930755615]
['CV', 75, 'BV', 41, 'tr', 'libvlccore.so', 'V2', 'V1', 0.9890025575447571, 2.0202064514160156]
['CV', 75, 'BV', 40, 'tr', 'lua', 'V2', 'V2', 0.9612040133779264, 0.6043727397918701]
['CV', 24, 'BV', 22, 'factor', 'cmp', 'V2', 'V3', 0.9030303030303031, 0.055924415588378906]
['UV', 66, 'CV', 101, 'diff3', 'dirname', 'V0', 'V3', 0.956953642384106, 0.0735623836517334]
['BV', 70, 'CV', 342, 'ssh', 'sleep', 'V0', 'V1', 0.9987395619977942, 1.5036888122558594]
['CV', 333, 'UV', 27, 'id', 'c++filt', 'V1', 'V3', 0.9795191451469278, 0.7833786010742188]
['CV', 29, 'UV', 27, 'tail', 'c++filt', 'V2', 'V3', 0.9648528477662502, 1.5780763626098633]
['BV', 22, 'CV', 92, 'cmp', 'mkdir', 'V3', 'V3', 0.9274447949526814, 0.09158730506896973]
['BV', 63, 'CV', 96, 'ruby', 'users', 'V0', 'V3', 0.9988248587570622, 4.490064382553101]
['CV', 291, 'BV', 39, 'pinky', 'svn', 'V1', 'V1', 0.973172987974098, 0.6034145355224609]
['CV', 221, 'UV', 18, 'od', 'ar', 'V0', 'V2', 0.9747393744987971, 1.0806539058685303]
['CV', 222, 'BV', 56, 'df', 'ssh', 'V0', 'V3', 0.9821428571428571, 1.5833539962768555]
['CV', 239, 'UV', 1, 'env', 'xargs', 'V0', 'V2', 0.8830963665086888, 0.06498193740844727]
['UV', 13, 'CV', 29, 'strings', 'tail', 'V2', 'V2', 0.9950433705080545, 1.4458894729614258]
['BV', 79, 'CV', 36, 'bash', 'chroot', 'V3', 'V2', 0.9972459919346907, 1.9511065483093262]
['BV', 83, 'CV', 27, 'git', 'expr', 'V2', 'V2', 0.9988004455487962, 8.928354740142822]
['UV', 11, 'BV', 18, 'ranlib', 'sort', 'V2', 'V3', 0.9896760412958349, 3.339888095855713]
['CV', 325, 'BV', 25, 'md5sum', 'git', 'V1', 'V3', 0.9948864798527306, 4.328280687332153]
['BV', 16, 'CV', 248, 'libvlc.so', 'pathchk', 'V3', 'V0', 0.9940209267563528, 0.28707265853881836]
['UV', 83, 'CV', 266, 'addr2line', 'mkdir', 'V0', 'V1', 0.9951219512195122, 0.7758486270904541]
['CV', 324, 'BV', 13, 'mv', 'cp', 'V1', 'V2', 0.8896321070234113, 0.27573513984680176]
['UV', 41, 'CV', 155, 'cmp', 'cat', 'V3', 'V3', 0.927536231884058, 0.06772899627685547]
['BV', 55, 'CV', 54, 'codeblocks', 'false', 'V3', 'V2', 0.9992508895686373, 2.36799693107605]
['CV', 162, 'BV', 0, 'tr', 'bash', 'V3', 'V2', 0.9819197562214322, 2.311876058578491]
['BV', 13, 'CV', 46, 'cp', 'cut', 'V2', 'V2', 0.9790136411332634, 0.1522829532623291]
['CV', 331, 'BV', 68, 'vdir', 'dot', 'V1', 'V0', 1.0, 0.0645298957824707]
['CV', 194, 'UV', 66, 'tee', 'diff3', 'V0', 'V0', 0.8847583643122676, 0.06172943115234375]
['UV', 58, 'CV', 88, 'objcopy', 'stat', 'V1', 'V3', 0.9928371223917782, 2.34599232673645]
['BV', 0, 'CV', 238, 'bash', 'md5sum', 'V2', 'V0', 0.9991767853467792, 1.4768970012664795]
['CV', 341, 'UV', 57, 'uniq', 'strings', 'V1', 'V1', 0.9787865931268562, 0.9239668846130371]
['CV', 2, 'BV', 27, 'unlink', 'libSDL2-2.0.so', 'V2', 'V1', 0.9814224317205047, 1.346811056137085]
['UV', 28, 'CV', 189, 'strings', 'uptime', 'V3', 'V0', 0.9969156201806565, 0.7229363918304443]
['CV', 345, 'UV', 72, 'rmdir', 'find', 'V1', 'V0', 0.9369294605809129, 0.14899444580078125]
['CV', 209, 'UV', 87, 'sum', 'objdump', 'V0', 'V0', 0.985081585081585, 1.1373064517974854]
['UV', 11, 'BV', 7, 'ranlib', 'libSDL2-2.0.so', 'V2', 'V0', 0.982619000592534, 21.73808479309082]
['BV', 32, 'CV', 251, 'perl', 'nl', 'V0', 'V0', 0.9965076739270288, 3.5663816928863525]
['BV', 8, 'CV', 264, 'cluster', 'test', 'V2', 'V1', 0.9783783783783784, 0.19794750213623047]
['CV', 295, 'UV', 59, 'echo', 'ld', 'V1', 'V1', 0.9895773016792125, 0.9076237678527832]
['UV', 46, 'CV', 279, 'diff', 'pwd', 'V1', 'V1', 0.9905511811023622, 0.14799976348876953]
['BV', 80, 'CV', 95, 'cluster', 'du', 'V1', 'V3', 0.960427807486631, 0.7363884449005127]
['CV', 181, 'BV', 57, 'dir', 'svn', 'V0', 'V2', 0.9772450223486387, 1.1054189205169678]
['CV', 305, 'BV', 74, 'true', 'git', 'V1', 'V1', 0.9951120586552962, 1.7446234226226807]
['BV', 11, 'UV', 60, 'bash', 'gprof', 'V1', 'V1', 0.9845394030491733, 32.03256368637085]
['UV', 9, 'CV', 73, 'readelf', 'shred', 'V2', 'V2', 0.9810625986322988, 0.4623446464538574]
['CV', 12, 'BV', 6, 'stty', 'libvlc.so', 'V2', 'V0', 0.9861111111111112, 0.4713871479034424]
