['UO', 68, 'CO', 16, 'readelf', 'dirname', 'O0', 'O3', 0.9952780692549843, 0.7068977355957031]
['CO', 316, 'UO', 32, 'test', 'strings', 'O0', 'O2', 0.9653846153846154, 1.3890740871429443]
['BO', 44, 'UO', 9, 'cmp', 'strings', 'O2', 'O1', 0.9705271897052719, 1.229149341583252]
['UO', 8, 'CO', 250, 'c++filt', 'sum', 'O1', 'O2', 0.9923777260215965, 1.0315909385681152]
['BO', 79, 'CO', 299, 'bash', 'comm', 'O3', 'O2', 0.9967808280425646, 2.106001615524292]
['CO', 244, 'UO', 79, 'pinky', 'size', 'O2', 'O0', 0.9903968366049993, 2.0456273555755615]
['BO', 50, 'CO', 151, 'perl', 'numfmt', 'O2', 'O1', 0.9961867192636423, 3.634430170059204]
['CO', 154, 'BO', 9, 'dircolors', 'git', 'O1', 'O0', 0.9911718885234551, 5.059038400650024]
['CO', 151, 'UO', 19, 'numfmt', 'cmp', 'O1', 'O1', 0.9240924092409241, 0.09036016464233398]
['CO', 176, 'UO', 84, 'head', 'sdiff', 'O1', 'O0', 0.9115281501340482, 0.1337721347808838]
['CO', 126, 'BO', 25, 'pwd', 'dot', 'O1', 'O3', 1.0, 0.03478527069091797]
['CO', 109, 'UO', 51, 'basename', 'objcopy', 'O1', 'O3', 0.9798633585041352, 1.0666351318359375]
['CO', 228, 'BO', 13, 'mkfifo', 'ruby', 'O2', 'O1', 0.9953528105245173, 4.491193532943726]
['CO', 15, 'BO', 45, 'join', 'diff', 'O3', 'O2', 0.8835562549173879, 0.2809464931488037]
['CO', 355, 'BO', 62, 'chroot', 'bash', 'O0', 'O1', 0.9808630753037987, 2.9919633865356445]
['UO', 77, 'CO', 218, 'ar', 'users', 'O0', 'O2', 0.9975490196078431, 1.3921396732330322]
['CO', 73, 'UO', 19, 'hostid', 'cmp', 'O3', 'O1', 0.9212598425196851, 0.06549239158630371]
['CO', 34, 'UO', 23, 'tail', 'cmp', 'O3', 'O2', 0.9429312581063554, 0.1236264705657959]
['UO', 58, 'CO', 300, 'objdump', 'sha512sum', 'O3', 'O2', 0.9967694171490107, 1.504605770111084]
['CO', 180, 'BO', 22, 'md5sum', 'perl', 'O1', 'O0', 0.992564534231201, 3.644784450531006]
['BO', 49, 'UO', 26, 'svn', 'nm', 'O0', 'O2', 0.9451501154734411, 9.756784677505493]
['BO', 13, 'CO', 271, 'ruby', 'logname', 'O1', 'O2', 0.9995214493249017, 3.5082004070281982]
['BO', 76, 'UO', 25, 'openssl', 'sdiff', 'O2', 'O2', 0.9958515283842795, 3.5348784923553467]
['CO', 413, 'BO', 1, 'rmdir', 'ssh', 'O0', 'O2', 0.9817136115617165, 1.5586028099060059]
['UO', 1, 'CO', 199, 'xargs', 'sha224sum', 'O1', 'O1', 0.9538461538461538, 0.16419744491577148]
