['CO', 182, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9936742224565103, 12.329064846038818]
['BO', 27, 'CO', 374, 'perl', 'printf', 'O3', 'O0', 0.9965455475946776, 4.721571683883667]
['CO', 335, 'UO', 61, 'pr', 'find', 'O0', 'O3', 0.9518357678641927, 0.9700872898101807]
['CO', 89, 'BO', 0, 'pathchk', 'codeblocks', 'O3', 'O1', 0.9945358584290593, 3.8129639625549316]
['UO', 60, 'CO', 132, 'xargs', 'factor', 'O3', 'O1', 0.9728813559322034, 0.20724034309387207]
['CO', 125, 'BO', 59, 'mktemp', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9928545119705341, 10.741397142410278]
['BO', 58, 'CO', 64, 'svn', 'tty', 'O1', 'O3', 0.9958694754233788, 0.5364410877227783]
['UO', 53, 'BO', 64, 'gprof', 'dot', 'O3', 'O0', 0.9979022445982798, 0.33833932876586914]
['BO', 47, 'CO', 244, 'libvlc.so.12.0.0', 'pinky', 'O0', 'O2', 0.996386630532972, 0.6297993659973145]
['CO', 137, 'BO', 32, 'chown', 'ruby', 'O1', 'O2', 0.9857843705334725, 10.610347270965576]
['UO', 54, 'CO', 193, 'addr2line', 'pathchk', 'O3', 'O1', 0.9946996466431095, 0.8593404293060303]
['BO', 60, 'CO', 254, 'openssl', 'whoami', 'O0', 'O2', 0.9983813859382903, 2.0123159885406494]
['BO', 74, 'CO', 266, 'dot', 'df', 'O1', 'O2', 0.9933554817275747, 0.06339764595031738]
['UO', 9, 'CO', 161, 'strings', 'od', 'O1', 'O1', 0.9886178861788618, 1.5909397602081299]
['CO', 271, 'BO', 26, 'logname', 'gvmap', 'O2', 'O3', 0.9732142857142857, 0.21267247200012207]
['BO', 52, 'CO', 134, 'svn', 'expand', 'O3', 'O1', 0.9928543072647876, 0.6552352905273438]
['CO', 257, 'UO', 25, 'nice', 'sdiff', 'O2', 'O2', 0.872495446265938, 0.0685887336730957]
['BO', 24, 'CO', 34, 'cluster', 'tail', 'O3', 'O3', 0.9646017699115044, 0.49059557914733887]
['CO', 261, 'UO', 78, 'chmod', 'elfedit', 'O2', 'O0', 0.976878612716763, 0.13561487197875977]
['CO', 140, 'UO', 16, 'pinky', 'size', 'O1', 'O1', 0.973515414856197, 1.3268027305603027]
['CO', 27, 'BO', 8, 'wc', 'cp', 'O3', 'O0', 0.9358086847073631, 0.4006030559539795]
['BO', 82, 'CO', 56, 'cp', 'cut', 'O3', 'O3', 0.9610963748894783, 0.19891619682312012]
['BO', 12, 'CO', 364, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O0', 0.9996137877763831, 7.250650882720947]
['CO', 146, 'UO', 79, 'sum', 'size', 'O1', 'O0', 0.9904346602897736, 2.235440969467163]
['BO', 17, 'CO', 411, 'codeblocks', 'sort', 'O2', 'O0', 0.9971572401539828, 14.549156665802002]
['CO', 243, 'BO', 52, 'base32', 'svn', 'O2', 'O3', 0.9895245769540693, 0.6557679176330566]
['CO', 141, 'BO', 57, 'truncate', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9916413373860182, 2.793003797531128]
['UO', 32, 'CO', 34, 'strings', 'tail', 'O2', 'O3', 0.9934007011755001, 1.7625033855438232]
['UO', 32, 'BO', 82, 'strings', 'cp', 'O2', 'O3', 0.9876923076923076, 2.952035665512085]
['BO', 29, 'CO', 171, 'libvlc.so.12.0.0', 'nohup', 'O2', 'O1', 0.9906880496637351, 0.48775243759155273]
['CO', 345, 'UO', 1, 'chown', 'xargs', 'O0', 'O1', 0.960377358490566, 0.33360791206359863]
['UO', 20, 'CO', 61, 'diff', 'cksum', 'O1', 'O3', 0.9790940766550522, 0.1888134479522705]
['BO', 38, 'UO', 23, 'acyclic', 'cmp', 'O2', 'O2', 0.9783783783783784, 0.05246162414550781]
['BO', 24, 'CO', 113, 'cluster', 'du', 'O3', 'O1', 0.9558011049723757, 0.7654848098754883]
['UO', 0, 'CO', 116, 'locate', 'ptx', 'O1', 'O1', 0.9759579263711495, 0.39246320724487305]
['CO', 177, 'UO', 74, 'hostid', 'ld', 'O1', 'O0', 0.9922418937736225, 2.18160080909729]
['CO', 33, 'BO', 30, 'chown', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.9873075128324779, 4.755106210708618]
['UO', 12, 'CO', 392, 'gprof', 'uname', 'O1', 'O0', 0.9922133540977224, 1.092419147491455]
['CO', 357, 'UO', 11, 'split', 'ld', 'O0', 'O1', 0.9713059801555377, 3.09401798248291]
['CO', 373, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.992166704692372, 8.213487148284912]
['UO', 65, 'CO', 142, 'sdiff', 'sha1sum', 'O3', 'O1', 0.9330289193302892, 0.10493588447570801]
['UO', 38, 'CO', 270, 'elfedit', 'printf', 'O2', 'O2', 0.9774011299435028, 0.08957266807556152]
['UO', 70, 'CO', 368, 'ranlib', 'cut', 'O0', 'O0', 0.998393144081414, 2.034799575805664]
['CO', 332, 'UO', 38, 'mkfifo', 'elfedit', 'O0', 'O2', 0.9842696629213483, 0.2201228141784668]
['BO', 51, 'UO', 55, 'lua', 'ar', 'O1', 'O3', 0.9712360715211195, 10.49742317199707]
['CO', 54, 'UO', 64, 'true', 'diff', 'O3', 'O3', 0.8887908208296558, 0.16960644721984863]
['UO', 14, 'CO', 291, 'ar', 'csplit', 'O1', 'O2', 0.9922824618946556, 1.4829027652740479]
['BO', 23, 'CO', 368, 'git', 'cut', 'O2', 'O0', 0.9992229656809842, 5.617559909820557]
['CO', 48, 'BO', 71, 'ls', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.981241269207743, 8.373460531234741]
['BO', 6, 'UO', 56, 'codeblocks', 'elfedit', 'O0', 'O3', 0.9994510521500457, 4.874402046203613]
['BO', 73, 'CO', 40, 'cluster', 'sync', 'O1', 'O3', 0.9838591342626559, 0.2747032642364502]
['UO', 74, 'CO', 204, 'ld', 'tac', 'O0', 'O1', 0.9964447955757456, 2.562927007675171]
['CO', 165, 'UO', 36, 'cksum', 'addr2line', 'O1', 'O2', 0.9717268377555459, 0.9511632919311523]
['CO', 289, 'UO', 56, 'cat', 'elfedit', 'O2', 'O3', 0.9653679653679653, 0.0804438591003418]
['CO', 212, 'UO', 77, 'test', 'ar', 'O2', 'O0', 0.9891745602165088, 1.8310937881469727]
['BO', 75, 'CO', 151, 'gvmap', 'numfmt', 'O1', 'O1', 0.9486166007905138, 0.39159178733825684]
['CO', 309, 'BO', 63, 'rmdir', 'cluster', 'O2', 'O0', 0.978021978021978, 0.38028621673583984]
['UO', 83, 'CO', 119, 'diff', 'join', 'O0', 'O1', 0.9650145772594753, 0.3211705684661865]
['BO', 20, 'CO', 354, 'sort', 'sum', 'O1', 'O0', 0.9782411604714415, 0.23236513137817383]
['UO', 68, 'CO', 282, 'readelf', 'unexpand', 'O0', 'O2', 0.9947492780257285, 0.7473390102386475]
['BO', 61, 'CO', 190, 'git', 'timeout', 'O1', 'O1', 0.9988765986864846, 5.2534496784210205]
['CO', 46, 'BO', 75, 'whoami', 'gvmap', 'O3', 'O1', 0.9480337078651685, 0.25807881355285645]
['CO', 172, 'UO', 51, 'yes', 'objcopy', 'O1', 'O3', 0.9773299748110831, 0.9855599403381348]
