['BO', 18, 'CO', 194, 'libvlc.so.12.0.0', 'tr', 'O1', 'O1', 0.9900497512437811, 0.5815558433532715]
['CO', 2, 'UO', 7, 'stat', 'ranlib', 'O3', 'O1', 0.9659749485885212, 2.1798970699310303]
['UO', 61, 'CO', 147, 'find', 'chroot', 'O3', 'O1', 0.9878048780487805, 0.5456666946411133]
['CO', 200, 'BO', 22, 'fold', 'perl', 'O1', 'O0', 0.9919876300253022, 3.504607915878296]
['UO', 30, 'CO', 374, 'ranlib', 'printf', 'O2', 'O0', 0.9879518072289156, 1.3227951526641846]
['UO', 84, 'CO', 299, 'sdiff', 'comm', 'O0', 'O2', 0.9379615952732644, 0.1046915054321289]
['BO', 39, 'CO', 191, 'codeblocks', 'id', 'O3', 'O1', 0.9985348879799768, 4.263188362121582]
['BO', 64, 'CO', 412, 'dot', 'tac', 'O0', 'O0', 0.9800995024875622, 0.04909563064575195]
['UO', 60, 'CO', 242, 'xargs', 'tail', 'O3', 'O2', 0.9477693144722524, 0.23213434219360352]
['UO', 47, 'CO', 277, 'as', 'who', 'O3', 'O2', 0.9967532467532467, 1.6245405673980713]
['BO', 39, 'CO', 68, 'codeblocks', 'yes', 'O3', 'O3', 0.9990204481449737, 3.2067646980285645]
['BO', 62, 'CO', 78, 'bash', 'chcon', 'O1', 'O3', 0.9952941176470588, 3.7530131340026855]
['CO', 2, 'BO', 12, 'stat', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9963608504117986, 12.917290210723877]
['BO', 68, 'CO', 332, 'git', 'mkfifo', 'O3', 'O0', 0.9986357435197817, 10.35272479057312]
['CO', 4, 'BO', 30, 'test', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.9910552859453802, 2.849156379699707]
['CO', 19, 'BO', 10, 'dd', 'openssl', 'O3', 'O3', 0.9912017167381975, 5.504723072052002]
['UO', 14, 'BO', 36, 'ar', 'cluster', 'O1', 'O2', 0.9777702930279555, 4.017283916473389]
['BO', 54, 'CO', 81, 'lua', 'cat', 'O3', 'O3', 0.9937067337948395, 0.6682674884796143]
['BO', 46, 'CO', 114, 'ruby', 'users', 'O3', 'O1', 0.9984991131122937, 5.28398323059082]
['CO', 31, 'UO', 60, 'date', 'xargs', 'O3', 'O3', 0.9685863874345549, 0.2422778606414795]
['BO', 68, 'CO', 273, 'git', 'false', 'O3', 'O2', 0.9991304347826087, 2.7540338039398193]
['BO', 52, 'CO', 155, 'svn', 'realpath', 'O3', 'O1', 0.9906687402799378, 0.7721133232116699]
['BO', 45, 'CO', 3, 'diff', 'unlink', 'O2', 'O3', 0.989159891598916, 0.16753888130187988]
['CO', 389, 'BO', 26, 'env', 'gvmap', 'O0', 'O3', 0.9574175824175825, 0.3457152843475342]
['UO', 13, 'CO', 382, 'addr2line', 'b2sum', 'O1', 'O0', 0.9890953150242326, 1.6432085037231445]
['CO', 326, 'UO', 48, 'stty', 'ranlib', 'O0', 'O3', 0.9706414639050874, 1.641206979751587]
['BO', 40, 'CO', 179, 'lua', 'mv', 'O0', 'O1', 0.9779028559516364, 3.218111276626587]
['CO', 371, 'BO', 12, 'tsort', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9956441777175491, 8.452625751495361]
['UO', 65, 'CO', 368, 'sdiff', 'cut', 'O3', 'O0', 0.9211267605633803, 0.12962102890014648]
['CO', 392, 'UO', 84, 'uname', 'sdiff', 'O0', 'O0', 0.9109792284866469, 0.10895538330078125]
['UO', 56, 'BO', 71, 'elfedit', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.989822961942118, 2.9513449668884277]
['CO', 151, 'BO', 20, 'numfmt', 'sort', 'O1', 'O1', 0.8792792792792793, 0.23791003227233887]
['BO', 56, 'CO', 185, 'libvlc.so.12.0.0', 'cat', 'O3', 'O1', 0.998025666337611, 0.48372888565063477]
['UO', 9, 'CO', 11, 'strings', 'groups', 'O1', 'O3', 0.9966604049259027, 1.025646686553955]
['UO', 40, 'CO', 150, 'objdump', 'whoami', 'O2', 'O1', 0.9972628985903927, 1.3519885540008545]
['CO', 259, 'UO', 57, 'realpath', 'size', 'O2', 'O3', 0.9726265479035412, 1.0892589092254639]
['CO', 395, 'UO', 87, 'csplit', 'find', 'O0', 'O0', 0.9702417854928704, 1.3256220817565918]
['CO', 242, 'UO', 42, 'tail', 'xargs', 'O2', 'O2', 0.9647964796479648, 0.23933005332946777]
['CO', 138, 'UO', 45, 'tail', 'strip', 'O1', 'O3', 0.9710942876806608, 2.189157247543335]
