['CV', 225, 'BV', 5, 'printf', 'libvlccore.so', 'V0', 'V0', 0.9917782787428723, 1.5052680969238281]
['CV', 228, 'BV', 29, 'false', 'perl', 'V0', 'V3', 0.9936005119590433, 2.3005435466766357]
['CV', 163, 'BV', 12, 'comm', 'sort', 'V3', 'V2', 0.9195767195767196, 0.3153858184814453]
['CV', 152, 'UV', 61, 'env', 'addr2line', 'V3', 'V1', 0.9715063901110412, 1.9907939434051514]
['UV', 86, 'CV', 60, 'size', 'hostid', 'V0', 'V2', 0.9966266866566716, 1.312572956085205]
['UV', 35, 'CV', 285, 'size', 'factor', 'V3', 'V1', 0.9960491659350307, 0.6240513324737549]
['CV', 187, 'BV', 5, 'join', 'libvlccore.so', 'V0', 'V0', 0.9884042693371986, 1.765857219696045]
['BV', 28, 'CV', 141, 'openssl', 'false', 'V1', 'V3', 0.9992034252713332, 3.079704761505127]
['CV', 340, 'BV', 80, 'fold', 'cluster', 'V1', 'V1', 0.9655172413793104, 0.2013082504272461]
['UV', 16, 'CV', 61, 'gprof', 'ginstall', 'V2', 'V2', 0.9938282809947359, 2.631176233291626]
['UV', 45, 'BV', 18, 'cmp', 'sort', 'V1', 'V3', 0.9045967042497831, 0.21714520454406738]
['UV', 48, 'CV', 243, 'locate', 'csplit', 'V1', 'V0', 0.9551569506726457, 0.331057071685791]
['CV', 52, 'UV', 48, 'logname', 'locate', 'V2', 'V1', 0.9188900747065102, 0.1330416202545166]
['CV', 206, 'UV', 38, 'paste', 'xargs', 'V0', 'V3', 0.9623824451410659, 0.09514951705932617]
['CV', 49, 'UV', 11, 'tsort', 'ranlib', 'V2', 'V2', 0.9742247281514297, 0.9700849056243896]
['UV', 53, 'CV', 268, 'readelf', 'dir', 'V1', 'V1', 0.9811946902654867, 0.6241834163665771]
['UV', 10, 'BV', 63, 'as', 'ruby', 'V2', 'V0', 0.9736706424225758, 123.8732795715332]
['BV', 42, 'CV', 329, 'libvlc.so', 'cat', 'V1', 'V1', 0.9933110367892977, 0.26076507568359375]
['CV', 69, 'BV', 21, 'csplit', 'cp', 'V2', 'V1', 0.9197761194029851, 0.21984291076660156]
['UV', 38, 'CV', 221, 'xargs', 'od', 'V3', 'V0', 0.9781420765027322, 0.13168025016784668]
['BV', 78, 'CV', 86, 'make', 'ln', 'V2', 'V2', 0.9794183445190157, 0.5550038814544678]
['UV', 57, 'CV', 236, 'strings', 'unexpand', 'V1', 'V0', 0.997852233676976, 0.606874942779541]
['CV', 210, 'UV', 62, 'chroot', 'ar', 'V0', 'V1', 0.9842041312272175, 0.6495001316070557]
['BV', 47, 'CV', 146, 'dot', 'head', 'V3', 'V3', 0.9949238578680203, 0.034572601318359375]
['BV', 4, 'CV', 186, 'geany', 'stty', 'V3', 'V0', 0.9994178067950265, 4.390256404876709]
['UV', 12, 'CV', 12, 'c++filt', 'stty', 'V2', 'V2', 0.9948947032546267, 1.0856575965881348]
['CV', 328, 'UV', 9, 'uname', 'readelf', 'V1', 'V2', 0.9785074626865672, 0.19829130172729492]
['CV', 43, 'UV', 14, 'chmod', 'objcopy', 'V2', 'V2', 0.9727009042825456, 1.8671066761016846]
['CV', 42, 'UV', 48, 'dircolors', 'locate', 'V2', 'V1', 0.8900414937759336, 0.2720022201538086]
['CV', 310, 'BV', 64, 'tsort', 'openssl', 'V1', 'V2', 0.9922341696535245, 1.9797422885894775]
['BV', 72, 'UV', 40, 'perl', 'diff3', 'V1', 'V3', 0.9976836771625045, 3.8615312576293945]
['CV', 198, 'UV', 16, 'factor', 'gprof', 'V0', 'V2', 0.9808268424206111, 0.749032735824585]
['BV', 64, 'UV', 36, 'openssl', 'objdump', 'V2', 'V3', 0.9728758888644528, 43.99562978744507]
['UV', 42, 'CV', 213, 'diff', 'whoami', 'V3', 'V0', 0.9886148007590133, 0.103179931640625]
['CV', 166, 'BV', 37, 'fold', 'geany', 'V3', 'V1', 0.9928027293545825, 6.961812973022461]
['UV', 36, 'CV', 46, 'objdump', 'cut', 'V3', 'V2', 0.9972859275342651, 1.5692260265350342]
['BV', 70, 'CV', 213, 'ssh', 'whoami', 'V0', 'V0', 0.9992106717183676, 1.2609610557556152]
['CV', 76, 'BV', 48, 'comm', 'gvmap', 'V2', 'V3', 0.9484320557491289, 0.2697877883911133]
['CV', 296, 'UV', 38, 'sum', 'xargs', 'V1', 'V3', 0.9615952732644018, 0.11941194534301758]
['CV', 1, 'BV', 17, 'stat', 'codeblocks', 'V2', 'V2', 0.9953217853078771, 4.139073371887207]
['BV', 63, 'UV', 49, 'ruby', 'xargs', 'V0', 'V1', 0.9989174560216508, 5.0628485679626465]
['CV', 28, 'UV', 38, 'chown', 'xargs', 'V2', 'V3', 0.9557522123893806, 0.22191190719604492]
['CV', 128, 'UV', 19, 'nice', 'elfedit', 'V3', 'V2', 0.9713701431492843, 0.077911376953125]
['BV', 43, 'UV', 67, 'lua', 'cmp', 'V0', 'V0', 0.9893129770992366, 0.5951340198516846]
['CV', 231, 'UV', 39, 'who', 'find', 'V0', 'V3', 0.9775885253249664, 0.4521157741546631]
['BV', 31, 'CV', 78, 'codeblocks', 'rm', 'V0', 'V2', 0.9981781508230855, 5.239245176315308]
['CV', 178, 'UV', 8, 'basename', 'strip', 'V0', 'V2', 0.9847056731282233, 0.6685044765472412]
['CV', 237, 'UV', 71, 'mv', 'xargs', 'V0', 'V0', 0.9215155615696887, 0.10704493522644043]
['CV', 28, 'UV', 75, 'chown', 'readelf', 'V2', 'V0', 0.9654959950708565, 0.44619178771972656]
['UV', 85, 'CV', 180, 'elfedit', 'fmt', 'V0', 'V0', 0.9856115107913669, 0.053495168685913086]
['BV', 40, 'CV', 69, 'lua', 'csplit', 'V2', 'V2', 0.9904648390941597, 1.3194434642791748]
['UV', 48, 'CV', 196, 'locate', 'kill', 'V1', 'V0', 0.9824368825466521, 0.09912705421447754]
['BV', 21, 'CV', 205, 'cp', 'sha1sum', 'V1', 'V0', 0.9711538461538461, 0.07183194160461426]
['CV', 169, 'BV', 53, 'sort', 'ssh', 'V3', 'V2', 0.9690662041052327, 9.347639322280884]
['UV', 38, 'CV', 158, 'xargs', '[', 'V3', 'V3', 0.9628712871287128, 0.1584620475769043]
['UV', 51, 'CV', 48, 'nm', 'df', 'V1', 'V2', 0.9909018987341772, 1.6794512271881104]
['BV', 82, 'CV', 231, 'gvmap', 'who', 'V1', 'V0', 0.9872340425531915, 0.2538144588470459]
['BV', 31, 'CV', 149, 'codeblocks', 'unexpand', 'V0', 'V3', 0.9985565251623909, 3.5860660076141357]
['CV', 168, 'BV', 4, 'sleep', 'geany', 'V3', 'V3', 0.9940189400232596, 6.305636882781982]
['CV', 293, 'BV', 20, 'paste', 'sort', 'V1', 'V1', 0.8831615120274914, 0.06434297561645508]
['UV', 18, 'CV', 90, 'ar', 'test', 'V2', 'V3', 0.9956375173507833, 1.1273627281188965]
['CV', 103, 'UV', 83, 'dd', 'addr2line', 'V3', 'V0', 0.9636213311285655, 1.9660437107086182]
['CV', 318, 'UV', 43, 'who', 'sdiff', 'V1', 'V3', 0.9042904290429042, 0.07925152778625488]
['CV', 217, 'BV', 11, 'chmod', 'bash', 'V0', 'V1', 0.982586262495969, 2.0206172466278076]
['UV', 6, 'BV', 3, 'sdiff', 'diff', 'V2', 'V1', 0.9063032367972743, 0.24460506439208984]
['UV', 86, 'CV', 31, 'size', 'sha1sum', 'V0', 'V2', 0.996276991809382, 0.8866274356842041]
['UV', 28, 'CV', 179, 'strings', 'mkdir', 'V3', 'V0', 0.9956169186938417, 0.7831356525421143]
['UV', 79, 'CV', 303, 'strings', 'dircolors', 'V0', 'V1', 0.9964117515137924, 0.6651854515075684]
['UV', 43, 'CV', 336, 'sdiff', 'tr', 'V3', 'V1', 0.9311475409836065, 0.07421183586120605]
['CV', 19, 'UV', 39, 'pr', 'find', 'V2', 'V3', 0.9627906976744186, 0.6211473941802979]
['BV', 50, 'CV', 132, 'sort', 'cp', 'V0', 'V3', 0.899749373433584, 0.24856257438659668]
['BV', 18, 'UV', 72, 'sort', 'find', 'V3', 'V0', 0.9110651499482937, 0.7453591823577881]
['UV', 18, 'CV', 321, 'ar', 'hostid', 'V2', 'V1', 0.9979516591560835, 0.5576021671295166]
['CV', 302, 'UV', 12, 'nice', 'c++filt', 'V1', 'V2', 0.9780364594772677, 0.6435906887054443]
['BV', 22, 'CV', 297, 'cmp', 'chroot', 'V3', 'V1', 0.9716312056737588, 0.03758406639099121]
['BV', 37, 'CV', 10, 'geany', 'ptx', 'V1', 'V2', 0.9983512708953515, 11.191645860671997]
['BV', 3, 'CV', 264, 'diff', 'test', 'V1', 'V1', 0.9873817034700315, 0.11073184013366699]
['CV', 294, 'UV', 4, 'sync', 'cmp', 'V1', 'V2', 0.8269230769230769, 0.03816938400268555]
['CV', 223, 'UV', 1, 'tsort', 'xargs', 'V0', 'V2', 0.891566265060241, 0.07796883583068848]
['UV', 4, 'CV', 85, 'cmp', 'mknod', 'V2', 'V2', 0.9348268839103869, 0.05246853828430176]
['CV', 135, 'BV', 23, 'df', 'diff', 'V3', 'V3', 0.8912466843501327, 0.41049981117248535]
['CV', 343, 'BV', 67, 'sort', 'cluster', 'V1', 'V0', 0.9411764705882353, 0.41875362396240234]
['BV', 14, 'CV', 220, 'openssl', 'cut', 'V3', 'V0', 0.9983624454148472, 1.5115728378295898]
['CV', 52, 'UV', 13, 'logname', 'strings', 'V2', 'V2', 0.980548951804625, 0.7508635520935059]
['UV', 84, 'BV', 67, 'ar', 'cluster', 'V0', 'V0', 0.9820627802690582, 3.2921576499938965]
['CV', 176, 'UV', 82, 'unlink', 'gprof', 'V0', 'V0', 0.9846759163387865, 0.6117308139801025]
['CV', 95, 'BV', 37, 'du', 'geany', 'V3', 'V1', 0.986930493990769, 18.324065923690796]
['CV', 146, 'BV', 60, 'head', 'codeblocks', 'V3', 'V1', 0.9928803000444981, 5.262107610702515]
['UV', 59, 'CV', 279, 'ld', 'pwd', 'V1', 'V1', 0.9985607369027059, 0.9301130771636963]
['CV', 109, 'BV', 14, 'kill', 'openssl', 'V3', 'V3', 0.9951351351351352, 2.316012382507324]
['BV', 74, 'CV', 100, 'git', 'join', 'V1', 'V3', 0.9982569465805393, 5.219845771789551]
['BV', 55, 'CV', 333, 'codeblocks', 'id', 'V3', 'V1', 0.99950071771828, 2.607564926147461]
['UV', 9, 'CV', 267, 'readelf', 'fmt', 'V2', 'V1', 0.9917984768599882, 0.3834199905395508]
['CV', 210, 'BV', 1, 'chroot', 'libSDL2-2.0.so', 'V0', 'V3', 0.9869952087611226, 1.2882037162780762]
['BV', 29, 'CV', 118, 'perl', 'sha1sum', 'V3', 'V3', 0.9977911012937836, 2.682354688644409]
['UV', 56, 'CV', 259, 'c++filt', 'mknod', 'V1', 'V0', 0.9973997833152762, 0.5819606781005859]
['CV', 92, 'BV', 50, 'mkdir', 'sort', 'V3', 'V0', 0.9209039548022598, 0.10690093040466309]
['BV', 6, 'CV', 290, 'libvlc.so', 'tail', 'V0', 'V1', 0.9861431870669746, 0.4154634475708008]
['CV', 292, 'UV', 19, 'sha1sum', 'elfedit', 'V1', 'V2', 0.976905311778291, 0.06174802780151367]
['UV', 40, 'CV', 263, 'diff3', 'unlink', 'V3', 'V1', 0.9631675874769797, 0.04814291000366211]
['BV', 10, 'UV', 20, 'gvmap', 'size', 'V2', 'V2', 0.9517775431186202, 4.171017408370972]
['CV', 275, 'BV', 40, 'dirname', 'lua', 'V1', 'V2', 0.9706703910614525, 0.3707122802734375]
['UV', 41, 'CV', 256, 'cmp', 'sort', 'V3', 'V0', 0.9040247678018576, 0.09168148040771484]
['CV', 320, 'UV', 66, 'head', 'diff3', 'V1', 'V0', 0.8718381112984823, 0.07125473022460938]
['CV', 123, 'UV', 16, 'chroot', 'gprof', 'V3', 'V2', 0.9677982541222114, 1.3019835948944092]
['BV', 41, 'CV', 220, 'libvlccore.so', 'cut', 'V1', 'V0', 0.9992245056223342, 1.2531979084014893]
